# _root_ `` Parenthood , '' this summer 's successful and amusing movie about parents and children , apparently was only the beginning .
#goldHeads=2,18,2,2,6,11,6,9,11,9,2,11,14,12,14,2,18,0,21,21,18,18,
#predictedHeads=18,18,2,2,6,11,6,9,11,9,2,11,14,12,14,2,18,0,21,21,18,18,
(14,16),-0.667289 # DEPENDENCYPART_ARC
(14,17),-1.36865 # DEPENDENCYPART_ARC
(14,18),-1.58252 # DEPENDENCYPART_ARC
(14,19),-1.79088 # DEPENDENCYPART_ARC
(14,21),-2.05305 # DEPENDENCYPART_ARC
(14,22),-1.61888 # DEPENDENCYPART_ARC
(15,6),-2.2707 # DEPENDENCYPART_ARC
(15,8),-2.50804 # DEPENDENCYPART_ARC
(15,10),-2.11396 # DEPENDENCYPART_ARC
(15,13),-1.0335 # DEPENDENCYPART_ARC
(15,14),-0.336543 # DEPENDENCYPART_ARC
(15,16),-0.269104 # DEPENDENCYPART_ARC
(15,17),-1.73447 # DEPENDENCYPART_ARC
(15,18),-2.00973 # DEPENDENCYPART_ARC
(15,19),-2.10418 # DEPENDENCYPART_ARC
(15,21),-2.02264 # DEPENDENCYPART_ARC
(15,22),-2.48963 # DEPENDENCYPART_ARC
(17,2),-1.17043 # DEPENDENCYPART_ARC
(17,6),-1.48782 # DEPENDENCYPART_ARC
(17,9),-1.60145 # DEPENDENCYPART_ARC
(17,11),-1.60485 # DEPENDENCYPART_ARC
(17,12),-1.86439 # DEPENDENCYPART_ARC
(17,13),-1.51437 # DEPENDENCYPART_ARC
(17,14),-1.34843 # DEPENDENCYPART_ARC
(17,15),-1.49096 # DEPENDENCYPART_ARC
(17,16),0.214812 # DEPENDENCYPART_ARC
(17,18),-0.315989 # DEPENDENCYPART_ARC
(17,19),-1.02551 # DEPENDENCYPART_ARC
(17,21),-1.43627 # DEPENDENCYPART_ARC
(18,1),-0.348043 # DEPENDENCYPART_ARC
(18,2),-0.754677 # DEPENDENCYPART_ARC
(18,3),-2.28783 # DEPENDENCYPART_ARC
(18,5),-1.51417 # DEPENDENCYPART_ARC
(18,6),-1.75205 # DEPENDENCYPART_ARC
(18,8),-1.28762 # DEPENDENCYPART_ARC
(18,9),-1.62955 # DEPENDENCYPART_ARC
(18,10),-1.44545 # DEPENDENCYPART_ARC
(18,11),-1.67206 # DEPENDENCYPART_ARC
(18,12),-1.35575 # DEPENDENCYPART_ARC
(18,13),-1.68009 # DEPENDENCYPART_ARC
(18,14),-1.27085 # DEPENDENCYPART_ARC
(18,15),-1.4953 # DEPENDENCYPART_ARC
(18,16),-0.475444 # DEPENDENCYPART_ARC
(18,17),0.983827 # DEPENDENCYPART_ARC
(18,19),0.665804 # DEPENDENCYPART_ARC
(18,20),-0.499814 # DEPENDENCYPART_ARC
(18,21),-0.227301 # DEPENDENCYPART_ARC
(18,22),0.00843274 # DEPENDENCYPART_ARC
(19,2),-1.66176 # DEPENDENCYPART_ARC
(19,9),-2.1676 # DEPENDENCYPART_ARC
(19,11),-2.12001 # DEPENDENCYPART_ARC
(19,12),-2.30193 # DEPENDENCYPART_ARC
(19,15),-2.11676 # DEPENDENCYPART_ARC
(19,17),-1.56645 # DEPENDENCYPART_ARC
(19,20),0.138265 # DEPENDENCYPART_ARC
(19,21),-0.690641 # DEPENDENCYPART_ARC
(20,19),-0.10469 # DEPENDENCYPART_ARC
(21,14),-2.12427 # DEPENDENCYPART_ARC
(21,17),-1.38889 # DEPENDENCYPART_ARC
(21,19),-0.411363 # DEPENDENCYPART_ARC
(21,20),1.18754 # DEPENDENCYPART_ARC
(21,22),-0.2766 # DEPENDENCYPART_ARC
(22,21),-0.358203 # DEPENDENCYPART_ARC
(0,2),(0,9),-0.0912498 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0506226 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0912498 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.10972 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0609008 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.113963 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.14462 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0912562 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.108909 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.14462 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.144067 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.748153 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00947155 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0454928 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.033485 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0393103 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.037456 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0640028 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0153855 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0393103 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0448755 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.144067 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0226604 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.00653542 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0054293 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0363392 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.00143759 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0972822 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00209185 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0414709 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0443138 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0177935 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0443342 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0575889 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0646568 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0177935 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0391396 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.036982 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.00685939 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0712557 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.00814519 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0412874 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.00261008 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.000503155 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0409381 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0339151 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00997784 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0339387 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0570888 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0747302 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.00997784 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0403085 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0168868 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.00981101 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0290574 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.00764378 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0354313 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0251762 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0187388 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00779226 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0200305 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00720139 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0125552 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.000365648 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0200305 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0185916 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0329914 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.01182 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0247872 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.020911 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0234987 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0121714 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00887699 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0375974 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0072298 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00734835 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0154442 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0375974 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0135101 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0171373 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.00583085 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00573157 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0149677 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.00480335 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.0254308 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0298859 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0168815 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0070299 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00752154 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0298859 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0129973 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0140509 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0102604 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.000469742 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0204955 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.0183473 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.00142592 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00209349 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0263785 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0319334 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0451209 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0325084 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0236044 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.00252127 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0120735 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.00420664 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0374139 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.00104341 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.00566855 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00337571 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0285799 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.011636 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0165135 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.00970947 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.00253777 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0199446 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.0169859 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.00131145 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0138497 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0369075 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0130058 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0138903 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.00607595 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.00578299 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0147226 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.00429903 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.0173435 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0289393 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0169076 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0157076 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0175479 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0286583 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.00620619 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.0158816 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0281413 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0325084 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0236044 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.00252127 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0120735 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.00420664 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.0374139 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.00104341 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0179187 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.00263424 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.00262721 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0181643 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.00613289 # DEPENDENCYPART_SIBL
(2,15),(2,22),0.0169715 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.00685939 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0712557 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.00814519 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.0412874 # DEPENDENCYPART_SIBL
(2,16),(2,22),-0.00261008 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.00693091 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.024645 # DEPENDENCYPART_SIBL
(2,17),(2,21),0.00947755 # DEPENDENCYPART_SIBL
(2,17),(2,22),0.00333684 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0200925 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.0268562 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.00962447 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.00442367 # DEPENDENCYPART_SIBL
(2,19),(2,22),-0.00381424 # DEPENDENCYPART_SIBL
(2,21),(2,22),0.0118301 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0889752 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.187529 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.75965 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0843914 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.048738 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.033485 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0393103 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.037456 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00820297 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0393103 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0433829 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.141454 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0226604 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0104041 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0054293 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.00143759 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.039168 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.250599 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.11439 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0765408 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0127601 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00855463 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0092823 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0714533 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.00855463 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0129749 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0475054 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0121533 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0169558 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0251127 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.00799258 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.286872 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0720837 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.288412 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0833472 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0346062 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0808101 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0930029 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0346062 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0201525 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.138012 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0359089 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0188566 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0499798 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.027459 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0553881 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0850623 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0113708 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00296393 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00920379 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.057836 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00296393 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0105786 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0133489 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0102627 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0264041 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0092589 # DEPENDENCYPART_SIBL
(6,4),(6,22),0.0369687 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0263063 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.113221 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.113918 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.112965 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.235714 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.113918 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.110605 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.146896 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0883768 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0577666 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.115363 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.103037 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0350683 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00254284 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0350459 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0356653 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.00254284 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.00613999 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.00260324 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0147862 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.025144 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0238706 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.011001 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.029886 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0168817 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.00751854 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.029886 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0148689 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0110675 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0102605 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0024973 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0204955 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.00143071 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.00209358 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0319305 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0451209 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0343799 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0206211 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.00252127 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0150405 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.00420664 # DEPENDENCYPART_SIBL
