# _root_ The plan had been to make one of Shearson 's easy-to-film , black-and-white `` Where We Stand '' commercials , which have been running occasionally in response to news events since 1985 .
#goldHeads=2,3,0,3,4,5,6,7,19,9,19,19,19,19,17,17,19,19,8,19,22,19,22,23,24,24,26,27,30,28,24,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,19,9,19,6,19,19,17,17,19,19,8,19,22,19,22,23,24,24,26,27,30,28,24,31,3,
(19,22),-0.0603121 # DEPENDENCYPART_ARC
(19,23),-1.47626 # DEPENDENCYPART_ARC
(19,24),-1.23276 # DEPENDENCYPART_ARC
(19,25),-1.61602 # DEPENDENCYPART_ARC
(19,26),-1.54675 # DEPENDENCYPART_ARC
(19,27),-2.00336 # DEPENDENCYPART_ARC
(19,28),-1.53545 # DEPENDENCYPART_ARC
(19,30),-2.29884 # DEPENDENCYPART_ARC
(19,33),-2.4949 # DEPENDENCYPART_ARC
(21,23),-1.82157 # DEPENDENCYPART_ARC
(22,2),-2.93053 # DEPENDENCYPART_ARC
(22,3),-2.85124 # DEPENDENCYPART_ARC
(22,12),-2.48783 # DEPENDENCYPART_ARC
(22,14),-2.0328 # DEPENDENCYPART_ARC
(22,15),-1.20745 # DEPENDENCYPART_ARC
(22,16),-2.07692 # DEPENDENCYPART_ARC
(22,18),-1.90954 # DEPENDENCYPART_ARC
(22,19),-1.03101 # DEPENDENCYPART_ARC
(22,20),-1.60998 # DEPENDENCYPART_ARC
(22,21),1.37986 # DEPENDENCYPART_ARC
(22,23),1.8377 # DEPENDENCYPART_ARC
(22,24),-0.283783 # DEPENDENCYPART_ARC
(22,25),-1.35292 # DEPENDENCYPART_ARC
(22,26),-1.24634 # DEPENDENCYPART_ARC
(22,27),-1.53416 # DEPENDENCYPART_ARC
(22,28),-1.33606 # DEPENDENCYPART_ARC
(22,31),-1.48502 # DEPENDENCYPART_ARC
(22,33),-0.532672 # DEPENDENCYPART_ARC
(23,3),-2.13174 # DEPENDENCYPART_ARC
(23,15),-0.438673 # DEPENDENCYPART_ARC
(23,21),-0.967767 # DEPENDENCYPART_ARC
(23,24),1.00619 # DEPENDENCYPART_ARC
(23,25),-0.581316 # DEPENDENCYPART_ARC
(23,26),-0.265505 # DEPENDENCYPART_ARC
(23,27),-1.05453 # DEPENDENCYPART_ARC
(23,28),-0.729497 # DEPENDENCYPART_ARC
(23,30),-1.284 # DEPENDENCYPART_ARC
(23,31),-0.411355 # DEPENDENCYPART_ARC
(23,32),-2.27177 # DEPENDENCYPART_ARC
(23,33),-1.54694 # DEPENDENCYPART_ARC
(24,3),-1.96902 # DEPENDENCYPART_ARC
(24,15),-0.49184 # DEPENDENCYPART_ARC
(24,21),-0.546709 # DEPENDENCYPART_ARC
(24,23),-0.743894 # DEPENDENCYPART_ARC
(24,25),1.05769 # DEPENDENCYPART_ARC
(24,26),0.712168 # DEPENDENCYPART_ARC
(24,27),0.305058 # DEPENDENCYPART_ARC
(24,28),0.266776 # DEPENDENCYPART_ARC
(24,29),-0.336446 # DEPENDENCYPART_ARC
(24,30),-0.890427 # DEPENDENCYPART_ARC
(24,31),-0.182504 # DEPENDENCYPART_ARC
(24,32),-2.10012 # DEPENDENCYPART_ARC
(24,33),-1.74647 # DEPENDENCYPART_ARC
(25,21),-2.51629 # DEPENDENCYPART_ARC
(25,24),-1.43432 # DEPENDENCYPART_ARC
(25,26),-0.633616 # DEPENDENCYPART_ARC
(25,27),-0.927276 # DEPENDENCYPART_ARC
(25,28),-1.1934 # DEPENDENCYPART_ARC
(25,30),-1.93447 # DEPENDENCYPART_ARC
(25,31),-1.64164 # DEPENDENCYPART_ARC
(25,32),-2.55204 # DEPENDENCYPART_ARC
(26,21),-1.95263 # DEPENDENCYPART_ARC
(26,25),-0.608296 # DEPENDENCYPART_ARC
(26,27),1.42505 # DEPENDENCYPART_ARC
(26,28),-0.781171 # DEPENDENCYPART_ARC
(26,29),-1.34219 # DEPENDENCYPART_ARC
(26,30),-0.604762 # DEPENDENCYPART_ARC
(26,32),-2.44662 # DEPENDENCYPART_ARC
(27,25),-1.15301 # DEPENDENCYPART_ARC
(27,26),-1.10912 # DEPENDENCYPART_ARC
(27,28),0.194891 # DEPENDENCYPART_ARC
(27,29),-0.915931 # DEPENDENCYPART_ARC
(27,30),-1.27645 # DEPENDENCYPART_ARC
(27,31),-1.01354 # DEPENDENCYPART_ARC
(27,32),-1.72538 # DEPENDENCYPART_ARC
(28,25),-1.91653 # DEPENDENCYPART_ARC
(28,26),-1.63468 # DEPENDENCYPART_ARC
(28,27),-1.64049 # DEPENDENCYPART_ARC
(28,29),1.02683 # DEPENDENCYPART_ARC
(28,30),0.375821 # DEPENDENCYPART_ARC
(28,31),-1.26116 # DEPENDENCYPART_ARC
(28,32),-1.88791 # DEPENDENCYPART_ARC
(29,27),-1.43715 # DEPENDENCYPART_ARC
(29,30),-0.654911 # DEPENDENCYPART_ARC
(29,31),-0.997542 # DEPENDENCYPART_ARC
(29,32),-1.73059 # DEPENDENCYPART_ARC
(30,21),-2.56212 # DEPENDENCYPART_ARC
(30,25),-1.53233 # DEPENDENCYPART_ARC
(30,26),-1.84208 # DEPENDENCYPART_ARC
(30,27),-0.512709 # DEPENDENCYPART_ARC
(30,28),-1.11557 # DEPENDENCYPART_ARC
(30,29),2.08111 # DEPENDENCYPART_ARC
(30,31),-0.565145 # DEPENDENCYPART_ARC
(30,32),-1.80606 # DEPENDENCYPART_ARC
(30,33),-1.93836 # DEPENDENCYPART_ARC
(31,30),-1.54078 # DEPENDENCYPART_ARC
(31,32),0.614564 # DEPENDENCYPART_ARC
(32,30),-1.89549 # DEPENDENCYPART_ARC
(32,31),-1.29433 # DEPENDENCYPART_ARC
(32,33),-1.52761 # DEPENDENCYPART_ARC
(33,32),-2.36543 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.76746 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.105333 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.360825 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.408779 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.627163 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.92416 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.973736 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.286483 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.316531 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.868369 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.257947 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0336733 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.166334 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.211196 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.214693 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.359555 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0359645 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.033478 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.080428 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0146277 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0162033 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.119495 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0444553 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.108315 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0544877 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.282168 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00789015 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.101644 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0327784 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0214604 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0170177 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.21308 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0555098 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.241726 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.228521 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.161644 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.10552 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.184723 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.202358 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.135178 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.16281 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.159057 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0422801 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.00588695 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.10767 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.16281 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.034911 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0555098 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.115458 # DEPENDENCYPART_SIBL
(3,1),(3,33),-0.185768 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.12474 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0434186 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00503827 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0156383 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0924082 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0100661 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.041614 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00226234 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0809764 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0164927 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0228038 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0825129 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0110605 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0809764 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0637429 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.12474 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.000997179 # DEPENDENCYPART_SIBL
(3,2),(3,33),0.00352872 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.495688 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.370514 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.364807 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.536567 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.406939 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.26626 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.453027 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0336792 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.265445 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.335737 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.10678 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.533323 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0336792 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.401706 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.720886 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.487706 # DEPENDENCYPART_SIBL
(3,4),(3,33),0.029088 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.273176 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.118512 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.246917 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.18262 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.163924 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.234299 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0441468 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.095618 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.198588 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.00392399 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.322027 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0441468 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.303999 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0368261 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.112361 # DEPENDENCYPART_SIBL
(3,5),(3,33),0.00185594 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.217855 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.166616 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.225274 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0590675 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.244247 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0135336 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.115193 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.175123 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.00335862 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.310529 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0135336 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.24908 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0803208 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.196308 # DEPENDENCYPART_SIBL
(3,6),(3,33),-0.00238669 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.109184 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0856536 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0030823 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.136475 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.196939 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0713512 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.10127 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0351086 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.350149 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.196939 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.183747 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.012338 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0744165 # DEPENDENCYPART_SIBL
(3,7),(3,33),-0.0199148 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.157411 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.016734 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.153186 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.111155 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.118863 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.271899 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.197109 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.202966 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.111155 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.379669 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0123969 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.169732 # DEPENDENCYPART_SIBL
(3,8),(3,33),-0.074003 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0479422 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0456616 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.00958787 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0212644 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.106258 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0150311 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.225165 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.00958787 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.175561 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.029653 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.0845132 # DEPENDENCYPART_SIBL
(3,9),(3,33),-0.0192392 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0545101 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.217665 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0829305 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.155306 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.00624649 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.316855 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.217665 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.227052 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0119734 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.0617946 # DEPENDENCYPART_SIBL
(3,10),(3,33),-0.109481 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0765785 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.11881 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.163009 # DEPENDENCYPART_SIBL
