# _root_ `` I think we could very well have { an economic } slowdown , beginning very soon if not already , '' he says .
#goldHeads=24,3,24,5,3,5,6,5,13,13,13,13,8,13,13,18,16,15,18,18,24,24,24,0,24,
#predictedHeads=24,3,24,5,3,5,6,5,13,13,13,13,8,3,3,15,16,16,16,19,24,24,24,0,24,
(5,17),-1.60116 # DEPENDENCYPART_ARC
(5,18),-1.65045 # DEPENDENCYPART_ARC
(5,21),-1.3556 # DEPENDENCYPART_ARC
(5,22),-0.897753 # DEPENDENCYPART_ARC
(5,24),-1.61304 # DEPENDENCYPART_ARC
(5,25),-0.909036 # DEPENDENCYPART_ARC
(6,4),-1.50568 # DEPENDENCYPART_ARC
(6,7),0.953564 # DEPENDENCYPART_ARC
(6,8),-0.426779 # DEPENDENCYPART_ARC
(6,11),-0.836815 # DEPENDENCYPART_ARC
(6,13),-1.12543 # DEPENDENCYPART_ARC
(6,14),-0.969324 # DEPENDENCYPART_ARC
(7,6),-0.202751 # DEPENDENCYPART_ARC
(7,8),-0.465079 # DEPENDENCYPART_ARC
(7,9),-1.38913 # DEPENDENCYPART_ARC
(7,11),-1.62174 # DEPENDENCYPART_ARC
(7,12),-1.58001 # DEPENDENCYPART_ARC
(8,1),-1.07463 # DEPENDENCYPART_ARC
(8,2),-1.67318 # DEPENDENCYPART_ARC
(8,3),-1.51424 # DEPENDENCYPART_ARC
(8,4),-1.08328 # DEPENDENCYPART_ARC
(8,5),-1.21534 # DEPENDENCYPART_ARC
(8,6),-0.523155 # DEPENDENCYPART_ARC
(8,7),0.392463 # DEPENDENCYPART_ARC
(8,9),0.151998 # DEPENDENCYPART_ARC
(8,10),-0.822862 # DEPENDENCYPART_ARC
(8,11),-0.979104 # DEPENDENCYPART_ARC
(8,12),-0.937428 # DEPENDENCYPART_ARC
(8,13),-0.682363 # DEPENDENCYPART_ARC
(8,14),-0.892458 # DEPENDENCYPART_ARC
(8,15),-1.59366 # DEPENDENCYPART_ARC
(8,16),-1.87479 # DEPENDENCYPART_ARC
(8,17),-1.87748 # DEPENDENCYPART_ARC
(8,18),-2.35245 # DEPENDENCYPART_ARC
(8,19),-2.19237 # DEPENDENCYPART_ARC
(8,20),-2.06903 # DEPENDENCYPART_ARC
(8,21),-1.96579 # DEPENDENCYPART_ARC
(8,22),-0.871803 # DEPENDENCYPART_ARC
(8,24),-2.07729 # DEPENDENCYPART_ARC
(8,25),-1.7092 # DEPENDENCYPART_ARC
(10,11),-0.114313 # DEPENDENCYPART_ARC
(10,15),-1.60396 # DEPENDENCYPART_ARC
(11,6),-1.28936 # DEPENDENCYPART_ARC
(11,7),-1.26352 # DEPENDENCYPART_ARC
(11,10),0.208392 # DEPENDENCYPART_ARC
(11,12),0.0521878 # DEPENDENCYPART_ARC
(11,13),-1.05469 # DEPENDENCYPART_ARC
(11,14),-1.0076 # DEPENDENCYPART_ARC
(11,15),-1.55458 # DEPENDENCYPART_ARC
(11,16),-1.80385 # DEPENDENCYPART_ARC
(11,18),-1.72064 # DEPENDENCYPART_ARC
(11,22),-1.17398 # DEPENDENCYPART_ARC
(11,24),-1.57853 # DEPENDENCYPART_ARC
(11,25),-1.4021 # DEPENDENCYPART_ARC
(13,3),-1.15265 # DEPENDENCYPART_ARC
(13,7),-1.20843 # DEPENDENCYPART_ARC
(13,9),-0.745291 # DEPENDENCYPART_ARC
(13,10),-0.261379 # DEPENDENCYPART_ARC
(13,11),0.211859 # DEPENDENCYPART_ARC
(13,12),0.605169 # DEPENDENCYPART_ARC
(13,14),0.157056 # DEPENDENCYPART_ARC
(13,15),-1.57364 # DEPENDENCYPART_ARC
(13,16),-1.78387 # DEPENDENCYPART_ARC
(13,17),-1.87363 # DEPENDENCYPART_ARC
(13,19),-1.92199 # DEPENDENCYPART_ARC
(13,20),-1.91035 # DEPENDENCYPART_ARC
(13,21),-1.84479 # DEPENDENCYPART_ARC
(13,22),-1.40313 # DEPENDENCYPART_ARC
(13,25),-2.29065 # DEPENDENCYPART_ARC
(14,15),-0.339523 # DEPENDENCYPART_ARC
(15,3),-2.27923 # DEPENDENCYPART_ARC
(15,13),-2.12854 # DEPENDENCYPART_ARC
(15,14),-0.353359 # DEPENDENCYPART_ARC
(15,16),0.479491 # DEPENDENCYPART_ARC
(15,17),-0.46498 # DEPENDENCYPART_ARC
(15,18),-0.77009 # DEPENDENCYPART_ARC
(15,19),-1.00229 # DEPENDENCYPART_ARC
(15,20),-0.949611 # DEPENDENCYPART_ARC
(15,21),-1.18386 # DEPENDENCYPART_ARC
(15,22),-1.19865 # DEPENDENCYPART_ARC
(15,24),-1.89563 # DEPENDENCYPART_ARC
(15,25),-1.68465 # DEPENDENCYPART_ARC
(16,8),-1.9414 # DEPENDENCYPART_ARC
(16,11),-2.1865 # DEPENDENCYPART_ARC
(16,13),-1.8237 # DEPENDENCYPART_ARC
(16,14),-1.15928 # DEPENDENCYPART_ARC
(16,15),-0.173418 # DEPENDENCYPART_ARC
(16,17),0.430103 # DEPENDENCYPART_ARC
(16,18),-0.619702 # DEPENDENCYPART_ARC
(16,19),-0.673162 # DEPENDENCYPART_ARC
(16,20),-0.708207 # DEPENDENCYPART_ARC
(16,21),-1.13955 # DEPENDENCYPART_ARC
(16,24),-1.53795 # DEPENDENCYPART_ARC
(17,8),-1.79515 # DEPENDENCYPART_ARC
(17,11),-2.07171 # DEPENDENCYPART_ARC
(17,13),-1.80974 # DEPENDENCYPART_ARC
(17,14),-1.22086 # DEPENDENCYPART_ARC
(17,15),-1.03832 # DEPENDENCYPART_ARC
(17,16),-0.0922437 # DEPENDENCYPART_ARC
(17,18),-0.120186 # DEPENDENCYPART_ARC
(17,19),-0.873231 # DEPENDENCYPART_ARC
(17,20),-0.972533 # DEPENDENCYPART_ARC
(17,24),-1.69763 # DEPENDENCYPART_ARC
(18,16),-0.891313 # DEPENDENCYPART_ARC
(18,17),0.0510604 # DEPENDENCYPART_ARC
(18,19),-0.0767834 # DEPENDENCYPART_ARC
(18,20),-0.970412 # DEPENDENCYPART_ARC
(18,21),-1.03992 # DEPENDENCYPART_ARC
(18,22),-1.53004 # DEPENDENCYPART_ARC
(18,24),-1.88213 # DEPENDENCYPART_ARC
(18,25),-1.77658 # DEPENDENCYPART_ARC
(19,13),-1.98088 # DEPENDENCYPART_ARC
(19,17),-1.34389 # DEPENDENCYPART_ARC
(19,18),-0.166559 # DEPENDENCYPART_ARC
(19,20),0.539171 # DEPENDENCYPART_ARC
(19,21),-0.765604 # DEPENDENCYPART_ARC
(19,22),-1.06204 # DEPENDENCYPART_ARC
(19,24),-1.38905 # DEPENDENCYPART_ARC
(20,13),-1.90927 # DEPENDENCYPART_ARC
(20,15),-1.31735 # DEPENDENCYPART_ARC
(20,18),-0.963282 # DEPENDENCYPART_ARC
(20,19),-0.18602 # DEPENDENCYPART_ARC
(20,21),-0.169466 # DEPENDENCYPART_ARC
(20,22),-1.38017 # DEPENDENCYPART_ARC
(20,24),-1.58348 # DEPENDENCYPART_ARC
(21,20),0.140572 # DEPENDENCYPART_ARC
(24,1),-0.0113845 # DEPENDENCYPART_ARC
(24,3),-1.00245 # DEPENDENCYPART_ARC
(24,5),-0.91309 # DEPENDENCYPART_ARC
(24,6),-1.32006 # DEPENDENCYPART_ARC
(24,7),-1.40762 # DEPENDENCYPART_ARC
(24,8),-1.12641 # DEPENDENCYPART_ARC
(24,11),-1.40954 # DEPENDENCYPART_ARC
(24,13),-1.69594 # DEPENDENCYPART_ARC
(24,14),-2.36478 # DEPENDENCYPART_ARC
(24,15),-0.893008 # DEPENDENCYPART_ARC
(24,16),-1.52142 # DEPENDENCYPART_ARC
(24,17),-1.52583 # DEPENDENCYPART_ARC
(24,18),-1.50496 # DEPENDENCYPART_ARC
(24,19),-1.39153 # DEPENDENCYPART_ARC
(24,20),-1.44178 # DEPENDENCYPART_ARC
(24,21),-0.644477 # DEPENDENCYPART_ARC
(24,22),-0.387241 # DEPENDENCYPART_ARC
(24,23),1.03942 # DEPENDENCYPART_ARC
(24,25),0.728808 # DEPENDENCYPART_ARC
(0,3),(0,5),-0.0738803 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.157871 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.18769 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.104603 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.111834 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.191493 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00644034 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.119017 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0729775 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0163041 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0791103 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.113332 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00969486 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0186904 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.00235712 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0343038 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0404258 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0102426 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0791103 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0488356 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0404258 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.497078 # DEPENDENCYPART_SIBL
(3,1),(3,25),0.041404 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.106089 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.173049 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0191692 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0180642 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0507802 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.000929101 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0120748 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.104323 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0364562 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0452568 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0191692 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0862185 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0364562 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.104108 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.112912 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0125268 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0110916 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00316517 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0379921 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.017067 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0342581 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00557798 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0120655 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.00859127 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0110916 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0470485 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0120655 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.051067 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.0442264 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.007055 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0116446 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0530684 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.049006 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00699193 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0493064 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0432367 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.011075 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.007055 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.102314 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0432367 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0335729 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0219922 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0270194 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0293881 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0307134 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00732646 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0364348 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0358227 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0168254 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0152069 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0359189 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0358227 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0230251 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.0582423 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0196867 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0034111 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.000972978 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.009247 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.00160301 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0053541 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.00830292 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0353478 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.00160301 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.00680209 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.0500618 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0178734 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0278472 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.00348657 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0563272 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.017871 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0111562 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0189331 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.0563272 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.0819004 # DEPENDENCYPART_SIBL
(3,8),(3,25),0.0196069 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.00626703 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0233407 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.000201975 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.00909859 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.00146022 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0395948 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.000201975 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0308066 # DEPENDENCYPART_SIBL
(3,11),(3,25),-0.0226949 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.00704 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0382099 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0172029 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0251008 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0291588 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.0382099 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.025573 # DEPENDENCYPART_SIBL
(3,12),(3,25),-0.0444718 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0299027 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0114014 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0129863 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0990425 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0299027 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0422379 # DEPENDENCYPART_SIBL
(3,13),(3,25),-0.0248598 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0289649 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0187673 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.050138 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.00460503 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.0215196 # DEPENDENCYPART_SIBL
(3,14),(3,25),-0.0235816 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.00980491 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0117456 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.0082536 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.0370884 # DEPENDENCYPART_SIBL
(3,15),(3,25),0.0280846 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0359189 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.0358227 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.0230251 # DEPENDENCYPART_SIBL
(3,16),(3,25),-0.0582423 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.0653138 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.0714061 # DEPENDENCYPART_SIBL
(3,18),(3,25),-0.0745277 # DEPENDENCYPART_SIBL
(3,21),(3,22),0.0215196 # DEPENDENCYPART_SIBL
(3,21),(3,25),-0.0235816 # DEPENDENCYPART_SIBL
(3,22),(3,25),-0.0791678 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0984172 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.015019 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0554859 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0431212 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0487285 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00710407 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0160707 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.146943 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0431212 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0380431 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0167543 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.146943 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.516464 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0785901 # DEPENDENCYPART_SIBL
(5,1),(5,25),-0.0128699 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.058164 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0460629 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0257546 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0408901 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00848118 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00127989 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0866041 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0257546 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0296408 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0585205 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0866041 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0712625 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0445812 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0117966 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0181749 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0497974 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0420394 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0127067 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0246233 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00748161 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0497974 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0413547 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0713565 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.00748161 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0268859 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.0601154 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.0341371 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0266693 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0451057 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0215912 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.000513776 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0550747 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0266693 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0317314 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0737752 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0550747 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0328226 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0397897 # DEPENDENCYPART_SIBL
(5,4),(5,25),-0.00498302 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0481872 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0298082 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0187015 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0543032 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0425231 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0422993 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0229853 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0543032 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0393297 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.0179674 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.0302348 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0381548 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0142083 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0300911 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0293601 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0291364 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0177541 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0300911 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.0294216 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0083038 # DEPENDENCYPART_SIBL
(5,7),(5,25),-0.0195217 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0291255 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0325414 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0674385 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0705774 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0264021 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0325414 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.00350859 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.0844308 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.0271786 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0242505 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.004521 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.00510368 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0133417 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0242505 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.0168087 # DEPENDENCYPART_SIBL
(5,12),(5,24),0.0127161 # DEPENDENCYPART_SIBL
(5,12),(5,25),-0.0162881 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.00982521 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.00943716 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0165792 # DEPENDENCYPART_SIBL
(5,14),(5,21),0.0583365 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.0167512 # DEPENDENCYPART_SIBL
(5,14),(5,24),0.00862882 # DEPENDENCYPART_SIBL
(5,14),(5,25),-0.0222113 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0422993 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0229853 # DEPENDENCYPART_SIBL
(5,16),(5,21),-0.0543032 # DEPENDENCYPART_SIBL
(5,16),(5,22),-0.0393297 # DEPENDENCYPART_SIBL
(5,16),(5,24),-0.0179674 # DEPENDENCYPART_SIBL
(5,16),(5,25),-0.0302348 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.0203637 # DEPENDENCYPART_SIBL
(5,17),(5,21),-0.048699 # DEPENDENCYPART_SIBL
(5,17),(5,22),-0.0359511 # DEPENDENCYPART_SIBL
(5,17),(5,24),0.00746603 # DEPENDENCYPART_SIBL
(5,17),(5,25),-0.0312776 # DEPENDENCYPART_SIBL
(5,18),(5,21),-0.00489095 # DEPENDENCYPART_SIBL
(5,18),(5,22),-0.0228291 # DEPENDENCYPART_SIBL
(5,18),(5,24),0.0112117 # DEPENDENCYPART_SIBL
(5,18),(5,25),-0.0166085 # DEPENDENCYPART_SIBL
(5,21),(5,22),0.0167512 # DEPENDENCYPART_SIBL
(5,21),(5,24),0.00862882 # DEPENDENCYPART_SIBL
(5,21),(5,25),-0.0222113 # DEPENDENCYPART_SIBL
(5,22),(5,24),-0.0364828 # DEPENDENCYPART_SIBL
(5,22),(5,25),-0.0914151 # DEPENDENCYPART_SIBL
(5,24),(5,25),-0.000826675 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0918405 # DEPENDENCYPART_SIBL
