# _root_ Ms. Bogart does better with music than with words when she wants , as she so often does want , to express herself through Gorky 's helpless play .
#goldHeads=2,3,0,3,4,5,4,7,8,12,12,3,18,18,18,18,16,12,18,18,22,12,22,22,28,25,28,24,3,
#predictedHeads=2,3,0,3,3,5,4,7,8,12,12,3,12,18,18,18,18,12,18,19,22,19,22,22,28,25,28,24,3,
(2,5),(2,12),-0.00734329 # DEPENDENCYPART_SIBL
(2,5),(2,29),0.0559372 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0375443 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0259285 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0152723 # DEPENDENCYPART_SIBL
(2,6),(2,29),0.0169908 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0459273 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0219056 # DEPENDENCYPART_SIBL
(2,7),(2,29),0.0236082 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.00734329 # DEPENDENCYPART_SIBL
(2,8),(2,29),0.0559372 # DEPENDENCYPART_SIBL
(2,12),(2,29),-0.00387338 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.140049 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.010431 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.134908 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.040561 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.14232 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.134908 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.03821 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0060718 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0351501 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0762229 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0146857 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0879954 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0148374 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0351501 # DEPENDENCYPART_SIBL
(3,1),(3,29),-0.0640776 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0283033 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.110009 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.018329 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.117432 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.110009 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.015978 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0274312 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0238577 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0513327 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0324754 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.105868 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0483403 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0238577 # DEPENDENCYPART_SIBL
(3,2),(3,29),-0.021416 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0307018 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00210975 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0419888 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0307018 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00175385 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0676036 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00278957 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0315939 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0574696 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0266061 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0699612 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.00278957 # DEPENDENCYPART_SIBL
(3,4),(3,29),0.050577 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0561689 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.107706 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0550101 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0535032 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0359388 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.108047 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.132109 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0207784 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.051773 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0402836 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.108047 # DEPENDENCYPART_SIBL
(3,5),(3,29),-0.0248639 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0797876 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0434817 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00689235 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0592107 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.020169 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00957307 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0202122 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0447728 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0469653 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.020169 # DEPENDENCYPART_SIBL
(3,6),(3,29),0.0664057 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.106912 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0564702 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0458253 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0881177 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.159285 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0132558 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0439981 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0500963 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0881177 # DEPENDENCYPART_SIBL
(3,7),(3,29),-0.0726511 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0535032 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0359388 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.108047 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.132109 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0207784 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.051773 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0402836 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.108047 # DEPENDENCYPART_SIBL
(3,8),(3,29),-0.0248639 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0327477 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0105915 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0110204 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.00139972 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0259603 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0205023 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0105915 # DEPENDENCYPART_SIBL
(3,9),(3,29),0.044599 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0473653 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0494401 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0213501 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0443787 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0107679 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0473653 # DEPENDENCYPART_SIBL
(3,12),(3,29),0.0459334 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0674398 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.201479 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0224306 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0346611 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0501138 # DEPENDENCYPART_SIBL
(3,13),(3,29),-0.0190847 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.00937536 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0438731 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0567574 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.0731663 # DEPENDENCYPART_SIBL
(3,14),(3,29),0.00863889 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.00839259 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0836726 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.0728426 # DEPENDENCYPART_SIBL
(3,16),(3,29),0.105021 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0827709 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.00314749 # DEPENDENCYPART_SIBL
(3,17),(3,29),0.0591419 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.0481463 # DEPENDENCYPART_SIBL
(3,18),(3,29),0.0645028 # DEPENDENCYPART_SIBL
(3,20),(3,29),-0.0190847 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0591862 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.064474 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.15125 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0591862 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0220317 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0750277 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0475687 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00200087 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00862618 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.048823 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.043674 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0659027 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.020837 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0657365 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0196467 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0736487 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0542572 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0948877 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0453984 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0632508 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0276414 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0465447 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0146376 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0287771 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0466622 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0195673 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00942529 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00372251 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0811287 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0150409 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0145603 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0587401 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.064563 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0321959 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0434773 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.064563 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0321683 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00844732 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0139897 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0653989 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0006976 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0207981 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0410361 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0528403 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0144919 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0257733 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0528403 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0144644 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00169712 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00736399 # DEPENDENCYPART_SIBL
