# _root_ In 1987 , it sold a 2.5 % stake in the Veslefrikk field to the Swedish national oil company , resulting in a $ 7 million after-tax gain .
#goldHeads=5,1,5,5,0,9,8,9,5,9,13,13,10,5,19,19,19,19,14,5,5,21,28,28,24,24,28,22,5,
#predictedHeads=5,1,5,5,0,9,8,9,5,9,13,13,10,5,19,19,19,19,14,19,19,21,28,28,24,24,28,22,5,
(9,28),-1.90315 # DEPENDENCYPART_ARC
(9,29),-1.95681 # DEPENDENCYPART_ARC
(10,1),-2.03494 # DEPENDENCYPART_ARC
(10,8),-1.66466 # DEPENDENCYPART_ARC
(10,9),-0.686721 # DEPENDENCYPART_ARC
(10,11),-0.0140231 # DEPENDENCYPART_ARC
(10,12),-0.21858 # DEPENDENCYPART_ARC
(10,13),-0.820596 # DEPENDENCYPART_ARC
(10,14),-1.54088 # DEPENDENCYPART_ARC
(10,16),-1.11751 # DEPENDENCYPART_ARC
(10,17),-1.21147 # DEPENDENCYPART_ARC
(10,18),-2.22349 # DEPENDENCYPART_ARC
(10,19),-2.04508 # DEPENDENCYPART_ARC
(10,20),-1.4261 # DEPENDENCYPART_ARC
(12,11),-0.592697 # DEPENDENCYPART_ARC
(12,13),-0.759242 # DEPENDENCYPART_ARC
(12,19),-2.07792 # DEPENDENCYPART_ARC
(12,21),-2.18057 # DEPENDENCYPART_ARC
(13,3),-1.78023 # DEPENDENCYPART_ARC
(13,6),-1.6812 # DEPENDENCYPART_ARC
(13,7),-1.30203 # DEPENDENCYPART_ARC
(13,8),-0.706021 # DEPENDENCYPART_ARC
(13,9),-1.08879 # DEPENDENCYPART_ARC
(13,10),-1.05684 # DEPENDENCYPART_ARC
(13,11),0.540507 # DEPENDENCYPART_ARC
(13,12),1.67074 # DEPENDENCYPART_ARC
(13,14),-0.525953 # DEPENDENCYPART_ARC
(13,15),-1.64601 # DEPENDENCYPART_ARC
(13,16),-1.54785 # DEPENDENCYPART_ARC
(13,17),-1.69263 # DEPENDENCYPART_ARC
(13,18),-1.65027 # DEPENDENCYPART_ARC
(13,19),-1.67875 # DEPENDENCYPART_ARC
(13,20),-2.03331 # DEPENDENCYPART_ARC
(13,21),-2.35528 # DEPENDENCYPART_ARC
(13,22),-2.78067 # DEPENDENCYPART_ARC
(13,28),-2.14123 # DEPENDENCYPART_ARC
(13,29),-1.96726 # DEPENDENCYPART_ARC
(14,10),-1.14373 # DEPENDENCYPART_ARC
(14,13),-0.343448 # DEPENDENCYPART_ARC
(14,15),0.0427285 # DEPENDENCYPART_ARC
(14,16),-0.69084 # DEPENDENCYPART_ARC
(14,18),-0.848004 # DEPENDENCYPART_ARC
(14,19),-0.911025 # DEPENDENCYPART_ARC
(14,20),-0.945769 # DEPENDENCYPART_ARC
(14,22),-1.98354 # DEPENDENCYPART_ARC
(15,16),-0.515292 # DEPENDENCYPART_ARC
(15,17),-1.37594 # DEPENDENCYPART_ARC
(15,21),-1.88332 # DEPENDENCYPART_ARC
(16,9),-1.58733 # DEPENDENCYPART_ARC
(16,12),-1.43065 # DEPENDENCYPART_ARC
(16,13),-1.36998 # DEPENDENCYPART_ARC
(16,14),-1.40103 # DEPENDENCYPART_ARC
(16,15),-0.0789267 # DEPENDENCYPART_ARC
(16,17),-0.350094 # DEPENDENCYPART_ARC
(16,18),-1.25313 # DEPENDENCYPART_ARC
(16,20),-1.36442 # DEPENDENCYPART_ARC
(16,21),-1.92742 # DEPENDENCYPART_ARC
(17,9),-1.34122 # DEPENDENCYPART_ARC
(17,10),-1.44813 # DEPENDENCYPART_ARC
(17,13),-1.21518 # DEPENDENCYPART_ARC
(17,14),-1.41913 # DEPENDENCYPART_ARC
(17,15),-1.03857 # DEPENDENCYPART_ARC
(17,16),0.093834 # DEPENDENCYPART_ARC
(17,18),-0.500248 # DEPENDENCYPART_ARC
(18,11),-2.95948 # DEPENDENCYPART_ARC
(18,15),-1.56288 # DEPENDENCYPART_ARC
(18,16),-0.772249 # DEPENDENCYPART_ARC
(18,17),0.0434795 # DEPENDENCYPART_ARC
(18,19),-0.798027 # DEPENDENCYPART_ARC
(18,21),-1.92069 # DEPENDENCYPART_ARC
(19,6),-1.79902 # DEPENDENCYPART_ARC
(19,8),-1.34418 # DEPENDENCYPART_ARC
(19,9),-1.91079 # DEPENDENCYPART_ARC
(19,10),-1.07746 # DEPENDENCYPART_ARC
(19,11),-0.869478 # DEPENDENCYPART_ARC
(19,12),-0.623095 # DEPENDENCYPART_ARC
(19,13),-1.35784 # DEPENDENCYPART_ARC
(19,15),0.0296723 # DEPENDENCYPART_ARC
(19,16),-0.0407184 # DEPENDENCYPART_ARC
(19,17),0.682842 # DEPENDENCYPART_ARC
(19,18),2.2081 # DEPENDENCYPART_ARC
(19,20),0.0248575 # DEPENDENCYPART_ARC
(19,21),-1.80533 # DEPENDENCYPART_ARC
(19,22),-2.34988 # DEPENDENCYPART_ARC
(19,24),-2.30555 # DEPENDENCYPART_ARC
(19,28),-1.97661 # DEPENDENCYPART_ARC
(19,29),-2.13811 # DEPENDENCYPART_ARC
(20,21),-0.569893 # DEPENDENCYPART_ARC
(21,5),-2.57768 # DEPENDENCYPART_ARC
(21,13),-2.67433 # DEPENDENCYPART_ARC
(21,19),-2.14515 # DEPENDENCYPART_ARC
(21,20),-0.326997 # DEPENDENCYPART_ARC
(21,22),0.656985 # DEPENDENCYPART_ARC
(21,23),-1.10027 # DEPENDENCYPART_ARC
(21,24),-1.13902 # DEPENDENCYPART_ARC
(21,25),-1.59223 # DEPENDENCYPART_ARC
(21,26),-1.70541 # DEPENDENCYPART_ARC
(21,27),-1.41475 # DEPENDENCYPART_ARC
(21,28),-1.16364 # DEPENDENCYPART_ARC
(21,29),-0.186255 # DEPENDENCYPART_ARC
(22,14),-2.34137 # DEPENDENCYPART_ARC
(22,20),-1.49592 # DEPENDENCYPART_ARC
(22,23),-0.042139 # DEPENDENCYPART_ARC
(22,24),-1.05286 # DEPENDENCYPART_ARC
(22,25),-1.42712 # DEPENDENCYPART_ARC
(22,26),-1.48675 # DEPENDENCYPART_ARC
(22,27),-1.29385 # DEPENDENCYPART_ARC
(22,28),-1.23635 # DEPENDENCYPART_ARC
(22,29),-1.25829 # DEPENDENCYPART_ARC
(23,25),-1.12486 # DEPENDENCYPART_ARC
(23,29),-1.05422 # DEPENDENCYPART_ARC
(24,22),-0.764074 # DEPENDENCYPART_ARC
(24,23),0.308545 # DEPENDENCYPART_ARC
(24,25),1.05313 # DEPENDENCYPART_ARC
(24,26),0.09922 # DEPENDENCYPART_ARC
(24,27),-0.544558 # DEPENDENCYPART_ARC
(24,28),-0.9323 # DEPENDENCYPART_ARC
(24,29),-0.940041 # DEPENDENCYPART_ARC
(25,22),-1.61427 # DEPENDENCYPART_ARC
(25,23),-1.32853 # DEPENDENCYPART_ARC
(25,24),-0.649589 # DEPENDENCYPART_ARC
(25,26),-0.640051 # DEPENDENCYPART_ARC
(25,27),-0.94424 # DEPENDENCYPART_ARC
(25,28),-1.32131 # DEPENDENCYPART_ARC
(25,29),-1.30383 # DEPENDENCYPART_ARC
(26,23),-1.20358 # DEPENDENCYPART_ARC
(26,24),-1.19013 # DEPENDENCYPART_ARC
(26,25),0.481625 # DEPENDENCYPART_ARC
(26,27),-0.137215 # DEPENDENCYPART_ARC
(26,28),-1.02922 # DEPENDENCYPART_ARC
(27,14),-1.98044 # DEPENDENCYPART_ARC
(27,23),-1.36481 # DEPENDENCYPART_ARC
(27,24),-0.963267 # DEPENDENCYPART_ARC
(27,25),-1.17529 # DEPENDENCYPART_ARC
(27,26),-0.161163 # DEPENDENCYPART_ARC
(28,15),-2.63045 # DEPENDENCYPART_ARC
(28,16),-2.09685 # DEPENDENCYPART_ARC
(28,17),-2.05111 # DEPENDENCYPART_ARC
(28,22),-1.31581 # DEPENDENCYPART_ARC
(28,23),-0.370172 # DEPENDENCYPART_ARC
(28,24),-0.955743 # DEPENDENCYPART_ARC
(28,25),-0.948822 # DEPENDENCYPART_ARC
(28,26),-0.188412 # DEPENDENCYPART_ARC
(28,27),1.46261 # DEPENDENCYPART_ARC
(28,29),-0.423433 # DEPENDENCYPART_ARC
(29,28),-0.489537 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0297368 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.111521 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.119305 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0947978 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.10087 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.231403 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0122074 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0418758 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0237526 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.00897379 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0349378 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.00897379 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00026401 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00528034 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.048867 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.00135653 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.048867 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0131743 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0493096 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0290611 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.0493096 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.00792111 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0390755 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.00792111 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0591414 # DEPENDENCYPART_SIBL
(1,10),(1,22),0.0870637 # DEPENDENCYPART_SIBL
(1,14),(1,22),0.0266642 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0314273 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.000608754 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00129157 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0598318 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0964866 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0416004 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0501694 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0107404 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0734496 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0706836 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0744844 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0260276 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0140188 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0233025 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0642374 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0594804 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0139023 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.00833595 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0106674 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.031726 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0324612 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.00136664 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0165112 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0519367 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0231489 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.0642374 # DEPENDENCYPART_SIBL
(5,1),(5,28),0.0536763 # DEPENDENCYPART_SIBL
(5,1),(5,29),0.031169 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0684383 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0440952 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0376088 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0804616 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.076194 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00665959 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.112539 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0210855 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00177235 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.00858159 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.037114 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0431396 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0436579 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.012716 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0290975 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.00989043 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0690812 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.112539 # DEPENDENCYPART_SIBL
(5,2),(5,28),0.00892238 # DEPENDENCYPART_SIBL
(5,2),(5,29),-0.00813765 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0352066 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.128852 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0228835 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0423711 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0247492 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0335826 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.107231 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0270224 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00256789 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0336076 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0210578 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0228972 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.00830216 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0145969 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.194247 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0100199 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0335826 # DEPENDENCYPART_SIBL
(5,3),(5,28),0.0415424 # DEPENDENCYPART_SIBL
(5,3),(5,29),0.0781171 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.107596 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0675482 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0276968 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0158082 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0148577 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0920379 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0238537 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0133337 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0576191 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0769826 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.077707 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0214036 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0254161 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0391881 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0470601 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0148577 # DEPENDENCYPART_SIBL
(5,4),(5,28),0.00314276 # DEPENDENCYPART_SIBL
(5,4),(5,29),0.0068594 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0221517 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.058031 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0365633 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0919063 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0440375 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0436996 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0437899 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.015891 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0534631 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0534718 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.046436 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0547929 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0262006 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0260417 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0919063 # DEPENDENCYPART_SIBL
(5,6),(5,28),-0.0429455 # DEPENDENCYPART_SIBL
(5,6),(5,29),-0.0460763 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0508135 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0484351 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0101365 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0205726 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0556557 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0557469 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0444085 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0404608 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0404676 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0583869 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0778693 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0193363 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0104065 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.0101365 # DEPENDENCYPART_SIBL
(5,7),(5,28),-0.0537863 # DEPENDENCYPART_SIBL
(5,7),(5,29),-0.0203139 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0368593 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0355541 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.027704 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0492334 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0495732 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0712765 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.029243 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0300928 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0543352 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0664384 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.0850609 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0309469 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.0355541 # DEPENDENCYPART_SIBL
(5,8),(5,28),-0.0544233 # DEPENDENCYPART_SIBL
(5,8),(5,29),0.00888029 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0474782 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0136161 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.000563057 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.000902902 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.147961 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0145587 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0137089 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.00566232 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0167257 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0850861 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0556468 # DEPENDENCYPART_SIBL
(5,9),(5,22),0.0474782 # DEPENDENCYPART_SIBL
(5,9),(5,28),-0.00405696 # DEPENDENCYPART_SIBL
(5,9),(5,29),0.0712873 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0755837 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0405634 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0429759 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0928193 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0650414 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0654756 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0442053 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0688429 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.00509585 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0381871 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0495388 # DEPENDENCYPART_SIBL
(5,10),(5,28),-0.038983 # DEPENDENCYPART_SIBL
(5,10),(5,29),-0.0358725 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0409746 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0410649 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.00576484 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.036053 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0360654 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0437073 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0519895 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.0135318 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.0121581 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.0651491 # DEPENDENCYPART_SIBL
(5,11),(5,28),-0.0400249 # DEPENDENCYPART_SIBL
(5,11),(5,29),-0.0347926 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0319423 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0566409 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0151199 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0159697 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0367018 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0477566 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.0614648 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.0233738 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.0482495 # DEPENDENCYPART_SIBL
(5,12),(5,28),-0.0350964 # DEPENDENCYPART_SIBL
(5,12),(5,29),0.0358467 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0614863 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0102238 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0110736 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0267503 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.0378051 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.0759609 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0261946 # DEPENDENCYPART_SIBL
(5,13),(5,22),0.0768595 # DEPENDENCYPART_SIBL
(5,13),(5,28),-0.0251449 # DEPENDENCYPART_SIBL
(5,13),(5,29),0.0351733 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0306079 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.030617 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0346106 # DEPENDENCYPART_SIBL
