# _root_ The sky filled with 12.8-pound shells , several of which fell back to Earth , destroying homes and buildings .
#goldHeads=2,3,0,3,6,4,6,9,11,9,6,11,11,13,11,11,18,16,18,3,
#predictedHeads=2,3,0,3,6,4,6,6,8,9,10,11,11,13,11,11,18,16,18,3,
(19,16),-1.65277 # DEPENDENCYPART_ARC
(19,17),-1.02553 # DEPENDENCYPART_ARC
(19,20),-0.538411 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.102501 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.10509 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.101479 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0912498 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.162865 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.164492 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.131702 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.164401 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.131736 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.131702 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.000941078 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.137021 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.11383 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0849826 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00961564 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00871541 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0868925 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.267869 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.114562 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0025749 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00871541 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.11647 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0107173 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00241638 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0170453 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.018635 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00254503 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0145349 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00114039 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00979035 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.018635 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.00651104 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0184722 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0109007 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0365854 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0170901 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0380045 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.000103916 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.00499485 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0365854 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0559372 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0106049 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0165135 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0171052 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00828197 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00574951 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0137011 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0165135 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.00131145 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0155455 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00645207 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.00556953 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.011891 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00272554 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0155455 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0201962 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0430512 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0346147 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0291948 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0381842 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.036982 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.00261008 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.00780258 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.00523715 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0133713 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0148494 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.00166628 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0367991 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0189675 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0225044 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0112069 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0103244 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0199781 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.00371002 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.00464739 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0615623 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.00261008 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0353563 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0986576 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0324678 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0613986 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.023242 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0342711 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.254319 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0771383 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0739677 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0356177 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.023242 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0700736 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0619374 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.11114 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.087836 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0137707 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0269714 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.000412695 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0200842 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.015165 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.00197835 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0121503 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.00573188 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.000412695 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00702172 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.00224801 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.00246333 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0424027 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0241962 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0344869 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0446712 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0830683 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0259498 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0320478 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0150908 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0344869 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0178051 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.052861 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0363118 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0206324 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0170902 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0409585 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.00251572 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00790388 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00469903 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0271162 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0170902 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.00321937 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0214466 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.022012 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00309502 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0339163 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0145398 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0252129 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0136495 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00616295 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.00309502 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0148809 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0396785 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0248635 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00498961 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0459966 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0189905 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.031416 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.000814419 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0244588 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0327363 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.00796609 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0100778 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00232153 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00811547 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.00505193 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0270039 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.015964 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.00343097 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0215556 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0221667 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0762127 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0767698 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0568944 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0416947 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0667312 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0654443 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0652457 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0336031 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0427437 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.00362926 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0230009 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0596148 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.00116865 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0178099 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0192724 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0181308 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0325484 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0816337 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.00122592 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0169462 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0485542 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0212336 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0327363 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.00796609 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.0100778 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0591327 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.00522552 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.00722923 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0194164 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00341818 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0821087 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0267667 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0118465 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0349948 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.037695 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0025975 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0186203 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0380029 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00540085 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0266854 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0536462 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00678778 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0307627 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.013533 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0648301 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.033563 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0410893 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00166204 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0501578 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0572649 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0335578 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.146084 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00582674 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0841019 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0057482 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0084883 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0172676 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0519405 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0501659 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0102681 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0346538 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.010145 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0682151 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.015259 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0436458 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0179536 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0156999 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.014884 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.000532561 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.064145 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0149694 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0627753 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0384801 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0371252 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0220963 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0709206 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0324779 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00822541 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00106753 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0887406 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0202018 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00125749 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0260334 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.000393514 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00420988 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.023991 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0177491 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00117406 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0456639 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.115909 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00443035 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0550371 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00872017 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0868878 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.263968 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.114575 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0840798 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00257014 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.00961088 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.00872017 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.132543 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.00582033 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.116465 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0381031 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00796552 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0190286 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0604053 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0128782 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0352092 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0306764 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0392831 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0670336 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0251895 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0604053 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0115779 # DEPENDENCYPART_SIBL
