# _root_ Bear Stearns is the holding company for Bear , Stearns & Co. , the investment banking and brokerage firm .
#goldHeads=2,3,0,6,6,3,6,7,8,8,10,11,8,16,16,8,16,19,17,3,
#predictedHeads=2,3,0,6,6,3,6,7,8,8,10,11,8,16,16,8,16,19,17,3,
(6,7),0.355229 # DEPENDENCYPART_ARC
(6,8),-1.3862 # DEPENDENCYPART_ARC
(6,9),-1.27896 # DEPENDENCYPART_ARC
(6,10),-2.14275 # DEPENDENCYPART_ARC
(6,11),-1.79102 # DEPENDENCYPART_ARC
(6,12),-2.35446 # DEPENDENCYPART_ARC
(6,13),-1.85185 # DEPENDENCYPART_ARC
(6,16),-2.69577 # DEPENDENCYPART_ARC
(6,17),-2.24202 # DEPENDENCYPART_ARC
(6,19),-3.70727 # DEPENDENCYPART_ARC
(6,20),-2.74991 # DEPENDENCYPART_ARC
(7,6),-1.54851 # DEPENDENCYPART_ARC
(7,8),0.904854 # DEPENDENCYPART_ARC
(7,9),-1.55621 # DEPENDENCYPART_ARC
(7,10),-1.67304 # DEPENDENCYPART_ARC
(7,11),-1.78093 # DEPENDENCYPART_ARC
(7,12),-2.19091 # DEPENDENCYPART_ARC
(7,16),-1.90962 # DEPENDENCYPART_ARC
(7,17),-1.88416 # DEPENDENCYPART_ARC
(7,20),-3.58941 # DEPENDENCYPART_ARC
(8,6),-2.15362 # DEPENDENCYPART_ARC
(8,7),-1.63764 # DEPENDENCYPART_ARC
(8,9),0.415574 # DEPENDENCYPART_ARC
(8,10),-0.51972 # DEPENDENCYPART_ARC
(8,11),-0.876867 # DEPENDENCYPART_ARC
(8,12),-1.25011 # DEPENDENCYPART_ARC
(8,13),-0.775954 # DEPENDENCYPART_ARC
(8,15),-2.67146 # DEPENDENCYPART_ARC
(8,16),-2.59055 # DEPENDENCYPART_ARC
(8,17),-2.92739 # DEPENDENCYPART_ARC
(8,18),-3.38998 # DEPENDENCYPART_ARC
(8,19),-3.85693 # DEPENDENCYPART_ARC
(8,20),-2.67161 # DEPENDENCYPART_ARC
(9,10),-2.16886 # DEPENDENCYPART_ARC
(10,1),-3.47567 # DEPENDENCYPART_ARC
(10,2),-3.79178 # DEPENDENCYPART_ARC
(10,6),-1.93618 # DEPENDENCYPART_ARC
(10,7),-1.79269 # DEPENDENCYPART_ARC
(10,8),-0.564905 # DEPENDENCYPART_ARC
(10,9),-0.706129 # DEPENDENCYPART_ARC
(10,11),2.10022 # DEPENDENCYPART_ARC
(10,12),0.115837 # DEPENDENCYPART_ARC
(10,13),-0.566407 # DEPENDENCYPART_ARC
(10,15),-1.96235 # DEPENDENCYPART_ARC
(10,16),-2.26435 # DEPENDENCYPART_ARC
(10,17),-1.82339 # DEPENDENCYPART_ARC
(10,19),-3.20777 # DEPENDENCYPART_ARC
(10,20),-2.51795 # DEPENDENCYPART_ARC
(11,2),-2.20778 # DEPENDENCYPART_ARC
(11,9),-2.05195 # DEPENDENCYPART_ARC
(11,10),-1.09115 # DEPENDENCYPART_ARC
(11,12),2.0136 # DEPENDENCYPART_ARC
(11,13),-0.0691311 # DEPENDENCYPART_ARC
(11,14),-1.75822 # DEPENDENCYPART_ARC
(11,15),-0.780064 # DEPENDENCYPART_ARC
(11,16),-0.863554 # DEPENDENCYPART_ARC
(11,17),-0.561521 # DEPENDENCYPART_ARC
(11,18),-1.52174 # DEPENDENCYPART_ARC
(11,19),-1.41995 # DEPENDENCYPART_ARC
(11,20),-1.46026 # DEPENDENCYPART_ARC
(12,9),-3.08393 # DEPENDENCYPART_ARC
(12,13),-1.24719 # DEPENDENCYPART_ARC
(12,15),-2.36036 # DEPENDENCYPART_ARC
(12,16),-2.52229 # DEPENDENCYPART_ARC
(12,17),-2.52742 # DEPENDENCYPART_ARC
(12,19),-3.76942 # DEPENDENCYPART_ARC
(15,14),-0.737109 # DEPENDENCYPART_ARC
(15,16),-0.998985 # DEPENDENCYPART_ARC
(15,17),-0.783077 # DEPENDENCYPART_ARC
(15,19),-2.67134 # DEPENDENCYPART_ARC
(16,10),-2.3078 # DEPENDENCYPART_ARC
(16,12),-1.77728 # DEPENDENCYPART_ARC
(16,13),-1.71474 # DEPENDENCYPART_ARC
(16,14),0.6712 # DEPENDENCYPART_ARC
(16,15),1.88482 # DEPENDENCYPART_ARC
(16,17),1.21666 # DEPENDENCYPART_ARC
(16,18),-1.1143 # DEPENDENCYPART_ARC
(16,19),-1.60944 # DEPENDENCYPART_ARC
(16,20),-1.79695 # DEPENDENCYPART_ARC
(17,18),0.70749 # DEPENDENCYPART_ARC
(17,19),0.210133 # DEPENDENCYPART_ARC
(17,20),-1.93902 # DEPENDENCYPART_ARC
(18,19),-1.39961 # DEPENDENCYPART_ARC
(19,10),-2.62124 # DEPENDENCYPART_ARC
(19,12),-2.74322 # DEPENDENCYPART_ARC
(19,14),-1.26826 # DEPENDENCYPART_ARC
(19,15),-0.176549 # DEPENDENCYPART_ARC
(19,16),-0.981876 # DEPENDENCYPART_ARC
(19,18),1.28933 # DEPENDENCYPART_ARC
(19,20),-1.92247 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.693343 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0184487 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00326351 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0131401 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0530951 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.000617718 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0562525 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.184867 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.000617718 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0646248 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.00462516 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0275238 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00483027 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.396955 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.00171489 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0219461 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.396955 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0384238 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0429741 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0522974 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.181831 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0546211 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.106375 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.181831 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.294715 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0898328 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.150551 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0887257 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0384644 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.150551 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.171573 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.021944 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0690908 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.202228 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.021944 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0701189 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.622981 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.355562 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0706757 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.612771 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.184867 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.000617718 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0646248 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0405527 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.0237376 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.612771 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0352055 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.013778 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.047156 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0634858 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0293558 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.133707 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0293558 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.000506297 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0280105 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00330335 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.351114 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0207266 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.351114 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00284136 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0274358 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.186951 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0756991 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.186951 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.114393 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.148682 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.00899618 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.148682 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0707384 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.215256 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0707384 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.382727 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0438069 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0542702 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.516263 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.120945 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0248916 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0487945 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.109535 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00836118 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.038315 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.00303861 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.10435 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.038315 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0322979 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0170791 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0106424 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0195189 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.120874 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0268391 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0443955 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.106197 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00339884 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0538849 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00872141 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0678769 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0538849 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0369269 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.00403649 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0152714 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0178889 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.156282 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.249507 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.149952 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.197173 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.114324 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.197173 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.156937 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.114324 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.201726 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.116155 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.207634 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.112994 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.473648 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.370557 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.30767 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0816655 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.307548 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0979926 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0816655 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.421534 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0586741 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.428294 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.00564197 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.050493 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.191862 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.000842368 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.191068 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0767458 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.000842368 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.237924 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0422554 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.248487 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.00604871 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.193626 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0187084 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.192648 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.163453 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0187084 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.00844897 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0517 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0326277 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.024895 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0471914 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.226575 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0931558 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0471914 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.150791 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0353005 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.140221 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0107862 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.127338 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.485637 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0283337 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.231144 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.692413 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.19137 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0047359 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0888413 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0314172 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.153308 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0475804 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.142739 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.00179788 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0132478 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0921092 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.743899 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0886668 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.211577 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.231144 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.692413 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.19137 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.0047359 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.00132607 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.278271 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.00355008 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.0509416 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.00647169 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.0140387 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0464617 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0815851 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00714014 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.184185 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.12006 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0103999 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.124836 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0154038 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.119437 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0517072 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0154038 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.104623 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.12477 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0113288 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.142136 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00570919 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0776079 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0137372 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.119588 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0776079 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.138395 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00535145 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0119531 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.118302 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0361374 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.117575 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0430454 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0361374 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0241853 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0182547 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.137959 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0536761 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.137048 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.133447 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0536761 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.00071449 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0423477 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0290836 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.195359 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0803015 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0290836 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0146686 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.0343458 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.187332 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.403909 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.127903 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.413073 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.150332 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0759836 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0448623 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.00238416 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0433291 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0585273 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.668393 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.126209 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.413073 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.150332 # DEPENDENCYPART_SIBL
(5,17),(5,20),0.000974492 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.146357 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.69907 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.379525 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.139205 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00907987 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0116774 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0053492 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.111237 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0404977 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0116774 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0999704 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0742872 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.077365 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0243006 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.698881 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.37972 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.144376 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0093216 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0331473 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0130523 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0805705 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0273052 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0331473 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.110404 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0584632 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0877991 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0369797 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.880014 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.337202 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0780489 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0152066 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0666448 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.169436 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.13064 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0152066 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.14524 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.168847 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.151938 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.233896 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.152438 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0853045 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0101455 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0870979 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0574943 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0528572 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0101455 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0319333 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0365003 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0202755 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0582116 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0320524 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0394481 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0325404 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0229437 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0159568 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0394481 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.120661 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.227091 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0809138 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.0815794 # DEPENDENCYPART_SIBL
