# _root_ Departing from its newspaper ads featuring prim sketches of a suit or a coat , Brooks Brothers is marketing an updated image in a new campaign that carries the slogan , `` The Surprise of Brooks Brothers . ''
#goldHeads=18,1,5,5,2,5,8,6,8,11,12,9,14,12,18,17,18,0,18,22,22,19,19,26,26,23,28,26,30,28,30,30,34,30,34,37,35,18,18,
#predictedHeads=18,1,5,5,2,5,8,6,8,11,12,9,14,12,18,17,18,0,18,22,22,19,19,26,26,23,28,26,30,28,28,28,34,28,34,37,35,18,18,
(2,12),-1.09314 # DEPENDENCYPART_ARC
(4,1),-1.95145 # DEPENDENCYPART_ARC
(4,2),-1.67193 # DEPENDENCYPART_ARC
(4,3),-0.21348 # DEPENDENCYPART_ARC
(4,5),-0.576631 # DEPENDENCYPART_ARC
(4,6),-1.00656 # DEPENDENCYPART_ARC
(4,8),-1.84572 # DEPENDENCYPART_ARC
(4,9),-1.66518 # DEPENDENCYPART_ARC
(5,1),-1.07168 # DEPENDENCYPART_ARC
(5,2),-1.07175 # DEPENDENCYPART_ARC
(5,3),-0.0416522 # DEPENDENCYPART_ARC
(5,4),1.52214 # DEPENDENCYPART_ARC
(5,6),0.0244437 # DEPENDENCYPART_ARC
(5,7),-1.00528 # DEPENDENCYPART_ARC
(5,8),-1.02795 # DEPENDENCYPART_ARC
(5,9),-1.13032 # DEPENDENCYPART_ARC
(5,11),-1.45501 # DEPENDENCYPART_ARC
(5,12),-0.669421 # DEPENDENCYPART_ARC
(5,14),-1.41073 # DEPENDENCYPART_ARC
(5,15),-1.26216 # DEPENDENCYPART_ARC
(5,18),-2.11205 # DEPENDENCYPART_ARC
(5,31),-1.35465 # DEPENDENCYPART_ARC
(6,2),-1.36941 # DEPENDENCYPART_ARC
(6,4),-1.37367 # DEPENDENCYPART_ARC
(6,5),-0.332434 # DEPENDENCYPART_ARC
(6,7),-0.0363254 # DEPENDENCYPART_ARC
(6,8),-0.0440862 # DEPENDENCYPART_ARC
(6,9),-0.996672 # DEPENDENCYPART_ARC
(6,10),-1.44353 # DEPENDENCYPART_ARC
(6,11),-0.931374 # DEPENDENCYPART_ARC
(6,12),-1.09937 # DEPENDENCYPART_ARC
(6,14),-1.54017 # DEPENDENCYPART_ARC
(6,15),-1.51888 # DEPENDENCYPART_ARC
(6,18),-2.07425 # DEPENDENCYPART_ARC
(6,19),-2.26937 # DEPENDENCYPART_ARC
(6,21),-2.56255 # DEPENDENCYPART_ARC
(6,23),-2.63975 # DEPENDENCYPART_ARC
(6,38),-1.28581 # DEPENDENCYPART_ARC
(6,39),-0.292319 # DEPENDENCYPART_ARC
(7,2),-1.2186 # DEPENDENCYPART_ARC
(7,4),-1.03804 # DEPENDENCYPART_ARC
(7,5),-1.0432 # DEPENDENCYPART_ARC
(7,8),-0.395574 # DEPENDENCYPART_ARC
(7,9),-1.06886 # DEPENDENCYPART_ARC
(7,11),-1.57834 # DEPENDENCYPART_ARC
(8,1),-1.4183 # DEPENDENCYPART_ARC
(8,2),-1.66341 # DEPENDENCYPART_ARC
(8,3),-1.21449 # DEPENDENCYPART_ARC
(8,4),-0.923102 # DEPENDENCYPART_ARC
(8,5),-1.17381 # DEPENDENCYPART_ARC
(8,6),-0.642669 # DEPENDENCYPART_ARC
(8,7),1.52389 # DEPENDENCYPART_ARC
(8,9),0.672899 # DEPENDENCYPART_ARC
(8,10),-1.13048 # DEPENDENCYPART_ARC
(8,11),-1.0985 # DEPENDENCYPART_ARC
(8,12),-0.746847 # DEPENDENCYPART_ARC
(8,13),-1.2654 # DEPENDENCYPART_ARC
(8,14),-1.23005 # DEPENDENCYPART_ARC
(8,15),-1.10869 # DEPENDENCYPART_ARC
(8,16),-1.55947 # DEPENDENCYPART_ARC
(8,18),-1.66684 # DEPENDENCYPART_ARC
(8,19),-2.05946 # DEPENDENCYPART_ARC
(8,20),-1.60244 # DEPENDENCYPART_ARC
(8,21),-1.99071 # DEPENDENCYPART_ARC
(8,23),-1.803 # DEPENDENCYPART_ARC
(8,28),-1.73261 # DEPENDENCYPART_ARC
(8,31),-1.4101 # DEPENDENCYPART_ARC
(8,38),-2.42673 # DEPENDENCYPART_ARC
(9,6),-1.42595 # DEPENDENCYPART_ARC
(9,7),-1.41261 # DEPENDENCYPART_ARC
(9,10),-0.0888599 # DEPENDENCYPART_ARC
(9,11),-0.0282842 # DEPENDENCYPART_ARC
(9,12),-1.068 # DEPENDENCYPART_ARC
(9,14),-1.17715 # DEPENDENCYPART_ARC
(10,11),-0.313968 # DEPENDENCYPART_ARC
(11,1),-1.36207 # DEPENDENCYPART_ARC
(11,3),-1.72858 # DEPENDENCYPART_ARC
(11,7),-1.29962 # DEPENDENCYPART_ARC
(11,8),-1.28997 # DEPENDENCYPART_ARC
(11,9),-0.687609 # DEPENDENCYPART_ARC
(11,10),1.28265 # DEPENDENCYPART_ARC
(11,12),-0.308483 # DEPENDENCYPART_ARC
(11,13),-1.29146 # DEPENDENCYPART_ARC
(11,14),-1.33601 # DEPENDENCYPART_ARC
(11,18),-1.87496 # DEPENDENCYPART_ARC
(12,1),-1.65652 # DEPENDENCYPART_ARC
(12,2),-0.98763 # DEPENDENCYPART_ARC
(12,3),-1.5604 # DEPENDENCYPART_ARC
(12,4),-1.45307 # DEPENDENCYPART_ARC
(12,5),-1.35627 # DEPENDENCYPART_ARC
(12,6),-0.842317 # DEPENDENCYPART_ARC
(12,7),-1.26424 # DEPENDENCYPART_ARC
(12,8),-1.01606 # DEPENDENCYPART_ARC
(12,9),-0.994595 # DEPENDENCYPART_ARC
(12,10),-0.589032 # DEPENDENCYPART_ARC
(12,11),0.495924 # DEPENDENCYPART_ARC
(12,13),0.55539 # DEPENDENCYPART_ARC
(12,14),0.490062 # DEPENDENCYPART_ARC
(12,15),-0.6753 # DEPENDENCYPART_ARC
(12,16),-1.14615 # DEPENDENCYPART_ARC
(12,18),-1.78828 # DEPENDENCYPART_ARC
(12,19),-2.12952 # DEPENDENCYPART_ARC
(12,21),-2.23425 # DEPENDENCYPART_ARC
(12,22),-1.93458 # DEPENDENCYPART_ARC
(12,23),-1.46783 # DEPENDENCYPART_ARC
(12,26),-2.23776 # DEPENDENCYPART_ARC
(12,28),-2.50949 # DEPENDENCYPART_ARC
(12,30),-2.6603 # DEPENDENCYPART_ARC
(12,31),-1.74282 # DEPENDENCYPART_ARC
(12,39),-0.517294 # DEPENDENCYPART_ARC
(13,14),-0.419734 # DEPENDENCYPART_ARC
(14,3),-1.97389 # DEPENDENCYPART_ARC
(14,10),-1.13204 # DEPENDENCYPART_ARC
(14,11),-1.27146 # DEPENDENCYPART_ARC
(14,12),-0.595535 # DEPENDENCYPART_ARC
(14,13),0.955062 # DEPENDENCYPART_ARC
(14,15),0.0720229 # DEPENDENCYPART_ARC
(14,16),-1.09067 # DEPENDENCYPART_ARC
(14,17),-1.62617 # DEPENDENCYPART_ARC
(14,18),-1.47128 # DEPENDENCYPART_ARC
(14,19),-1.93101 # DEPENDENCYPART_ARC
(14,20),-1.7149 # DEPENDENCYPART_ARC
(14,21),-2.03036 # DEPENDENCYPART_ARC
(14,22),-1.54315 # DEPENDENCYPART_ARC
(14,23),-1.84914 # DEPENDENCYPART_ARC
(14,26),-1.65587 # DEPENDENCYPART_ARC
(14,28),-1.7463 # DEPENDENCYPART_ARC
(14,30),-1.66336 # DEPENDENCYPART_ARC
(14,31),-1.20641 # DEPENDENCYPART_ARC
(14,38),-2.33959 # DEPENDENCYPART_ARC
(16,13),-2.12717 # DEPENDENCYPART_ARC
(16,14),-1.92192 # DEPENDENCYPART_ARC
(16,17),-0.611664 # DEPENDENCYPART_ARC
(16,18),-0.75338 # DEPENDENCYPART_ARC
(16,19),-1.40326 # DEPENDENCYPART_ARC
(16,32),-2.13158 # DEPENDENCYPART_ARC
(16,34),-2.0548 # DEPENDENCYPART_ARC
(17,13),-0.923014 # DEPENDENCYPART_ARC
(17,14),-1.43143 # DEPENDENCYPART_ARC
(17,15),-0.91393 # DEPENDENCYPART_ARC
(17,16),1.76792 # DEPENDENCYPART_ARC
(17,18),-0.490063 # DEPENDENCYPART_ARC
(17,22),-1.32507 # DEPENDENCYPART_ARC
(18,1),-1.50078 # DEPENDENCYPART_ARC
(18,2),-1.58653 # DEPENDENCYPART_ARC
(18,4),-2.06256 # DEPENDENCYPART_ARC
(18,5),-1.83974 # DEPENDENCYPART_ARC
(18,6),-1.56983 # DEPENDENCYPART_ARC
(18,7),-1.76262 # DEPENDENCYPART_ARC
(18,8),-1.37436 # DEPENDENCYPART_ARC
(18,9),-1.2713 # DEPENDENCYPART_ARC
(18,10),-1.9579 # DEPENDENCYPART_ARC
(18,11),-1.74857 # DEPENDENCYPART_ARC
(18,12),-1.38625 # DEPENDENCYPART_ARC
(18,13),-1.71779 # DEPENDENCYPART_ARC
(18,14),-1.60673 # DEPENDENCYPART_ARC
(18,15),-0.697122 # DEPENDENCYPART_ARC
(18,16),-0.355649 # DEPENDENCYPART_ARC
(18,17),0.884331 # DEPENDENCYPART_ARC
(18,19),1.46011 # DEPENDENCYPART_ARC
(18,20),-0.695318 # DEPENDENCYPART_ARC
(18,21),-0.810736 # DEPENDENCYPART_ARC
(18,22),-0.825978 # DEPENDENCYPART_ARC
(18,23),-1.01478 # DEPENDENCYPART_ARC
(18,26),-1.41874 # DEPENDENCYPART_ARC
(18,28),-1.4734 # DEPENDENCYPART_ARC
(18,31),-1.35932 # DEPENDENCYPART_ARC
(18,32),-1.63746 # DEPENDENCYPART_ARC
(18,38),-0.486465 # DEPENDENCYPART_ARC
(18,39),-0.410754 # DEPENDENCYPART_ARC
(19,5),-3.08464 # DEPENDENCYPART_ARC
(19,15),-2.11143 # DEPENDENCYPART_ARC
(19,20),0.196465 # DEPENDENCYPART_ARC
(19,21),-0.220539 # DEPENDENCYPART_ARC
(19,22),-0.481261 # DEPENDENCYPART_ARC
(19,23),-0.905446 # DEPENDENCYPART_ARC
(19,26),-1.0675 # DEPENDENCYPART_ARC
(19,28),-1.23348 # DEPENDENCYPART_ARC
(19,30),-1.26423 # DEPENDENCYPART_ARC
(19,31),-1.31403 # DEPENDENCYPART_ARC
(19,38),-0.795129 # DEPENDENCYPART_ARC
(19,39),-0.542687 # DEPENDENCYPART_ARC
(20,21),-0.208424 # DEPENDENCYPART_ARC
(20,23),-1.21235 # DEPENDENCYPART_ARC
(21,2),-2.93899 # DEPENDENCYPART_ARC
(21,15),-2.07992 # DEPENDENCYPART_ARC
(21,19),-1.73533 # DEPENDENCYPART_ARC
(21,20),-0.507581 # DEPENDENCYPART_ARC
(21,22),0.132532 # DEPENDENCYPART_ARC
(21,23),-0.746806 # DEPENDENCYPART_ARC
(21,25),-1.63875 # DEPENDENCYPART_ARC
(21,26),-1.35833 # DEPENDENCYPART_ARC
(21,28),-1.53577 # DEPENDENCYPART_ARC
(21,30),-2.05818 # DEPENDENCYPART_ARC
(21,38),-1.36556 # DEPENDENCYPART_ARC
(22,10),-2.621 # DEPENDENCYPART_ARC
(22,13),-2.12894 # DEPENDENCYPART_ARC
(22,16),-1.09492 # DEPENDENCYPART_ARC
(22,19),-0.668894 # DEPENDENCYPART_ARC
(22,20),0.277788 # DEPENDENCYPART_ARC
(22,21),1.2859 # DEPENDENCYPART_ARC
(22,23),0.446684 # DEPENDENCYPART_ARC
(22,24),-1.28325 # DEPENDENCYPART_ARC
(22,25),-1.16782 # DEPENDENCYPART_ARC
(22,26),-1.32424 # DEPENDENCYPART_ARC
(22,28),-1.00177 # DEPENDENCYPART_ARC
(22,30),-1.64495 # DEPENDENCYPART_ARC
(22,31),-1.58522 # DEPENDENCYPART_ARC
(22,32),-1.98216 # DEPENDENCYPART_ARC
(22,34),-1.93584 # DEPENDENCYPART_ARC
(22,35),-2.37626 # DEPENDENCYPART_ARC
(23,22),-0.577173 # DEPENDENCYPART_ARC
(23,24),-0.0501954 # DEPENDENCYPART_ARC
(23,25),-0.593271 # DEPENDENCYPART_ARC
(23,26),-0.552589 # DEPENDENCYPART_ARC
(23,28),-1.32999 # DEPENDENCYPART_ARC
(23,30),-1.87377 # DEPENDENCYPART_ARC
(23,32),-1.93504 # DEPENDENCYPART_ARC
(23,34),-3.33645 # DEPENDENCYPART_ARC
(24,25),-0.310894 # DEPENDENCYPART_ARC
(25,22),-1.20116 # DEPENDENCYPART_ARC
(25,24),-0.133668 # DEPENDENCYPART_ARC
(25,28),-1.01304 # DEPENDENCYPART_ARC
(25,30),-1.69208 # DEPENDENCYPART_ARC
(26,20),-1.8819 # DEPENDENCYPART_ARC
(26,21),-0.702286 # DEPENDENCYPART_ARC
(26,22),-1.0728 # DEPENDENCYPART_ARC
(26,24),0.4742 # DEPENDENCYPART_ARC
(26,25),1.56187 # DEPENDENCYPART_ARC
(26,27),-0.124364 # DEPENDENCYPART_ARC
(26,28),-0.253755 # DEPENDENCYPART_ARC
(26,29),-1.30864 # DEPENDENCYPART_ARC
(26,30),-1.32982 # DEPENDENCYPART_ARC
(26,31),-1.14623 # DEPENDENCYPART_ARC
(26,32),-1.76889 # DEPENDENCYPART_ARC
(26,34),-1.79845 # DEPENDENCYPART_ARC
(26,35),-2.05924 # DEPENDENCYPART_ARC
(28,6),-2.34829 # DEPENDENCYPART_ARC
(28,20),-1.83561 # DEPENDENCYPART_ARC
(28,21),-1.73456 # DEPENDENCYPART_ARC
(28,22),-1.27298 # DEPENDENCYPART_ARC
(28,23),-0.995645 # DEPENDENCYPART_ARC
(28,24),-1.4562 # DEPENDENCYPART_ARC
(28,25),-1.35697 # DEPENDENCYPART_ARC
(28,26),-1.09456 # DEPENDENCYPART_ARC
(28,27),0.535819 # DEPENDENCYPART_ARC
(28,29),0.0372999 # DEPENDENCYPART_ARC
(28,30),0.0599465 # DEPENDENCYPART_ARC
(28,31),-0.962739 # DEPENDENCYPART_ARC
(28,32),-1.35552 # DEPENDENCYPART_ARC
(28,34),-1.39905 # DEPENDENCYPART_ARC
(28,35),-1.9913 # DEPENDENCYPART_ARC
(28,38),-1.06816 # DEPENDENCYPART_ARC
(28,39),-1.0858 # DEPENDENCYPART_ARC
(29,35),-1.97782 # DEPENDENCYPART_ARC
(30,20),-2.55154 # DEPENDENCYPART_ARC
(30,24),-1.98449 # DEPENDENCYPART_ARC
(30,25),-1.39821 # DEPENDENCYPART_ARC
(30,27),-1.4845 # DEPENDENCYPART_ARC
(30,29),1.11668 # DEPENDENCYPART_ARC
(30,31),-0.172333 # DEPENDENCYPART_ARC
(30,32),-1.57752 # DEPENDENCYPART_ARC
(30,33),-1.89309 # DEPENDENCYPART_ARC
(30,34),-1.75985 # DEPENDENCYPART_ARC
(30,35),-2.01062 # DEPENDENCYPART_ARC
(30,36),-1.88768 # DEPENDENCYPART_ARC
(30,39),-1.5502 # DEPENDENCYPART_ARC
(33,35),-1.08505 # DEPENDENCYPART_ARC
(34,29),-2.10527 # DEPENDENCYPART_ARC
(34,30),-2.73035 # DEPENDENCYPART_ARC
(34,32),-1.41384 # DEPENDENCYPART_ARC
(34,33),0.455725 # DEPENDENCYPART_ARC
(34,35),0.668545 # DEPENDENCYPART_ARC
(34,36),-0.724274 # DEPENDENCYPART_ARC
(34,38),-0.857105 # DEPENDENCYPART_ARC
(34,39),-0.903754 # DEPENDENCYPART_ARC
(35,33),-1.35678 # DEPENDENCYPART_ARC
(35,36),0.180648 # DEPENDENCYPART_ARC
(35,37),-0.282498 # DEPENDENCYPART_ARC
(35,39),-1.14151 # DEPENDENCYPART_ARC
(36,32),-2.69713 # DEPENDENCYPART_ARC
(36,37),-0.705418 # DEPENDENCYPART_ARC
(37,33),-0.916502 # DEPENDENCYPART_ARC
(37,34),-0.85783 # DEPENDENCYPART_ARC
(37,36),1.73372 # DEPENDENCYPART_ARC
(37,38),-0.216395 # DEPENDENCYPART_ARC
(37,39),-1.1527 # DEPENDENCYPART_ARC
(38,35),-0.755958 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0447335 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0610531 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.164277 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0602935 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.117984 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.163624 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.164399 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0356177 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0920436 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0356019 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0550969 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.108544 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0867581 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.100675 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0508064 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0693086 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.102925 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.104746 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0602937 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.117984 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.163997 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.164772 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.068653 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.102106 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.103927 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.116389 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.113388 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.178077 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.014676 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0116385 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0149825 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0129248 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0510571 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0275722 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0466608 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.00887666 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.0241259 # DEPENDENCYPART_SIBL
(1,2),(1,38),0.0131391 # DEPENDENCYPART_SIBL
(1,2),(1,39),0.00407775 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0241303 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0144496 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0241248 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.00452702 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0361954 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0116103 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.013691 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0144889 # DEPENDENCYPART_SIBL
(1,4),(1,38),-0.00810729 # DEPENDENCYPART_SIBL
(1,4),(1,39),-0.01239 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0139222 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0223331 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00315382 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.035334 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0125146 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0131636 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0139615 # DEPENDENCYPART_SIBL
(1,5),(1,38),-0.0102461 # DEPENDENCYPART_SIBL
(1,5),(1,39),-0.0102332 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0250662 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0280664 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0737031 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.00132594 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0236451 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.0256654 # DEPENDENCYPART_SIBL
(1,6),(1,38),-0.00484951 # DEPENDENCYPART_SIBL
(1,6),(1,39),0.00197616 # DEPENDENCYPART_SIBL
(1,8),(1,9),-3.0151e-05 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0349728 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0115708 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0124769 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.0132748 # DEPENDENCYPART_SIBL
(1,8),(1,38),-0.00689476 # DEPENDENCYPART_SIBL
(1,8),(1,39),-0.0111793 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0805557 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0257364 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0674022 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0570031 # DEPENDENCYPART_SIBL
(1,9),(1,38),-0.041035 # DEPENDENCYPART_SIBL
(1,9),(1,39),-0.0983175 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.00377903 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.000400954 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.0130976 # DEPENDENCYPART_SIBL
(1,12),(1,38),0.00668498 # DEPENDENCYPART_SIBL
(1,12),(1,39),0.000911783 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.0567939 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0395005 # DEPENDENCYPART_SIBL
(1,15),(1,38),0.00332885 # DEPENDENCYPART_SIBL
(1,15),(1,39),0.0418438 # DEPENDENCYPART_SIBL
(1,18),(1,19),-0.0230133 # DEPENDENCYPART_SIBL
(1,18),(1,38),0.00938221 # DEPENDENCYPART_SIBL
(1,18),(1,39),0.0332773 # DEPENDENCYPART_SIBL
(1,19),(1,38),0.00863837 # DEPENDENCYPART_SIBL
(1,19),(1,39),0.00612802 # DEPENDENCYPART_SIBL
(1,38),(1,39),0.126605 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0823794 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0823974 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0361703 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0369793 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.082369 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0423697 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0828054 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00509711 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0547208 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0274412 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0251121 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0534532 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0479498 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0544661 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0890752 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0282137 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0250553 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0535929 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.050822 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0546057 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.08968 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00957444 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0235781 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0981747 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0241005 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0531739 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0397512 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0731599 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0397546 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0494361 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0497145 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0544141 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0890165 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.049353 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0231146 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0759837 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.000745873 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00535311 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.019346 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.015498 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0150447 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0185254 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0279051 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0383034 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0205447 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0339964 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0439986 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0288883 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0552692 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0331791 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00825109 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0064418 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0117791 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00591977 # DEPENDENCYPART_SIBL
