# _root_ In his Rolling Stone interview in 1980 , Mr. Bush volunteered his abortion-rights remarks to contrast himself with his rival , Ronald Reagan .
#goldHeads=11,5,5,5,1,5,6,11,10,11,0,14,14,11,16,11,16,16,20,18,20,23,20,11,
#predictedHeads=11,5,5,5,1,5,6,11,10,11,0,14,14,11,16,11,16,16,20,18,20,23,20,11,
(22,23),-0.746218 # DEPENDENCYPART_ARC
(22,24),-1.25586 # DEPENDENCYPART_ARC
(23,19),-1.55431 # DEPENDENCYPART_ARC
(23,20),-1.73133 # DEPENDENCYPART_ARC
(23,21),-1.466 # DEPENDENCYPART_ARC
(23,22),1.46243 # DEPENDENCYPART_ARC
(23,24),-0.270234 # DEPENDENCYPART_ARC
(24,23),-0.661927 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.0199616 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0425893 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0178275 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.11636 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.11636 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0134952 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0589841 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.124256 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.124255 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0178275 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.11636 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.11636 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.126528 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.126526 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.225457 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0426147 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0426073 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0426074 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0124154 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00371806 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0149345 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.120437 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.120632 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.027341 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0297653 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00661933 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.120314 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0273427 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0297653 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0032917 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0272451 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0298356 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.006394 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.00746569 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0307708 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.00773676 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0587129 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0200532 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0200683 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0211028 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.059041 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0200355 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0255563 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0268975 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0845359 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0845293 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.160939 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.124988 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0908741 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0790986 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0790963 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00857758 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00632502 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00455484 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0100022 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0130403 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0130367 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00619275 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00467602 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0105763 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0138698 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0138663 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0151241 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0181515 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.00691122 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.00691217 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0244312 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0129336 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0129323 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0184322 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0184287 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.00790784 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0259962 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0818039 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.153331 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.124988 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.190181 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0881488 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0790999 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.00672181 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0229483 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0198657 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0435672 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0716115 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0295383 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0142192 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0219574 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00139741 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00043506 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0464354 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00630948 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00963352 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.0297436 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0151239 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0408653 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0181778 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00690757 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.0052714 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0320221 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.024405 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0129374 # DEPENDENCYPART_SIBL
(4,7),(4,24),0.0136253 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0702357 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0476653 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.0303703 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0141959 # DEPENDENCYPART_SIBL
(4,10),(4,24),0.0221548 # DEPENDENCYPART_SIBL
(4,11),(4,24),0.00161916 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0587181 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00955398 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00706737 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0113906 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0590478 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.013749 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0261323 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0238612 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0206072 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0241624 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0159476 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0219485 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0378346 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.013749 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.000650377 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0287348 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0333747 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.152417 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.123805 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.177451 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0799856 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0882389 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0717658 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0832903 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.159236 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0717635 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0725057 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.177451 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.00790596 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0305448 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00948423 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0523879 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0391416 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0119293 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0195364 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0180806 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0144049 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0807229 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0180814 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.00875022 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0391416 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.0131373 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0206619 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0445668 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0707902 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.000187702 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.031278 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00697357 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0261465 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0721743 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.00697433 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.00242725 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0707902 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0218713 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0155811 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0216662 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0137813 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0157415 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00834612 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0150045 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0505087 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.00834708 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.00986125 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0216662 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.00481646 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0132843 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.026365 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0263817 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0114862 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0260077 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0176333 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.011485 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0230255 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.0132843 # DEPENDENCYPART_SIBL
(5,7),(5,24),0.0136271 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0335911 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0329113 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0174869 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0404052 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0257443 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0174892 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0409525 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0269203 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.00102573 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0197585 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0170778 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0181838 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.000429774 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0170743 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0115677 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.00541827 # DEPENDENCYPART_SIBL
(5,9),(5,24),0.0229823 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0205201 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0219541 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.000972405 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0205166 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0151995 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.013733 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.0143815 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0117324 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.00343036 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.00674438 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0183729 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.0211274 # DEPENDENCYPART_SIBL
(5,11),(5,24),0.00134489 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.000636105 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0146724 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0128783 # DEPENDENCYPART_SIBL
(5,14),(5,21),0.0116437 # DEPENDENCYPART_SIBL
(5,14),(5,24),0.0301716 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.00846039 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.014194 # DEPENDENCYPART_SIBL
(5,15),(5,21),0.00184941 # DEPENDENCYPART_SIBL
(5,15),(5,24),0.0873224 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0196248 # DEPENDENCYPART_SIBL
(5,16),(5,21),0.0191581 # DEPENDENCYPART_SIBL
(5,16),(5,24),0.00134489 # DEPENDENCYPART_SIBL
(5,18),(5,21),0.0204712 # DEPENDENCYPART_SIBL
(5,18),(5,24),-0.0075605 # DEPENDENCYPART_SIBL
(5,21),(5,24),-0.00102573 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0752911 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0604828 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.19701 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0268278 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.025376 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.00483321 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0249558 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0196519 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.152765 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0034827 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0272117 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.023809 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0225354 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00773676 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0874002 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0873591 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.038717 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0873157 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0630283 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0633331 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.00603382 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0568558 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.126365 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0283117 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.125062 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0293746 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.124694 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0619501 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.000249653 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.000235857 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0137019 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0294907 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00148474 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.000517464 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0060772 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.000157081 # DEPENDENCYPART_SIBL
