# _root_ In the third quarter , wages and salaries in all private industry rose 1.2 % , compared with 1 % increases in both the second quarter and in the third quarter of 1988 .
#goldHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,21,21,18,27,26,26,26,22,21,27,31,31,28,31,32,13,
#predictedHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,20,21,18,21,27,26,26,22,21,27,31,31,28,31,32,13,
(7,17),-3.12995 # DEPENDENCYPART_ARC
(7,18),-2.32862 # DEPENDENCYPART_ARC
(7,34),-1.34631 # DEPENDENCYPART_ARC
(8,2),-2.48768 # DEPENDENCYPART_ARC
(8,3),-2.44664 # DEPENDENCYPART_ARC
(8,6),-1.06451 # DEPENDENCYPART_ARC
(8,7),-0.493932 # DEPENDENCYPART_ARC
(8,9),-0.0813729 # DEPENDENCYPART_ARC
(8,10),-1.77751 # DEPENDENCYPART_ARC
(8,11),-1.63686 # DEPENDENCYPART_ARC
(8,12),-1.67441 # DEPENDENCYPART_ARC
(8,13),-1.67104 # DEPENDENCYPART_ARC
(8,16),-2.18851 # DEPENDENCYPART_ARC
(9,7),-1.3095 # DEPENDENCYPART_ARC
(9,8),-0.717332 # DEPENDENCYPART_ARC
(9,10),-0.024335 # DEPENDENCYPART_ARC
(9,11),-0.603662 # DEPENDENCYPART_ARC
(9,12),-0.323969 # DEPENDENCYPART_ARC
(9,13),-1.39723 # DEPENDENCYPART_ARC
(9,14),-1.84877 # DEPENDENCYPART_ARC
(9,15),-1.7538 # DEPENDENCYPART_ARC
(10,11),-0.2617 # DEPENDENCYPART_ARC
(11,8),-1.31205 # DEPENDENCYPART_ARC
(11,10),-0.109287 # DEPENDENCYPART_ARC
(11,13),-0.810493 # DEPENDENCYPART_ARC
(11,14),-1.56781 # DEPENDENCYPART_ARC
(12,2),-1.98782 # DEPENDENCYPART_ARC
(12,3),-2.12401 # DEPENDENCYPART_ARC
(12,5),-1.70757 # DEPENDENCYPART_ARC
(12,7),-1.01994 # DEPENDENCYPART_ARC
(12,8),-1.13645 # DEPENDENCYPART_ARC
(12,9),-1.04398 # DEPENDENCYPART_ARC
(12,10),0.300531 # DEPENDENCYPART_ARC
(12,11),1.59642 # DEPENDENCYPART_ARC
(12,13),-0.420488 # DEPENDENCYPART_ARC
(12,14),-1.57761 # DEPENDENCYPART_ARC
(12,15),-1.59721 # DEPENDENCYPART_ARC
(12,16),-2.0124 # DEPENDENCYPART_ARC
(13,1),-0.829362 # DEPENDENCYPART_ARC
(13,3),-1.83268 # DEPENDENCYPART_ARC
(13,4),-1.78008 # DEPENDENCYPART_ARC
(13,5),-1.00382 # DEPENDENCYPART_ARC
(13,6),-0.584765 # DEPENDENCYPART_ARC
(13,7),-0.791159 # DEPENDENCYPART_ARC
(13,8),-0.365687 # DEPENDENCYPART_ARC
(13,9),-0.497446 # DEPENDENCYPART_ARC
(13,10),-0.992685 # DEPENDENCYPART_ARC
(13,11),-0.886312 # DEPENDENCYPART_ARC
(13,12),0.74572 # DEPENDENCYPART_ARC
(13,14),0.452707 # DEPENDENCYPART_ARC
(13,15),0.449475 # DEPENDENCYPART_ARC
(13,16),-0.209991 # DEPENDENCYPART_ARC
(13,17),-0.785912 # DEPENDENCYPART_ARC
(13,18),-1.29801 # DEPENDENCYPART_ARC
(13,19),-1.77776 # DEPENDENCYPART_ARC
(13,21),-1.82244 # DEPENDENCYPART_ARC
(13,22),-1.53836 # DEPENDENCYPART_ARC
(13,23),-1.22711 # DEPENDENCYPART_ARC
(13,27),-0.580159 # DEPENDENCYPART_ARC
(13,28),-2.1158 # DEPENDENCYPART_ARC
(13,34),-0.414409 # DEPENDENCYPART_ARC
(14,10),-1.69397 # DEPENDENCYPART_ARC
(14,12),-1.47034 # DEPENDENCYPART_ARC
(14,15),-0.307052 # DEPENDENCYPART_ARC
(14,16),-1.1259 # DEPENDENCYPART_ARC
(14,17),-1.63774 # DEPENDENCYPART_ARC
(15,5),-1.53839 # DEPENDENCYPART_ARC
(15,7),-1.57119 # DEPENDENCYPART_ARC
(15,9),-1.53561 # DEPENDENCYPART_ARC
(15,10),-1.50192 # DEPENDENCYPART_ARC
(15,11),-1.09296 # DEPENDENCYPART_ARC
(15,12),-1.0928 # DEPENDENCYPART_ARC
(15,13),-0.886578 # DEPENDENCYPART_ARC
(15,14),1.2246 # DEPENDENCYPART_ARC
(15,16),-0.103635 # DEPENDENCYPART_ARC
(15,17),-1.7746 # DEPENDENCYPART_ARC
(15,18),-2.0052 # DEPENDENCYPART_ARC
(15,19),-2.50218 # DEPENDENCYPART_ARC
(15,20),-1.54075 # DEPENDENCYPART_ARC
(15,21),-1.82704 # DEPENDENCYPART_ARC
(15,23),-1.69938 # DEPENDENCYPART_ARC
(15,27),-1.43823 # DEPENDENCYPART_ARC
(17,1),-1.60262 # DEPENDENCYPART_ARC
(17,4),-1.47098 # DEPENDENCYPART_ARC
(17,5),-2.82995 # DEPENDENCYPART_ARC
(17,7),-1.85616 # DEPENDENCYPART_ARC
(17,9),-1.97967 # DEPENDENCYPART_ARC
(17,13),-2.06275 # DEPENDENCYPART_ARC
(17,15),-2.05191 # DEPENDENCYPART_ARC
(17,16),-0.155422 # DEPENDENCYPART_ARC
(17,18),0.291812 # DEPENDENCYPART_ARC
(17,19),-1.30176 # DEPENDENCYPART_ARC
(17,20),-1.42289 # DEPENDENCYPART_ARC
(17,21),-1.20896 # DEPENDENCYPART_ARC
(17,22),-1.38427 # DEPENDENCYPART_ARC
(17,23),-1.25951 # DEPENDENCYPART_ARC
(17,25),-1.74147 # DEPENDENCYPART_ARC
(17,26),-1.92483 # DEPENDENCYPART_ARC
(17,27),-0.887782 # DEPENDENCYPART_ARC
(17,28),-2.07801 # DEPENDENCYPART_ARC
(17,34),-0.689023 # DEPENDENCYPART_ARC
(18,15),-1.59612 # DEPENDENCYPART_ARC
(18,17),-0.00782803 # DEPENDENCYPART_ARC
(18,19),0.100356 # DEPENDENCYPART_ARC
(18,20),-0.489148 # DEPENDENCYPART_ARC
(18,21),-1.19427 # DEPENDENCYPART_ARC
(18,22),-1.63189 # DEPENDENCYPART_ARC
(18,23),-1.17352 # DEPENDENCYPART_ARC
(18,25),-1.47714 # DEPENDENCYPART_ARC
(18,26),-2.16203 # DEPENDENCYPART_ARC
(18,27),-1.14335 # DEPENDENCYPART_ARC
(18,28),-1.63383 # DEPENDENCYPART_ARC
(18,31),-2.8025 # DEPENDENCYPART_ARC
(18,32),-1.70433 # DEPENDENCYPART_ARC
(19,20),-0.262906 # DEPENDENCYPART_ARC
(19,21),-1.26649 # DEPENDENCYPART_ARC
(19,22),-1.4442 # DEPENDENCYPART_ARC
(20,18),-1.35634 # DEPENDENCYPART_ARC
(20,19),0.217446 # DEPENDENCYPART_ARC
(20,21),-0.45292 # DEPENDENCYPART_ARC
(20,22),-1.41527 # DEPENDENCYPART_ARC
(20,26),-1.69932 # DEPENDENCYPART_ARC
(21,14),-1.7305 # DEPENDENCYPART_ARC
(21,17),-1.09985 # DEPENDENCYPART_ARC
(21,18),-0.883 # DEPENDENCYPART_ARC
(21,19),0.0935126 # DEPENDENCYPART_ARC
(21,20),1.81261 # DEPENDENCYPART_ARC
(21,22),0.178365 # DEPENDENCYPART_ARC
(21,23),-1.1261 # DEPENDENCYPART_ARC
(21,24),-1.33905 # DEPENDENCYPART_ARC
(21,25),-1.33175 # DEPENDENCYPART_ARC
(21,26),-1.28693 # DEPENDENCYPART_ARC
(21,27),-0.555638 # DEPENDENCYPART_ARC
(21,28),-1.37556 # DEPENDENCYPART_ARC
(21,31),-1.23963 # DEPENDENCYPART_ARC
(21,32),-1.87338 # DEPENDENCYPART_ARC
(21,34),-0.97499 # DEPENDENCYPART_ARC
(22,20),-1.38057 # DEPENDENCYPART_ARC
(22,21),-0.378381 # DEPENDENCYPART_ARC
(22,23),-0.239542 # DEPENDENCYPART_ARC
(22,24),-1.05949 # DEPENDENCYPART_ARC
(22,25),-1.03988 # DEPENDENCYPART_ARC
(22,26),-0.779045 # DEPENDENCYPART_ARC
(22,27),-1.85594 # DEPENDENCYPART_ARC
(22,28),-1.00523 # DEPENDENCYPART_ARC
(22,31),-1.99417 # DEPENDENCYPART_ARC
(23,1),-2.29703 # DEPENDENCYPART_ARC
(23,4),-2.75914 # DEPENDENCYPART_ARC
(23,13),-2.14354 # DEPENDENCYPART_ARC
(23,15),-2.43529 # DEPENDENCYPART_ARC
(23,16),-2.37438 # DEPENDENCYPART_ARC
(23,17),-1.84574 # DEPENDENCYPART_ARC
(23,18),-1.83255 # DEPENDENCYPART_ARC
(23,19),-1.73005 # DEPENDENCYPART_ARC
(23,20),-1.42482 # DEPENDENCYPART_ARC
(23,21),-1.24003 # DEPENDENCYPART_ARC
(23,22),-0.412708 # DEPENDENCYPART_ARC
(23,24),-0.114946 # DEPENDENCYPART_ARC
(23,25),-0.638855 # DEPENDENCYPART_ARC
(23,26),-0.941013 # DEPENDENCYPART_ARC
(23,27),-1.15151 # DEPENDENCYPART_ARC
(23,28),-1.57405 # DEPENDENCYPART_ARC
(23,30),-1.3687 # DEPENDENCYPART_ARC
(23,31),-1.78979 # DEPENDENCYPART_ARC
(23,32),-1.81609 # DEPENDENCYPART_ARC
(23,34),-1.28127 # DEPENDENCYPART_ARC
(24,25),-0.654856 # DEPENDENCYPART_ARC
(25,23),-1.23391 # DEPENDENCYPART_ARC
(25,24),0.00238517 # DEPENDENCYPART_ARC
(25,26),-0.477131 # DEPENDENCYPART_ARC
(25,28),-1.22589 # DEPENDENCYPART_ARC
(26,18),-1.33655 # DEPENDENCYPART_ARC
(26,19),-1.35107 # DEPENDENCYPART_ARC
(26,20),-1.45682 # DEPENDENCYPART_ARC
(26,21),-1.32302 # DEPENDENCYPART_ARC
(26,22),-1.0853 # DEPENDENCYPART_ARC
(26,23),-0.516601 # DEPENDENCYPART_ARC
(26,24),0.434319 # DEPENDENCYPART_ARC
(26,25),1.51916 # DEPENDENCYPART_ARC
(26,27),-0.57211 # DEPENDENCYPART_ARC
(26,28),-1.23486 # DEPENDENCYPART_ARC
(26,31),-1.82871 # DEPENDENCYPART_ARC
(26,32),-1.71863 # DEPENDENCYPART_ARC
(26,33),-2.04684 # DEPENDENCYPART_ARC
(27,1),-1.4569 # DEPENDENCYPART_ARC
(27,4),-2.40596 # DEPENDENCYPART_ARC
(27,5),-2.38104 # DEPENDENCYPART_ARC
(27,7),-1.72355 # DEPENDENCYPART_ARC
(27,8),-2.5908 # DEPENDENCYPART_ARC
(27,9),-1.24739 # DEPENDENCYPART_ARC
(27,10),-2.71293 # DEPENDENCYPART_ARC
(27,12),-2.32704 # DEPENDENCYPART_ARC
(27,13),-1.39355 # DEPENDENCYPART_ARC
(27,14),-1.81721 # DEPENDENCYPART_ARC
(27,15),-2.02056 # DEPENDENCYPART_ARC
(27,16),-1.62869 # DEPENDENCYPART_ARC
(27,17),-1.09389 # DEPENDENCYPART_ARC
(27,18),-0.752948 # DEPENDENCYPART_ARC
(27,19),-1.01504 # DEPENDENCYPART_ARC
(27,20),-1.30169 # DEPENDENCYPART_ARC
(27,21),-1.75465 # DEPENDENCYPART_ARC
(27,22),-0.859257 # DEPENDENCYPART_ARC
(27,23),-0.800109 # DEPENDENCYPART_ARC
(27,24),-0.885978 # DEPENDENCYPART_ARC
(27,25),-0.648829 # DEPENDENCYPART_ARC
(27,26),0.00955643 # DEPENDENCYPART_ARC
(27,28),0.435829 # DEPENDENCYPART_ARC
(27,29),-0.932954 # DEPENDENCYPART_ARC
(27,30),-1.1601 # DEPENDENCYPART_ARC
(27,31),-0.657842 # DEPENDENCYPART_ARC
(27,32),-1.48257 # DEPENDENCYPART_ARC
(27,33),-1.79416 # DEPENDENCYPART_ARC
(27,34),-0.911385 # DEPENDENCYPART_ARC
(28,29),-0.0838081 # DEPENDENCYPART_ARC
(28,30),-0.689694 # DEPENDENCYPART_ARC
(28,31),-0.543007 # DEPENDENCYPART_ARC
(28,32),-1.40893 # DEPENDENCYPART_ARC
(28,33),-1.4574 # DEPENDENCYPART_ARC
(29,30),-0.504007 # DEPENDENCYPART_ARC
(29,32),-1.31527 # DEPENDENCYPART_ARC
(30,25),-1.54763 # DEPENDENCYPART_ARC
(30,26),-1.24235 # DEPENDENCYPART_ARC
(30,29),0.123973 # DEPENDENCYPART_ARC
(30,32),-1.25246 # DEPENDENCYPART_ARC
(30,33),-1.68373 # DEPENDENCYPART_ARC
(31,24),-1.73589 # DEPENDENCYPART_ARC
(31,25),-1.35569 # DEPENDENCYPART_ARC
(31,26),-1.50504 # DEPENDENCYPART_ARC
(31,28),-1.03831 # DEPENDENCYPART_ARC
(31,29),0.518075 # DEPENDENCYPART_ARC
(31,30),1.71004 # DEPENDENCYPART_ARC
(31,32),0.40394 # DEPENDENCYPART_ARC
(31,33),-0.94038 # DEPENDENCYPART_ARC
(31,34),-1.07375 # DEPENDENCYPART_ARC
(32,30),-1.42815 # DEPENDENCYPART_ARC
(32,31),-0.645987 # DEPENDENCYPART_ARC
(32,33),0.0141685 # DEPENDENCYPART_ARC
(32,34),-1.13962 # DEPENDENCYPART_ARC
(33,29),-1.2639 # DEPENDENCYPART_ARC
(33,30),-1.25284 # DEPENDENCYPART_ARC
(33,31),-1.28855 # DEPENDENCYPART_ARC
(33,32),-0.163764 # DEPENDENCYPART_ARC
(33,34),-0.491588 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0243545 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0709723 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.122488 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0808273 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0591369 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.0709723 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.105247 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.127474 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.120414 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0731951 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.105247 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.156194 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.15156 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0855369 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.118933 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.224442 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.144155 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.18229 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.144098 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.182277 # DEPENDENCYPART_SIBL
(0,23),(0,27),-0.0876527 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0134388 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0756487 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00625376 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0800405 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0984323 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0800405 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0485439 # DEPENDENCYPART_SIBL
(1,2),(1,22),-0.0485439 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0716404 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00791207 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0711219 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.104677 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0711203 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.00943182 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.00943182 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0148966 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.121613 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.178686 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.121475 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0370434 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.0370434 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0624025 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0889304 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0623484 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.048867 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.048867 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.178245 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.120265 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0273242 # DEPENDENCYPART_SIBL
(1,6),(1,22),0.0273242 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0726824 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0292073 # DEPENDENCYPART_SIBL
(1,7),(1,22),-0.0292073 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0297538 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.0297538 # DEPENDENCYPART_SIBL
(1,9),(1,22),0.0870637 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00494264 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0590957 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0414612 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0468262 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00397466 # DEPENDENCYPART_SIBL
(4,1),(4,3),-2.96519e-05 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0159188 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0124911 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0365343 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0121055 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0141211 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0883006 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0534339 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0146755 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0391767 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0159188 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0407747 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0123461 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.0365343 # DEPENDENCYPART_SIBL
(4,1),(4,34),-0.00205782 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.170399 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0841863 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0586959 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0847178 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0582485 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.133205 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.192421 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.152428 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0705904 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.109475 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0841863 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.00332653 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.393426 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.0847178 # DEPENDENCYPART_SIBL
(4,2),(4,34),-0.152621 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0344667 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00490189 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0261321 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0048817 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0758228 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.160829 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00670537 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0162598 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0295765 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0344667 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0877674 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.118578 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.0261321 # DEPENDENCYPART_SIBL
(4,3),(4,34),-0.100466 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0228937 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0160045 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0229524 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0241047 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0138088 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.000403211 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0200175 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0418949 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0297555 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0209556 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0122688 # DEPENDENCYPART_SIBL
(4,5),(4,27),-0.0160045 # DEPENDENCYPART_SIBL
(4,5),(4,34),-0.0240028 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0423153 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.010248 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0153313 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0113478 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00710136 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0103855 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00996435 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0227981 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.00482708 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0149554 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.0423153 # DEPENDENCYPART_SIBL
(4,6),(4,34),0.0235553 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0360193 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0232471 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00408419 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00953219 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0364743 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0610378 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0285459 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.00275688 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.00640936 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.0327758 # DEPENDENCYPART_SIBL
(4,7),(4,34),0.00429605 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0128937 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0113394 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.00709275 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0102316 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00981085 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0221959 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.00478387 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0125267 # DEPENDENCYPART_SIBL
(4,8),(4,27),-0.0423069 # DEPENDENCYPART_SIBL
(4,8),(4,34),0.0233109 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0186579 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.00894031 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.00232214 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0590946 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0224873 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0542822 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.021421 # DEPENDENCYPART_SIBL
(4,9),(4,27),-0.0205583 # DEPENDENCYPART_SIBL
(4,9),(4,34),-0.00294135 # DEPENDENCYPART_SIBL
