# _root_ The suits relate to a $ 200 million loss , disclosed in December , that was suffered by West Virginia 's consolidated investment pool .
#goldHeads=2,3,0,3,9,9,6,6,4,9,9,11,12,9,16,9,16,17,20,24,20,24,24,18,3,
#predictedHeads=2,3,0,3,9,9,6,6,4,3,3,11,12,13,16,13,16,17,20,24,20,24,24,18,3,
(2,5),(2,25),-0.00188078 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.00798063 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0125036 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0260325 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00798063 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.00223727 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0125884 # DEPENDENCYPART_SIBL
(2,9),(2,25),0.0216412 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0264303 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.000270997 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0331731 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.074291 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.026433 # DEPENDENCYPART_SIBL
(2,10),(2,25),-0.00211058 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.00852929 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0144788 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0171248 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.00284325 # DEPENDENCYPART_SIBL
(2,11),(2,25),0.000113874 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0332383 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.00334813 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0104357 # DEPENDENCYPART_SIBL
(2,12),(2,25),0.038057 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.074291 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.026433 # DEPENDENCYPART_SIBL
(2,14),(2,25),-0.00211058 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.00755419 # DEPENDENCYPART_SIBL
(2,16),(2,25),-0.0102494 # DEPENDENCYPART_SIBL
(2,17),(2,25),-0.00841 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0339539 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0275019 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.10033 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0405529 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0615931 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0482025 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0232672 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0680197 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0404994 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0232672 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0895836 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0584746 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0194702 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.104956 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0169661 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0967749 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.061613 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00192098 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0346786 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0062067 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0155645 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00289714 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0062067 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0116288 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0211203 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0979405 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.0224604 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0256385 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0618204 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0154568 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0206416 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.00412776 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0107896 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0112644 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.00412776 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0342435 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0146265 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.00296867 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.00657564 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0460245 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0285226 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0286156 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0437084 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0276331 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0588557 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0437084 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0418239 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0314682 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0334319 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0344191 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0365507 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00268373 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0016202 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0272071 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0174133 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0016202 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0470027 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0310422 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0115513 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.0107864 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0351491 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.000120667 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0139789 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00156425 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.000120667 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0249726 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.017814 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.00530514 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.00911036 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0246854 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0161394 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0727538 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0246854 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.00901565 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0121213 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0509371 # DEPENDENCYPART_SIBL
(3,9),(3,25),0.0221564 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0404873 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0120722 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0319443 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0113571 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0366354 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0107021 # DEPENDENCYPART_SIBL
(3,10),(3,25),0.00522725 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0274886 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0180571 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0128616 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0038679 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0166128 # DEPENDENCYPART_SIBL
(3,11),(3,25),0.0309362 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0185765 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0187955 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0121232 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.000148831 # DEPENDENCYPART_SIBL
(3,12),(3,25),-0.0229987 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0113571 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.0366354 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0107021 # DEPENDENCYPART_SIBL
(3,14),(3,25),0.00522725 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.00178683 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0125419 # DEPENDENCYPART_SIBL
(3,16),(3,25),0.00964799 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.0152336 # DEPENDENCYPART_SIBL
(3,17),(3,25),-0.00456524 # DEPENDENCYPART_SIBL
(3,18),(3,25),-0.0519876 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0263158 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0138632 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00709756 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0193146 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0135371 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0212168 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0463082 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0569521 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0393147 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0144558 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0130654 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0187872 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0366722 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0111695 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.013473 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0406752 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.018856 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0288073 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00387676 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.03004 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0545312 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0360608 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0229841 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0257804 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.136084 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.114464 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.150544 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.162086 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0561089 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.136197 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.280126 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.17004 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0561089 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.118875 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.137256 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.15815 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0333982 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.0264337 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0869287 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.091025 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00384385 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.142623 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.00896386 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.125343 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.000642799 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.142623 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0211729 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.00967307 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0451109 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.0685652 # DEPENDENCYPART_SIBL
(6,5),(6,25),-0.123568 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.559824 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.127247 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.14958 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.164142 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.257453 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.120524 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.14958 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.188747 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.164142 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.158152 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0618779 # DEPENDENCYPART_SIBL
(6,7),(6,25),0.0728096 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.117478 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.142428 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.169972 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.295489 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.108494 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.142428 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.199222 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.169972 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.182278 # DEPENDENCYPART_SIBL
