# _root_ After Mr. Stanley 's article was published in two Namibian newspapers , Mr. O'Linn had criminal charges brought against their editors , publisher and lawyer .
#goldHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,15,18,21,19,21,21,23,24,15,
#predictedHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,17,18,21,19,21,21,23,24,15,
(6,5),0.933249 # DEPENDENCYPART_ARC
(6,7),1.59688 # DEPENDENCYPART_ARC
(6,8),-0.565446 # DEPENDENCYPART_ARC
(6,9),-2.22513 # DEPENDENCYPART_ARC
(6,10),-1.79086 # DEPENDENCYPART_ARC
(6,11),-1.40389 # DEPENDENCYPART_ARC
(6,12),-1.48399 # DEPENDENCYPART_ARC
(6,14),-2.47835 # DEPENDENCYPART_ARC
(6,15),-1.59657 # DEPENDENCYPART_ARC
(6,18),-2.4987 # DEPENDENCYPART_ARC
(6,19),-2.86915 # DEPENDENCYPART_ARC
(6,22),-1.89467 # DEPENDENCYPART_ARC
(6,24),-1.98209 # DEPENDENCYPART_ARC
(6,26),0.205512 # DEPENDENCYPART_ARC
(7,1),-1.48445 # DEPENDENCYPART_ARC
(7,3),-1.8446 # DEPENDENCYPART_ARC
(7,5),-1.35488 # DEPENDENCYPART_ARC
(7,6),-1.1186 # DEPENDENCYPART_ARC
(7,8),0.989207 # DEPENDENCYPART_ARC
(7,9),-1.06727 # DEPENDENCYPART_ARC
(7,10),-1.09243 # DEPENDENCYPART_ARC
(7,11),-0.919093 # DEPENDENCYPART_ARC
(7,12),-1.33072 # DEPENDENCYPART_ARC
(7,14),-1.5652 # DEPENDENCYPART_ARC
(7,15),-1.43145 # DEPENDENCYPART_ARC
(7,17),-1.84943 # DEPENDENCYPART_ARC
(7,18),-1.78962 # DEPENDENCYPART_ARC
(7,19),-1.38742 # DEPENDENCYPART_ARC
(7,21),-2.33686 # DEPENDENCYPART_ARC
(7,22),-1.56672 # DEPENDENCYPART_ARC
(7,23),-2.28329 # DEPENDENCYPART_ARC
(7,24),-2.11588 # DEPENDENCYPART_ARC
(7,26),-2.18985 # DEPENDENCYPART_ARC
(8,5),-1.81253 # DEPENDENCYPART_ARC
(8,9),-0.387707 # DEPENDENCYPART_ARC
(8,10),-1.02266 # DEPENDENCYPART_ARC
(8,11),0.526619 # DEPENDENCYPART_ARC
(8,12),-1.67191 # DEPENDENCYPART_ARC
(8,14),-2.25758 # DEPENDENCYPART_ARC
(8,15),-1.89746 # DEPENDENCYPART_ARC
(8,17),-2.05279 # DEPENDENCYPART_ARC
(8,26),-2.43198 # DEPENDENCYPART_ARC
(9,8),-1.12499 # DEPENDENCYPART_ARC
(9,10),-0.928113 # DEPENDENCYPART_ARC
(9,12),-1.26239 # DEPENDENCYPART_ARC
(9,14),-2.3271 # DEPENDENCYPART_ARC
(9,15),-1.54974 # DEPENDENCYPART_ARC
(9,22),-1.76477 # DEPENDENCYPART_ARC
(10,5),-2.23625 # DEPENDENCYPART_ARC
(10,9),-0.939192 # DEPENDENCYPART_ARC
(11,1),-2.21782 # DEPENDENCYPART_ARC
(11,3),-1.52678 # DEPENDENCYPART_ARC
(11,5),-1.50292 # DEPENDENCYPART_ARC
(11,6),-1.72179 # DEPENDENCYPART_ARC
(11,7),-1.11859 # DEPENDENCYPART_ARC
(11,8),-1.46236 # DEPENDENCYPART_ARC
(11,9),1.04489 # DEPENDENCYPART_ARC
(11,10),1.65707 # DEPENDENCYPART_ARC
(11,12),-0.528547 # DEPENDENCYPART_ARC
(11,13),-1.61357 # DEPENDENCYPART_ARC
(11,14),-1.64927 # DEPENDENCYPART_ARC
(11,15),-0.944299 # DEPENDENCYPART_ARC
(11,16),-1.86221 # DEPENDENCYPART_ARC
(11,17),-1.92143 # DEPENDENCYPART_ARC
(11,18),-1.678 # DEPENDENCYPART_ARC
(11,19),-1.48944 # DEPENDENCYPART_ARC
(11,21),-1.98752 # DEPENDENCYPART_ARC
(11,22),-1.01214 # DEPENDENCYPART_ARC
(11,23),-2.44866 # DEPENDENCYPART_ARC
(11,24),-2.64182 # DEPENDENCYPART_ARC
(11,25),-3.11754 # DEPENDENCYPART_ARC
(11,26),-2.97317 # DEPENDENCYPART_ARC
(13,11),-2.42197 # DEPENDENCYPART_ARC
(13,14),-0.796392 # DEPENDENCYPART_ARC
(13,17),-2.69617 # DEPENDENCYPART_ARC
(14,9),-2.25323 # DEPENDENCYPART_ARC
(14,10),-1.70669 # DEPENDENCYPART_ARC
(14,11),-1.60918 # DEPENDENCYPART_ARC
(14,12),-1.20315 # DEPENDENCYPART_ARC
(14,13),1.87654 # DEPENDENCYPART_ARC
(14,16),-1.58607 # DEPENDENCYPART_ARC
(14,17),-2.15554 # DEPENDENCYPART_ARC
(15,1),-0.308945 # DEPENDENCYPART_ARC
(15,3),-1.75412 # DEPENDENCYPART_ARC
(15,5),-1.49733 # DEPENDENCYPART_ARC
(15,6),-1.61909 # DEPENDENCYPART_ARC
(15,7),-2.00902 # DEPENDENCYPART_ARC
(15,8),-0.726008 # DEPENDENCYPART_ARC
(15,9),-1.96721 # DEPENDENCYPART_ARC
(15,10),-1.66882 # DEPENDENCYPART_ARC
(15,11),-0.937512 # DEPENDENCYPART_ARC
(15,12),0.239193 # DEPENDENCYPART_ARC
(15,13),-0.685517 # DEPENDENCYPART_ARC
(15,14),0.509397 # DEPENDENCYPART_ARC
(15,16),0.223785 # DEPENDENCYPART_ARC
(15,17),0.653262 # DEPENDENCYPART_ARC
(15,18),-0.110408 # DEPENDENCYPART_ARC
(15,19),-0.549197 # DEPENDENCYPART_ARC
(15,21),-1.16717 # DEPENDENCYPART_ARC
(15,22),-0.833839 # DEPENDENCYPART_ARC
(15,23),-1.64139 # DEPENDENCYPART_ARC
(15,24),-1.14957 # DEPENDENCYPART_ARC
(15,25),-1.78811 # DEPENDENCYPART_ARC
(15,26),-0.0379399 # DEPENDENCYPART_ARC
(16,14),-1.60644 # DEPENDENCYPART_ARC
(16,17),-1.01201 # DEPENDENCYPART_ARC
(16,18),-1.10308 # DEPENDENCYPART_ARC
(16,19),-1.40426 # DEPENDENCYPART_ARC
(16,21),-2.1091 # DEPENDENCYPART_ARC
(17,7),-1.9766 # DEPENDENCYPART_ARC
(17,9),-1.3367 # DEPENDENCYPART_ARC
(17,10),-1.10738 # DEPENDENCYPART_ARC
(17,11),-2.05085 # DEPENDENCYPART_ARC
(17,13),-0.819111 # DEPENDENCYPART_ARC
(17,14),-0.672987 # DEPENDENCYPART_ARC
(17,15),-0.817564 # DEPENDENCYPART_ARC
(17,16),1.68603 # DEPENDENCYPART_ARC
(17,18),0.334544 # DEPENDENCYPART_ARC
(17,19),-0.510239 # DEPENDENCYPART_ARC
(17,21),-1.21678 # DEPENDENCYPART_ARC
(17,22),-1.2312 # DEPENDENCYPART_ARC
(17,23),-1.90334 # DEPENDENCYPART_ARC
(17,24),-1.51997 # DEPENDENCYPART_ARC
(17,25),-2.44044 # DEPENDENCYPART_ARC
(17,26),-2.38195 # DEPENDENCYPART_ARC
(18,1),-2.02218 # DEPENDENCYPART_ARC
(18,5),-2.08761 # DEPENDENCYPART_ARC
(18,6),-1.68456 # DEPENDENCYPART_ARC
(18,7),-2.33108 # DEPENDENCYPART_ARC
(18,8),-1.69636 # DEPENDENCYPART_ARC
(18,11),-1.82294 # DEPENDENCYPART_ARC
(18,13),-1.96315 # DEPENDENCYPART_ARC
(18,14),-1.80356 # DEPENDENCYPART_ARC
(18,15),-1.28367 # DEPENDENCYPART_ARC
(18,16),-1.51512 # DEPENDENCYPART_ARC
(18,17),-0.813486 # DEPENDENCYPART_ARC
(18,19),1.11828 # DEPENDENCYPART_ARC
(18,20),-1.28185 # DEPENDENCYPART_ARC
(18,21),-0.703599 # DEPENDENCYPART_ARC
(18,22),-1.42714 # DEPENDENCYPART_ARC
(18,23),-1.29476 # DEPENDENCYPART_ARC
(18,24),-0.976143 # DEPENDENCYPART_ARC
(18,25),-1.52319 # DEPENDENCYPART_ARC
(18,26),-1.69373 # DEPENDENCYPART_ARC
(19,17),-1.63333 # DEPENDENCYPART_ARC
(19,18),-1.11595 # DEPENDENCYPART_ARC
(19,20),-0.899371 # DEPENDENCYPART_ARC
(19,21),0.811969 # DEPENDENCYPART_ARC
(19,22),-1.12376 # DEPENDENCYPART_ARC
(19,23),-1.14079 # DEPENDENCYPART_ARC
(19,24),-1.40935 # DEPENDENCYPART_ARC
(19,25),-1.97137 # DEPENDENCYPART_ARC
(20,23),-2.3397 # DEPENDENCYPART_ARC
(21,9),-2.66232 # DEPENDENCYPART_ARC
(21,16),-1.89611 # DEPENDENCYPART_ARC
(21,17),-1.9685 # DEPENDENCYPART_ARC
(21,18),-1.51676 # DEPENDENCYPART_ARC
(21,19),-1.51574 # DEPENDENCYPART_ARC
(21,20),1.57343 # DEPENDENCYPART_ARC
(21,22),-0.312679 # DEPENDENCYPART_ARC
(21,23),-0.988264 # DEPENDENCYPART_ARC
(21,24),-1.45248 # DEPENDENCYPART_ARC
(21,25),-1.96541 # DEPENDENCYPART_ARC
(22,23),-1.93493 # DEPENDENCYPART_ARC
(23,18),-2.20742 # DEPENDENCYPART_ARC
(23,19),-1.94756 # DEPENDENCYPART_ARC
(23,20),-0.346933 # DEPENDENCYPART_ARC
(23,21),-0.96424 # DEPENDENCYPART_ARC
(23,22),-1.52372 # DEPENDENCYPART_ARC
(23,24),1.99995 # DEPENDENCYPART_ARC
(23,25),-1.00793 # DEPENDENCYPART_ARC
(23,26),-1.59858 # DEPENDENCYPART_ARC
(24,25),1.33324 # DEPENDENCYPART_ARC
(24,26),-1.36619 # DEPENDENCYPART_ARC
(25,20),-1.5683 # DEPENDENCYPART_ARC
(25,21),-2.29919 # DEPENDENCYPART_ARC
(25,23),-1.507 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.767599 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.080696 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.73693 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0986461 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.669916 # DEPENDENCYPART_SIBL
(0,6),(0,15),-1.79864 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.670304 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.692791 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.338003 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.622309 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.647943 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.321176 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.712596 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.753607 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.381549 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.185729 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.663992 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0899536 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.720722 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.0413091 # DEPENDENCYPART_SIBL
(1,2),(1,26),-0.177837 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.319316 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.705638 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.751414 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.379687 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.171462 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.661003 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0736643 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.718559 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.0343946 # DEPENDENCYPART_SIBL
(1,3),(1,26),-0.132724 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.442284 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.415668 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0984528 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.156012 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.373127 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0805087 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.427524 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.138403 # DEPENDENCYPART_SIBL
(1,4),(1,26),0.0179935 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.759201 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.368331 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.111453 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.872243 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0154003 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.792701 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.0134951 # DEPENDENCYPART_SIBL
(1,5),(1,26),-0.100209 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.192051 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0670068 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.362413 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.115552 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.852287 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.389246 # DEPENDENCYPART_SIBL
(1,6),(1,26),0.271549 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0340881 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.418882 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.11608 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.455714 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.0845015 # DEPENDENCYPART_SIBL
(1,7),(1,26),0.0406233 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.18915 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0246023 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.386367 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.0147077 # DEPENDENCYPART_SIBL
(1,8),(1,26),-0.0681678 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0511852 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.668227 # DEPENDENCYPART_SIBL
(1,11),(1,24),-0.000118047 # DEPENDENCYPART_SIBL
(1,11),(1,26),-0.0573285 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0467547 # DEPENDENCYPART_SIBL
(1,12),(1,24),0.557053 # DEPENDENCYPART_SIBL
(1,12),(1,26),0.0390994 # DEPENDENCYPART_SIBL
(1,15),(1,24),0.292748 # DEPENDENCYPART_SIBL
(1,15),(1,26),0.256532 # DEPENDENCYPART_SIBL
(1,24),(1,26),-0.0133909 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.160692 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.275962 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.161706 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0349115 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00546199 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00257396 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0155929 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.00269688 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00367344 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.103912 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0476007 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0146188 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0333249 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0225325 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.222808 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0575442 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00789187 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.047232 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0736522 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0373699 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0460976 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.106181 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.244743 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0908215 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00861887 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.466063 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0369275 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.224542 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0878811 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0922929 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0945891 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0860501 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0314634 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0667593 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0384056 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.169686 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0213678 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.04203 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.163827 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0261212 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0938392 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0250869 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.227522 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0681194 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0640572 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0161744 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.108243 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00794839 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.122182 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0902983 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0672112 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0319394 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0168483 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.125794 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00196419 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.02992 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0744874 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00228129 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.188093 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.334199 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0457777 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.143188 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.00188906 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.00838366 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0486217 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.381002 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0149113 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0190541 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.04152 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.030938 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0863759 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0333029 # DEPENDENCYPART_SIBL
(6,1),(6,10),7.61334e-05 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0758513 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0614896 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0895136 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0239765 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0267014 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0256693 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0614896 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.000653427 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.0327124 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.182802 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.231637 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0203517 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0455955 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0624605 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0301411 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.138618 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0160167 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.12644 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.088666 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0611829 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0379991 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0160167 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0587157 # DEPENDENCYPART_SIBL
(6,3),(6,26),-0.0805076 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0584613 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0107515 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0786161 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0754212 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00215385 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0861605 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0475446 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0879361 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0799416 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0241907 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0574957 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0475446 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.0631332 # DEPENDENCYPART_SIBL
(6,4),(6,26),0.0202059 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00798116 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00417096 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0292398 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0369713 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0330744 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0228142 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0524935 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0219291 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.000771145 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0382593 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0228142 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.0388831 # DEPENDENCYPART_SIBL
(6,5),(6,26),0.0526054 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.306012 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.28949 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.418944 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.406926 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.070273 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.375436 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0466091 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.620166 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.385404 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.070273 # DEPENDENCYPART_SIBL
(6,7),(6,24),0.0330007 # DEPENDENCYPART_SIBL
(6,7),(6,26),-0.00140694 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.114884 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.113565 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.097375 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0142903 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0869877 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0370292 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0452311 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.10963 # DEPENDENCYPART_SIBL
(6,8),(6,22),0.0142903 # DEPENDENCYPART_SIBL
(6,8),(6,24),-0.00364378 # DEPENDENCYPART_SIBL
(6,8),(6,26),-0.0326129 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.253442 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.37554 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0359526 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.204243 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0511963 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.247246 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.250893 # DEPENDENCYPART_SIBL
(6,9),(6,22),-0.0359526 # DEPENDENCYPART_SIBL
(6,9),(6,24),-0.0672556 # DEPENDENCYPART_SIBL
(6,9),(6,26),-0.180531 # DEPENDENCYPART_SIBL
