# _root_ A few years ago , Mrs. Hammack insisted on buying earthquake insurance for this house , which had been converted into apartments .
#goldHeads=3,3,4,8,8,7,8,0,8,9,12,10,12,15,13,15,18,15,18,19,20,21,8,
#predictedHeads=3,3,4,8,8,7,8,0,8,9,12,10,10,15,13,15,18,15,18,19,20,21,8,
(3,20),(20,22),(20,24),-0.0295968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,20),(20,23),(20,24),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,20),(20,20),(20,17),0.173506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,20),(20,20),(20,16),0.114356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,20),(20,20),(20,13),0.168568 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,20),(20,20),(20,12),0.136008 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,20),(20,20),(20,9),0.167637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,20),(20,20),(20,8),0.135156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,20),(20,20),(20,5),0.114356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,20),(20,20),(20,-1),-0.0157016 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,20),(20,17),(20,16),0.114896 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,17),(20,13),0.107541 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,17),(20,12),0.109043 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,17),(20,9),0.107563 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,17),(20,8),0.109415 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,17),(20,5),0.114896 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,17),(20,-1),-0.0412157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,20),(20,16),(20,13),0.136977 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,16),(20,12),0.119949 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,16),(20,9),0.137467 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,16),(20,8),0.123257 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,16),(20,5),0.109063 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,16),(20,-1),-0.208843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,20),(20,13),(20,12),0.0998388 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,13),(20,9),0.113021 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,13),(20,8),0.108881 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,13),(20,5),0.154358 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,13),(20,-1),-0.213267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,20),(20,12),(20,9),0.10603 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,12),(20,8),0.103748 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,12),(20,5),0.0644232 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,12),(20,-1),-0.0820438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,20),(20,9),(20,8),0.108915 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,9),(20,5),0.154642 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,9),(20,-1),-0.220029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,20),(20,8),(20,5),0.114424 # DEPENDENCYPART_GRANDSIBL
(3,20),(20,8),(20,-1),-0.157428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,20),(20,5),(20,-1),-0.208843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,23),(23,24),0.00324146 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,23),(23,23),(23,21),0.109219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,23),(23,23),(23,20),0.107451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,23),(23,23),(23,19),0.107451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,23),(23,23),(23,-1),-0.113339 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,23),(23,21),(23,20),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,21),(23,19),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,21),(23,-1),-0.145071 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,20),(23,19),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,23),(23,20),(23,-1),-0.146792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,23),(23,19),(23,-1),-0.146792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,2),(2,3),0.104986 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,4),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,7),-0.145184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,24),-0.171528 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,3),(2,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,24),-0.149408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,4),(2,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,24),-0.157579 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,5),(2,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,24),-0.144722 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,7),(2,24),-0.148254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,2),(2,1),-0.0156719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,-1),0.0238982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,1),(2,-1),-0.014231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,3),(3,4),-0.144722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,6),-0.145553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,7),-0.145553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,8),-0.145995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,9),-0.146892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,10),-0.145995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,12),-0.145553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,13),-0.147359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,18),-0.145995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,19),-0.145995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,20),-0.145995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,24),-0.0946198 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,4),(3,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,9),-0.144855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,13),-0.144855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,24),-0.149637 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,5),(3,6),-0.144943 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,7),-0.144943 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,8),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,9),-0.145766 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,10),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,12),-0.144943 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,13),-0.145766 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,18),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,19),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,20),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,24),-0.155813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,6),(3,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,24),-0.131078 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,7),(3,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,24),-0.131078 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,8),(3,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,12),-0.144715 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,24),-0.130357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,9),(3,10),-0.144719 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,12),-0.144709 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,18),-0.144719 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,19),-0.144719 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,20),-0.144719 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,24),-0.124214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,10),(3,12),-0.144715 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,24),-0.130358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,12),(3,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,24),-0.126153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,13),(3,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,13),(3,18),-0.144719 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,13),(3,19),-0.144719 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,13),(3,20),-0.144719 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,13),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,13),(3,24),-0.127866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,16),(3,18),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,16),(3,19),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,16),(3,20),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,16),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,16),(3,24),-0.155813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,18),(3,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,18),(3,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,18),(3,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,18),(3,24),-0.13039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,19),(3,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,19),(3,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,19),(3,24),-0.130363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,20),(3,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,20),(3,24),-0.130357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,23),(3,24),-0.144702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,3),(3,2),0.00482343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,1),0.113269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,-1),-0.0503538 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,2),(3,1),-0.0596782 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,2),(3,-1),0.0426314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,1),(3,-1),0.00126875 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,24),-0.0506668 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,5),(5,4),0.109255 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,-1),-0.17714 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,4),(5,-1),-0.144987 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,6),(6,7),-0.0409131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,8),-0.0101284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,9),-0.0241876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,24),-0.0553676 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,7),(6,8),-0.0206552 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,9),-0.0202334 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,24),-0.0432864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,8),(6,9),-0.0194565 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,24),-0.00318249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,9),(6,24),-9.80794e-05 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,5),0.0811694 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,4),0.113102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,3),-0.145553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,2),-0.144742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,1),-0.144969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,-1),-0.12393 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,5),(6,4),0.10732 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,3),-0.144943 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,2),-0.144791 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,-1),-0.155298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,4),(6,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,-1),-0.149635 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,3),(6,2),-0.144702 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,3),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,3),(6,-1),-0.13017 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,2),(6,1),-0.145297 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,2),(6,-1),-0.126393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,1),(6,-1),-0.182626 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,7),(7,8),-0.0101284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,9),-0.0241876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,10),-0.0101284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,12),-0.0409131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,13),-0.0300226 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,15),-0.0409131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,16),-0.0390261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,18),-0.0107161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,19),-0.0101284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,24),-0.0553676 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,8),(7,9),-0.0194565 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,10),-0.0194992 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,12),-0.0129132 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,13),-0.0194615 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,15),-0.0129132 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,16),-0.0206805 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,18),-0.0194992 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,19),-0.0194992 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,24),-0.00318249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,9),(7,10),-0.0196874 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,12),-0.0195973 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,13),-0.0203372 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,15),-0.0195973 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,16),-0.0149945 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,18),-0.0196874 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,19),-0.0196874 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,24),-9.80794e-05 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,10),(7,12),-0.0129132 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,13),-0.0194615 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,15),-0.0129132 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,16),-0.0206805 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,18),-0.0194992 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,19),-0.0194992 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,24),-0.00318249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,12),(7,13),-0.0202397 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,15),-0.0171951 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,16),-0.0206958 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,18),-0.0206552 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,19),-0.0206552 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,24),-0.0432864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,13),(7,15),-0.0196265 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,16),-0.0149945 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,18),-0.0198303 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,19),-0.0198303 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,24),-0.00936425 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,15),(7,16),-0.0206958 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,15),(7,18),-0.0206552 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,15),(7,19),-0.0206552 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,15),(7,24),-0.0432864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,16),(7,18),-0.0103681 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,16),(7,19),-0.0103681 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,16),(7,24),-0.0284657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,18),(7,19),-0.0194992 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,18),(7,24),-0.0037702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,19),(7,24),-0.00318279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,7),(7,6),0.121687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,5),0.0811694 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,4),0.113102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,3),-0.145553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,2),-0.144742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,1),-0.144969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,-1),-0.12393 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,6),(7,5),0.110105 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,4),0.108708 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,2),-0.144702 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,-1),-0.130128 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,5),(7,4),0.10732 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,5),(7,3),-0.144943 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,5),(7,2),-0.144791 # DEPENDENCYPART_GRANDSIBL
