# _root_ Armstrong , which has faced a takeover threat from the Belzberg family of Canada since July , said that disposing of the carpet business would improve `` total financial performance . ''
#goldHeads=18,1,4,1,4,8,8,5,8,12,12,9,12,13,5,15,1,0,25,25,20,24,24,21,18,25,26,30,30,26,18,18,
#predictedHeads=18,1,4,1,4,8,8,5,8,12,12,9,12,13,5,15,1,0,25,25,20,24,24,21,18,25,26,30,30,26,18,18,
(5,20),-2.41651 # DEPENDENCYPART_ARC
(5,25),-2.33011 # DEPENDENCYPART_ARC
(5,26),-2.57278 # DEPENDENCYPART_ARC
(5,31),-1.47354 # DEPENDENCYPART_ARC
(6,7),-0.378928 # DEPENDENCYPART_ARC
(6,9),-1.40067 # DEPENDENCYPART_ARC
(7,3),-2.40834 # DEPENDENCYPART_ARC
(7,6),0.098324 # DEPENDENCYPART_ARC
(7,8),-0.613186 # DEPENDENCYPART_ARC
(7,9),-1.08935 # DEPENDENCYPART_ARC
(7,12),-2.01608 # DEPENDENCYPART_ARC
(7,13),-1.97017 # DEPENDENCYPART_ARC
(8,1),-2.53056 # DEPENDENCYPART_ARC
(8,2),-2.08466 # DEPENDENCYPART_ARC
(8,3),-1.51242 # DEPENDENCYPART_ARC
(8,4),-1.18196 # DEPENDENCYPART_ARC
(8,5),-0.970469 # DEPENDENCYPART_ARC
(8,6),0.397862 # DEPENDENCYPART_ARC
(8,7),1.89734 # DEPENDENCYPART_ARC
(8,9),0.139681 # DEPENDENCYPART_ARC
(8,11),-1.36871 # DEPENDENCYPART_ARC
(8,12),-1.35538 # DEPENDENCYPART_ARC
(8,13),-1.65264 # DEPENDENCYPART_ARC
(8,14),-1.58824 # DEPENDENCYPART_ARC
(8,15),-1.42257 # DEPENDENCYPART_ARC
(8,16),-1.95625 # DEPENDENCYPART_ARC
(8,17),-1.81742 # DEPENDENCYPART_ARC
(8,18),-1.83108 # DEPENDENCYPART_ARC
(8,25),-2.0863 # DEPENDENCYPART_ARC
(8,31),-2.60743 # DEPENDENCYPART_ARC
(9,3),-2.00136 # DEPENDENCYPART_ARC
(9,8),-0.682031 # DEPENDENCYPART_ARC
(9,10),0.0378919 # DEPENDENCYPART_ARC
(9,11),-0.143239 # DEPENDENCYPART_ARC
(9,12),-0.661081 # DEPENDENCYPART_ARC
(9,13),-1.36919 # DEPENDENCYPART_ARC
(9,14),-1.26448 # DEPENDENCYPART_ARC
(9,15),-1.63146 # DEPENDENCYPART_ARC
(9,16),-1.75053 # DEPENDENCYPART_ARC
(9,17),-1.50631 # DEPENDENCYPART_ARC
(9,19),-2.39002 # DEPENDENCYPART_ARC
(10,13),-1.35858 # DEPENDENCYPART_ARC
(11,10),-0.583534 # DEPENDENCYPART_ARC
(11,12),-0.653162 # DEPENDENCYPART_ARC
(11,13),-1.19723 # DEPENDENCYPART_ARC
(11,16),-2.2007 # DEPENDENCYPART_ARC
(12,6),-1.99365 # DEPENDENCYPART_ARC
(12,7),-0.54069 # DEPENDENCYPART_ARC
(12,8),-1.28109 # DEPENDENCYPART_ARC
(12,9),-1.23991 # DEPENDENCYPART_ARC
(12,10),0.277603 # DEPENDENCYPART_ARC
(12,11),1.67284 # DEPENDENCYPART_ARC
(12,13),0.420086 # DEPENDENCYPART_ARC
(12,14),-0.854587 # DEPENDENCYPART_ARC
(12,15),-0.892805 # DEPENDENCYPART_ARC
(12,16),-1.51346 # DEPENDENCYPART_ARC
(12,17),-1.6426 # DEPENDENCYPART_ARC
(12,18),-1.58305 # DEPENDENCYPART_ARC
(12,19),-2.37265 # DEPENDENCYPART_ARC
(12,20),-2.11495 # DEPENDENCYPART_ARC
(12,25),-1.82384 # DEPENDENCYPART_ARC
(12,31),-2.10385 # DEPENDENCYPART_ARC
(12,32),-1.51822 # DEPENDENCYPART_ARC
(13,8),-1.79672 # DEPENDENCYPART_ARC
(13,14),0.680469 # DEPENDENCYPART_ARC
(13,15),-1.1553 # DEPENDENCYPART_ARC
(13,16),-1.17106 # DEPENDENCYPART_ARC
(14,10),-2.10451 # DEPENDENCYPART_ARC
(14,11),-1.43569 # DEPENDENCYPART_ARC
(14,15),0.190763 # DEPENDENCYPART_ARC
(14,16),-1.16575 # DEPENDENCYPART_ARC
(14,17),-1.73204 # DEPENDENCYPART_ARC
(14,18),-1.72937 # DEPENDENCYPART_ARC
(15,9),-1.34477 # DEPENDENCYPART_ARC
(15,12),-1.54538 # DEPENDENCYPART_ARC
(15,13),-1.22051 # DEPENDENCYPART_ARC
(15,16),0.59788 # DEPENDENCYPART_ARC
(15,18),-2.01286 # DEPENDENCYPART_ARC
(15,19),-2.11824 # DEPENDENCYPART_ARC
(16,11),-1.64609 # DEPENDENCYPART_ARC
(16,14),-1.18674 # DEPENDENCYPART_ARC
(16,15),-0.605433 # DEPENDENCYPART_ARC
(16,17),-0.22558 # DEPENDENCYPART_ARC
(16,18),-1.6896 # DEPENDENCYPART_ARC
(16,19),-2.12402 # DEPENDENCYPART_ARC
(16,20),-2.20213 # DEPENDENCYPART_ARC
(16,21),-2.27939 # DEPENDENCYPART_ARC
(16,24),-1.78245 # DEPENDENCYPART_ARC
(16,30),-1.83239 # DEPENDENCYPART_ARC
(18,1),-1.10305 # DEPENDENCYPART_ARC
(18,2),-2.09072 # DEPENDENCYPART_ARC
(18,3),-2.29381 # DEPENDENCYPART_ARC
(18,4),-1.40327 # DEPENDENCYPART_ARC
(18,5),-1.10784 # DEPENDENCYPART_ARC
(18,6),-1.86851 # DEPENDENCYPART_ARC
(18,7),-2.17652 # DEPENDENCYPART_ARC
(18,8),-1.76679 # DEPENDENCYPART_ARC
(18,9),-1.23417 # DEPENDENCYPART_ARC
(18,11),-1.87888 # DEPENDENCYPART_ARC
(18,12),-1.63315 # DEPENDENCYPART_ARC
(18,13),-1.43541 # DEPENDENCYPART_ARC
(18,14),-1.48232 # DEPENDENCYPART_ARC
(18,15),-0.769922 # DEPENDENCYPART_ARC
(18,16),-1.06696 # DEPENDENCYPART_ARC
(18,17),0.851316 # DEPENDENCYPART_ARC
(18,19),0.541898 # DEPENDENCYPART_ARC
(18,20),-0.0554651 # DEPENDENCYPART_ARC
(18,21),-1.03247 # DEPENDENCYPART_ARC
(18,25),-0.585374 # DEPENDENCYPART_ARC
(18,26),-1.0821 # DEPENDENCYPART_ARC
(18,27),-1.45154 # DEPENDENCYPART_ARC
(18,28),-1.58948 # DEPENDENCYPART_ARC
(18,31),0.447059 # DEPENDENCYPART_ARC
(18,32),-0.378589 # DEPENDENCYPART_ARC
(19,20),0.00844278 # DEPENDENCYPART_ARC
(19,21),-1.56367 # DEPENDENCYPART_ARC
(20,19),-0.553465 # DEPENDENCYPART_ARC
(20,21),0.780364 # DEPENDENCYPART_ARC
(20,22),-0.750026 # DEPENDENCYPART_ARC
(20,23),-0.573235 # DEPENDENCYPART_ARC
(20,24),-0.501679 # DEPENDENCYPART_ARC
(20,25),-0.652337 # DEPENDENCYPART_ARC
(20,26),-0.783491 # DEPENDENCYPART_ARC
(20,27),-1.20898 # DEPENDENCYPART_ARC
(20,28),-1.28086 # DEPENDENCYPART_ARC
(20,29),-1.40154 # DEPENDENCYPART_ARC
(20,30),-1.09358 # DEPENDENCYPART_ARC
(20,31),-0.427345 # DEPENDENCYPART_ARC
(20,32),-0.440051 # DEPENDENCYPART_ARC
(21,19),-1.13459 # DEPENDENCYPART_ARC
(21,20),-0.483437 # DEPENDENCYPART_ARC
(21,22),-0.195646 # DEPENDENCYPART_ARC
(21,23),-0.370126 # DEPENDENCYPART_ARC
(21,24),-0.801439 # DEPENDENCYPART_ARC
(21,25),-1.4912 # DEPENDENCYPART_ARC
(21,26),-1.62433 # DEPENDENCYPART_ARC
(21,27),-1.64118 # DEPENDENCYPART_ARC
(21,28),-1.71048 # DEPENDENCYPART_ARC
(21,30),-2.14 # DEPENDENCYPART_ARC
(22,23),-0.498852 # DEPENDENCYPART_ARC
(22,26),-1.51279 # DEPENDENCYPART_ARC
(23,21),-1.74755 # DEPENDENCYPART_ARC
(23,22),-0.0407518 # DEPENDENCYPART_ARC
(23,24),-0.60844 # DEPENDENCYPART_ARC
(23,25),-1.05357 # DEPENDENCYPART_ARC
(23,26),-1.13306 # DEPENDENCYPART_ARC
(23,30),-2.08283 # DEPENDENCYPART_ARC
(24,19),-1.22922 # DEPENDENCYPART_ARC
(24,20),-1.0508 # DEPENDENCYPART_ARC
(24,21),-0.884382 # DEPENDENCYPART_ARC
(24,22),0.496821 # DEPENDENCYPART_ARC
(24,23),1.64784 # DEPENDENCYPART_ARC
(24,25),-0.822193 # DEPENDENCYPART_ARC
(24,26),-1.25488 # DEPENDENCYPART_ARC
(24,30),-1.99831 # DEPENDENCYPART_ARC
(25,2),-3.51438 # DEPENDENCYPART_ARC
(25,4),-2.40327 # DEPENDENCYPART_ARC
(25,5),-2.33315 # DEPENDENCYPART_ARC
(25,7),-2.19481 # DEPENDENCYPART_ARC
(25,8),-2.13773 # DEPENDENCYPART_ARC
(25,9),-2.15214 # DEPENDENCYPART_ARC
(25,11),-2.05667 # DEPENDENCYPART_ARC
(25,12),-1.91783 # DEPENDENCYPART_ARC
(25,13),-1.90916 # DEPENDENCYPART_ARC
(25,14),-1.8556 # DEPENDENCYPART_ARC
(25,15),-1.6443 # DEPENDENCYPART_ARC
(25,16),-1.77261 # DEPENDENCYPART_ARC
(25,17),-1.75567 # DEPENDENCYPART_ARC
(25,18),-1.56914 # DEPENDENCYPART_ARC
(25,19),0.166472 # DEPENDENCYPART_ARC
(25,20),-1.24555 # DEPENDENCYPART_ARC
(25,21),-0.582899 # DEPENDENCYPART_ARC
(25,22),-1.10131 # DEPENDENCYPART_ARC
(25,23),-0.449292 # DEPENDENCYPART_ARC
(25,24),0.947682 # DEPENDENCYPART_ARC
(25,26),1.61541 # DEPENDENCYPART_ARC
(25,27),-0.755546 # DEPENDENCYPART_ARC
(25,28),-1.08172 # DEPENDENCYPART_ARC
(25,30),-1.38926 # DEPENDENCYPART_ARC
(25,31),-0.447106 # DEPENDENCYPART_ARC
(25,32),-0.997636 # DEPENDENCYPART_ARC
(26,19),-1.25264 # DEPENDENCYPART_ARC
(26,21),-1.7332 # DEPENDENCYPART_ARC
(26,23),-1.43873 # DEPENDENCYPART_ARC
(26,24),-1.36395 # DEPENDENCYPART_ARC
(26,27),0.479025 # DEPENDENCYPART_ARC
(26,28),-0.409425 # DEPENDENCYPART_ARC
(26,29),-0.834631 # DEPENDENCYPART_ARC
(26,30),-0.204488 # DEPENDENCYPART_ARC
(26,31),-0.616155 # DEPENDENCYPART_ARC
(26,32),-0.759732 # DEPENDENCYPART_ARC
(27,28),-0.386827 # DEPENDENCYPART_ARC
(28,21),-1.44726 # DEPENDENCYPART_ARC
(28,24),-1.57608 # DEPENDENCYPART_ARC
(28,27),-0.163276 # DEPENDENCYPART_ARC
(28,29),-0.182916 # DEPENDENCYPART_ARC
(28,30),-1.13565 # DEPENDENCYPART_ARC
(28,32),-1.01767 # DEPENDENCYPART_ARC
(29,24),-1.5228 # DEPENDENCYPART_ARC
(29,27),-1.20144 # DEPENDENCYPART_ARC
(29,28),-0.0383315 # DEPENDENCYPART_ARC
(29,30),-0.585874 # DEPENDENCYPART_ARC
(29,32),-1.17888 # DEPENDENCYPART_ARC
(30,20),-1.21863 # DEPENDENCYPART_ARC
(30,21),-1.26295 # DEPENDENCYPART_ARC
(30,22),-1.67084 # DEPENDENCYPART_ARC
(30,23),-1.15788 # DEPENDENCYPART_ARC
(30,24),-1.39868 # DEPENDENCYPART_ARC
(30,26),-1.00566 # DEPENDENCYPART_ARC
(30,27),-0.616817 # DEPENDENCYPART_ARC
(30,28),0.559669 # DEPENDENCYPART_ARC
(30,29),1.67873 # DEPENDENCYPART_ARC
(30,31),-0.357756 # DEPENDENCYPART_ARC
(30,32),-1.23508 # DEPENDENCYPART_ARC
(31,25),-1.23696 # DEPENDENCYPART_ARC
(31,29),-1.12946 # DEPENDENCYPART_ARC
(31,30),-0.261086 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.124526 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.120126 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.134612 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.238441 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.265742 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.25412 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0287294 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00543928 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0408945 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0433187 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0152382 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0216983 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.041812 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0368419 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0174474 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.0204193 # DEPENDENCYPART_SIBL
(1,2),(1,27),0.0759227 # DEPENDENCYPART_SIBL
(1,2),(1,31),0.00426301 # DEPENDENCYPART_SIBL
(1,2),(1,32),0.0817841 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0227783 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0178031 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0176727 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0117953 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0222957 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0191904 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0290949 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0166665 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.0158201 # DEPENDENCYPART_SIBL
(1,4),(1,27),0.0622986 # DEPENDENCYPART_SIBL
(1,4),(1,31),0.0218772 # DEPENDENCYPART_SIBL
(1,4),(1,32),0.0771342 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0150044 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.014874 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0117169 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.019497 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0163917 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.00222631 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0140995 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0134057 # DEPENDENCYPART_SIBL
(1,5),(1,27),0.0554216 # DEPENDENCYPART_SIBL
(1,5),(1,31),-0.0015686 # DEPENDENCYPART_SIBL
(1,5),(1,32),0.0721717 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0167966 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.00195956 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0214667 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0148552 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0132036 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.00772967 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.0151433 # DEPENDENCYPART_SIBL
(1,7),(1,27),0.0408406 # DEPENDENCYPART_SIBL
(1,7),(1,31),0.0232111 # DEPENDENCYPART_SIBL
(1,7),(1,32),0.0253627 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0035535 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0174032 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0107917 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0147325 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0092304 # DEPENDENCYPART_SIBL
(1,8),(1,20),-0.016644 # DEPENDENCYPART_SIBL
(1,8),(1,27),0.0410104 # DEPENDENCYPART_SIBL
(1,8),(1,31),0.0232351 # DEPENDENCYPART_SIBL
(1,8),(1,32),0.0314723 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0133272 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0178063 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.123724 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0795931 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.0680711 # DEPENDENCYPART_SIBL
(1,9),(1,27),0.087333 # DEPENDENCYPART_SIBL
(1,9),(1,31),0.072287 # DEPENDENCYPART_SIBL
(1,9),(1,32),0.0630199 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.0127707 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.00597974 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.00975297 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.017167 # DEPENDENCYPART_SIBL
(1,12),(1,27),0.0398637 # DEPENDENCYPART_SIBL
(1,12),(1,31),0.0247938 # DEPENDENCYPART_SIBL
(1,12),(1,32),0.0227251 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.0227132 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.00686482 # DEPENDENCYPART_SIBL
(1,16),(1,20),-0.0142789 # DEPENDENCYPART_SIBL
(1,16),(1,27),0.0404661 # DEPENDENCYPART_SIBL
(1,16),(1,31),0.0255604 # DEPENDENCYPART_SIBL
(1,16),(1,32),0.024774 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0174474 # DEPENDENCYPART_SIBL
(1,17),(1,20),0.0204193 # DEPENDENCYPART_SIBL
(1,17),(1,27),0.0759227 # DEPENDENCYPART_SIBL
(1,17),(1,31),0.00426301 # DEPENDENCYPART_SIBL
(1,17),(1,32),0.0817841 # DEPENDENCYPART_SIBL
(1,18),(1,20),0.000311178 # DEPENDENCYPART_SIBL
(1,18),(1,27),0.0820031 # DEPENDENCYPART_SIBL
(1,18),(1,31),0.0507769 # DEPENDENCYPART_SIBL
(1,18),(1,32),0.109976 # DEPENDENCYPART_SIBL
(1,20),(1,27),0.0596064 # DEPENDENCYPART_SIBL
(1,20),(1,31),0.00139039 # DEPENDENCYPART_SIBL
(1,20),(1,32),0.076211 # DEPENDENCYPART_SIBL
(1,27),(1,31),0.181693 # DEPENDENCYPART_SIBL
(1,27),(1,32),0.393303 # DEPENDENCYPART_SIBL
(1,31),(1,32),0.127925 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00818096 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.149277 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.011247 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.144943 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0474869 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0333802 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0608096 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0308418 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0576003 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0152776 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0505321 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.00776868 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.00446393 # DEPENDENCYPART_SIBL
(4,1),(4,31),-0.000313243 # DEPENDENCYPART_SIBL
(4,1),(4,32),-0.00113065 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.132434 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0352036 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.164416 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0492003 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0350388 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.057622 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.036389 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0816304 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.142019 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0513284 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0895273 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.0664992 # DEPENDENCYPART_SIBL
(4,2),(4,31),0.0591119 # DEPENDENCYPART_SIBL
(4,2),(4,32),-0.00884278 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0401471 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0846786 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0255052 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0191521 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0848695 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0179508 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0994324 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0875418 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0278887 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.0549601 # DEPENDENCYPART_SIBL
(4,3),(4,27),-0.0363977 # DEPENDENCYPART_SIBL
(4,3),(4,31),-0.218992 # DEPENDENCYPART_SIBL
(4,3),(4,32),-0.0316861 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0276303 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0372418 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.042767 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.061195 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.037043 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0417189 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0050779 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0406897 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.0195314 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.0026278 # DEPENDENCYPART_SIBL
(4,5),(4,31),0.0191692 # DEPENDENCYPART_SIBL
(4,5),(4,32),0.0154344 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0565032 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0632897 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0819329 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0562423 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0929426 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0653374 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0304606 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0334934 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.0577109 # DEPENDENCYPART_SIBL
(4,6),(4,31),-0.0562757 # DEPENDENCYPART_SIBL
(4,6),(4,32),-0.0786176 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.10054 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.023062 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0949186 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0614231 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0136892 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0535013 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.0697978 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.0500248 # DEPENDENCYPART_SIBL
(4,7),(4,31),-0.0316463 # DEPENDENCYPART_SIBL
(4,7),(4,32),-0.0792044 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0306229 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0857393 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0616786 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.00889067 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.053403 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.0666582 # DEPENDENCYPART_SIBL
(4,8),(4,27),-0.0468324 # DEPENDENCYPART_SIBL
(4,8),(4,31),-0.0281207 # DEPENDENCYPART_SIBL
(4,8),(4,32),-0.0638822 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0230671 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0512243 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.00110762 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0167482 # DEPENDENCYPART_SIBL
(4,9),(4,25),0.0101693 # DEPENDENCYPART_SIBL
(4,9),(4,27),0.000889507 # DEPENDENCYPART_SIBL
(4,9),(4,31),0.00109357 # DEPENDENCYPART_SIBL
(4,9),(4,32),-0.0167411 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0446563 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.00736956 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.04362 # DEPENDENCYPART_SIBL
(4,12),(4,25),-0.0585668 # DEPENDENCYPART_SIBL
