# _root_ Simulated golf games , in which players hit golf balls into nets , have been installed at airports in Denver and Pittsburgh ... .
#goldHeads=3,3,14,3,8,5,8,3,10,8,8,11,3,0,14,15,16,17,18,21,19,21,14,14,
#predictedHeads=3,3,14,3,8,5,8,3,10,8,8,11,3,0,14,15,16,17,18,21,19,21,14,14,
(10,3),-2.56913 # DEPENDENCYPART_ARC
(10,4),-1.94776 # DEPENDENCYPART_ARC
(10,5),-1.22429 # DEPENDENCYPART_ARC
(10,7),-0.721051 # DEPENDENCYPART_ARC
(10,9),2.09756 # DEPENDENCYPART_ARC
(10,11),0.0639168 # DEPENDENCYPART_ARC
(10,12),-1.33875 # DEPENDENCYPART_ARC
(10,13),-1.64902 # DEPENDENCYPART_ARC
(10,14),-1.87219 # DEPENDENCYPART_ARC
(10,15),-2.29812 # DEPENDENCYPART_ARC
(10,16),-2.37099 # DEPENDENCYPART_ARC
(10,17),-2.11846 # DEPENDENCYPART_ARC
(10,19),-2.28481 # DEPENDENCYPART_ARC
(10,24),-2.30586 # DEPENDENCYPART_ARC
(11,6),-1.82969 # DEPENDENCYPART_ARC
(11,10),-0.437731 # DEPENDENCYPART_ARC
(11,12),0.689364 # DEPENDENCYPART_ARC
(11,14),-2.00192 # DEPENDENCYPART_ARC
(11,15),-2.33701 # DEPENDENCYPART_ARC
(11,21),-1.64339 # DEPENDENCYPART_ARC
(12,7),-1.54738 # DEPENDENCYPART_ARC
(12,9),-0.544158 # DEPENDENCYPART_ARC
(12,10),-0.632657 # DEPENDENCYPART_ARC
(12,11),-0.0169399 # DEPENDENCYPART_ARC
(12,13),-0.213142 # DEPENDENCYPART_ARC
(12,14),-1.62193 # DEPENDENCYPART_ARC
(12,15),-2.00642 # DEPENDENCYPART_ARC
(12,16),-2.1916 # DEPENDENCYPART_ARC
(12,17),-1.82544 # DEPENDENCYPART_ARC
(14,1),-1.01631 # DEPENDENCYPART_ARC
(14,2),-0.940182 # DEPENDENCYPART_ARC
(14,3),-0.548281 # DEPENDENCYPART_ARC
(14,4),-1.94265 # DEPENDENCYPART_ARC
(14,5),-0.914638 # DEPENDENCYPART_ARC
(14,6),-2.25261 # DEPENDENCYPART_ARC
(14,7),-1.71549 # DEPENDENCYPART_ARC
(14,8),-1.86668 # DEPENDENCYPART_ARC
(14,9),-1.92903 # DEPENDENCYPART_ARC
(14,10),-1.56611 # DEPENDENCYPART_ARC
(14,11),-1.22405 # DEPENDENCYPART_ARC
(14,12),-1.26397 # DEPENDENCYPART_ARC
(14,13),0.752754 # DEPENDENCYPART_ARC
(14,15),1.39622 # DEPENDENCYPART_ARC
(14,16),0.153893 # DEPENDENCYPART_ARC
(14,17),-0.931521 # DEPENDENCYPART_ARC
(14,18),-1.24732 # DEPENDENCYPART_ARC
(14,19),-1.27391 # DEPENDENCYPART_ARC
(14,21),-0.597829 # DEPENDENCYPART_ARC
(14,23),-0.671933 # DEPENDENCYPART_ARC
(14,24),-0.393097 # DEPENDENCYPART_ARC
(15,3),-2.01988 # DEPENDENCYPART_ARC
(15,5),-2.09381 # DEPENDENCYPART_ARC
(15,6),-2.96433 # DEPENDENCYPART_ARC
(15,11),-2.103 # DEPENDENCYPART_ARC
(15,12),-2.46613 # DEPENDENCYPART_ARC
(15,13),-1.59662 # DEPENDENCYPART_ARC
(15,14),-0.818799 # DEPENDENCYPART_ARC
(15,16),1.17378 # DEPENDENCYPART_ARC
(15,17),-0.868102 # DEPENDENCYPART_ARC
(15,18),-1.31246 # DEPENDENCYPART_ARC
(15,19),-1.23029 # DEPENDENCYPART_ARC
(15,21),-0.833166 # DEPENDENCYPART_ARC
(15,23),-1.11292 # DEPENDENCYPART_ARC
(15,24),-1.1721 # DEPENDENCYPART_ARC
(16,2),-1.74588 # DEPENDENCYPART_ARC
(16,3),-1.72819 # DEPENDENCYPART_ARC
(16,4),-2.82705 # DEPENDENCYPART_ARC
(16,5),-1.68608 # DEPENDENCYPART_ARC
(16,6),-2.54158 # DEPENDENCYPART_ARC
(16,7),-2.69169 # DEPENDENCYPART_ARC
(16,10),-2.46585 # DEPENDENCYPART_ARC
(16,11),-1.75939 # DEPENDENCYPART_ARC
(16,12),-2.35138 # DEPENDENCYPART_ARC
(16,13),-1.64722 # DEPENDENCYPART_ARC
(16,17),0.716756 # DEPENDENCYPART_ARC
(16,18),-0.739241 # DEPENDENCYPART_ARC
(16,19),-0.652225 # DEPENDENCYPART_ARC
(16,21),-0.971357 # DEPENDENCYPART_ARC
(16,22),-1.80406 # DEPENDENCYPART_ARC
(16,23),-1.0226 # DEPENDENCYPART_ARC
(16,24),-0.592645 # DEPENDENCYPART_ARC
(17,18),0.54392 # DEPENDENCYPART_ARC
(17,19),-1.23959 # DEPENDENCYPART_ARC
(17,20),-1.27198 # DEPENDENCYPART_ARC
(17,21),-0.894762 # DEPENDENCYPART_ARC
(17,22),-1.50221 # DEPENDENCYPART_ARC
(17,23),-1.2551 # DEPENDENCYPART_ARC
(18,16),-1.19033 # DEPENDENCYPART_ARC
(18,17),-0.4161 # DEPENDENCYPART_ARC
(18,19),0.112649 # DEPENDENCYPART_ARC
(18,20),-1.26974 # DEPENDENCYPART_ARC
(18,21),-1.16303 # DEPENDENCYPART_ARC
(18,22),-1.45132 # DEPENDENCYPART_ARC
(18,23),-1.44302 # DEPENDENCYPART_ARC
(18,24),-1.27223 # DEPENDENCYPART_ARC
(19,17),-1.24559 # DEPENDENCYPART_ARC
(19,18),-0.624399 # DEPENDENCYPART_ARC
(19,20),1.05131 # DEPENDENCYPART_ARC
(19,21),-0.783905 # DEPENDENCYPART_ARC
(19,22),-0.849789 # DEPENDENCYPART_ARC
(19,23),-1.15876 # DEPENDENCYPART_ARC
(20,18),-1.83241 # DEPENDENCYPART_ARC
(20,19),-1.32832 # DEPENDENCYPART_ARC
(20,22),-1.2017 # DEPENDENCYPART_ARC
(21,1),-2.55521 # DEPENDENCYPART_ARC
(21,2),-1.50382 # DEPENDENCYPART_ARC
(21,3),-1.41081 # DEPENDENCYPART_ARC
(21,4),-2.92034 # DEPENDENCYPART_ARC
(21,5),-1.88559 # DEPENDENCYPART_ARC
(21,6),-2.71616 # DEPENDENCYPART_ARC
(21,7),-1.65484 # DEPENDENCYPART_ARC
(21,8),-2.53277 # DEPENDENCYPART_ARC
(21,9),-1.59907 # DEPENDENCYPART_ARC
(21,10),-1.92065 # DEPENDENCYPART_ARC
(21,11),-1.58226 # DEPENDENCYPART_ARC
(21,12),-1.18755 # DEPENDENCYPART_ARC
(21,13),-1.5071 # DEPENDENCYPART_ARC
(21,14),-1.67648 # DEPENDENCYPART_ARC
(21,15),-1.46879 # DEPENDENCYPART_ARC
(21,16),-1.231 # DEPENDENCYPART_ARC
(21,17),-1.022 # DEPENDENCYPART_ARC
(21,18),-0.379949 # DEPENDENCYPART_ARC
(21,19),-0.774135 # DEPENDENCYPART_ARC
(21,20),2.37175 # DEPENDENCYPART_ARC
(21,22),1.77225 # DEPENDENCYPART_ARC
(21,23),-0.880058 # DEPENDENCYPART_ARC
(21,24),-1.47526 # DEPENDENCYPART_ARC
(22,18),-2.34597 # DEPENDENCYPART_ARC
(22,20),-1.50142 # DEPENDENCYPART_ARC
(22,23),-0.391993 # DEPENDENCYPART_ARC
(22,24),-1.42496 # DEPENDENCYPART_ARC
(23,17),-1.10146 # DEPENDENCYPART_ARC
(23,19),-1.03509 # DEPENDENCYPART_ARC
(23,20),-0.943538 # DEPENDENCYPART_ARC
(23,21),-0.838135 # DEPENDENCYPART_ARC
(23,22),0.141088 # DEPENDENCYPART_ARC
(23,24),-0.166421 # DEPENDENCYPART_ARC
(0,3),(0,8),-0.120663 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.129285 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.125699 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.124764 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0980999 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.2285 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.230529 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.230246 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.182092 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.231714 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.2293 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.187727 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.227926 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.191225 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.182076 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00348813 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.000307205 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0354794 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.000633122 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00795287 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0474019 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00588291 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0164318 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00795287 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0113211 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0194791 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0191482 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0101111 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0113211 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00264601 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0209514 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0369625 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0304362 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0108249 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00526503 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0253505 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00749332 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0145336 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0553687 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0423502 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0316416 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.115043 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0298584 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0335254 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0309783 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0309783 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0316416 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0767061 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0950789 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0441691 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0877792 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0287177 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0211651 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0639667 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0153553 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0239635 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.00950109 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00950109 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0211651 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.00733317 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.000223131 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.025025 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0339499 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0144097 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00413197 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0280602 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0296693 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0289097 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0289097 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0228658 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0537193 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.00643218 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.00545647 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0529574 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.00646704 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0165516 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0075573 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.017099 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.017099 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0259279 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.00483442 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.015809 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.00839202 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0485838 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.00877971 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0107366 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0168501 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0168501 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.00943985 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0133014 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.016607 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.01944 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0306626 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.0298727 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00380364 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.00380364 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0488028 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.002484 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.00859331 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0112111 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0485912 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.00277306 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0167468 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0107906 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0140227 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0173283 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0201612 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0309753 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.023588 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0107906 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0140227 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0173283 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0201612 # DEPENDENCYPART_SIBL
(3,12),(3,23),0.0309753 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.023588 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0537193 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.00643218 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.00545647 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0529574 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.00646704 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0029297 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.00249339 # DEPENDENCYPART_SIBL
(3,14),(3,23),0.0644623 # DEPENDENCYPART_SIBL
(3,14),(3,24),0.0145371 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0159706 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.0428899 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.00412698 # DEPENDENCYPART_SIBL
(3,16),(3,23),0.0425775 # DEPENDENCYPART_SIBL
(3,16),(3,24),-0.00365699 # DEPENDENCYPART_SIBL
(3,23),(3,24),0.182536 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0130512 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0482424 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0304065 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0357595 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0187164 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0151518 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0201621 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0488407 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0201621 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0396396 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0304048 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0346856 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0194905 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0140788 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0190881 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0517563 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0190881 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.198309 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.22986 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.196396 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.223584 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.223584 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.103185 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.223584 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0654764 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0233186 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0654507 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0654507 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0108047 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0654507 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0207562 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.117022 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.117022 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0118972 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.117022 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0600934 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0600934 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.00507543 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0600934 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.122731 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0220228 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.122731 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0204796 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.120118 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0350553 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0490259 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0524266 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.081218 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0305512 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00264466 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.000521077 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.00139574 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0235621 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.00467769 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0426582 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0237715 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.04562 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00573203 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0158553 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0304847 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00671166 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0657851 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0243088 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.000810818 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0338001 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.00205796 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0190723 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0305002 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00823746 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0702687 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0382182 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.00079308 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0443619 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.00595658 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.00171653 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.02306 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.131709 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.117762 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.00810246 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0462605 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0333113 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0246668 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0329354 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0101759 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0354993 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.01181 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0220851 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0521344 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.049154 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0146403 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00137497 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0102529 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0550747 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.00123139 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.00932601 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0157626 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0107629 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.010985 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0352796 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0699322 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0126294 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0111791 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0108232 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0213284 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0608453 # DEPENDENCYPART_SIBL
