# _root_ But the guidelines could `` make it impossible to commercialize research , '' says Kenneth Smith , associate provost and vice president for research at Massachusetts Institute of Technology .
#goldHeads=4,3,4,14,4,4,10,10,10,6,10,14,14,0,16,14,16,19,20,16,22,20,22,23,20,27,25,27,28,14,
#predictedHeads=4,3,4,14,4,4,10,10,10,6,10,14,14,0,16,14,16,19,20,16,22,20,22,23,22,27,25,27,28,14,
(6,17),-1.62141 # DEPENDENCYPART_ARC
(6,18),-1.38968 # DEPENDENCYPART_ARC
(6,19),-1.68941 # DEPENDENCYPART_ARC
(6,20),-0.715408 # DEPENDENCYPART_ARC
(6,22),-1.97865 # DEPENDENCYPART_ARC
(6,23),-1.49126 # DEPENDENCYPART_ARC
(6,25),-1.90019 # DEPENDENCYPART_ARC
(6,30),-1.54404 # DEPENDENCYPART_ARC
(7,10),-1.00592 # DEPENDENCYPART_ARC
(8,3),-1.54221 # DEPENDENCYPART_ARC
(8,5),-1.37704 # DEPENDENCYPART_ARC
(8,7),-0.269776 # DEPENDENCYPART_ARC
(8,9),0.0183124 # DEPENDENCYPART_ARC
(8,10),-0.702663 # DEPENDENCYPART_ARC
(8,11),-1.427 # DEPENDENCYPART_ARC
(8,12),-1.3196 # DEPENDENCYPART_ARC
(8,13),-1.6424 # DEPENDENCYPART_ARC
(8,14),-1.82846 # DEPENDENCYPART_ARC
(8,20),-1.01214 # DEPENDENCYPART_ARC
(9,8),-0.106931 # DEPENDENCYPART_ARC
(9,10),-0.365517 # DEPENDENCYPART_ARC
(9,11),-1.34076 # DEPENDENCYPART_ARC
(9,12),-1.46218 # DEPENDENCYPART_ARC
(9,13),-1.90765 # DEPENDENCYPART_ARC
(9,16),-3.02183 # DEPENDENCYPART_ARC
(9,20),-1.63711 # DEPENDENCYPART_ARC
(10,3),-1.57875 # DEPENDENCYPART_ARC
(10,4),-1.47563 # DEPENDENCYPART_ARC
(10,5),-1.32289 # DEPENDENCYPART_ARC
(10,6),-1.43248 # DEPENDENCYPART_ARC
(10,7),-0.812641 # DEPENDENCYPART_ARC
(10,8),-0.952282 # DEPENDENCYPART_ARC
(10,9),1.11633 # DEPENDENCYPART_ARC
(10,11),0.684587 # DEPENDENCYPART_ARC
(10,12),-0.882104 # DEPENDENCYPART_ARC
(10,13),-1.30605 # DEPENDENCYPART_ARC
(10,14),-1.88196 # DEPENDENCYPART_ARC
(10,16),-2.02762 # DEPENDENCYPART_ARC
(10,17),-2.00792 # DEPENDENCYPART_ARC
(10,18),-1.79761 # DEPENDENCYPART_ARC
(10,19),-1.69279 # DEPENDENCYPART_ARC
(10,20),-1.08233 # DEPENDENCYPART_ARC
(10,22),-1.876 # DEPENDENCYPART_ARC
(10,23),-1.7875 # DEPENDENCYPART_ARC
(10,25),-2.26677 # DEPENDENCYPART_ARC
(10,30),-1.86834 # DEPENDENCYPART_ARC
(11,2),-2.16793 # DEPENDENCYPART_ARC
(11,5),-1.46464 # DEPENDENCYPART_ARC
(11,7),-1.36056 # DEPENDENCYPART_ARC
(11,8),-1.15278 # DEPENDENCYPART_ARC
(11,9),-1.00001 # DEPENDENCYPART_ARC
(11,10),0.562984 # DEPENDENCYPART_ARC
(11,12),-0.142761 # DEPENDENCYPART_ARC
(11,13),-1.43169 # DEPENDENCYPART_ARC
(11,14),-1.81541 # DEPENDENCYPART_ARC
(11,16),-1.87925 # DEPENDENCYPART_ARC
(11,17),-1.43063 # DEPENDENCYPART_ARC
(11,18),-1.6682 # DEPENDENCYPART_ARC
(11,19),-2.19438 # DEPENDENCYPART_ARC
(11,20),-1.24585 # DEPENDENCYPART_ARC
(11,22),-2.19127 # DEPENDENCYPART_ARC
(11,23),-1.69317 # DEPENDENCYPART_ARC
(14,1),-1.2769 # DEPENDENCYPART_ARC
(14,2),-2.11865 # DEPENDENCYPART_ARC
(14,3),-2.73655 # DEPENDENCYPART_ARC
(14,4),-1.20305 # DEPENDENCYPART_ARC
(14,5),-0.873314 # DEPENDENCYPART_ARC
(14,6),-1.16951 # DEPENDENCYPART_ARC
(14,7),-1.87591 # DEPENDENCYPART_ARC
(14,8),-1.67626 # DEPENDENCYPART_ARC
(14,9),-1.53823 # DEPENDENCYPART_ARC
(14,10),-1.0735 # DEPENDENCYPART_ARC
(14,11),-1.86026 # DEPENDENCYPART_ARC
(14,12),-0.2482 # DEPENDENCYPART_ARC
(14,13),0.59579 # DEPENDENCYPART_ARC
(14,15),0.412761 # DEPENDENCYPART_ARC
(14,16),0.127167 # DEPENDENCYPART_ARC
(14,17),-0.675023 # DEPENDENCYPART_ARC
(14,18),-1.34906 # DEPENDENCYPART_ARC
(14,19),-1.45351 # DEPENDENCYPART_ARC
(14,20),-1.00683 # DEPENDENCYPART_ARC
(14,22),-1.92087 # DEPENDENCYPART_ARC
(14,23),-1.8246 # DEPENDENCYPART_ARC
(14,24),-2.11798 # DEPENDENCYPART_ARC
(14,25),-2.41987 # DEPENDENCYPART_ARC
(14,30),0.304179 # DEPENDENCYPART_ARC
(15,16),-0.76155 # DEPENDENCYPART_ARC
(15,22),-2.40761 # DEPENDENCYPART_ARC
(16,8),-2.52437 # DEPENDENCYPART_ARC
(16,11),-1.83124 # DEPENDENCYPART_ARC
(16,12),-1.84895 # DEPENDENCYPART_ARC
(16,13),-1.47022 # DEPENDENCYPART_ARC
(16,15),1.73372 # DEPENDENCYPART_ARC
(16,17),0.250092 # DEPENDENCYPART_ARC
(16,18),-1.57487 # DEPENDENCYPART_ARC
(16,19),-1.73982 # DEPENDENCYPART_ARC
(16,20),-1.37693 # DEPENDENCYPART_ARC
(16,21),-1.77447 # DEPENDENCYPART_ARC
(16,22),-1.76628 # DEPENDENCYPART_ARC
(16,23),-1.90087 # DEPENDENCYPART_ARC
(16,24),-2.08288 # DEPENDENCYPART_ARC
(16,25),-2.18029 # DEPENDENCYPART_ARC
(16,27),-2.25562 # DEPENDENCYPART_ARC
(16,28),-3.00159 # DEPENDENCYPART_ARC
(16,30),-1.67072 # DEPENDENCYPART_ARC
(18,9),-1.29565 # DEPENDENCYPART_ARC
(18,11),-1.11757 # DEPENDENCYPART_ARC
(18,15),-1.10071 # DEPENDENCYPART_ARC
(18,16),-1.09444 # DEPENDENCYPART_ARC
(18,17),0.25125 # DEPENDENCYPART_ARC
(18,19),-0.426049 # DEPENDENCYPART_ARC
(18,21),-1.39012 # DEPENDENCYPART_ARC
(18,24),-1.58647 # DEPENDENCYPART_ARC
(19,8),-2.1112 # DEPENDENCYPART_ARC
(19,11),-2.41825 # DEPENDENCYPART_ARC
(19,15),-1.51762 # DEPENDENCYPART_ARC
(19,16),-1.86666 # DEPENDENCYPART_ARC
(19,17),-1.25678 # DEPENDENCYPART_ARC
(19,18),1.00442 # DEPENDENCYPART_ARC
(19,21),-1.21295 # DEPENDENCYPART_ARC
(19,23),-1.27697 # DEPENDENCYPART_ARC
(19,25),-1.54913 # DEPENDENCYPART_ARC
(19,28),-2.21681 # DEPENDENCYPART_ARC
(20,1),-0.946477 # DEPENDENCYPART_ARC
(20,2),-2.4726 # DEPENDENCYPART_ARC
(20,3),-1.54291 # DEPENDENCYPART_ARC
(20,4),-1.54563 # DEPENDENCYPART_ARC
(20,5),-1.07475 # DEPENDENCYPART_ARC
(20,6),-2.13637 # DEPENDENCYPART_ARC
(20,7),-1.01763 # DEPENDENCYPART_ARC
(20,8),-1.84315 # DEPENDENCYPART_ARC
(20,9),-1.63643 # DEPENDENCYPART_ARC
(20,10),-1.76321 # DEPENDENCYPART_ARC
(20,11),-0.792087 # DEPENDENCYPART_ARC
(20,12),-1.68227 # DEPENDENCYPART_ARC
(20,13),-2.09426 # DEPENDENCYPART_ARC
(20,14),-1.57465 # DEPENDENCYPART_ARC
(20,15),-1.00336 # DEPENDENCYPART_ARC
(20,16),-0.810369 # DEPENDENCYPART_ARC
(20,17),-0.535138 # DEPENDENCYPART_ARC
(20,18),-0.431064 # DEPENDENCYPART_ARC
(20,19),1.94502 # DEPENDENCYPART_ARC
(20,21),1.83132 # DEPENDENCYPART_ARC
(20,22),0.252797 # DEPENDENCYPART_ARC
(20,23),-0.667615 # DEPENDENCYPART_ARC
(20,24),-1.05244 # DEPENDENCYPART_ARC
(20,25),-1.10439 # DEPENDENCYPART_ARC
(20,26),-1.79861 # DEPENDENCYPART_ARC
(20,27),-1.68837 # DEPENDENCYPART_ARC
(20,28),-1.24792 # DEPENDENCYPART_ARC
(20,29),-2.21204 # DEPENDENCYPART_ARC
(20,30),-1.33898 # DEPENDENCYPART_ARC
(21,22),-0.752025 # DEPENDENCYPART_ARC
(21,23),-1.25451 # DEPENDENCYPART_ARC
(21,24),-1.99082 # DEPENDENCYPART_ARC
(22,11),-2.075 # DEPENDENCYPART_ARC
(22,15),-1.44844 # DEPENDENCYPART_ARC
(22,16),-2.2103 # DEPENDENCYPART_ARC
(22,17),-1.38142 # DEPENDENCYPART_ARC
(22,18),-0.59154 # DEPENDENCYPART_ARC
(22,19),-0.772836 # DEPENDENCYPART_ARC
(22,20),-0.101578 # DEPENDENCYPART_ARC
(22,21),1.75053 # DEPENDENCYPART_ARC
(22,23),0.366514 # DEPENDENCYPART_ARC
(22,24),-0.906669 # DEPENDENCYPART_ARC
(22,25),-0.804706 # DEPENDENCYPART_ARC
(22,26),-1.4649 # DEPENDENCYPART_ARC
(22,27),-1.56707 # DEPENDENCYPART_ARC
(22,28),-1.35309 # DEPENDENCYPART_ARC
(22,29),-1.91174 # DEPENDENCYPART_ARC
(22,30),-1.19037 # DEPENDENCYPART_ARC
(23,22),-0.50518 # DEPENDENCYPART_ARC
(23,24),0.750052 # DEPENDENCYPART_ARC
(23,25),-0.843192 # DEPENDENCYPART_ARC
(23,26),-1.40603 # DEPENDENCYPART_ARC
(23,27),-1.27575 # DEPENDENCYPART_ARC
(23,28),-1.10969 # DEPENDENCYPART_ARC
(23,29),-1.95614 # DEPENDENCYPART_ARC
(24,18),-2.12639 # DEPENDENCYPART_ARC
(24,19),-1.84695 # DEPENDENCYPART_ARC
(24,21),-0.978036 # DEPENDENCYPART_ARC
(24,22),-0.972257 # DEPENDENCYPART_ARC
(24,23),-0.267494 # DEPENDENCYPART_ARC
(24,25),0.323119 # DEPENDENCYPART_ARC
(24,26),-0.961684 # DEPENDENCYPART_ARC
(24,27),-1.36179 # DEPENDENCYPART_ARC
(24,28),-1.17877 # DEPENDENCYPART_ARC
(24,29),-1.7418 # DEPENDENCYPART_ARC
(24,30),-1.16758 # DEPENDENCYPART_ARC
(25,24),-0.630267 # DEPENDENCYPART_ARC
(25,26),0.308624 # DEPENDENCYPART_ARC
(25,27),-0.237932 # DEPENDENCYPART_ARC
(25,28),-0.966715 # DEPENDENCYPART_ARC
(25,29),-1.19233 # DEPENDENCYPART_ARC
(26,27),-0.680049 # DEPENDENCYPART_ARC
(26,28),-1.15577 # DEPENDENCYPART_ARC
(26,29),-1.92872 # DEPENDENCYPART_ARC
(27,18),-2.39392 # DEPENDENCYPART_ARC
(27,19),-2.55384 # DEPENDENCYPART_ARC
(27,21),-1.64969 # DEPENDENCYPART_ARC
(27,24),-1.27948 # DEPENDENCYPART_ARC
(27,25),-1.4004 # DEPENDENCYPART_ARC
(27,26),1.2846 # DEPENDENCYPART_ARC
(27,28),0.528769 # DEPENDENCYPART_ARC
(27,29),-0.927538 # DEPENDENCYPART_ARC
(27,30),-0.84837 # DEPENDENCYPART_ARC
(28,29),0.719471 # DEPENDENCYPART_ARC
(29,26),-1.38602 # DEPENDENCYPART_ARC
(29,27),-1.29261 # DEPENDENCYPART_ARC
(30,28),-1.02026 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0582684 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0724513 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.135802 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.134368 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.164412 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0965915 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0497529 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0932598 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.10161 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.111549 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0912498 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.100736 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.100509 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.111834 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0824108 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.165369 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.189388 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.131806 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.188339 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.131702 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.122294 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.023798 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0615618 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0162884 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0548482 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0162667 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0603443 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.012891 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.057796 # DEPENDENCYPART_SIBL
(1,2),(1,30),-0.0513602 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0625449 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00951554 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0323257 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0139185 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0449014 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.00200008 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0394772 # DEPENDENCYPART_SIBL
(1,3),(1,30),-0.0436296 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0301366 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0243895 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.027315 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0158366 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.00514233 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0251473 # DEPENDENCYPART_SIBL
(1,4),(1,30),0.0899779 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00906408 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0150187 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0503154 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.137388 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0142814 # DEPENDENCYPART_SIBL
(1,5),(1,30),0.0168903 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.028619 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0311641 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0134306 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0810381 # DEPENDENCYPART_SIBL
(1,6),(1,30),0.01477 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0279018 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0137854 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0207177 # DEPENDENCYPART_SIBL
(1,8),(1,30),-0.0862747 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.00584854 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.0229843 # DEPENDENCYPART_SIBL
(1,12),(1,30),-0.0124243 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.0324428 # DEPENDENCYPART_SIBL
(1,13),(1,30),-0.0666243 # DEPENDENCYPART_SIBL
(1,14),(1,30),0.0885388 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00983041 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0617395 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.000146132 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0226014 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.000874225 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0258806 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.000935621 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.00973388 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0065619 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0110366 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0125554 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.113467 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0858963 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00339467 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.132325 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.140153 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0166948 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0147136 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.000869374 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0174477 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0155922 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0153148 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0177677 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.038323 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.00820255 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0175903 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0111551 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00425001 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0112024 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0114946 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0229285 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0135684 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00766422 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00401067 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.00376523 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.00617184 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.020462 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0188826 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0288183 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0729069 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0473158 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0615139 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.200132 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.12549 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0464725 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.200132 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0991093 # DEPENDENCYPART_SIBL
(4,1),(4,30),0.149031 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.025225 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00315978 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0473629 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0313077 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0465263 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0278439 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0404497 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0465263 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0124577 # DEPENDENCYPART_SIBL
(4,2),(4,30),-0.115582 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0351467 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.010852 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0160292 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0575453 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0300645 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0118506 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0575453 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0112418 # DEPENDENCYPART_SIBL
(4,3),(4,30),0.00740912 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0339392 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0362549 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0187095 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.164239 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0213059 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0187095 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.00230616 # DEPENDENCYPART_SIBL
(4,5),(4,30),0.0421369 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0593152 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00798598 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0385543 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0805133 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.00798598 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0548625 # DEPENDENCYPART_SIBL
(4,6),(4,30),0.0226696 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0099584 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0492122 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0924884 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0099584 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0679755 # DEPENDENCYPART_SIBL
(4,10),(4,30),0.00274311 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0167512 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.00862882 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0583365 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.00145117 # DEPENDENCYPART_SIBL
(4,12),(4,30),-0.0222113 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0364828 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.034631 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0241644 # DEPENDENCYPART_SIBL
(4,13),(4,30),-0.0914151 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.00645603 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0579392 # DEPENDENCYPART_SIBL
(4,14),(4,30),-0.000826675 # DEPENDENCYPART_SIBL
(4,17),(4,20),0.00145117 # DEPENDENCYPART_SIBL
(4,17),(4,30),-0.0222113 # DEPENDENCYPART_SIBL
(4,20),(4,30),-0.0039594 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00673037 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0311132 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.034084 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.000621417 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.062259 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0336526 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0166361 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0489815 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0274017 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00544693 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0417198 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0135391 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.054931 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.00544693 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0329522 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0345762 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0289356 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0384402 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.0230485 # DEPENDENCYPART_SIBL
(6,1),(6,25),0.01337 # DEPENDENCYPART_SIBL
(6,1),(6,30),0.158611 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0231012 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0751813 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0219687 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.101362 # DEPENDENCYPART_SIBL
