# _root_ The approval also ends any hope that Banque Nationale de Paris , another state-sector bank , might have had about taking Credit Lyonnais 's place in the accord .
#goldHeads=2,4,4,0,6,4,19,11,11,11,17,11,15,15,11,11,6,17,18,19,20,23,25,23,21,25,28,26,4,
#predictedHeads=2,4,4,0,6,4,17,9,17,9,10,9,15,15,9,9,6,17,18,19,20,23,25,23,21,21,28,26,4,
(4,29),-0.638383 # DEPENDENCYPART_ARC
(5,7),-1.09392 # DEPENDENCYPART_ARC
(6,1),-1.57818 # DEPENDENCYPART_ARC
(6,2),-1.5237 # DEPENDENCYPART_ARC
(6,3),-1.2008 # DEPENDENCYPART_ARC
(6,4),-0.714414 # DEPENDENCYPART_ARC
(6,5),1.18128 # DEPENDENCYPART_ARC
(6,7),0.344702 # DEPENDENCYPART_ARC
(6,8),-0.931744 # DEPENDENCYPART_ARC
(6,9),-1.31631 # DEPENDENCYPART_ARC
(6,10),-0.988988 # DEPENDENCYPART_ARC
(6,11),-1.68091 # DEPENDENCYPART_ARC
(6,12),-1.4103 # DEPENDENCYPART_ARC
(6,13),-1.65973 # DEPENDENCYPART_ARC
(6,14),-1.7352 # DEPENDENCYPART_ARC
(6,15),-1.99426 # DEPENDENCYPART_ARC
(6,16),-1.57963 # DEPENDENCYPART_ARC
(6,17),-1.11436 # DEPENDENCYPART_ARC
(6,18),-1.35891 # DEPENDENCYPART_ARC
(6,19),-1.31882 # DEPENDENCYPART_ARC
(6,20),-1.5935 # DEPENDENCYPART_ARC
(6,21),-1.76816 # DEPENDENCYPART_ARC
(6,26),-2.15202 # DEPENDENCYPART_ARC
(6,29),-1.17753 # DEPENDENCYPART_ARC
(7,2),-1.78986 # DEPENDENCYPART_ARC
(7,5),-1.37858 # DEPENDENCYPART_ARC
(7,6),-0.53326 # DEPENDENCYPART_ARC
(7,8),-0.381469 # DEPENDENCYPART_ARC
(7,9),-0.970759 # DEPENDENCYPART_ARC
(7,11),-1.96547 # DEPENDENCYPART_ARC
(8,9),-0.493439 # DEPENDENCYPART_ARC
(8,10),-1.00062 # DEPENDENCYPART_ARC
(8,11),-1.65748 # DEPENDENCYPART_ARC
(8,15),-2.17584 # DEPENDENCYPART_ARC
(8,16),-1.90065 # DEPENDENCYPART_ARC
(8,17),-1.50191 # DEPENDENCYPART_ARC
(9,1),-2.82809 # DEPENDENCYPART_ARC
(9,2),-2.51995 # DEPENDENCYPART_ARC
(9,5),-1.50088 # DEPENDENCYPART_ARC
(9,6),-1.43593 # DEPENDENCYPART_ARC
(9,7),-1.42035 # DEPENDENCYPART_ARC
(9,8),1.27174 # DEPENDENCYPART_ARC
(9,10),0.117766 # DEPENDENCYPART_ARC
(9,11),-1.23029 # DEPENDENCYPART_ARC
(9,12),-1.30934 # DEPENDENCYPART_ARC
(9,15),-2.00617 # DEPENDENCYPART_ARC
(9,16),-1.55016 # DEPENDENCYPART_ARC
(9,17),-1.52424 # DEPENDENCYPART_ARC
(9,19),-2.04456 # DEPENDENCYPART_ARC
(10,6),-1.46659 # DEPENDENCYPART_ARC
(10,7),-1.07931 # DEPENDENCYPART_ARC
(10,11),0.630135 # DEPENDENCYPART_ARC
(10,12),-0.952483 # DEPENDENCYPART_ARC
(10,15),-2.10267 # DEPENDENCYPART_ARC
(10,17),-1.7549 # DEPENDENCYPART_ARC
(10,18),-1.96586 # DEPENDENCYPART_ARC
(11,6),-1.90469 # DEPENDENCYPART_ARC
(11,8),-0.985901 # DEPENDENCYPART_ARC
(11,9),-1.02587 # DEPENDENCYPART_ARC
(11,10),-0.185525 # DEPENDENCYPART_ARC
(11,12),0.12192 # DEPENDENCYPART_ARC
(11,14),-1.52474 # DEPENDENCYPART_ARC
(11,15),-1.40704 # DEPENDENCYPART_ARC
(11,16),-1.16619 # DEPENDENCYPART_ARC
(11,17),-1.36859 # DEPENDENCYPART_ARC
(11,19),-1.91155 # DEPENDENCYPART_ARC
(11,20),-1.37702 # DEPENDENCYPART_ARC
(11,25),-1.69201 # DEPENDENCYPART_ARC
(13,12),0.175264 # DEPENDENCYPART_ARC
(13,14),-0.340924 # DEPENDENCYPART_ARC
(14,13),-0.138787 # DEPENDENCYPART_ARC
(14,17),-1.41375 # DEPENDENCYPART_ARC
(14,18),-1.617 # DEPENDENCYPART_ARC
(15,8),-1.85329 # DEPENDENCYPART_ARC
(15,9),-2.46198 # DEPENDENCYPART_ARC
(15,10),-1.55783 # DEPENDENCYPART_ARC
(15,11),-1.48029 # DEPENDENCYPART_ARC
(15,12),-1.31758 # DEPENDENCYPART_ARC
(15,13),0.0842552 # DEPENDENCYPART_ARC
(15,14),1.48283 # DEPENDENCYPART_ARC
(15,16),0.219422 # DEPENDENCYPART_ARC
(15,17),-1.57735 # DEPENDENCYPART_ARC
(15,18),-1.64238 # DEPENDENCYPART_ARC
(15,19),-2.07116 # DEPENDENCYPART_ARC
(15,20),-1.65612 # DEPENDENCYPART_ARC
(15,21),-2.23404 # DEPENDENCYPART_ARC
(15,25),-1.68858 # DEPENDENCYPART_ARC
(17,1),-1.51769 # DEPENDENCYPART_ARC
(17,2),-1.21284 # DEPENDENCYPART_ARC
(17,3),-1.07015 # DEPENDENCYPART_ARC
(17,4),-0.895387 # DEPENDENCYPART_ARC
(17,5),-1.09261 # DEPENDENCYPART_ARC
(17,6),-0.885854 # DEPENDENCYPART_ARC
(17,7),0.399857 # DEPENDENCYPART_ARC
(17,8),-0.842033 # DEPENDENCYPART_ARC
(17,9),-0.733844 # DEPENDENCYPART_ARC
(17,10),-0.553861 # DEPENDENCYPART_ARC
(17,11),-0.655242 # DEPENDENCYPART_ARC
(17,12),-1.11435 # DEPENDENCYPART_ARC
(17,13),-1.27874 # DEPENDENCYPART_ARC
(17,14),-1.17686 # DEPENDENCYPART_ARC
(17,15),-0.744314 # DEPENDENCYPART_ARC
(17,16),0.828072 # DEPENDENCYPART_ARC
(17,18),1.4234 # DEPENDENCYPART_ARC
(17,19),-0.30505 # DEPENDENCYPART_ARC
(17,20),-0.977893 # DEPENDENCYPART_ARC
(17,26),-1.10727 # DEPENDENCYPART_ARC
(17,29),-0.308956 # DEPENDENCYPART_ARC
(18,2),-1.54009 # DEPENDENCYPART_ARC
(18,6),-1.3739 # DEPENDENCYPART_ARC
(18,7),-0.64283 # DEPENDENCYPART_ARC
(18,8),-1.35718 # DEPENDENCYPART_ARC
(18,9),-1.38747 # DEPENDENCYPART_ARC
(18,10),-1.44535 # DEPENDENCYPART_ARC
(18,11),-1.41427 # DEPENDENCYPART_ARC
(18,12),-2.4158 # DEPENDENCYPART_ARC
(18,15),-2.31819 # DEPENDENCYPART_ARC
(18,16),-1.25427 # DEPENDENCYPART_ARC
(18,19),1.07697 # DEPENDENCYPART_ARC
(18,20),-0.799464 # DEPENDENCYPART_ARC
(18,21),-1.11944 # DEPENDENCYPART_ARC
(18,23),-1.46613 # DEPENDENCYPART_ARC
(18,25),-1.55205 # DEPENDENCYPART_ARC
(18,26),-1.22288 # DEPENDENCYPART_ARC
(18,29),-0.522559 # DEPENDENCYPART_ARC
(19,2),-2.04687 # DEPENDENCYPART_ARC
(19,6),-1.89453 # DEPENDENCYPART_ARC
(19,7),-0.851826 # DEPENDENCYPART_ARC
(19,9),-1.68308 # DEPENDENCYPART_ARC
(19,10),-1.4093 # DEPENDENCYPART_ARC
(19,11),-1.79607 # DEPENDENCYPART_ARC
(19,13),-2.67024 # DEPENDENCYPART_ARC
(19,15),-2.62889 # DEPENDENCYPART_ARC
(19,16),-1.89448 # DEPENDENCYPART_ARC
(19,20),0.756788 # DEPENDENCYPART_ARC
(19,21),-0.195392 # DEPENDENCYPART_ARC
(19,23),-1.27223 # DEPENDENCYPART_ARC
(19,25),-1.59862 # DEPENDENCYPART_ARC
(19,26),-0.720418 # DEPENDENCYPART_ARC
(19,29),-0.161026 # DEPENDENCYPART_ARC
(20,19),-0.137521 # DEPENDENCYPART_ARC
(20,21),0.668093 # DEPENDENCYPART_ARC
(20,22),-0.74904 # DEPENDENCYPART_ARC
(20,23),-1.47989 # DEPENDENCYPART_ARC
(20,25),-1.6561 # DEPENDENCYPART_ARC
(20,26),-1.40328 # DEPENDENCYPART_ARC
(20,28),-2.45193 # DEPENDENCYPART_ARC
(21,20),-0.72665 # DEPENDENCYPART_ARC
(21,22),0.481315 # DEPENDENCYPART_ARC
(21,23),-0.142703 # DEPENDENCYPART_ARC
(21,25),-0.365973 # DEPENDENCYPART_ARC
(21,26),-0.796975 # DEPENDENCYPART_ARC
(21,28),-1.134 # DEPENDENCYPART_ARC
(21,29),-0.593968 # DEPENDENCYPART_ARC
(22,20),-1.97764 # DEPENDENCYPART_ARC
(22,21),-0.766768 # DEPENDENCYPART_ARC
(22,23),-0.829726 # DEPENDENCYPART_ARC
(22,24),-1.30957 # DEPENDENCYPART_ARC
(22,25),-1.9552 # DEPENDENCYPART_ARC
(22,26),-1.55 # DEPENDENCYPART_ARC
(22,28),-2.3038 # DEPENDENCYPART_ARC
(23,14),-2.37842 # DEPENDENCYPART_ARC
(23,21),-0.651416 # DEPENDENCYPART_ARC
(23,22),1.88162 # DEPENDENCYPART_ARC
(23,24),1.02362 # DEPENDENCYPART_ARC
(23,25),-0.993631 # DEPENDENCYPART_ARC
(23,26),-1.08999 # DEPENDENCYPART_ARC
(23,28),-1.61779 # DEPENDENCYPART_ARC
(23,29),-1.05864 # DEPENDENCYPART_ARC
(25,14),-2.4166 # DEPENDENCYPART_ARC
(25,20),-1.1965 # DEPENDENCYPART_ARC
(25,21),-0.936115 # DEPENDENCYPART_ARC
(25,22),-0.201405 # DEPENDENCYPART_ARC
(25,23),0.161538 # DEPENDENCYPART_ARC
(25,24),-0.0342356 # DEPENDENCYPART_ARC
(25,26),0.314596 # DEPENDENCYPART_ARC
(25,27),-1.35707 # DEPENDENCYPART_ARC
(25,28),-1.31841 # DEPENDENCYPART_ARC
(25,29),-1.35321 # DEPENDENCYPART_ARC
(26,25),-0.571363 # DEPENDENCYPART_ARC
(26,27),0.094318 # DEPENDENCYPART_ARC
(26,28),0.309567 # DEPENDENCYPART_ARC
(28,21),-1.41004 # DEPENDENCYPART_ARC
(28,22),-1.47061 # DEPENDENCYPART_ARC
(28,23),-1.2513 # DEPENDENCYPART_ARC
(28,25),-1.38247 # DEPENDENCYPART_ARC
(28,27),1.22927 # DEPENDENCYPART_ARC
(28,29),-0.287106 # DEPENDENCYPART_ARC
(29,28),-0.340242 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0241196 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.105952 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0422505 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.113234 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.101439 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0955794 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0252476 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0813939 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0940158 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0688869 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.158535 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.16225 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.100256 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.092261 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.166459 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.000966741 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0281089 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.129443 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0256024 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.149172 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0101287 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0848723 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00427347 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0132365 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.00427347 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0170701 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.125435 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.164376 # DEPENDENCYPART_SIBL
(2,1),(2,29),-0.116278 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.028681 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0164691 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00673975 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0191402 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0103641 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0297893 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.022229 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0297893 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.00851451 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0066015 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0209667 # DEPENDENCYPART_SIBL
(2,3),(2,29),0.0223489 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0244107 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00540218 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0221056 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.000556044 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0102804 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0222212 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0102804 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.00160712 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.000187919 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.00488902 # DEPENDENCYPART_SIBL
(2,4),(2,29),-0.0074259 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0336714 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0151764 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0272899 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0127623 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0185891 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0127623 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0231657 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0169152 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00941034 # DEPENDENCYPART_SIBL
(2,6),(2,29),0.011202 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0164398 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00945387 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.016612 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0239623 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.016612 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0226516 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0287344 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0342966 # DEPENDENCYPART_SIBL
(2,7),(2,29),0.0223657 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0305233 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0101855 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0169962 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0101855 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0215741 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0148971 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.00739227 # DEPENDENCYPART_SIBL
(2,9),(2,29),0.0196504 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.018849 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0293306 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.018849 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0309657 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0334123 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0395253 # DEPENDENCYPART_SIBL
(2,10),(2,29),-0.00173969 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0450408 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0272236 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.00261244 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0863635 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0256473 # DEPENDENCYPART_SIBL
(2,12),(2,29),-0.00710624 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0201368 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0235493 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0165055 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.00916689 # DEPENDENCYPART_SIBL
(2,15),(2,29),-0.000254831 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.00261244 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0863635 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.0256473 # DEPENDENCYPART_SIBL
(2,16),(2,29),-0.00710624 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.00671739 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.00494427 # DEPENDENCYPART_SIBL
(2,17),(2,29),0.0325425 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.00851348 # DEPENDENCYPART_SIBL
(2,18),(2,29),0.00210462 # DEPENDENCYPART_SIBL
(2,19),(2,29),0.011317 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0603619 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.152444 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00432858 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00325717 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0539543 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0195669 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0367847 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0739167 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.078278 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0667176 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0555072 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0570626 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0563528 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00801937 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0563627 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0201739 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0324949 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0657737 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0201739 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0535642 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.08709 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0689502 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0208538 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0742103 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.0373868 # DEPENDENCYPART_SIBL
(4,1),(4,29),-0.106811 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0220413 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0769274 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0268508 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0654076 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0187693 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0186852 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0365977 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0192129 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00264152 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00783881 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0305062 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.00264152 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0117884 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0167124 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0297138 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0220544 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0434983 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.0147572 # DEPENDENCYPART_SIBL
(4,2),(4,29),0.0153485 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0548584 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00766583 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.050361 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00368678 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00297751 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0252972 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00298795 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0593515 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0170188 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0350567 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0593515 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0357723 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0177014 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0381099 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0460205 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.00575962 # DEPENDENCYPART_SIBL
(4,3),(4,26),-0.108754 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.162504 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0218979 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0311571 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.019959 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0199587 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.032601 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0199624 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0177654 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0344175 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0207186 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0177654 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0119286 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0184939 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0264872 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0386544 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.00121422 # DEPENDENCYPART_SIBL
(4,5),(4,26),-0.0388453 # DEPENDENCYPART_SIBL
(4,5),(4,29),0.0106619 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0423041 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0296715 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0303421 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.034402 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0322481 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00444101 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0355234 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0351886 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.00444101 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0432236 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.033981 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0332172 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.00723853 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.00108307 # DEPENDENCYPART_SIBL
(4,6),(4,26),0.0213788 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.0210447 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.051624 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0516202 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.10473 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.051627 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0642193 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0655475 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0571404 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0642193 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0524935 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0550322 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0807422 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.120471 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0413 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.0640562 # DEPENDENCYPART_SIBL
