# _root_ In the U.S. , radiation limits are set and monitored by the Nuclear Regulatory Commission , which licenses reactors that process the topaz .
#goldHeads=7,3,1,7,6,7,0,9,7,9,9,15,15,15,11,15,18,15,18,21,19,23,21,7,
#predictedHeads=7,3,1,7,6,7,0,9,7,9,10,15,15,15,11,15,18,15,18,21,19,23,21,7,
(9,12),-1.29224 # DEPENDENCYPART_ARC
(9,13),-1.3093 # DEPENDENCYPART_ARC
(9,14),-1.42049 # DEPENDENCYPART_ARC
(9,15),-1.61498 # DEPENDENCYPART_ARC
(9,16),-1.28478 # DEPENDENCYPART_ARC
(9,18),-2.27037 # DEPENDENCYPART_ARC
(9,19),-2.63251 # DEPENDENCYPART_ARC
(9,21),-2.40378 # DEPENDENCYPART_ARC
(9,23),-2.84215 # DEPENDENCYPART_ARC
(9,24),-1.02197 # DEPENDENCYPART_ARC
(10,6),-2.56576 # DEPENDENCYPART_ARC
(10,11),-0.0423212 # DEPENDENCYPART_ARC
(10,13),-1.82795 # DEPENDENCYPART_ARC
(10,14),-1.87746 # DEPENDENCYPART_ARC
(10,15),-1.88074 # DEPENDENCYPART_ARC
(10,16),-2.07643 # DEPENDENCYPART_ARC
(10,18),-2.678 # DEPENDENCYPART_ARC
(10,19),-3.51029 # DEPENDENCYPART_ARC
(10,21),-2.89418 # DEPENDENCYPART_ARC
(10,24),-1.62673 # DEPENDENCYPART_ARC
(11,9),-0.964496 # DEPENDENCYPART_ARC
(11,10),-0.311312 # DEPENDENCYPART_ARC
(11,12),-0.0670459 # DEPENDENCYPART_ARC
(11,13),-0.248499 # DEPENDENCYPART_ARC
(11,14),-0.895474 # DEPENDENCYPART_ARC
(11,15),-0.901357 # DEPENDENCYPART_ARC
(11,16),-1.33326 # DEPENDENCYPART_ARC
(11,18),-2.22888 # DEPENDENCYPART_ARC
(11,19),-2.76725 # DEPENDENCYPART_ARC
(13,12),-0.738875 # DEPENDENCYPART_ARC
(13,14),-0.596987 # DEPENDENCYPART_ARC
(13,15),-1.62935 # DEPENDENCYPART_ARC
(13,18),-1.67094 # DEPENDENCYPART_ARC
(13,19),-2.37025 # DEPENDENCYPART_ARC
(13,21),-1.81569 # DEPENDENCYPART_ARC
(14,12),-1.17527 # DEPENDENCYPART_ARC
(14,13),-0.20443 # DEPENDENCYPART_ARC
(14,15),-0.868136 # DEPENDENCYPART_ARC
(14,18),-1.92303 # DEPENDENCYPART_ARC
(14,19),-2.49864 # DEPENDENCYPART_ARC
(14,21),-2.15335 # DEPENDENCYPART_ARC
(15,10),-1.2631 # DEPENDENCYPART_ARC
(15,12),-0.407886 # DEPENDENCYPART_ARC
(15,13),0.64037 # DEPENDENCYPART_ARC
(15,14),1.52779 # DEPENDENCYPART_ARC
(15,16),0.495752 # DEPENDENCYPART_ARC
(15,18),-1.47164 # DEPENDENCYPART_ARC
(15,19),-1.76141 # DEPENDENCYPART_ARC
(15,21),-1.78107 # DEPENDENCYPART_ARC
(15,23),-1.91702 # DEPENDENCYPART_ARC
(15,24),-2.21333 # DEPENDENCYPART_ARC
(18,1),-1.56457 # DEPENDENCYPART_ARC
(18,3),-2.0269 # DEPENDENCYPART_ARC
(18,4),-2.81777 # DEPENDENCYPART_ARC
(18,7),-2.0768 # DEPENDENCYPART_ARC
(18,8),-1.83124 # DEPENDENCYPART_ARC
(18,9),-1.74463 # DEPENDENCYPART_ARC
(18,10),-1.65772 # DEPENDENCYPART_ARC
(18,11),-1.69822 # DEPENDENCYPART_ARC
(18,15),-2.37213 # DEPENDENCYPART_ARC
(18,16),-1.00668 # DEPENDENCYPART_ARC
(18,17),0.441323 # DEPENDENCYPART_ARC
(18,19),0.658353 # DEPENDENCYPART_ARC
(18,21),-0.755132 # DEPENDENCYPART_ARC
(18,23),-1.16021 # DEPENDENCYPART_ARC
(18,24),-0.809946 # DEPENDENCYPART_ARC
(19,12),-2.12824 # DEPENDENCYPART_ARC
(19,13),-2.11061 # DEPENDENCYPART_ARC
(19,14),-1.65221 # DEPENDENCYPART_ARC
(19,15),-1.86627 # DEPENDENCYPART_ARC
(19,16),-1.64662 # DEPENDENCYPART_ARC
(19,17),-0.827942 # DEPENDENCYPART_ARC
(19,18),0.451525 # DEPENDENCYPART_ARC
(19,21),-0.317971 # DEPENDENCYPART_ARC
(19,23),-1.40267 # DEPENDENCYPART_ARC
(19,24),-1.61776 # DEPENDENCYPART_ARC
(21,1),-1.54674 # DEPENDENCYPART_ARC
(21,3),-1.89758 # DEPENDENCYPART_ARC
(21,4),-3.13631 # DEPENDENCYPART_ARC
(21,7),-2.36343 # DEPENDENCYPART_ARC
(21,8),-1.9152 # DEPENDENCYPART_ARC
(21,9),-1.83419 # DEPENDENCYPART_ARC
(21,11),-1.77846 # DEPENDENCYPART_ARC
(21,16),-2.08154 # DEPENDENCYPART_ARC
(21,17),-1.2983 # DEPENDENCYPART_ARC
(21,18),-1.5542 # DEPENDENCYPART_ARC
(21,19),-1.15704 # DEPENDENCYPART_ARC
(21,20),0.656976 # DEPENDENCYPART_ARC
(21,22),-0.0520709 # DEPENDENCYPART_ARC
(21,23),0.142205 # DEPENDENCYPART_ARC
(21,24),-0.453902 # DEPENDENCYPART_ARC
(23,12),-2.80627 # DEPENDENCYPART_ARC
(23,17),-1.97051 # DEPENDENCYPART_ARC
(23,19),-1.37502 # DEPENDENCYPART_ARC
(23,20),-1.43715 # DEPENDENCYPART_ARC
(23,21),-0.844702 # DEPENDENCYPART_ARC
(23,22),1.35976 # DEPENDENCYPART_ARC
(23,24),-0.381766 # DEPENDENCYPART_ARC
(24,23),-0.6238 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0258781 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0227011 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.12217 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.110601 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0709723 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.116389 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.11636 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.114518 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0607127 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.11433 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.126855 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.105812 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.121809 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.121512 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.122144 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.11674 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.124516 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.10513 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.11947 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.119173 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.119805 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.236356 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.18796 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.234926 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.234795 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.236662 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.182647 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.216945 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.216813 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.21869 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.154054 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.152851 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.152851 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.225466 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.227332 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.227332 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0840618 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00625376 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0800405 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0800405 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0384214 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0984323 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0489482 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0324626 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.123878 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.123994 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00273147 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.17957 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0161911 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0623484 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0606417 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0037883 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0889304 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.00659134 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.120358 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0104231 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.178244 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0102345 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.00451975 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.178262 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0183124 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.110927 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0207868 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0670581 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0590957 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0252852 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0246882 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0239022 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0639427 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.181772 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.02891 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.1303 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0191198 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0252852 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0852809 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0947644 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.10193 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0488756 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0503996 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0107383 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0365316 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0199358 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00443103 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0456858 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0652482 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0135685 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0170929 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.00370304 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0222035 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0443341 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0136364 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0450337 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0113153 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0112177 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0204348 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0308376 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0278918 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.013101 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0372172 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00651967 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.043838 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.00444209 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.00990617 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0265509 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0237208 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.020775 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0198822 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00177916 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0244783 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00477293 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.006713 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0576201 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0219699 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0202532 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.0504239 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0239899 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.00993384 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0131489 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0447681 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.00347033 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.00176293 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.00345086 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0120548 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0414004 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0317201 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0156755 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0120923 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.00154292 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.00110629 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.00836015 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0201799 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.0246782 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.0230711 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.00602264 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0317403 # DEPENDENCYPART_SIBL
(3,15),(3,21),-0.0287944 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.00893238 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0135685 # DEPENDENCYPART_SIBL
(3,16),(3,21),0.0170929 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.00370304 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.0157064 # DEPENDENCYPART_SIBL
(3,18),(3,24),-0.00882304 # DEPENDENCYPART_SIBL
(3,21),(3,24),-0.014891 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00215175 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0250836 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.000162421 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0227896 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00290938 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.032898 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0285821 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.050518 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0185419 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00105914 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.121935 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00860114 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0805418 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0972594 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0314982 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0275489 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0491747 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0943266 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0217698 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.029209 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0522251 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.128438 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0209105 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0377101 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0150109 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0190116 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0116803 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0107106 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00478816 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0282658 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0018656 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0100353 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0151574 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0282409 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0384373 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0229751 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0227719 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.00361427 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0484942 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0162302 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0539766 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.146027 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.256818 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0104339 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0725558 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00593547 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0373138 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0944879 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0849873 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0464655 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.12951 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0436361 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0824832 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0247758 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0939411 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0126105 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0425233 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0796969 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.064809 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.127664 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.035945 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.126362 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00130689 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0831798 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00690985 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.15019 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0124376 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0561817 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0200098 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0172983 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0188976 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.000898951 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.062297 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.018416 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0224523 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0071441 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0463751 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.00962197 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0453949 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0203443 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.00453134 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.00291805 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.00679506 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0155332 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0192567 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0596553 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.00291703 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.00165592 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0869638 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.047376 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0417426 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0920055 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0507742 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.0346131 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.108054 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.134502 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0769858 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0800044 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.140321 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.131259 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.14008 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.10455 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0357255 # DEPENDENCYPART_SIBL
(7,2),(7,24),-0.141716 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0308622 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.113857 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.111605 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0225893 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.00838493 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00250993 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.127268 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.00181548 # DEPENDENCYPART_SIBL
(7,3),(7,24),-0.0302178 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00502714 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.00848061 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00932482 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00673489 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.00622639 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.021156 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.248492 # DEPENDENCYPART_SIBL
