# _root_ With the exception of August , when exports rose 2.1 % , exports have declined every month from year-earlier levels since March .
#goldHeads=14,3,1,3,4,5,9,9,5,11,9,14,14,0,14,17,15,15,20,18,15,21,14,
#predictedHeads=14,3,1,3,4,5,9,9,5,11,9,14,14,0,14,17,15,15,20,18,20,21,14,
(11,5),-2.54344 # DEPENDENCYPART_ARC
(11,6),-1.72239 # DEPENDENCYPART_ARC
(11,8),-1.17255 # DEPENDENCYPART_ARC
(11,9),-0.66626 # DEPENDENCYPART_ARC
(11,10),0.967708 # DEPENDENCYPART_ARC
(11,12),0.30965 # DEPENDENCYPART_ARC
(11,13),-1.08075 # DEPENDENCYPART_ARC
(11,14),-1.51111 # DEPENDENCYPART_ARC
(11,15),-2.07049 # DEPENDENCYPART_ARC
(11,17),-1.4511 # DEPENDENCYPART_ARC
(11,20),-1.50287 # DEPENDENCYPART_ARC
(11,22),-1.75364 # DEPENDENCYPART_ARC
(11,23),-2.07959 # DEPENDENCYPART_ARC
(13,1),-1.51587 # DEPENDENCYPART_ARC
(13,4),-1.33275 # DEPENDENCYPART_ARC
(13,5),-1.98487 # DEPENDENCYPART_ARC
(13,7),-2.17255 # DEPENDENCYPART_ARC
(13,8),-1.86619 # DEPENDENCYPART_ARC
(13,9),-1.50229 # DEPENDENCYPART_ARC
(13,10),-1.30291 # DEPENDENCYPART_ARC
(13,11),-0.784166 # DEPENDENCYPART_ARC
(13,12),0.224177 # DEPENDENCYPART_ARC
(13,14),-0.206955 # DEPENDENCYPART_ARC
(13,15),-1.24491 # DEPENDENCYPART_ARC
(13,17),-1.36843 # DEPENDENCYPART_ARC
(13,18),-1.0843 # DEPENDENCYPART_ARC
(14,1),-0.158189 # DEPENDENCYPART_ARC
(14,3),-0.567364 # DEPENDENCYPART_ARC
(14,4),-0.936883 # DEPENDENCYPART_ARC
(14,5),-0.715157 # DEPENDENCYPART_ARC
(14,6),-2.28861 # DEPENDENCYPART_ARC
(14,7),-1.30521 # DEPENDENCYPART_ARC
(14,8),-1.52027 # DEPENDENCYPART_ARC
(14,9),-1.63431 # DEPENDENCYPART_ARC
(14,10),-1.67177 # DEPENDENCYPART_ARC
(14,11),-1.44784 # DEPENDENCYPART_ARC
(14,12),-0.257354 # DEPENDENCYPART_ARC
(14,13),0.993609 # DEPENDENCYPART_ARC
(14,15),1.41284 # DEPENDENCYPART_ARC
(14,16),-0.802821 # DEPENDENCYPART_ARC
(14,17),-0.676779 # DEPENDENCYPART_ARC
(14,18),-0.981185 # DEPENDENCYPART_ARC
(14,19),-1.44286 # DEPENDENCYPART_ARC
(14,20),-1.18815 # DEPENDENCYPART_ARC
(14,21),-1.17297 # DEPENDENCYPART_ARC
(14,23),0.170722 # DEPENDENCYPART_ARC
(15,1),-1.32884 # DEPENDENCYPART_ARC
(15,3),-1.75442 # DEPENDENCYPART_ARC
(15,5),-1.6424 # DEPENDENCYPART_ARC
(15,6),-2.72426 # DEPENDENCYPART_ARC
(15,7),-1.70823 # DEPENDENCYPART_ARC
(15,8),-2.6928 # DEPENDENCYPART_ARC
(15,9),-2.24071 # DEPENDENCYPART_ARC
(15,11),-2.54306 # DEPENDENCYPART_ARC
(15,12),-1.63346 # DEPENDENCYPART_ARC
(15,13),-1.30413 # DEPENDENCYPART_ARC
(15,14),-0.919331 # DEPENDENCYPART_ARC
(15,16),0.2402 # DEPENDENCYPART_ARC
(15,17),0.443731 # DEPENDENCYPART_ARC
(15,18),-0.462792 # DEPENDENCYPART_ARC
(15,19),-0.925961 # DEPENDENCYPART_ARC
(15,20),-0.285581 # DEPENDENCYPART_ARC
(15,21),-0.841864 # DEPENDENCYPART_ARC
(15,22),-0.952706 # DEPENDENCYPART_ARC
(15,23),0.108147 # DEPENDENCYPART_ARC
(16,18),-1.07643 # DEPENDENCYPART_ARC
(17,13),-1.57979 # DEPENDENCYPART_ARC
(17,14),-1.43322 # DEPENDENCYPART_ARC
(17,15),-0.788665 # DEPENDENCYPART_ARC
(17,16),1.08804 # DEPENDENCYPART_ARC
(17,18),0.241217 # DEPENDENCYPART_ARC
(17,19),-1.06916 # DEPENDENCYPART_ARC
(17,20),-1.20904 # DEPENDENCYPART_ARC
(17,21),-0.923556 # DEPENDENCYPART_ARC
(17,22),-1.64531 # DEPENDENCYPART_ARC
(17,23),-1.08717 # DEPENDENCYPART_ARC
(18,16),-1.24927 # DEPENDENCYPART_ARC
(18,17),-0.400069 # DEPENDENCYPART_ARC
(18,19),0.20142 # DEPENDENCYPART_ARC
(18,20),0.0799999 # DEPENDENCYPART_ARC
(18,21),-1.04896 # DEPENDENCYPART_ARC
(18,22),-0.899838 # DEPENDENCYPART_ARC
(18,23),-1.17703 # DEPENDENCYPART_ARC
(19,11),-2.15432 # DEPENDENCYPART_ARC
(19,16),-1.6081 # DEPENDENCYPART_ARC
(19,17),-1.32331 # DEPENDENCYPART_ARC
(19,21),-1.11468 # DEPENDENCYPART_ARC
(19,22),-1.52673 # DEPENDENCYPART_ARC
(20,13),-2.08402 # DEPENDENCYPART_ARC
(20,15),-1.18754 # DEPENDENCYPART_ARC
(20,16),-1.27106 # DEPENDENCYPART_ARC
(20,17),-1.2056 # DEPENDENCYPART_ARC
(20,18),-0.877474 # DEPENDENCYPART_ARC
(20,19),1.43643 # DEPENDENCYPART_ARC
(20,21),0.310266 # DEPENDENCYPART_ARC
(20,22),-1.11515 # DEPENDENCYPART_ARC
(20,23),-1.18575 # DEPENDENCYPART_ARC
(21,17),-1.64044 # DEPENDENCYPART_ARC
(21,18),-1.28896 # DEPENDENCYPART_ARC
(21,19),-1.4439 # DEPENDENCYPART_ARC
(21,20),-0.575937 # DEPENDENCYPART_ARC
(21,22),0.504122 # DEPENDENCYPART_ARC
(22,17),-2.28189 # DEPENDENCYPART_ARC
(22,19),-1.69359 # DEPENDENCYPART_ARC
(22,20),-1.22904 # DEPENDENCYPART_ARC
(22,21),-0.348242 # DEPENDENCYPART_ARC
(22,23),-0.293895 # DEPENDENCYPART_ARC
(23,21),-1.03107 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.024052 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0240544 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.101923 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0963678 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0984171 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0508102 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.102773 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.109719 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.102825 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.103155 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.110101 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.103206 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.159138 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.167577 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.170186 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.042339 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0086149 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0423564 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0154102 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0423393 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0428851 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0154102 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0396037 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00557159 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0937165 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0344604 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0938672 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0497903 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0344604 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0495207 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0679425 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.014585 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0680098 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0189494 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.014585 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0116888 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0388248 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0974785 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0534101 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0388248 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0531405 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0325146 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.00964549 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0281069 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0590089 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0493139 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0348717 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0490443 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0742234 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.00893715 # DEPENDENCYPART_SIBL
(1,12),(1,14),0.0590089 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.000975764 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0242778 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0221615 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00223027 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0201611 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00774605 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0448172 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0228017 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0201611 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00774605 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0286917 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0407252 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0284382 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0182 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0221217 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.269175 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00832721 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00852139 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0117162 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.107203 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0475613 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00852139 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0117162 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.124864 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.122168 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.140616 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.067598 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.115164 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00356396 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.020393 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00300827 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0470715 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0476799 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.020393 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00300827 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0422436 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0472801 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0349729 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0260767 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.011817 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0145178 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0123011 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0174549 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00583556 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0145178 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0123011 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0113268 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0181554 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.00957499 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0127525 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0201678 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0389213 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0225035 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.00139446 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0363712 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0389213 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0957326 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0179402 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.00546506 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.000380651 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.00262012 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0182765 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00655089 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0127515 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0130165 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0121485 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.018977 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0102503 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0118905 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0147425 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0378301 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0133689 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0224689 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.000668688 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0195138 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.00359632 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.00978113 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.00619602 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0422193 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.00782183 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.010318 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0163844 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0271492 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.0250331 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.0281809 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0389213 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0957326 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0179402 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.00546506 # DEPENDENCYPART_SIBL
(3,12),(3,21),0.000380651 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.00262012 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0121485 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.018977 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0102503 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0118905 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0147425 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.000818119 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.0192579 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.032583 # DEPENDENCYPART_SIBL
(3,14),(3,23),0.00361594 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.00211745 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.00979014 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.00846942 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.090341 # DEPENDENCYPART_SIBL
(3,18),(3,23),0.105502 # DEPENDENCYPART_SIBL
(3,21),(3,23),0.0493144 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0745246 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.083993 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0647187 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0859923 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0539986 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0951132 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0859923 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.103777 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.111807 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.102558 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0342891 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.126903 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.102558 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0153091 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.113798 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0431349 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0681708 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.113798 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0165943 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0463075 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00167371 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0165943 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0390365 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0639685 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.109596 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0193474 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0442149 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0648279 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0451767 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.024216 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00860592 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0131043 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.105717 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.141164 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0489495 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00860592 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0131043 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.123377 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.120682 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.142001 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.116548 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0164503 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0529376 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0181853 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0380819 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0651674 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0142999 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0529376 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0181853 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0201221 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0448228 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0677528 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0101774 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0535765 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0307772 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0388128 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.051234 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0480082 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0535765 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0307772 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.018515 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0378617 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0729166 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.0102639 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0439901 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0365078 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0413428 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00646329 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0397188 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0439901 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.109737 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0319445 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.00152515 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.00245644 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0152977 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0124242 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00655503 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0120216 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0130206 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.00916962 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0159982 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.00927232 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.014742 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0256796 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0381652 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0116511 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0228039 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.00331642 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0168661 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.00490644 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.00652745 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0210663 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.00623654 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0312012 # DEPENDENCYPART_SIBL
