# _root_ Those withdrawals , most of which were transferred to other T. Rowe Price funds , followed little change in the fund 's sales picture this year through August .
#goldHeads=2,16,2,5,7,5,2,7,8,14,14,14,14,9,2,0,18,16,18,21,24,21,24,19,26,16,26,27,16,
#predictedHeads=2,16,2,5,7,5,2,7,8,14,14,14,14,9,2,0,18,16,18,21,24,21,24,19,26,16,16,27,16,
(9,10),0.078905 # DEPENDENCYPART_ARC
(9,11),-0.41678 # DEPENDENCYPART_ARC
(9,12),-0.985569 # DEPENDENCYPART_ARC
(9,13),-1.27985 # DEPENDENCYPART_ARC
(9,14),-1.37372 # DEPENDENCYPART_ARC
(9,15),-0.920483 # DEPENDENCYPART_ARC
(9,16),-1.96172 # DEPENDENCYPART_ARC
(9,18),-2.93171 # DEPENDENCYPART_ARC
(9,19),-2.22691 # DEPENDENCYPART_ARC
(10,5),-1.48381 # DEPENDENCYPART_ARC
(10,9),-0.225648 # DEPENDENCYPART_ARC
(10,11),-0.43796 # DEPENDENCYPART_ARC
(10,12),-1.3236 # DEPENDENCYPART_ARC
(11,10),-0.609924 # DEPENDENCYPART_ARC
(11,12),-0.610522 # DEPENDENCYPART_ARC
(11,13),-1.52096 # DEPENDENCYPART_ARC
(11,14),-1.93727 # DEPENDENCYPART_ARC
(11,15),-2.08169 # DEPENDENCYPART_ARC
(11,16),-2.05523 # DEPENDENCYPART_ARC
(12,10),-1.41075 # DEPENDENCYPART_ARC
(12,11),0.00274245 # DEPENDENCYPART_ARC
(12,13),-0.479456 # DEPENDENCYPART_ARC
(12,14),-1.58584 # DEPENDENCYPART_ARC
(12,15),-1.84305 # DEPENDENCYPART_ARC
(12,16),-2.08134 # DEPENDENCYPART_ARC
(13,8),-2.06983 # DEPENDENCYPART_ARC
(13,10),-1.76893 # DEPENDENCYPART_ARC
(13,11),-0.581786 # DEPENDENCYPART_ARC
(13,12),0.323399 # DEPENDENCYPART_ARC
(13,14),-0.880588 # DEPENDENCYPART_ARC
(13,15),-1.94673 # DEPENDENCYPART_ARC
(13,16),-2.21451 # DEPENDENCYPART_ARC
(13,18),-2.3779 # DEPENDENCYPART_ARC
(14,3),-1.47834 # DEPENDENCYPART_ARC
(14,5),-1.0381 # DEPENDENCYPART_ARC
(14,8),-0.971096 # DEPENDENCYPART_ARC
(14,9),-1.36112 # DEPENDENCYPART_ARC
(14,10),-0.343773 # DEPENDENCYPART_ARC
(14,11),0.407404 # DEPENDENCYPART_ARC
(14,12),0.928538 # DEPENDENCYPART_ARC
(14,13),2.04513 # DEPENDENCYPART_ARC
(14,15),-0.0139701 # DEPENDENCYPART_ARC
(14,16),-1.98183 # DEPENDENCYPART_ARC
(14,17),-2.11786 # DEPENDENCYPART_ARC
(14,18),-1.89024 # DEPENDENCYPART_ARC
(14,19),-2.4707 # DEPENDENCYPART_ARC
(14,24),-2.22485 # DEPENDENCYPART_ARC
(14,26),-2.33553 # DEPENDENCYPART_ARC
(14,29),-2.32837 # DEPENDENCYPART_ARC
(16,1),-1.14744 # DEPENDENCYPART_ARC
(16,2),-0.776955 # DEPENDENCYPART_ARC
(16,3),-1.94071 # DEPENDENCYPART_ARC
(16,4),-1.32221 # DEPENDENCYPART_ARC
(16,5),-1.66193 # DEPENDENCYPART_ARC
(16,6),-1.94652 # DEPENDENCYPART_ARC
(16,7),-1.41093 # DEPENDENCYPART_ARC
(16,8),-1.12595 # DEPENDENCYPART_ARC
(16,9),-2.06319 # DEPENDENCYPART_ARC
(16,10),-1.47782 # DEPENDENCYPART_ARC
(16,11),-1.78069 # DEPENDENCYPART_ARC
(16,12),-1.67711 # DEPENDENCYPART_ARC
(16,13),-1.57041 # DEPENDENCYPART_ARC
(16,14),-1.21254 # DEPENDENCYPART_ARC
(16,15),0.86572 # DEPENDENCYPART_ARC
(16,17),0.453721 # DEPENDENCYPART_ARC
(16,18),0.512324 # DEPENDENCYPART_ARC
(16,19),-0.336804 # DEPENDENCYPART_ARC
(16,21),-0.526055 # DEPENDENCYPART_ARC
(16,23),-0.877824 # DEPENDENCYPART_ARC
(16,24),-0.655702 # DEPENDENCYPART_ARC
(16,26),-0.608505 # DEPENDENCYPART_ARC
(16,27),-1.05815 # DEPENDENCYPART_ARC
(16,28),-1.14158 # DEPENDENCYPART_ARC
(16,29),0.700338 # DEPENDENCYPART_ARC
(17,9),-2.12528 # DEPENDENCYPART_ARC
(17,18),-0.330236 # DEPENDENCYPART_ARC
(17,19),-1.25982 # DEPENDENCYPART_ARC
(17,21),-1.62278 # DEPENDENCYPART_ARC
(17,24),-1.80044 # DEPENDENCYPART_ARC
(18,2),-3.01838 # DEPENDENCYPART_ARC
(18,10),-1.8713 # DEPENDENCYPART_ARC
(18,11),-2.2132 # DEPENDENCYPART_ARC
(18,12),-2.06367 # DEPENDENCYPART_ARC
(18,13),-1.54914 # DEPENDENCYPART_ARC
(18,14),-1.91727 # DEPENDENCYPART_ARC
(18,15),-1.70783 # DEPENDENCYPART_ARC
(18,16),-0.612848 # DEPENDENCYPART_ARC
(18,17),1.76555 # DEPENDENCYPART_ARC
(18,19),0.360538 # DEPENDENCYPART_ARC
(18,21),-1.43858 # DEPENDENCYPART_ARC
(18,23),-1.62758 # DEPENDENCYPART_ARC
(18,24),-1.6222 # DEPENDENCYPART_ARC
(18,26),-1.6675 # DEPENDENCYPART_ARC
(18,27),-1.39839 # DEPENDENCYPART_ARC
(18,28),-1.83677 # DEPENDENCYPART_ARC
(18,29),-1.91576 # DEPENDENCYPART_ARC
(19,17),-1.71983 # DEPENDENCYPART_ARC
(19,18),-0.730614 # DEPENDENCYPART_ARC
(19,20),0.0240002 # DEPENDENCYPART_ARC
(19,21),-0.170407 # DEPENDENCYPART_ARC
(19,23),-0.976346 # DEPENDENCYPART_ARC
(19,24),-1.05919 # DEPENDENCYPART_ARC
(19,26),-1.95617 # DEPENDENCYPART_ARC
(19,27),-1.4143 # DEPENDENCYPART_ARC
(19,28),-2.17414 # DEPENDENCYPART_ARC
(21,17),-1.41419 # DEPENDENCYPART_ARC
(21,18),-1.23738 # DEPENDENCYPART_ARC
(21,19),-0.944714 # DEPENDENCYPART_ARC
(21,20),1.75932 # DEPENDENCYPART_ARC
(21,22),1.01603 # DEPENDENCYPART_ARC
(21,23),-0.993023 # DEPENDENCYPART_ARC
(21,24),-1.24892 # DEPENDENCYPART_ARC
(21,26),-1.36716 # DEPENDENCYPART_ARC
(21,27),-1.13211 # DEPENDENCYPART_ARC
(21,28),-1.57773 # DEPENDENCYPART_ARC
(22,29),-1.0646 # DEPENDENCYPART_ARC
(23,20),-1.9185 # DEPENDENCYPART_ARC
(23,21),-0.559685 # DEPENDENCYPART_ARC
(23,22),-0.606992 # DEPENDENCYPART_ARC
(23,24),-0.627255 # DEPENDENCYPART_ARC
(23,26),-1.63432 # DEPENDENCYPART_ARC
(23,27),-1.40948 # DEPENDENCYPART_ARC
(23,28),-2.07311 # DEPENDENCYPART_ARC
(24,17),-1.75096 # DEPENDENCYPART_ARC
(24,18),-1.76198 # DEPENDENCYPART_ARC
(24,19),-1.33997 # DEPENDENCYPART_ARC
(24,20),-0.784701 # DEPENDENCYPART_ARC
(24,21),-0.24219 # DEPENDENCYPART_ARC
(24,22),-0.938522 # DEPENDENCYPART_ARC
(24,23),1.66648 # DEPENDENCYPART_ARC
(24,25),-0.713329 # DEPENDENCYPART_ARC
(24,26),-0.961767 # DEPENDENCYPART_ARC
(24,27),-1.17498 # DEPENDENCYPART_ARC
(24,28),-1.57176 # DEPENDENCYPART_ARC
(24,29),-1.29386 # DEPENDENCYPART_ARC
(25,27),-1.34787 # DEPENDENCYPART_ARC
(26,20),-2.19052 # DEPENDENCYPART_ARC
(26,21),-1.27117 # DEPENDENCYPART_ARC
(26,23),-0.952075 # DEPENDENCYPART_ARC
(26,24),-0.755936 # DEPENDENCYPART_ARC
(26,25),1.0567 # DEPENDENCYPART_ARC
(26,27),-0.0746518 # DEPENDENCYPART_ARC
(26,28),-1.41271 # DEPENDENCYPART_ARC
(26,29),-1.34916 # DEPENDENCYPART_ARC
(27,24),-1.63334 # DEPENDENCYPART_ARC
(27,25),-1.56736 # DEPENDENCYPART_ARC
(27,26),-0.661242 # DEPENDENCYPART_ARC
(27,28),0.658722 # DEPENDENCYPART_ARC
(28,21),-2.24081 # DEPENDENCYPART_ARC
(28,23),-1.68525 # DEPENDENCYPART_ARC
(28,24),-1.80919 # DEPENDENCYPART_ARC
(28,25),-1.96678 # DEPENDENCYPART_ARC
(28,26),-1.22265 # DEPENDENCYPART_ARC
(28,29),-0.339312 # DEPENDENCYPART_ARC
(29,28),-0.604915 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0164595 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0783488 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0776757 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.00465183 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0777208 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.12541 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.124544 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0100726 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.121638 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.226987 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0756865 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.227374 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0754769 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.2265 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.102843 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00677215 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0380132 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0184354 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0278151 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0607373 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.077459 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00619911 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0440968 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0147227 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0885335 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0278151 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0531116 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.073183 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0507483 # DEPENDENCYPART_SIBL
(2,1),(2,29),-0.0260481 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00212109 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0218514 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0282357 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0223242 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0196564 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0380933 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0393972 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0487289 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0580243 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0116071 # DEPENDENCYPART_SIBL
(2,3),(2,29),0.0050613 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.000901181 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00556956 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00843128 # DEPENDENCYPART_SIBL
(2,4),(2,9),7.17682e-05 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0108776 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.00703324 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.000638684 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0120539 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.00629495 # DEPENDENCYPART_SIBL
(2,4),(2,29),-0.00749031 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0962377 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0472052 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0256404 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0158089 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0170325 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0311413 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0328039 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0152881 # DEPENDENCYPART_SIBL
(2,5),(2,29),-0.0331566 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0106644 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00312475 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.019155 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.030402 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.00436516 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0163264 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.00213813 # DEPENDENCYPART_SIBL
(2,7),(2,29),0.0128439 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00315873 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0122363 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0249066 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.00178277 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0094078 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.00123264 # DEPENDENCYPART_SIBL
(2,8),(2,29),0.00603425 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0100143 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.00507209 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.00314006 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0137879 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0012002 # DEPENDENCYPART_SIBL
(2,9),(2,29),0.0873224 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.00136523 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0112289 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0186069 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.00502934 # DEPENDENCYPART_SIBL
(2,14),(2,29),0.0237386 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0487289 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0580243 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0116071 # DEPENDENCYPART_SIBL
(2,15),(2,29),0.0050613 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.00972633 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.000131755 # DEPENDENCYPART_SIBL
(2,16),(2,29),-0.00251763 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0271 # DEPENDENCYPART_SIBL
(2,18),(2,29),0.0255781 # DEPENDENCYPART_SIBL
(2,19),(2,29),0.00527398 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00944304 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0104999 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0233508 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.135625 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0713432 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0504798 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0114498 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0487075 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0893571 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0885293 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.093678 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0468746 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.193841 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0891915 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0829348 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.160887 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0587005 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0119792 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0130656 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00686562 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.267654 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0255558 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0130395 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.054987 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0570797 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.119596 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.119335 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.126521 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0266161 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0258075 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0357213 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0177109 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0496683 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0496683 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0508972 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0509138 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0470948 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0245432 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.055696 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.055696 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0543309 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0468869 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0236069 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0498224 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0498224 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0484573 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0439585 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.00949504 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00949504 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0151273 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.048219 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0482189 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.04198 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.113583 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.117635 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.117135 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0365845 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0451028 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.00696219 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0222991 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0761004 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0296 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.017183 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0205873 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0221556 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0210131 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0268062 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0602873 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0257551 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0176622 # DEPENDENCYPART_SIBL
(7,1),(7,27),-0.0269175 # DEPENDENCYPART_SIBL
(7,1),(7,29),0.0199012 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0129938 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0419016 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0276005 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.121303 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.00604415 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0601264 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0047581 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.00903646 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.00677775 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.00778333 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0112628 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.00402314 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0468497 # DEPENDENCYPART_SIBL
(7,2),(7,27),-0.0376877 # DEPENDENCYPART_SIBL
(7,2),(7,29),0.0125411 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0102566 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0610551 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.107102 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0204162 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0190891 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00528229 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0397504 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0427699 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0411323 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.208939 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0275455 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0121565 # DEPENDENCYPART_SIBL
(7,3),(7,27),0.0106882 # DEPENDENCYPART_SIBL
(7,3),(7,29),0.0520877 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0602863 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0952541 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0102345 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0317713 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0206204 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0207354 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0223988 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0200739 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0476648 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0138088 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0533837 # DEPENDENCYPART_SIBL
(7,4),(7,27),-0.0482822 # DEPENDENCYPART_SIBL
(7,4),(7,29),-0.0209094 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.099317 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0212889 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0989366 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0682812 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0452975 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0464392 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0385331 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.105121 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0223407 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0796241 # DEPENDENCYPART_SIBL
(7,5),(7,27),-0.0354309 # DEPENDENCYPART_SIBL
(7,5),(7,29),-0.00801643 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0353572 # DEPENDENCYPART_SIBL
