# _root_ `` For $ 10 million , you can move $ 100 million of stocks , '' a specialist on the Big Board gripes .
#goldHeads=8,8,2,3,3,8,8,23,8,9,10,10,10,13,8,8,18,23,18,22,22,19,0,23,
#predictedHeads=23,8,2,3,3,8,8,23,8,9,10,10,10,13,23,23,18,23,18,22,22,19,0,23,
(10,12),-0.145591 # DEPENDENCYPART_ARC
(10,13),-0.891049 # DEPENDENCYPART_ARC
(10,14),-1.15922 # DEPENDENCYPART_ARC
(10,15),-1.13652 # DEPENDENCYPART_ARC
(10,18),-1.87446 # DEPENDENCYPART_ARC
(10,19),-2.15669 # DEPENDENCYPART_ARC
(10,24),-1.31165 # DEPENDENCYPART_ARC
(11,2),-2.27505 # DEPENDENCYPART_ARC
(11,10),-0.580957 # DEPENDENCYPART_ARC
(11,12),-0.695363 # DEPENDENCYPART_ARC
(11,13),-1.06034 # DEPENDENCYPART_ARC
(11,14),-1.26554 # DEPENDENCYPART_ARC
(11,15),-1.27205 # DEPENDENCYPART_ARC
(11,18),-1.98907 # DEPENDENCYPART_ARC
(11,19),-2.04412 # DEPENDENCYPART_ARC
(11,21),-2.00038 # DEPENDENCYPART_ARC
(11,22),-2.16137 # DEPENDENCYPART_ARC
(12,2),-1.72948 # DEPENDENCYPART_ARC
(12,10),-0.978088 # DEPENDENCYPART_ARC
(12,11),0.54121 # DEPENDENCYPART_ARC
(12,13),0.0256398 # DEPENDENCYPART_ARC
(12,14),-0.644964 # DEPENDENCYPART_ARC
(12,15),-0.793546 # DEPENDENCYPART_ARC
(12,16),-1.2235 # DEPENDENCYPART_ARC
(12,18),-1.61275 # DEPENDENCYPART_ARC
(12,19),-1.70095 # DEPENDENCYPART_ARC
(12,21),-1.54523 # DEPENDENCYPART_ARC
(12,22),-1.79004 # DEPENDENCYPART_ARC
(12,24),-1.59851 # DEPENDENCYPART_ARC
(13,10),-1.1308 # DEPENDENCYPART_ARC
(13,11),-1.21232 # DEPENDENCYPART_ARC
(13,12),-0.218081 # DEPENDENCYPART_ARC
(13,14),0.888888 # DEPENDENCYPART_ARC
(13,15),-0.856421 # DEPENDENCYPART_ARC
(13,16),-1.43544 # DEPENDENCYPART_ARC
(13,18),-2.03116 # DEPENDENCYPART_ARC
(13,23),-2.19447 # DEPENDENCYPART_ARC
(14,10),-1.81613 # DEPENDENCYPART_ARC
(14,11),-1.71502 # DEPENDENCYPART_ARC
(14,12),-1.0948 # DEPENDENCYPART_ARC
(14,13),-0.211705 # DEPENDENCYPART_ARC
(14,15),-0.367967 # DEPENDENCYPART_ARC
(14,16),-1.54058 # DEPENDENCYPART_ARC
(14,18),-1.89048 # DEPENDENCYPART_ARC
(14,19),-2.07079 # DEPENDENCYPART_ARC
(14,21),-1.99276 # DEPENDENCYPART_ARC
(14,22),-2.10727 # DEPENDENCYPART_ARC
(14,23),-2.31945 # DEPENDENCYPART_ARC
(14,24),-2.57255 # DEPENDENCYPART_ARC
(15,13),-0.97604 # DEPENDENCYPART_ARC
(17,19),-1.13623 # DEPENDENCYPART_ARC
(18,10),-2.67475 # DEPENDENCYPART_ARC
(18,14),-1.99428 # DEPENDENCYPART_ARC
(18,15),-1.80023 # DEPENDENCYPART_ARC
(18,16),-0.864748 # DEPENDENCYPART_ARC
(18,17),1.28277 # DEPENDENCYPART_ARC
(18,19),0.400334 # DEPENDENCYPART_ARC
(18,20),-1.45534 # DEPENDENCYPART_ARC
(18,21),-1.23697 # DEPENDENCYPART_ARC
(18,22),-1.46739 # DEPENDENCYPART_ARC
(18,23),-1.13512 # DEPENDENCYPART_ARC
(18,24),-1.60462 # DEPENDENCYPART_ARC
(19,16),-1.63402 # DEPENDENCYPART_ARC
(19,17),-1.55547 # DEPENDENCYPART_ARC
(19,18),-0.733134 # DEPENDENCYPART_ARC
(19,20),0.0511086 # DEPENDENCYPART_ARC
(19,21),-0.156674 # DEPENDENCYPART_ARC
(19,22),-0.431839 # DEPENDENCYPART_ARC
(19,23),-1.25415 # DEPENDENCYPART_ARC
(19,24),-1.09357 # DEPENDENCYPART_ARC
(21,20),-0.700602 # DEPENDENCYPART_ARC
(21,22),-0.633668 # DEPENDENCYPART_ARC
(21,23),-0.916269 # DEPENDENCYPART_ARC
(22,17),-1.71483 # DEPENDENCYPART_ARC
(22,18),-1.46491 # DEPENDENCYPART_ARC
(22,20),0.159788 # DEPENDENCYPART_ARC
(22,21),1.23927 # DEPENDENCYPART_ARC
(22,23),-0.651652 # DEPENDENCYPART_ARC
(23,1),-0.95735 # DEPENDENCYPART_ARC
(23,2),-1.26351 # DEPENDENCYPART_ARC
(23,3),-1.30484 # DEPENDENCYPART_ARC
(23,5),-1.17806 # DEPENDENCYPART_ARC
(23,6),-2.08936 # DEPENDENCYPART_ARC
(23,8),-1.22882 # DEPENDENCYPART_ARC
(23,9),-1.14068 # DEPENDENCYPART_ARC
(23,10),-1.53359 # DEPENDENCYPART_ARC
(23,11),-1.57504 # DEPENDENCYPART_ARC
(23,12),-1.46235 # DEPENDENCYPART_ARC
(23,13),-1.35355 # DEPENDENCYPART_ARC
(23,14),-1.54174 # DEPENDENCYPART_ARC
(23,15),-0.985978 # DEPENDENCYPART_ARC
(23,16),-0.621842 # DEPENDENCYPART_ARC
(23,17),-0.966999 # DEPENDENCYPART_ARC
(23,18),-0.227021 # DEPENDENCYPART_ARC
(23,19),-0.0798845 # DEPENDENCYPART_ARC
(23,20),-0.716931 # DEPENDENCYPART_ARC
(23,21),-0.252441 # DEPENDENCYPART_ARC
(23,22),1.24173 # DEPENDENCYPART_ARC
(23,24),0.976705 # DEPENDENCYPART_ARC
(24,23),-0.463533 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0273834 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0275156 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0327951 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0251322 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.131573 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.128389 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0258751 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0292369 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.00544208 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.117623 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.119169 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0187151 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.00675457 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0995779 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0965814 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.00221519 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0975046 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0945082 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.113027 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.108887 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.228592 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00288645 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.041005 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0409514 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.24031 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0262006 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0366577 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.122335 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.447125 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0128769 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0101301 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0824726 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0804538 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0259692 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0401225 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0855026 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0227624 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0465293 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0149019 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.017145 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0545294 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0739928 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.022521 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0213075 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.142215 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0131796 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0307093 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0261477 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0470745 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0157126 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0345735 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.133086 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.000957156 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.00175674 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.00507503 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0470964 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00323474 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.142178 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0366177 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.152862 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.00472868 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0120972 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0357317 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0366275 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0127347 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.0394463 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0734802 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0329726 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0567681 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0469035 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0084741 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.0494622 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.00222328 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0110046 # DEPENDENCYPART_SIBL
(2,16),(2,24),-0.0546858 # DEPENDENCYPART_SIBL
(2,19),(2,24),0.00438352 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.149563 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.11493 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0349845 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0470211 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0371539 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00123464 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0220978 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.123776 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0349845 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0840856 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0470211 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.146105 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.00669998 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.000591311 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0215858 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.164847 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.198883 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0804891 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0797957 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.144567 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0309797 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.164847 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.155596 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.198883 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0579205 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.117116 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0842033 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.132426 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.115763 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0813733 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0994075 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0530401 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.037155 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.132426 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.222458 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.115763 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0836489 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.00590886 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0459725 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0524196 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0407035 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0671092 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0220331 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0954232 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0245869 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.203754 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0524196 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0167333 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0655034 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.0047204 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0621553 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0547736 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0329892 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0320087 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0492272 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0179617 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0362233 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0429905 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0186235 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.000998316 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0172269 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0164766 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0140628 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0186714 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00567726 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0183657 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.00324884 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0651155 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.022764 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0331421 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0376615 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00544214 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0111126 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.011315 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.000135567 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0422144 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.0357931 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0214839 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.00597647 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0260658 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.00920724 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.00134149 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.016274 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.0365426 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.00810836 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.110723 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0401123 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0574056 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.110605 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.0669999 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.203754 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0524196 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0167333 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0655034 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.0047204 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.105564 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0937996 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0355663 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.0528701 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0429905 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0186235 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.000998316 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0278449 # DEPENDENCYPART_SIBL
(3,18),(3,24),0.00184889 # DEPENDENCYPART_SIBL
(3,19),(3,24),0.0215311 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0456409 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0826134 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0437194 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0189854 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00687471 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0733051 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0405035 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0708653 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.177688 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0266814 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0198161 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00529214 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0968775 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0592922 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00861223 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0609571 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00261697 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0498247 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0176649 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0139006 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0269311 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00367953 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0513252 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.173328 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0420172 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.112097 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.114365 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.100307 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0416243 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0163933 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0663047 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.00873462 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.011706 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0268181 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0254968 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.240004 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0138024 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.00724984 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0946003 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.10951 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.709087 # DEPENDENCYPART_SIBL
(8,1),(8,23),-0.0113309 # DEPENDENCYPART_SIBL
(8,1),(8,24),0.0522191 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.076964 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0282602 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0221021 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0490791 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.00461592 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0759392 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0591487 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0691455 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0434108 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.0909812 # DEPENDENCYPART_SIBL
(8,2),(8,24),-0.0161749 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0152412 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0345072 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0236904 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0119562 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0243282 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.00801215 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0162512 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.0423426 # DEPENDENCYPART_SIBL
(8,3),(8,23),-0.0328026 # DEPENDENCYPART_SIBL
(8,3),(8,24),-0.027392 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0159499 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.012715 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.00478577 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0805787 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0599777 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0500786 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0274921 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.0873627 # DEPENDENCYPART_SIBL
(8,4),(8,24),-0.0379811 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.00817482 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0047262 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0578572 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0382123 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0532196 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0334659 # DEPENDENCYPART_SIBL
(8,5),(8,23),-0.0646413 # DEPENDENCYPART_SIBL
(8,5),(8,24),-0.0299069 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.076681 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.00459176 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.110219 # DEPENDENCYPART_SIBL
