# _root_ `` We 're encouraged that talks are scheduled again but beyond that , we have made no expression of expectations , '' a Boeing spokesman said .
#goldHeads=26,3,26,3,4,7,5,7,8,3,15,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
#predictedHeads=26,3,26,3,4,7,5,7,8,3,15,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
(15,26),-1.96671 # DEPENDENCYPART_ARC
(15,27),-0.865609 # DEPENDENCYPART_ARC
(16,3),-2.07969 # DEPENDENCYPART_ARC
(16,5),-1.77447 # DEPENDENCYPART_ARC
(16,6),-1.98285 # DEPENDENCYPART_ARC
(16,9),-1.94255 # DEPENDENCYPART_ARC
(16,11),-1.77336 # DEPENDENCYPART_ARC
(16,12),-1.89897 # DEPENDENCYPART_ARC
(16,14),-1.32522 # DEPENDENCYPART_ARC
(16,17),-0.28076 # DEPENDENCYPART_ARC
(16,18),0.540376 # DEPENDENCYPART_ARC
(16,19),-0.0231036 # DEPENDENCYPART_ARC
(16,20),-0.322161 # DEPENDENCYPART_ARC
(16,21),-0.953871 # DEPENDENCYPART_ARC
(16,22),-0.378447 # DEPENDENCYPART_ARC
(16,24),-0.715305 # DEPENDENCYPART_ARC
(16,25),-0.888679 # DEPENDENCYPART_ARC
(16,26),-1.04964 # DEPENDENCYPART_ARC
(16,27),-1.02103 # DEPENDENCYPART_ARC
(17,19),-1.00492 # DEPENDENCYPART_ARC
(18,12),-2.45455 # DEPENDENCYPART_ARC
(18,16),-0.893369 # DEPENDENCYPART_ARC
(18,17),1.00337 # DEPENDENCYPART_ARC
(18,19),1.02819 # DEPENDENCYPART_ARC
(18,20),-0.489967 # DEPENDENCYPART_ARC
(18,21),-0.906017 # DEPENDENCYPART_ARC
(18,22),-1.00156 # DEPENDENCYPART_ARC
(18,24),-1.31226 # DEPENDENCYPART_ARC
(18,25),-1.67032 # DEPENDENCYPART_ARC
(18,26),-1.29731 # DEPENDENCYPART_ARC
(19,17),-2.23666 # DEPENDENCYPART_ARC
(19,20),2.23831 # DEPENDENCYPART_ARC
(19,25),-2.21286 # DEPENDENCYPART_ARC
(20,17),-1.85909 # DEPENDENCYPART_ARC
(20,18),-1.37244 # DEPENDENCYPART_ARC
(20,21),-0.817932 # DEPENDENCYPART_ARC
(20,22),-1.02399 # DEPENDENCYPART_ARC
(20,23),-2.10534 # DEPENDENCYPART_ARC
(20,24),-1.42497 # DEPENDENCYPART_ARC
(20,25),-1.8531 # DEPENDENCYPART_ARC
(20,26),-1.58951 # DEPENDENCYPART_ARC
(22,25),-2.57824 # DEPENDENCYPART_ARC
(23,22),-1.09258 # DEPENDENCYPART_ARC
(23,24),-0.972659 # DEPENDENCYPART_ARC
(24,18),-2.12836 # DEPENDENCYPART_ARC
(24,20),-1.97713 # DEPENDENCYPART_ARC
(24,23),-1.23008 # DEPENDENCYPART_ARC
(24,25),-0.391306 # DEPENDENCYPART_ARC
(24,26),-0.670585 # DEPENDENCYPART_ARC
(25,17),-2.26905 # DEPENDENCYPART_ARC
(25,20),-1.45281 # DEPENDENCYPART_ARC
(25,22),-1.45157 # DEPENDENCYPART_ARC
(25,23),1.35234 # DEPENDENCYPART_ARC
(25,24),0.92585 # DEPENDENCYPART_ARC
(26,1),-0.261489 # DEPENDENCYPART_ARC
(26,3),-0.079709 # DEPENDENCYPART_ARC
(26,4),-2.10622 # DEPENDENCYPART_ARC
(26,5),-3.79446 # DEPENDENCYPART_ARC
(26,6),-2.66759 # DEPENDENCYPART_ARC
(26,7),0.00548235 # DEPENDENCYPART_ARC
(26,8),-1.94969 # DEPENDENCYPART_ARC
(26,9),-2.23953 # DEPENDENCYPART_ARC
(26,10),-2.58597 # DEPENDENCYPART_ARC
(26,11),-2.54559 # DEPENDENCYPART_ARC
(26,12),-3.39549 # DEPENDENCYPART_ARC
(26,13),-1.67183 # DEPENDENCYPART_ARC
(26,14),-2.1383 # DEPENDENCYPART_ARC
(26,15),-0.154363 # DEPENDENCYPART_ARC
(26,16),-1.94129 # DEPENDENCYPART_ARC
(26,17),-2.40774 # DEPENDENCYPART_ARC
(26,18),-1.28657 # DEPENDENCYPART_ARC
(26,19),-2.58441 # DEPENDENCYPART_ARC
(26,20),-1.10903 # DEPENDENCYPART_ARC
(26,21),-0.0635287 # DEPENDENCYPART_ARC
(26,22),-0.835635 # DEPENDENCYPART_ARC
(26,23),-1.34736 # DEPENDENCYPART_ARC
(26,24),-1.13474 # DEPENDENCYPART_ARC
(26,25),0.636181 # DEPENDENCYPART_ARC
(26,27),1.18402 # DEPENDENCYPART_ARC
(0,3),(0,26),-1.69739 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0641686 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0475606 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0317282 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00035573 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0434491 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0436197 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0372227 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0295395 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0116385 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.260845 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0742951 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0978398 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.045283 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.15627 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.172973 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0926472 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0190569 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0255538 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00932411 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.033346 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0153639 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0248689 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00820763 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.188958 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0178017 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0106993 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0159485 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00446042 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0106993 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.316484 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.199896 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0743312 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.110843 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0891519 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0470849 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0609554 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0485899 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0598065 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0718797 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0644168 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0550687 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0700936 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0644168 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.139994 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.131961 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.364178 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.333579 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.123711 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.570655 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.262578 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0173827 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.25943 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0106036 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.106654 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.568314 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0106036 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0767267 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0630104 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.458334 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.338852 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.283163 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.19291 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0908295 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.50118 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.129149 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.24695 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.292951 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.129149 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.00893284 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.0494219 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0737171 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.157404 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0792664 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0147938 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0282443 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0449045 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0236779 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.158353 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.0449045 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0153828 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.016848 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.173487 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00553566 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.126679 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0932612 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0259661 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.241333 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.179475 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0259661 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0213583 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.00577688 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.295026 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0123298 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.270076 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.00934953 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.12732 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.588871 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.00934953 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.0764049 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.0116304 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0135747 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0103499 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0488246 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.000162348 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.059437 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0488246 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0118732 # DEPENDENCYPART_SIBL
(3,9),(3,27),0.0091945 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.181873 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0197406 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0975125 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.138826 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0197406 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.137687 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.0893883 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0465516 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0112803 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.107996 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.0465516 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0112351 # DEPENDENCYPART_SIBL
(3,11),(3,27),-0.0565672 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.212818 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.232659 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0467558 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.085464 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.0157039 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.199972 # DEPENDENCYPART_SIBL
(3,15),(3,21),-0.047997 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.00536279 # DEPENDENCYPART_SIBL
(3,15),(3,27),0.0318294 # DEPENDENCYPART_SIBL
(3,16),(3,21),0.0351205 # DEPENDENCYPART_SIBL
(3,16),(3,22),0.0898511 # DEPENDENCYPART_SIBL
(3,16),(3,27),0.00550123 # DEPENDENCYPART_SIBL
(3,21),(3,22),0.085464 # DEPENDENCYPART_SIBL
(3,21),(3,27),0.0157039 # DEPENDENCYPART_SIBL
(3,22),(3,27),-0.167859 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0823643 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.126028 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.173557 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0523437 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0103113 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0884308 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.024586 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.295329 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.149111 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.104056 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0121204 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.104056 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0639456 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0234645 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.038552 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0387481 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0360815 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.100631 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0296613 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.12257 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0698763 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00909751 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0326584 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.00909751 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0140955 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0271272 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00313795 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0433604 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0119622 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0270874 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0646174 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.026056 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0207697 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0824661 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0207697 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.0189469 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.455684 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.328783 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.212831 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.357403 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.000795896 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.43419 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.11456 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.338809 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.11456 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.161767 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0516046 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00770052 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0459101 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0816952 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0628182 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0655287 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0544733 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.0655287 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.087602 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0898804 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.112805 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0861632 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0949069 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0164956 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.319309 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0164956 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0494756 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.273594 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0186022 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.115743 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0204048 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.155202 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0204048 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.159755 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0061909 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0294708 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0161288 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.134922 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0161288 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.0321712 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.107303 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0273304 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.119054 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0273304 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0473796 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0240277 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.171626 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0240277 # DEPENDENCYPART_SIBL
(4,11),(4,24),-0.0500507 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.128661 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0531705 # DEPENDENCYPART_SIBL
