# _root_ The establishment of the separate company , to be called Courtaulds Textiles , could be effective as early as next year 's first quarter .
#goldHeads=2,14,2,6,6,3,6,9,6,9,12,10,6,0,14,15,15,17,17,21,24,21,24,19,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,12,10,6,0,14,15,15,17,17,21,24,21,24,19,14,
(2,3),(2,12),0.0146868 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.00659485 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0664472 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0179061 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0251028 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0170021 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.0423166 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0115849 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0347748 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0183417 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.03183 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0318888 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0228729 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0223527 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0183417 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0198011 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0318888 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0162365 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0285818 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.0064864 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0207539 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00566154 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00408794 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00245027 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00627861 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0108151 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.00566154 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00496567 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00245027 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0357937 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0188492 # DEPENDENCYPART_SIBL
(2,5),(2,25),-0.000571626 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0312793 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00235187 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0159756 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0157551 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.00626339 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0312793 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0196898 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0159756 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0111792 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0189111 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.00958391 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0203009 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0725844 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0499169 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0432396 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0374743 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0125917 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0725844 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0256739 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.042033 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.00441606 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.021069 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00434564 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00628907 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00379303 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0315445 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.021069 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.00512621 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0394209 # DEPENDENCYPART_SIBL
(2,8),(2,25),0.0873201 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0160888 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0113229 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0289194 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.00684542 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0242596 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0131451 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.00449524 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.00276522 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00794887 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.111562 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0245684 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0623436 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0195459 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.031752 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.0260967 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.013275 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0248664 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.015401 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0100221 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.025346 # DEPENDENCYPART_SIBL
(2,12),(2,25),0.0255688 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0125917 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0725844 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0256739 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.042033 # DEPENDENCYPART_SIBL
(2,13),(2,25),0.00441606 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.024363 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.00562463 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0485282 # DEPENDENCYPART_SIBL
(2,14),(2,25),0.000114736 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0131451 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.00449524 # DEPENDENCYPART_SIBL
(2,15),(2,25),-0.00276522 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.00439515 # DEPENDENCYPART_SIBL
(2,17),(2,25),0.0260015 # DEPENDENCYPART_SIBL
(2,19),(2,25),0.0402471 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00721744 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0607598 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.136969 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.125977 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.01201 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0195852 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.16854 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0224831 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0149817 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0460724 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0199618 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0468094 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0324204 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0445088 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0134692 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0482925 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00895267 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0234671 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00884596 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0505084 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.00829892 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00226168 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0761043 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0540616 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.104388 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0513322 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0182442 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0638663 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0231441 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0406608 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0391857 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.00949504 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0108944 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.040943 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.00831014 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0550793 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0322098 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0263424 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0262253 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0971524 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0540604 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.01479 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0241352 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0355604 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.050686 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.283442 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0527122 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0393707 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.153739 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0332653 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.335733 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.224441 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00878226 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0925186 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.159239 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.202767 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0429131 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.00878226 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.00917492 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.0166219 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.148386 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0052991 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.185854 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0106901 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0159903 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.100497 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.057636 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.126003 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0298237 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0159903 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0234048 # DEPENDENCYPART_SIBL
(6,2),(6,24),0.0468443 # DEPENDENCYPART_SIBL
(6,2),(6,25),0.00919993 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0554269 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0107284 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0450674 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.059459 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00708184 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0671104 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.00584528 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0450674 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.00459259 # DEPENDENCYPART_SIBL
(6,3),(6,24),0.0174137 # DEPENDENCYPART_SIBL
(6,3),(6,25),0.00059616 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.224441 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00878226 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0925186 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.159239 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.202767 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0429131 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.00878226 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00917492 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.0166219 # DEPENDENCYPART_SIBL
(6,4),(6,25),-0.148386 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0622484 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0137221 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.192475 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.249018 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0679769 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0622484 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0801853 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.101879 # DEPENDENCYPART_SIBL
(6,5),(6,25),-0.00879232 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0209649 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.12227 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0864477 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0610523 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0537108 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0289043 # DEPENDENCYPART_SIBL
(6,7),(6,24),0.0871447 # DEPENDENCYPART_SIBL
(6,7),(6,25),0.0108725 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0359677 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0039995 # DEPENDENCYPART_SIBL
