# _root_ Nashua Corp. , rumored a potential takeover target for six months , said that a Dutch company has sought U.S. approval to buy up to 25 % of Nashua 's shares .
#goldHeads=2,13,2,2,8,8,8,4,4,11,9,2,0,18,17,17,18,13,18,21,19,23,21,27,24,24,23,27,31,29,28,13,
#predictedHeads=2,13,2,2,8,8,8,4,4,11,9,2,0,18,17,17,18,13,18,21,19,23,21,27,24,24,23,27,31,29,28,13,
(8,11),-1.52673 # DEPENDENCYPART_ARC
(8,12),-1.74685 # DEPENDENCYPART_ARC
(8,13),-1.94289 # DEPENDENCYPART_ARC
(8,17),-1.84306 # DEPENDENCYPART_ARC
(8,18),-2.47247 # DEPENDENCYPART_ARC
(9,7),-1.4033 # DEPENDENCYPART_ARC
(9,8),-0.424633 # DEPENDENCYPART_ARC
(9,10),-0.178943 # DEPENDENCYPART_ARC
(9,11),0.0910963 # DEPENDENCYPART_ARC
(9,12),-1.30571 # DEPENDENCYPART_ARC
(9,13),-1.93515 # DEPENDENCYPART_ARC
(9,14),-1.9633 # DEPENDENCYPART_ARC
(10,8),-1.55922 # DEPENDENCYPART_ARC
(10,11),-0.538881 # DEPENDENCYPART_ARC
(10,12),-1.36704 # DEPENDENCYPART_ARC
(10,13),-1.84682 # DEPENDENCYPART_ARC
(11,2),-3.01857 # DEPENDENCYPART_ARC
(11,3),-1.86003 # DEPENDENCYPART_ARC
(11,5),-1.79807 # DEPENDENCYPART_ARC
(11,6),-1.22264 # DEPENDENCYPART_ARC
(11,7),-0.749852 # DEPENDENCYPART_ARC
(11,8),-1.11721 # DEPENDENCYPART_ARC
(11,9),-0.656281 # DEPENDENCYPART_ARC
(11,10),1.04177 # DEPENDENCYPART_ARC
(11,12),-0.122094 # DEPENDENCYPART_ARC
(11,13),-1.66744 # DEPENDENCYPART_ARC
(11,17),-1.78807 # DEPENDENCYPART_ARC
(11,18),-2.30061 # DEPENDENCYPART_ARC
(11,19),-2.44033 # DEPENDENCYPART_ARC
(11,21),-1.83563 # DEPENDENCYPART_ARC
(11,27),-1.42801 # DEPENDENCYPART_ARC
(13,1),-1.09269 # DEPENDENCYPART_ARC
(13,2),-0.714433 # DEPENDENCYPART_ARC
(13,3),-2.0609 # DEPENDENCYPART_ARC
(13,4),-1.15575 # DEPENDENCYPART_ARC
(13,5),-1.7382 # DEPENDENCYPART_ARC
(13,6),-1.59754 # DEPENDENCYPART_ARC
(13,7),-1.92165 # DEPENDENCYPART_ARC
(13,8),-1.66199 # DEPENDENCYPART_ARC
(13,9),-1.05043 # DEPENDENCYPART_ARC
(13,10),-1.38752 # DEPENDENCYPART_ARC
(13,11),-1.13124 # DEPENDENCYPART_ARC
(13,12),0.837308 # DEPENDENCYPART_ARC
(13,14),0.555058 # DEPENDENCYPART_ARC
(13,15),-0.805861 # DEPENDENCYPART_ARC
(13,16),-1.02285 # DEPENDENCYPART_ARC
(13,17),-0.945077 # DEPENDENCYPART_ARC
(13,18),-0.369492 # DEPENDENCYPART_ARC
(13,19),-0.697992 # DEPENDENCYPART_ARC
(13,22),-1.51378 # DEPENDENCYPART_ARC
(13,23),-0.777039 # DEPENDENCYPART_ARC
(13,24),-1.45933 # DEPENDENCYPART_ARC
(13,25),-1.77875 # DEPENDENCYPART_ARC
(13,32),1.24139 # DEPENDENCYPART_ARC
(14,11),-2.1589 # DEPENDENCYPART_ARC
(14,16),-1.00167 # DEPENDENCYPART_ARC
(14,17),-1.46982 # DEPENDENCYPART_ARC
(15,14),-0.566328 # DEPENDENCYPART_ARC
(16,15),-0.575547 # DEPENDENCYPART_ARC
(16,18),-0.693868 # DEPENDENCYPART_ARC
(16,19),-1.38403 # DEPENDENCYPART_ARC
(16,23),-1.55953 # DEPENDENCYPART_ARC
(17,5),-2.58939 # DEPENDENCYPART_ARC
(17,10),-1.94921 # DEPENDENCYPART_ARC
(17,13),-0.977405 # DEPENDENCYPART_ARC
(17,14),-0.802084 # DEPENDENCYPART_ARC
(17,15),0.811999 # DEPENDENCYPART_ARC
(17,16),1.81495 # DEPENDENCYPART_ARC
(17,18),-0.543178 # DEPENDENCYPART_ARC
(17,19),-1.47178 # DEPENDENCYPART_ARC
(17,21),-1.68636 # DEPENDENCYPART_ARC
(17,23),-1.72127 # DEPENDENCYPART_ARC
(18,1),-1.10127 # DEPENDENCYPART_ARC
(18,2),-1.03382 # DEPENDENCYPART_ARC
(18,3),-2.51855 # DEPENDENCYPART_ARC
(18,4),-2.01957 # DEPENDENCYPART_ARC
(18,8),-1.73053 # DEPENDENCYPART_ARC
(18,9),-1.51005 # DEPENDENCYPART_ARC
(18,10),-1.96926 # DEPENDENCYPART_ARC
(18,11),-2.04321 # DEPENDENCYPART_ARC
(18,12),-1.66064 # DEPENDENCYPART_ARC
(18,13),-1.65907 # DEPENDENCYPART_ARC
(18,14),0.0476504 # DEPENDENCYPART_ARC
(18,15),-0.974756 # DEPENDENCYPART_ARC
(18,16),-0.517316 # DEPENDENCYPART_ARC
(18,17),0.976638 # DEPENDENCYPART_ARC
(18,19),1.5353 # DEPENDENCYPART_ARC
(18,20),-0.818462 # DEPENDENCYPART_ARC
(18,21),-0.812737 # DEPENDENCYPART_ARC
(18,22),-1.37922 # DEPENDENCYPART_ARC
(18,23),-1.1503 # DEPENDENCYPART_ARC
(18,24),-1.32431 # DEPENDENCYPART_ARC
(18,25),-1.60596 # DEPENDENCYPART_ARC
(18,28),-1.74414 # DEPENDENCYPART_ARC
(18,32),0.511213 # DEPENDENCYPART_ARC
(19,3),-3.48502 # DEPENDENCYPART_ARC
(19,4),-2.56708 # DEPENDENCYPART_ARC
(19,14),-1.1656 # DEPENDENCYPART_ARC
(19,16),-1.75153 # DEPENDENCYPART_ARC
(19,17),-1.67623 # DEPENDENCYPART_ARC
(19,20),0.0355423 # DEPENDENCYPART_ARC
(19,21),-0.153156 # DEPENDENCYPART_ARC
(19,22),-1.20438 # DEPENDENCYPART_ARC
(19,23),-0.785225 # DEPENDENCYPART_ARC
(19,24),-1.42087 # DEPENDENCYPART_ARC
(19,25),-1.68579 # DEPENDENCYPART_ARC
(19,27),-1.80454 # DEPENDENCYPART_ARC
(19,28),-1.85925 # DEPENDENCYPART_ARC
(19,32),-0.830828 # DEPENDENCYPART_ARC
(20,17),-1.97368 # DEPENDENCYPART_ARC
(20,19),-0.423486 # DEPENDENCYPART_ARC
(20,21),-0.803014 # DEPENDENCYPART_ARC
(20,23),-1.24313 # DEPENDENCYPART_ARC
(21,15),-1.50781 # DEPENDENCYPART_ARC
(21,16),-0.617287 # DEPENDENCYPART_ARC
(21,17),-1.03229 # DEPENDENCYPART_ARC
(21,18),-1.31503 # DEPENDENCYPART_ARC
(21,19),-0.602085 # DEPENDENCYPART_ARC
(21,20),1.93475 # DEPENDENCYPART_ARC
(21,22),-0.527385 # DEPENDENCYPART_ARC
(21,23),-0.96003 # DEPENDENCYPART_ARC
(21,24),-1.56339 # DEPENDENCYPART_ARC
(21,25),-1.82193 # DEPENDENCYPART_ARC
(21,26),-2.22086 # DEPENDENCYPART_ARC
(21,27),-1.49683 # DEPENDENCYPART_ARC
(21,28),-2.06532 # DEPENDENCYPART_ARC
(22,21),-0.34786 # DEPENDENCYPART_ARC
(22,23),-0.444812 # DEPENDENCYPART_ARC
(22,24),-1.75404 # DEPENDENCYPART_ARC
(22,25),-1.80893 # DEPENDENCYPART_ARC
(22,26),-2.26463 # DEPENDENCYPART_ARC
(22,27),-2.22808 # DEPENDENCYPART_ARC
(22,28),-2.09021 # DEPENDENCYPART_ARC
(23,3),-3.1226 # DEPENDENCYPART_ARC
(23,8),-2.99157 # DEPENDENCYPART_ARC
(23,9),-2.1506 # DEPENDENCYPART_ARC
(23,12),-2.26785 # DEPENDENCYPART_ARC
(23,14),-0.506751 # DEPENDENCYPART_ARC
(23,16),-1.60162 # DEPENDENCYPART_ARC
(23,17),-1.68361 # DEPENDENCYPART_ARC
(23,18),-2.04945 # DEPENDENCYPART_ARC
(23,20),-1.19105 # DEPENDENCYPART_ARC
(23,21),-0.94408 # DEPENDENCYPART_ARC
(23,22),1.14643 # DEPENDENCYPART_ARC
(23,24),0.498882 # DEPENDENCYPART_ARC
(23,25),-0.738459 # DEPENDENCYPART_ARC
(23,26),-1.52004 # DEPENDENCYPART_ARC
(23,27),-0.674229 # DEPENDENCYPART_ARC
(23,28),-1.17116 # DEPENDENCYPART_ARC
(23,31),-1.3099 # DEPENDENCYPART_ARC
(23,32),-0.556515 # DEPENDENCYPART_ARC
(24,21),-1.43609 # DEPENDENCYPART_ARC
(24,22),-1.42559 # DEPENDENCYPART_ARC
(24,23),-0.393241 # DEPENDENCYPART_ARC
(24,25),0.624124 # DEPENDENCYPART_ARC
(24,26),-0.264452 # DEPENDENCYPART_ARC
(24,27),-0.864362 # DEPENDENCYPART_ARC
(24,28),-1.16439 # DEPENDENCYPART_ARC
(24,29),-1.63386 # DEPENDENCYPART_ARC
(24,31),-1.6817 # DEPENDENCYPART_ARC
(25,24),-0.369667 # DEPENDENCYPART_ARC
(25,26),-0.429439 # DEPENDENCYPART_ARC
(25,27),-0.784112 # DEPENDENCYPART_ARC
(25,28),-1.35945 # DEPENDENCYPART_ARC
(25,29),-1.59719 # DEPENDENCYPART_ARC
(25,31),-1.97222 # DEPENDENCYPART_ARC
(26,21),-1.65769 # DEPENDENCYPART_ARC
(26,24),-1.30796 # DEPENDENCYPART_ARC
(26,25),-0.11015 # DEPENDENCYPART_ARC
(26,27),-0.360973 # DEPENDENCYPART_ARC
(26,28),-1.29339 # DEPENDENCYPART_ARC
(26,31),-1.77738 # DEPENDENCYPART_ARC
(27,23),-1.49535 # DEPENDENCYPART_ARC
(27,24),-0.932359 # DEPENDENCYPART_ARC
(27,25),-1.0074 # DEPENDENCYPART_ARC
(27,26),1.15365 # DEPENDENCYPART_ARC
(27,28),0.563052 # DEPENDENCYPART_ARC
(27,29),-0.7823 # DEPENDENCYPART_ARC
(27,30),-0.862114 # DEPENDENCYPART_ARC
(27,31),-1.22941 # DEPENDENCYPART_ARC
(28,26),-1.47822 # DEPENDENCYPART_ARC
(28,27),-0.540391 # DEPENDENCYPART_ARC
(28,29),0.418856 # DEPENDENCYPART_ARC
(28,31),-0.506713 # DEPENDENCYPART_ARC
(29,26),-1.79596 # DEPENDENCYPART_ARC
(29,30),1.04523 # DEPENDENCYPART_ARC
(31,24),-1.12923 # DEPENDENCYPART_ARC
(31,25),-1.89676 # DEPENDENCYPART_ARC
(31,26),-0.872395 # DEPENDENCYPART_ARC
(31,27),-1.01071 # DEPENDENCYPART_ARC
(31,28),-0.99838 # DEPENDENCYPART_ARC
(31,29),0.469893 # DEPENDENCYPART_ARC
(31,30),0.127962 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.127043 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.137833 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.127736 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.253265 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.217856 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.234791 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0163571 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0198711 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0178849 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0163571 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0300104 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0466892 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0466109 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0123734 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.030397 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0241767 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.131869 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00118099 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0171305 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0584556 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0595503 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0230963 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.074557 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.131869 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0111756 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0829279 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0799307 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0548118 # DEPENDENCYPART_SIBL
(2,1),(2,32),0.0928579 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0701049 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0634991 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0927402 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0981562 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0441866 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.079276 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0270238 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0661804 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.098237 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.102394 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0781767 # DEPENDENCYPART_SIBL
(2,3),(2,32),0.0474312 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.000671221 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0115114 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0130562 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00416391 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0194793 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.00169417 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.00741264 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0350401 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0123834 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0153804 # DEPENDENCYPART_SIBL
(2,4),(2,32),-0.000855925 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00167643 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.003073 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0198922 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0105017 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0228139 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0172137 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.00844354 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.00363473 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0022472 # DEPENDENCYPART_SIBL
(2,6),(2,32),0.014789 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00825298 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00409945 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0220885 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.00826957 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.00896241 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0188199 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.015818 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.005656 # DEPENDENCYPART_SIBL
(2,7),(2,32),0.0516318 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.00406326 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0169584 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.00141969 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00864074 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0136897 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0154903 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.000525835 # DEPENDENCYPART_SIBL
(2,8),(2,32),0.0548553 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0249202 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00776801 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0120164 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0037683 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0225816 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0274455 # DEPENDENCYPART_SIBL
(2,9),(2,32),0.0541917 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0302533 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00221795 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0473721 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.00446365 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.0342083 # DEPENDENCYPART_SIBL
(2,11),(2,32),0.0501736 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0661804 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.098237 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.102394 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.0781767 # DEPENDENCYPART_SIBL
(2,12),(2,32),0.0474312 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0311472 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0176114 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.010608 # DEPENDENCYPART_SIBL
(2,13),(2,32),0.0477092 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.011382 # DEPENDENCYPART_SIBL
(2,17),(2,21),0.00416261 # DEPENDENCYPART_SIBL
(2,17),(2,32),0.037186 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.0184961 # DEPENDENCYPART_SIBL
(2,18),(2,32),0.0232799 # DEPENDENCYPART_SIBL
(2,21),(2,32),0.0623983 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0914656 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0222736 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.120502 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0370155 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0189164 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00573095 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00984842 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00734815 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0117779 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0119678 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0215868 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0517733 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0257048 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0214136 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0043048 # DEPENDENCYPART_SIBL
(4,1),(4,32),0.0387514 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00146044 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.143542 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0444165 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0462517 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0330662 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0817048 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0189847 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0155619 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0253722 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00413209 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.125105 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.000191764 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.00117049 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0612207 # DEPENDENCYPART_SIBL
(4,2),(4,32),0.00889916 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.146017 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0533447 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0332581 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0359373 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.112357 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0525179 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0148993 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.179437 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0280357 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0579372 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0216707 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.00192744 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0164062 # DEPENDENCYPART_SIBL
(4,3),(4,32),0.0334801 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0534897 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0404987 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0393025 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0489524 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.030564 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0463772 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0595509 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0379282 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0844802 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0578839 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0493702 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.036124 # DEPENDENCYPART_SIBL
(4,5),(4,32),-0.0501998 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0376847 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0365673 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00215265 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0288504 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0446135 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0117819 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00286464 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0208777 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0306933 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0139604 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.00806512 # DEPENDENCYPART_SIBL
(4,6),(4,32),-0.0130907 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0485012 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0174875 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0141551 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0626685 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.000769913 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0189821 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0700651 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0302627 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0237009 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.00343826 # DEPENDENCYPART_SIBL
(4,7),(4,32),-0.0176546 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0138571 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00915836 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0514076 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.00637812 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0158304 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0640991 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0271143 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0205497 # DEPENDENCYPART_SIBL
