# _root_ Ways and Means veteran Gephardt ( D. , Mo . ) moves to the House Budget Committee ; Rep. Cardin ( D. , Md . ) replaces him ... .
#goldHeads=2,5,2,5,12,7,5,7,7,9,7,0,12,17,17,17,13,12,20,27,22,20,22,22,24,22,12,27,12,12,
#predictedHeads=2,12,5,5,2,7,5,7,7,9,7,0,12,17,17,17,13,12,20,27,22,20,22,22,24,22,12,27,12,12,
(0,4),(0,5),-0.0585095 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0591625 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.030546 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.12241 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0100726 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.124716 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0581396 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0298296 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.122408 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0100726 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.124714 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0326236 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.12021 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0100726 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.122516 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.109714 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.00445635 # DEPENDENCYPART_SIBL
(0,10),(0,27),-0.109714 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0772619 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.224303 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.102799 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0402079 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0353714 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0380307 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0407288 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0217557 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.035567 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.00594839 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.00138445 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0143973 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0170565 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0210246 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.011626 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0152279 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0348829 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.00779931 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0122557 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0162238 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0306724 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0104271 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0278075 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.00565206 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0175072 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0158104 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0117105 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0260643 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.00811503 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0889221 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0330504 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0449051 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0190752 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0542203 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.00312946 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0234108 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0255479 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.00821832 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0108892 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0775235 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0495605 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0469252 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0679732 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0189716 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0386438 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0257246 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0395479 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0611687 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0798319 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0189716 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0257246 # DEPENDENCYPART_SIBL
(2,1),(2,27),-0.0812617 # DEPENDENCYPART_SIBL
(2,1),(2,30),-0.0257246 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0309404 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0309403 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0315985 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00692527 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0312578 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0443537 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00681623 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0229722 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0293699 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.00692527 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.0443537 # DEPENDENCYPART_SIBL
(2,3),(2,27),-0.0213049 # DEPENDENCYPART_SIBL
(2,3),(2,30),-0.0443537 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0197605 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0204188 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00885189 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.020078 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0516633 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00191809 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0183337 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0244714 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.00885189 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.0516633 # DEPENDENCYPART_SIBL
(2,4),(2,27),-0.0166665 # DEPENDENCYPART_SIBL
(2,4),(2,30),-0.0516633 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0193919 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00265904 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0190511 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0509429 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00191407 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0183277 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0244674 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.00265904 # DEPENDENCYPART_SIBL
(2,5),(2,25),-0.0509429 # DEPENDENCYPART_SIBL
(2,5),(2,27),-0.0166604 # DEPENDENCYPART_SIBL
(2,5),(2,30),-0.0509429 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0272163 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00846281 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0541333 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0050426 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.016526 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0252709 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.0272163 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.0541333 # DEPENDENCYPART_SIBL
(2,7),(2,27),-0.0148588 # DEPENDENCYPART_SIBL
(2,7),(2,30),-0.0541333 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0143812 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00468316 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.127154 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00360305 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0591594 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0435292 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.00468316 # DEPENDENCYPART_SIBL
(2,8),(2,27),0.00414783 # DEPENDENCYPART_SIBL
(2,8),(2,30),-0.00468316 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0511495 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.00191407 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0183277 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0244674 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.00265904 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.0511495 # DEPENDENCYPART_SIBL
(2,9),(2,27),-0.0166604 # DEPENDENCYPART_SIBL
(2,9),(2,30),-0.0511495 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0858028 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00912671 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0546052 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.0115845 # DEPENDENCYPART_SIBL
(2,10),(2,25),-0.156179 # DEPENDENCYPART_SIBL
(2,10),(2,27),0.0111252 # DEPENDENCYPART_SIBL
(2,10),(2,30),-0.156179 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0281861 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0498144 # DEPENDENCYPART_SIBL
(2,11),(2,23),-0.0474698 # DEPENDENCYPART_SIBL
(2,11),(2,25),-0.0709202 # DEPENDENCYPART_SIBL
(2,11),(2,27),-0.0261875 # DEPENDENCYPART_SIBL
(2,11),(2,30),-0.0709202 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.00570766 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.0126936 # DEPENDENCYPART_SIBL
(2,12),(2,25),0.00695016 # DEPENDENCYPART_SIBL
(2,12),(2,27),-0.0330616 # DEPENDENCYPART_SIBL
(2,12),(2,30),0.00695016 # DEPENDENCYPART_SIBL
(2,18),(2,23),-0.139275 # DEPENDENCYPART_SIBL
(2,18),(2,25),-0.00610505 # DEPENDENCYPART_SIBL
(2,18),(2,27),-0.0335072 # DEPENDENCYPART_SIBL
(2,18),(2,30),-0.00610505 # DEPENDENCYPART_SIBL
(2,23),(2,25),-0.00468316 # DEPENDENCYPART_SIBL
(2,23),(2,27),0.00414783 # DEPENDENCYPART_SIBL
(2,23),(2,30),-0.00468316 # DEPENDENCYPART_SIBL
(2,25),(2,27),0.0111252 # DEPENDENCYPART_SIBL
(2,25),(2,30),-0.156179 # DEPENDENCYPART_SIBL
(2,27),(2,30),0.0156077 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.000556896 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00320044 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0249391 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00558646 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0317782 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0405711 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0311114 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0350795 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00341623 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00185865 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0338014 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.036363 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0114457 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.00360187 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0362644 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.061666 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0152389 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00907416 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0127538 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.00278595 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00488297 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.182022 # DEPENDENCYPART_SIBL
