# _root_ Whether Polly Peck 's acquisition makes sense remains to be seen , but at the news conference , Mr. Nadir brimmed with self-confidence that he can turn Sansui around .
#goldHeads=6,3,5,3,6,8,6,13,10,8,10,13,0,21,17,17,14,21,20,21,13,21,22,26,26,23,26,27,27,13,
#predictedHeads=3,3,5,3,6,13,8,6,10,8,10,13,0,21,17,17,14,21,20,21,13,21,22,26,26,21,26,27,28,13,
(5,12),-1.633 # DEPENDENCYPART_ARC
(6,1),-0.726009 # DEPENDENCYPART_ARC
(6,2),-0.889831 # DEPENDENCYPART_ARC
(6,3),-0.712012 # DEPENDENCYPART_ARC
(6,5),0.50396 # DEPENDENCYPART_ARC
(6,7),0.555742 # DEPENDENCYPART_ARC
(6,8),-0.298736 # DEPENDENCYPART_ARC
(6,9),-1.15889 # DEPENDENCYPART_ARC
(6,10),-0.986719 # DEPENDENCYPART_ARC
(6,11),-0.840015 # DEPENDENCYPART_ARC
(6,12),-1.12635 # DEPENDENCYPART_ARC
(6,13),-1.29927 # DEPENDENCYPART_ARC
(6,14),-2.3234 # DEPENDENCYPART_ARC
(6,18),-2.02163 # DEPENDENCYPART_ARC
(6,21),-1.87379 # DEPENDENCYPART_ARC
(6,26),-1.79102 # DEPENDENCYPART_ARC
(6,30),-1.39716 # DEPENDENCYPART_ARC
(7,1),-1.28319 # DEPENDENCYPART_ARC
(7,2),-0.850499 # DEPENDENCYPART_ARC
(7,3),-0.794641 # DEPENDENCYPART_ARC
(7,5),-0.368707 # DEPENDENCYPART_ARC
(7,6),0.663887 # DEPENDENCYPART_ARC
(7,8),-0.0553363 # DEPENDENCYPART_ARC
(7,9),-1.22408 # DEPENDENCYPART_ARC
(7,10),-1.31218 # DEPENDENCYPART_ARC
(7,11),-1.4739 # DEPENDENCYPART_ARC
(8,1),-0.643972 # DEPENDENCYPART_ARC
(8,2),-0.892266 # DEPENDENCYPART_ARC
(8,3),-0.82825 # DEPENDENCYPART_ARC
(8,5),-0.466696 # DEPENDENCYPART_ARC
(8,6),-1.04676 # DEPENDENCYPART_ARC
(8,7),0.573517 # DEPENDENCYPART_ARC
(8,9),0.323508 # DEPENDENCYPART_ARC
(8,10),0.0470046 # DEPENDENCYPART_ARC
(8,11),-0.519442 # DEPENDENCYPART_ARC
(8,12),-1.04022 # DEPENDENCYPART_ARC
(8,13),-1.25182 # DEPENDENCYPART_ARC
(8,14),-2.02301 # DEPENDENCYPART_ARC
(8,18),-1.82098 # DEPENDENCYPART_ARC
(8,21),-1.50467 # DEPENDENCYPART_ARC
(8,22),-1.62823 # DEPENDENCYPART_ARC
(8,26),-1.55975 # DEPENDENCYPART_ARC
(8,29),-2.38747 # DEPENDENCYPART_ARC
(8,30),-1.25192 # DEPENDENCYPART_ARC
(9,10),-0.44584 # DEPENDENCYPART_ARC
(9,14),-2.20443 # DEPENDENCYPART_ARC
(9,17),-2.97763 # DEPENDENCYPART_ARC
(10,1),-0.983076 # DEPENDENCYPART_ARC
(10,2),-1.19324 # DEPENDENCYPART_ARC
(10,3),-1.11851 # DEPENDENCYPART_ARC
(10,5),-1.08493 # DEPENDENCYPART_ARC
(10,6),-1.68799 # DEPENDENCYPART_ARC
(10,7),-0.854922 # DEPENDENCYPART_ARC
(10,8),-1.20903 # DEPENDENCYPART_ARC
(10,9),1.30217 # DEPENDENCYPART_ARC
(10,11),0.941198 # DEPENDENCYPART_ARC
(10,12),-1.09195 # DEPENDENCYPART_ARC
(10,13),-1.20201 # DEPENDENCYPART_ARC
(10,14),-2.17593 # DEPENDENCYPART_ARC
(10,17),-2.39886 # DEPENDENCYPART_ARC
(10,20),-2.24082 # DEPENDENCYPART_ARC
(10,21),-1.81743 # DEPENDENCYPART_ARC
(10,26),-1.91477 # DEPENDENCYPART_ARC
(10,27),-2.00185 # DEPENDENCYPART_ARC
(10,30),-2.22862 # DEPENDENCYPART_ARC
(11,1),-1.52587 # DEPENDENCYPART_ARC
(11,3),-1.6692 # DEPENDENCYPART_ARC
(11,5),-1.65578 # DEPENDENCYPART_ARC
(11,7),-1.46026 # DEPENDENCYPART_ARC
(11,12),0.0528561 # DEPENDENCYPART_ARC
(11,13),-1.42677 # DEPENDENCYPART_ARC
(11,14),-1.70072 # DEPENDENCYPART_ARC
(11,17),-2.29398 # DEPENDENCYPART_ARC
(11,18),-1.72798 # DEPENDENCYPART_ARC
(11,21),-1.77026 # DEPENDENCYPART_ARC
(11,22),-1.88028 # DEPENDENCYPART_ARC
(11,24),-2.5404 # DEPENDENCYPART_ARC
(11,26),-2.1061 # DEPENDENCYPART_ARC
(11,27),-2.13099 # DEPENDENCYPART_ARC
(11,29),-2.37625 # DEPENDENCYPART_ARC
(11,30),-2.05713 # DEPENDENCYPART_ARC
(13,1),-2.17978 # DEPENDENCYPART_ARC
(13,2),-2.10177 # DEPENDENCYPART_ARC
(13,3),-1.85202 # DEPENDENCYPART_ARC
(13,5),-1.8512 # DEPENDENCYPART_ARC
(13,6),-1.87414 # DEPENDENCYPART_ARC
(13,7),-1.75889 # DEPENDENCYPART_ARC
(13,8),-1.73019 # DEPENDENCYPART_ARC
(13,9),-1.79422 # DEPENDENCYPART_ARC
(13,10),-1.39723 # DEPENDENCYPART_ARC
(13,11),-1.0763 # DEPENDENCYPART_ARC
(13,12),0.855089 # DEPENDENCYPART_ARC
(13,14),0.111988 # DEPENDENCYPART_ARC
(13,15),-0.76814 # DEPENDENCYPART_ARC
(13,16),-1.45517 # DEPENDENCYPART_ARC
(13,17),-1.54285 # DEPENDENCYPART_ARC
(13,18),-1.23894 # DEPENDENCYPART_ARC
(13,20),-2.89726 # DEPENDENCYPART_ARC
(13,21),-1.66128 # DEPENDENCYPART_ARC
(13,24),-2.34423 # DEPENDENCYPART_ARC
(13,26),-2.00355 # DEPENDENCYPART_ARC
(13,30),-0.413711 # DEPENDENCYPART_ARC
(14,13),-0.325646 # DEPENDENCYPART_ARC
(14,15),0.159613 # DEPENDENCYPART_ARC
(14,16),-0.109268 # DEPENDENCYPART_ARC
(14,17),-0.529994 # DEPENDENCYPART_ARC
(14,18),-1.04567 # DEPENDENCYPART_ARC
(14,19),-2.00464 # DEPENDENCYPART_ARC
(14,20),-2.23679 # DEPENDENCYPART_ARC
(14,23),-3.01344 # DEPENDENCYPART_ARC
(15,16),-0.527036 # DEPENDENCYPART_ARC
(16,15),-0.0253805 # DEPENDENCYPART_ARC
(16,17),-0.774596 # DEPENDENCYPART_ARC
(16,20),-2.41663 # DEPENDENCYPART_ARC
(16,21),-1.80061 # DEPENDENCYPART_ARC
(17,11),-1.75406 # DEPENDENCYPART_ARC
(17,12),-1.43597 # DEPENDENCYPART_ARC
(17,13),-0.820152 # DEPENDENCYPART_ARC
(17,14),-0.937819 # DEPENDENCYPART_ARC
(17,15),0.379306 # DEPENDENCYPART_ARC
(17,16),1.67753 # DEPENDENCYPART_ARC
(17,18),0.398442 # DEPENDENCYPART_ARC
(17,19),-1.17233 # DEPENDENCYPART_ARC
(17,20),-1.76288 # DEPENDENCYPART_ARC
(17,21),-1.84242 # DEPENDENCYPART_ARC
(17,22),-2.02126 # DEPENDENCYPART_ARC
(17,23),-1.94447 # DEPENDENCYPART_ARC
(17,24),-2.27446 # DEPENDENCYPART_ARC
(17,26),-1.85164 # DEPENDENCYPART_ARC
(17,27),-2.30506 # DEPENDENCYPART_ARC
(17,28),-1.95111 # DEPENDENCYPART_ARC
(17,30),-2.14718 # DEPENDENCYPART_ARC
(19,15),-2.39277 # DEPENDENCYPART_ARC
(19,16),-2.44262 # DEPENDENCYPART_ARC
(19,17),-2.19002 # DEPENDENCYPART_ARC
(19,20),-0.714731 # DEPENDENCYPART_ARC
(19,22),-1.24914 # DEPENDENCYPART_ARC
(20,15),-1.27457 # DEPENDENCYPART_ARC
(20,16),-1.34578 # DEPENDENCYPART_ARC
(20,17),-1.78901 # DEPENDENCYPART_ARC
(20,18),-1.25861 # DEPENDENCYPART_ARC
(20,19),1.51724 # DEPENDENCYPART_ARC
(20,21),-0.183045 # DEPENDENCYPART_ARC
(20,22),-1.00308 # DEPENDENCYPART_ARC
(20,23),-1.36206 # DEPENDENCYPART_ARC
(20,24),-1.49357 # DEPENDENCYPART_ARC
(20,26),-1.29708 # DEPENDENCYPART_ARC
(20,28),-1.59532 # DEPENDENCYPART_ARC
(20,29),-1.46121 # DEPENDENCYPART_ARC
(21,1),-1.09984 # DEPENDENCYPART_ARC
(21,2),-1.37917 # DEPENDENCYPART_ARC
(21,3),-1.25276 # DEPENDENCYPART_ARC
(21,5),-1.3275 # DEPENDENCYPART_ARC
(21,6),-1.74556 # DEPENDENCYPART_ARC
(21,7),-1.45435 # DEPENDENCYPART_ARC
(21,8),-1.42061 # DEPENDENCYPART_ARC
(21,9),-2.11073 # DEPENDENCYPART_ARC
(21,10),-1.71306 # DEPENDENCYPART_ARC
(21,11),-1.2289 # DEPENDENCYPART_ARC
(21,12),-1.83022 # DEPENDENCYPART_ARC
(21,13),-1.56486 # DEPENDENCYPART_ARC
(21,14),-0.78338 # DEPENDENCYPART_ARC
(21,15),-1.84244 # DEPENDENCYPART_ARC
(21,16),-1.7344 # DEPENDENCYPART_ARC
(21,17),-1.70218 # DEPENDENCYPART_ARC
(21,18),-0.626517 # DEPENDENCYPART_ARC
(21,19),-0.420509 # DEPENDENCYPART_ARC
(21,20),0.57358 # DEPENDENCYPART_ARC
(21,22),1.25897 # DEPENDENCYPART_ARC
(21,23),-0.293981 # DEPENDENCYPART_ARC
(21,24),-0.63084 # DEPENDENCYPART_ARC
(21,26),-0.54263 # DEPENDENCYPART_ARC
(21,27),-0.749146 # DEPENDENCYPART_ARC
(21,28),-1.60632 # DEPENDENCYPART_ARC
(21,29),-1.13177 # DEPENDENCYPART_ARC
(21,30),0.0246287 # DEPENDENCYPART_ARC
(22,23),0.48787 # DEPENDENCYPART_ARC
(22,24),-1.15433 # DEPENDENCYPART_ARC
(22,26),-1.48451 # DEPENDENCYPART_ARC
(22,27),-1.27482 # DEPENDENCYPART_ARC
(22,28),-2.14366 # DEPENDENCYPART_ARC
(23,19),-1.21336 # DEPENDENCYPART_ARC
(23,20),-1.63811 # DEPENDENCYPART_ARC
(23,22),-0.273987 # DEPENDENCYPART_ARC
(23,24),0.22748 # DEPENDENCYPART_ARC
(23,25),-1.03909 # DEPENDENCYPART_ARC
(23,26),-0.704316 # DEPENDENCYPART_ARC
(23,27),-1.01215 # DEPENDENCYPART_ARC
(23,28),-1.34914 # DEPENDENCYPART_ARC
(23,29),-1.05288 # DEPENDENCYPART_ARC
(24,22),-1.12651 # DEPENDENCYPART_ARC
(24,23),-0.42652 # DEPENDENCYPART_ARC
(24,25),-0.192531 # DEPENDENCYPART_ARC
(24,27),-1.41506 # DEPENDENCYPART_ARC
(24,28),-1.67179 # DEPENDENCYPART_ARC
(25,27),-0.832811 # DEPENDENCYPART_ARC
(25,28),-1.21663 # DEPENDENCYPART_ARC
(25,29),-1.25694 # DEPENDENCYPART_ARC
(26,3),-1.82439 # DEPENDENCYPART_ARC
(26,5),-1.70401 # DEPENDENCYPART_ARC
(26,6),-1.66494 # DEPENDENCYPART_ARC
(26,7),-1.73281 # DEPENDENCYPART_ARC
(26,8),-1.42088 # DEPENDENCYPART_ARC
(26,10),-1.65167 # DEPENDENCYPART_ARC
(26,11),-1.44376 # DEPENDENCYPART_ARC
(26,12),-2.76346 # DEPENDENCYPART_ARC
(26,13),-1.37634 # DEPENDENCYPART_ARC
(26,14),-1.90709 # DEPENDENCYPART_ARC
(26,15),-2.2116 # DEPENDENCYPART_ARC
(26,16),-1.9685 # DEPENDENCYPART_ARC
(26,17),-1.97488 # DEPENDENCYPART_ARC
(26,18),-1.67647 # DEPENDENCYPART_ARC
(26,19),-1.17391 # DEPENDENCYPART_ARC
(26,20),-1.18026 # DEPENDENCYPART_ARC
(26,21),-1.46417 # DEPENDENCYPART_ARC
(26,22),-0.752395 # DEPENDENCYPART_ARC
(26,23),-0.78795 # DEPENDENCYPART_ARC
(26,24),-0.319421 # DEPENDENCYPART_ARC
(26,25),0.80943 # DEPENDENCYPART_ARC
(26,27),1.28979 # DEPENDENCYPART_ARC
(26,28),-0.700019 # DEPENDENCYPART_ARC
(26,29),-1.12184 # DEPENDENCYPART_ARC
(26,30),-0.6584 # DEPENDENCYPART_ARC
(27,14),-2.2025 # DEPENDENCYPART_ARC
(27,20),-1.82315 # DEPENDENCYPART_ARC
(27,22),-1.41785 # DEPENDENCYPART_ARC
(27,23),-1.47895 # DEPENDENCYPART_ARC
(27,24),-0.926358 # DEPENDENCYPART_ARC
(27,25),-1.07414 # DEPENDENCYPART_ARC
(27,28),0.844466 # DEPENDENCYPART_ARC
(27,29),-0.390718 # DEPENDENCYPART_ARC
(27,30),-0.520216 # DEPENDENCYPART_ARC
(28,23),-2.15719 # DEPENDENCYPART_ARC
(28,27),0.00755462 # DEPENDENCYPART_ARC
(28,29),0.382477 # DEPENDENCYPART_ARC
(29,24),-1.06114 # DEPENDENCYPART_ARC
(29,30),-0.244687 # DEPENDENCYPART_ARC
(30,29),-0.277653 # DEPENDENCYPART_ARC
(0,5),(0,6),-0.105059 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.105067 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.111907 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.104084 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0850019 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.103935 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.164759 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.171123 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.164791 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.139538 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.164405 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.171176 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.164844 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.138408 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.164458 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.175551 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.142207 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.175166 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.138423 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.164358 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.134366 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00733429 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0225068 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0715685 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0108964 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0113534 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00223013 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00748479 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0179067 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0137818 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0216225 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0320698 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.006903 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0356143 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0216622 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0178532 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0178513 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0347178 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.083941 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0375123 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.000212178 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0298074 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00887843 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0161248 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.072692 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00765228 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.072692 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.114588 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0686111 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0157035 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0609062 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0243697 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0316161 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.115256 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0152108 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.115256 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00323057 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0320802 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00066329 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0356247 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0280857 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.000132097 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00762207 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.000132097 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0211167 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0113985 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0248325 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0161951 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00739546 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0254401 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.00739546 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0140924 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0178586 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00832655 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0250538 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0353696 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0250538 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0179831 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.00934566 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00696818 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0300671 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.00696818 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00895239 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0169593 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0345412 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0169593 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0135717 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.034356 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0135717 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0542475 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0509721 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0377456 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0280664 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0271901 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.027262 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0193177 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0197394 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0106514 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00732502 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0547542 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00364173 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0339585 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.014937 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0360548 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0062707 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.011026 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0829484 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0348835 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0259616 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.018619 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0172954 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0220507 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0609379 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0229161 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0159914 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0200005 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0230034 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0139595 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0259227 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0157779 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0116888 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00868773 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0201033 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0183551 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0205566 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0123147 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.000593171 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.00874345 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.050018 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0505656 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0444242 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0146449 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0600008 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0244652 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.048679 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0576746 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0464698 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0611675 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0593001 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0464698 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0563698 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.00631032 # DEPENDENCYPART_SIBL
(6,1),(6,30),0.0170234 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.114141 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.107707 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0259379 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0199723 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00260747 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.000569363 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0176461 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0174618 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.00107659 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0161929 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0174618 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0163413 # DEPENDENCYPART_SIBL
(6,2),(6,26),-0.0162938 # DEPENDENCYPART_SIBL
(6,2),(6,30),0.000590547 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.106869 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0303813 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0175795 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00329737 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00182351 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0152533 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0103637 # DEPENDENCYPART_SIBL
(6,3),(6,13),-8.69437e-05 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0139357 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0103637 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0139485 # DEPENDENCYPART_SIBL
(6,3),(6,26),-0.0147096 # DEPENDENCYPART_SIBL
(6,3),(6,30),-0.00301799 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0463464 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0137977 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0107895 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00382417 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0114715 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00860026 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0130191 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.00552599 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.00860026 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0101667 # DEPENDENCYPART_SIBL
(6,5),(6,26),-0.0272472 # DEPENDENCYPART_SIBL
(6,5),(6,30),-0.00734055 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00178546 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0258964 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0459145 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.00139961 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00807359 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0437315 # DEPENDENCYPART_SIBL
