# _root_ Commodities : Dow Jones futures index 129.72 , off 0.15 ; spot index 130.16 , up 0.91 .
#goldHeads=0,1,6,6,6,1,6,7,7,9,6,13,6,13,14,14,16,1,
#predictedHeads=0,1,6,6,6,1,6,6,6,9,6,13,6,13,13,13,16,1,
(12,16),-1.6656 # DEPENDENCYPART_ARC
(12,17),-2.15353 # DEPENDENCYPART_ARC
(12,18),-2.19871 # DEPENDENCYPART_ARC
(13,1),-2.48485 # DEPENDENCYPART_ARC
(13,2),-2.91671 # DEPENDENCYPART_ARC
(13,3),-1.70895 # DEPENDENCYPART_ARC
(13,4),-2.00459 # DEPENDENCYPART_ARC
(13,5),-1.50483 # DEPENDENCYPART_ARC
(13,6),-1.92583 # DEPENDENCYPART_ARC
(13,7),-2.64997 # DEPENDENCYPART_ARC
(13,8),-1.7737 # DEPENDENCYPART_ARC
(13,9),-0.832547 # DEPENDENCYPART_ARC
(13,10),-1.26275 # DEPENDENCYPART_ARC
(13,11),-1.01924 # DEPENDENCYPART_ARC
(13,12),1.40198 # DEPENDENCYPART_ARC
(13,14),0.24019 # DEPENDENCYPART_ARC
(13,15),-1.24926 # DEPENDENCYPART_ARC
(13,16),-0.954651 # DEPENDENCYPART_ARC
(13,17),-1.42941 # DEPENDENCYPART_ARC
(13,18),-1.7193 # DEPENDENCYPART_ARC
(14,7),-2.54016 # DEPENDENCYPART_ARC
(14,8),-2.40325 # DEPENDENCYPART_ARC
(14,9),-2.16764 # DEPENDENCYPART_ARC
(14,10),-1.92717 # DEPENDENCYPART_ARC
(14,11),-1.64276 # DEPENDENCYPART_ARC
(14,12),-1.84042 # DEPENDENCYPART_ARC
(14,13),-1.24755 # DEPENDENCYPART_ARC
(14,15),-0.920456 # DEPENDENCYPART_ARC
(14,16),-1.2394 # DEPENDENCYPART_ARC
(14,17),-2.1249 # DEPENDENCYPART_ARC
(15,14),-2.24959 # DEPENDENCYPART_ARC
(15,16),-1.65413 # DEPENDENCYPART_ARC
(15,17),-2.42393 # DEPENDENCYPART_ARC
(16,14),-2.47927 # DEPENDENCYPART_ARC
(16,15),-1.62944 # DEPENDENCYPART_ARC
(16,17),0.02596 # DEPENDENCYPART_ARC
(16,18),-1.59455 # DEPENDENCYPART_ARC
(17,10),-3.16628 # DEPENDENCYPART_ARC
(17,14),-2.09698 # DEPENDENCYPART_ARC
(17,15),-2.06199 # DEPENDENCYPART_ARC
(17,16),-1.1807 # DEPENDENCYPART_ARC
(17,18),-1.89858 # DEPENDENCYPART_ARC
(18,17),-2.33195 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0646722 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.139323 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.139324 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.346915 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.190083 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.102803 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.1087 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.107065 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.022902 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.043135 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.102603 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.219983 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.180749 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.191386 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.101089 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.181681 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.192495 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0999481 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.196876 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.103782 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.120203 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.508902 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.503157 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.480835 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.529016 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.240771 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.104927 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.159683 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.24665 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.12667 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.462303 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.529016 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.24665 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.104927 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0475728 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.24665 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.596064 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0975472 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0418578 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0497921 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0116157 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.00205211 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0340507 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00947451 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0148013 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0434039 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0497921 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.00947451 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.00205211 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0550528 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.00947451 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0249416 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0488611 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0599703 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0163594 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0207968 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0412267 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.014198 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0229165 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0520614 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0599703 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.014198 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0207968 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0615858 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.014198 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0265867 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0826458 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0831201 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0507971 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0589793 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0810115 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0850354 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.089895 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0826458 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0810115 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0507971 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0554506 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0810115 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0247794 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0361935 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.00229756 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0670752 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0326364 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.018989 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0798583 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0546345 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0326364 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.00229756 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.00532157 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0326364 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0599431 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0213076 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.109559 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0157433 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0409144 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0187735 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.00559112 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0157433 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0213076 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0120145 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0157433 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0224639 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.340908 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.305591 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0129923 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.541933 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.498386 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.305591 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0712033 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.408799 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.305591 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0215714 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0650859 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0509466 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0490599 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0369446 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0650859 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0296437 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0465763 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0650859 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0331425 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0431283 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0172881 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.00595405 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0150004 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0217491 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0113071 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.0150004 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0246637 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.371975 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.448179 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.160032 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.213336 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.0746747 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.160032 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.300283 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0803428 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.0510768 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0181314 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.0160058 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.0510768 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.056019 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.0326364 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.00229756 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.00532157 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.0326364 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0599431 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.0217491 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.0113071 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.0150004 # DEPENDENCYPART_SIBL
(1,14),(1,18),0.0246637 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.408799 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.305591 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.0215714 # DEPENDENCYPART_SIBL
(1,16),(1,17),-0.0462131 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.0663675 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0246637 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0465376 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0463101 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.023055 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.166233 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.111008 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.111705 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0171072 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0111888 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00604067 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00802977 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00782279 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0145814 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00853039 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00802977 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0145814 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0405223 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0668507 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0664984 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0826781 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0542611 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00892468 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0181709 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0826781 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00892468 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0297438 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0476812 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0926973 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0273263 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00716487 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00981122 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0926973 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.00716487 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0028549 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.127139 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0387354 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0440448 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00628691 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.127139 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0440448 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0891345 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0474725 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.206112 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0857304 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.314308 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.206112 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0398352 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.118912 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00328409 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0493446 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.118912 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0614326 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.14131 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.595136 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0717615 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.00954012 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.286297 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.112791 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.415481 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.206112 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0398352 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.00954012 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0171194 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0117503 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00663958 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00956693 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00488553 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0118512 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0546029 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00564429 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.010577 # DEPENDENCYPART_SIBL
(4,1),(4,12),9.17892e-05 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00956693 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.00564429 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0118512 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0404081 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0141478 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.065889 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0841964 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0513133 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00618393 # DEPENDENCYPART_SIBL
(4,2),(4,9),-2.63612e-05 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0513133 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0161152 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0550306 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0841964 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0513133 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00618393 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0296395 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.050842 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.010195 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0326169 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.035248 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0065672 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0303413 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.104194 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0313845 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.010195 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0303413 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.035248 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0383851 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.146336 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0710977 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0558874 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.059971 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0710977 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0142168 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.131686 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.146336 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0710977 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0558874 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0949619 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0659328 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.099241 # DEPENDENCYPART_SIBL
