# _root_ Financial markets quieted , with stock prices edging lower , bonds inching up and the dollar almost unchanged .
#goldHeads=2,3,0,3,3,7,8,14,8,14,12,14,12,5,16,18,18,14,3,
#predictedHeads=2,3,0,3,3,7,8,5,8,14,12,14,12,8,16,18,18,14,3,
(7,1),-2.70518 # DEPENDENCYPART_ARC
(7,2),-2.51453 # DEPENDENCYPART_ARC
(7,3),-2.04433 # DEPENDENCYPART_ARC
(7,4),-1.79447 # DEPENDENCYPART_ARC
(7,5),-1.26711 # DEPENDENCYPART_ARC
(7,6),1.88671 # DEPENDENCYPART_ARC
(7,8),-0.203558 # DEPENDENCYPART_ARC
(7,9),-1.24764 # DEPENDENCYPART_ARC
(7,10),-1.8221 # DEPENDENCYPART_ARC
(7,11),-1.62607 # DEPENDENCYPART_ARC
(7,12),-2.5183 # DEPENDENCYPART_ARC
(7,13),-1.84552 # DEPENDENCYPART_ARC
(7,14),-1.51056 # DEPENDENCYPART_ARC
(7,16),-1.52631 # DEPENDENCYPART_ARC
(7,17),-1.94374 # DEPENDENCYPART_ARC
(7,18),-2.14756 # DEPENDENCYPART_ARC
(8,2),-3.22166 # DEPENDENCYPART_ARC
(8,3),-2.70932 # DEPENDENCYPART_ARC
(8,4),-2.32408 # DEPENDENCYPART_ARC
(8,5),-1.33773 # DEPENDENCYPART_ARC
(8,6),-1.6902 # DEPENDENCYPART_ARC
(8,7),-0.522402 # DEPENDENCYPART_ARC
(8,9),0.270613 # DEPENDENCYPART_ARC
(8,10),-1.26505 # DEPENDENCYPART_ARC
(8,11),-1.84266 # DEPENDENCYPART_ARC
(8,12),-1.92068 # DEPENDENCYPART_ARC
(8,13),-2.28324 # DEPENDENCYPART_ARC
(8,14),-1.40023 # DEPENDENCYPART_ARC
(8,16),-2.70785 # DEPENDENCYPART_ARC
(8,17),-2.75625 # DEPENDENCYPART_ARC
(8,18),-2.07613 # DEPENDENCYPART_ARC
(8,19),-1.96858 # DEPENDENCYPART_ARC
(9,6),-1.09785 # DEPENDENCYPART_ARC
(9,7),-1.14082 # DEPENDENCYPART_ARC
(9,13),-2.09447 # DEPENDENCYPART_ARC
(11,6),-1.577 # DEPENDENCYPART_ARC
(11,7),-1.96514 # DEPENDENCYPART_ARC
(11,8),-1.84527 # DEPENDENCYPART_ARC
(11,9),-1.36075 # DEPENDENCYPART_ARC
(11,10),-0.19501 # DEPENDENCYPART_ARC
(11,12),0.00666018 # DEPENDENCYPART_ARC
(11,13),-1.00319 # DEPENDENCYPART_ARC
(11,14),-1.00802 # DEPENDENCYPART_ARC
(11,16),-1.28506 # DEPENDENCYPART_ARC
(11,17),-1.22833 # DEPENDENCYPART_ARC
(11,18),-1.38052 # DEPENDENCYPART_ARC
(11,19),-1.50063 # DEPENDENCYPART_ARC
(12,2),-2.08975 # DEPENDENCYPART_ARC
(12,3),-2.55221 # DEPENDENCYPART_ARC
(12,5),-2.13215 # DEPENDENCYPART_ARC
(12,7),-3.1492 # DEPENDENCYPART_ARC
(12,10),-1.12873 # DEPENDENCYPART_ARC
(12,11),-0.27172 # DEPENDENCYPART_ARC
(12,13),0.420991 # DEPENDENCYPART_ARC
(12,14),-0.883631 # DEPENDENCYPART_ARC
(12,15),-1.36264 # DEPENDENCYPART_ARC
(12,16),-0.890699 # DEPENDENCYPART_ARC
(12,17),-1.45022 # DEPENDENCYPART_ARC
(12,18),-0.971819 # DEPENDENCYPART_ARC
(12,19),-0.725784 # DEPENDENCYPART_ARC
(13,2),-1.72369 # DEPENDENCYPART_ARC
(13,5),-2.22309 # DEPENDENCYPART_ARC
(13,7),-2.12616 # DEPENDENCYPART_ARC
(13,8),-2.11325 # DEPENDENCYPART_ARC
(13,10),-1.67546 # DEPENDENCYPART_ARC
(13,11),-1.46582 # DEPENDENCYPART_ARC
(13,12),-0.160359 # DEPENDENCYPART_ARC
(13,14),-0.427455 # DEPENDENCYPART_ARC
(13,15),-1.27312 # DEPENDENCYPART_ARC
(13,16),-1.38431 # DEPENDENCYPART_ARC
(13,17),-1.60996 # DEPENDENCYPART_ARC
(13,18),-1.58482 # DEPENDENCYPART_ARC
(13,19),-1.46476 # DEPENDENCYPART_ARC
(14,1),-2.29351 # DEPENDENCYPART_ARC
(14,2),-1.83686 # DEPENDENCYPART_ARC
(14,3),-1.98433 # DEPENDENCYPART_ARC
(14,4),-2.52382 # DEPENDENCYPART_ARC
(14,5),-1.742 # DEPENDENCYPART_ARC
(14,6),-2.00356 # DEPENDENCYPART_ARC
(14,7),-1.88949 # DEPENDENCYPART_ARC
(14,8),-1.62456 # DEPENDENCYPART_ARC
(14,9),-2.04763 # DEPENDENCYPART_ARC
(14,10),-1.26111 # DEPENDENCYPART_ARC
(14,11),-0.977917 # DEPENDENCYPART_ARC
(14,12),-0.363448 # DEPENDENCYPART_ARC
(14,13),0.243897 # DEPENDENCYPART_ARC
(14,15),-0.147261 # DEPENDENCYPART_ARC
(14,16),-0.487692 # DEPENDENCYPART_ARC
(14,17),-1.13273 # DEPENDENCYPART_ARC
(14,18),-1.1869 # DEPENDENCYPART_ARC
(14,19),-1.07166 # DEPENDENCYPART_ARC
(15,16),-0.576662 # DEPENDENCYPART_ARC
(16,11),-1.62905 # DEPENDENCYPART_ARC
(16,13),-1.22511 # DEPENDENCYPART_ARC
(16,14),-0.589646 # DEPENDENCYPART_ARC
(16,15),1.24861 # DEPENDENCYPART_ARC
(16,17),-0.305475 # DEPENDENCYPART_ARC
(16,18),-1.26324 # DEPENDENCYPART_ARC
(16,19),-1.16484 # DEPENDENCYPART_ARC
(17,2),-1.83124 # DEPENDENCYPART_ARC
(17,7),-2.17792 # DEPENDENCYPART_ARC
(17,8),-2.18125 # DEPENDENCYPART_ARC
(17,10),-2.08835 # DEPENDENCYPART_ARC
(17,11),-1.70796 # DEPENDENCYPART_ARC
(17,12),-1.62919 # DEPENDENCYPART_ARC
(17,15),-1.40506 # DEPENDENCYPART_ARC
(17,16),-0.425333 # DEPENDENCYPART_ARC
(17,18),-0.0768092 # DEPENDENCYPART_ARC
(17,19),-1.10106 # DEPENDENCYPART_ARC
(18,13),-0.863561 # DEPENDENCYPART_ARC
(18,14),-0.710963 # DEPENDENCYPART_ARC
(18,15),-0.780963 # DEPENDENCYPART_ARC
(18,16),-0.501796 # DEPENDENCYPART_ARC
(18,17),0.811497 # DEPENDENCYPART_ARC
(18,19),-0.349073 # DEPENDENCYPART_ARC
(19,18),-0.492797 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.00167173 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0833196 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0833196 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0833196 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0613658 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.123839 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.123839 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.123839 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.105095 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.225457 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.225457 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.182076 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.225457 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.182076 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.182076 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00469309 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00818779 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0107526 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0693948 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0125001 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.000147537 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0138625 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0722487 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0383839 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0576016 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0154533 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0722487 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0189639 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0138625 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0666694 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0402866 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.016548 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00381148 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00247033 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0402866 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0171066 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.00247033 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.00142094 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0487292 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.050285 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0374584 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0638854 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.038226 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0374584 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.00719056 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00157859 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00592049 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0281528 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0337162 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.00592049 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0130754 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00479415 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0387274 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0203443 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00479415 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0217011 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0402866 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0171066 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.00247033 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.00142094 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.038226 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0374584 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.00719056 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.00212294 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0148155 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.00142114 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00362535 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0276844 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0719228 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0103499 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0371625 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0231011 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0276844 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0283348 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0222535 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0759721 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00851367 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0243358 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0570641 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0544971 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0101242 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0116718 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0484515 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0576472 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0362705 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00550468 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0116718 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0240638 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00324064 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0322463 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0194317 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0229065 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0945722 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0278219 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.018952 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0548705 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.010089 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0125196 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0434897 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0271318 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00499664 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.043171 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0367142 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.00866272 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.00476665 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0358467 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0316433 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.00704475 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0192733 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0148115 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00565846 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0105122 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0131422 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00597719 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0168844 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0259668 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.00909586 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0162939 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0153921 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0144293 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0671931 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00161994 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0352779 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0491827 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00193867 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0119224 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0417725 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0462949 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.00677768 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0169237 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0139418 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00320036 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00539444 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0473459 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00288164 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0148764 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0261814 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0444573 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0048124 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0217816 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0221099 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0082075 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0202239 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.022178 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0350325 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0623636 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0177284 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.019786 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0300908 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0087879 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.00499664 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.043171 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0367142 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.00866272 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.00476665 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0358467 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0316433 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.00704475 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0138188 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.01835 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0207107 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0191715 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.00437704 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.00632071 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.000281686 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0350324 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0623635 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0177283 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0197859 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0300907 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.00878842 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0514593 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0175139 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0153967 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0017718 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.000455226 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.023013 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.0205172 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.00597656 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.00758697 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0249931 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.00147418 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0130081 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.0169063 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.0541814 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.000924235 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0190562 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0232349 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0278492 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0176908 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0734618 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.106263 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0328435 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0176558 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0212577 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0343957 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0809921 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0684655 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0913965 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0878142 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.012606 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.907217 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0861141 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0789506 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.00736361 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.039841 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0178758 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.121249 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0540319 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0564909 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0250954 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.115913 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0540319 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0641833 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.19473 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0630323 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0471956 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0549453 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0366622 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.113614 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0471956 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0621433 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.184944 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0614868 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0275481 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0618119 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0376596 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0459601 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0427483 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.10714 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0271776 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.026685 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0478859 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0417188 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0610333 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0944811 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0446459 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0374826 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.00909962 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.007194 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.085814 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0113397 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.049821 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0672733 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.188935 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0634895 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0427483 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.10714 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0271776 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.112918 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0487215 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.0129509 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0188785 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0782769 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0347638 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0724044 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0307164 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.000229277 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0233907 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0375806 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0892249 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0320132 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0770527 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0202535 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0234445 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0396619 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0552395 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0186627 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0582547 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0633249 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0533811 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0116244 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.0654857 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.00429614 # DEPENDENCYPART_SIBL
