# _root_ As you can see , the capital-gains reduction plan adopted by the House would not be temporary , but permanent .
#goldHeads=3,3,14,3,14,9,9,9,14,9,10,13,11,0,14,14,19,19,16,19,14,
#predictedHeads=3,3,14,3,14,9,9,9,14,9,10,13,11,0,14,14,19,19,16,19,14,
(8,7),0.352237 # DEPENDENCYPART_ARC
(8,10),-1.12645 # DEPENDENCYPART_ARC
(8,13),-2.0917 # DEPENDENCYPART_ARC
(9,1),-1.85356 # DEPENDENCYPART_ARC
(9,4),-1.34394 # DEPENDENCYPART_ARC
(9,5),-1.12114 # DEPENDENCYPART_ARC
(9,6),0.0429362 # DEPENDENCYPART_ARC
(9,7),0.82104 # DEPENDENCYPART_ARC
(9,8),2.02259 # DEPENDENCYPART_ARC
(9,10),-0.129305 # DEPENDENCYPART_ARC
(9,11),-1.29126 # DEPENDENCYPART_ARC
(9,12),-1.67325 # DEPENDENCYPART_ARC
(9,13),-1.45884 # DEPENDENCYPART_ARC
(9,14),-1.52096 # DEPENDENCYPART_ARC
(9,15),-1.48801 # DEPENDENCYPART_ARC
(9,16),-1.90284 # DEPENDENCYPART_ARC
(9,17),-1.6858 # DEPENDENCYPART_ARC
(9,18),-1.94474 # DEPENDENCYPART_ARC
(9,19),-1.50209 # DEPENDENCYPART_ARC
(9,20),-2.23097 # DEPENDENCYPART_ARC
(9,21),-2.08413 # DEPENDENCYPART_ARC
(10,1),-1.85032 # DEPENDENCYPART_ARC
(10,5),-1.77645 # DEPENDENCYPART_ARC
(10,7),-1.48665 # DEPENDENCYPART_ARC
(10,8),-1.47694 # DEPENDENCYPART_ARC
(10,9),-0.303906 # DEPENDENCYPART_ARC
(10,11),0.580488 # DEPENDENCYPART_ARC
(10,12),-1.38667 # DEPENDENCYPART_ARC
(10,13),-1.29263 # DEPENDENCYPART_ARC
(10,14),-1.11451 # DEPENDENCYPART_ARC
(10,15),-1.57162 # DEPENDENCYPART_ARC
(10,16),-1.45987 # DEPENDENCYPART_ARC
(10,17),-1.80902 # DEPENDENCYPART_ARC
(10,18),-1.8226 # DEPENDENCYPART_ARC
(10,19),-1.63849 # DEPENDENCYPART_ARC
(10,20),-2.58253 # DEPENDENCYPART_ARC
(10,21),-1.75999 # DEPENDENCYPART_ARC
(11,1),-1.64901 # DEPENDENCYPART_ARC
(11,9),-1.33473 # DEPENDENCYPART_ARC
(11,10),-0.305222 # DEPENDENCYPART_ARC
(11,12),-0.0358908 # DEPENDENCYPART_ARC
(11,13),-0.019437 # DEPENDENCYPART_ARC
(11,14),-1.23654 # DEPENDENCYPART_ARC
(11,15),-1.39362 # DEPENDENCYPART_ARC
(11,16),-1.47163 # DEPENDENCYPART_ARC
(11,17),-1.49828 # DEPENDENCYPART_ARC
(11,18),-1.45431 # DEPENDENCYPART_ARC
(11,19),-1.75777 # DEPENDENCYPART_ARC
(12,11),-0.611727 # DEPENDENCYPART_ARC
(12,14),-1.28227 # DEPENDENCYPART_ARC
(13,11),-1.5197 # DEPENDENCYPART_ARC
(13,12),0.802167 # DEPENDENCYPART_ARC
(13,14),-0.506627 # DEPENDENCYPART_ARC
(13,15),-1.35676 # DEPENDENCYPART_ARC
(13,16),-1.37572 # DEPENDENCYPART_ARC
(13,17),-1.76513 # DEPENDENCYPART_ARC
(14,1),-1.75296 # DEPENDENCYPART_ARC
(14,2),-2.33414 # DEPENDENCYPART_ARC
(14,3),-1.57268 # DEPENDENCYPART_ARC
(14,4),-1.49314 # DEPENDENCYPART_ARC
(14,5),-1.88031 # DEPENDENCYPART_ARC
(14,6),-1.68257 # DEPENDENCYPART_ARC
(14,7),-1.13526 # DEPENDENCYPART_ARC
(14,8),-1.14118 # DEPENDENCYPART_ARC
(14,9),-1.16326 # DEPENDENCYPART_ARC
(14,10),-1.26351 # DEPENDENCYPART_ARC
(14,11),-0.412797 # DEPENDENCYPART_ARC
(14,12),-0.782984 # DEPENDENCYPART_ARC
(14,13),0.784964 # DEPENDENCYPART_ARC
(14,15),1.02838 # DEPENDENCYPART_ARC
(14,16),0.960964 # DEPENDENCYPART_ARC
(14,17),-0.642813 # DEPENDENCYPART_ARC
(14,18),-0.899645 # DEPENDENCYPART_ARC
(14,19),-1.17441 # DEPENDENCYPART_ARC
(14,21),-0.491032 # DEPENDENCYPART_ARC
(15,9),-1.90608 # DEPENDENCYPART_ARC
(15,11),-1.74385 # DEPENDENCYPART_ARC
(15,12),-1.81742 # DEPENDENCYPART_ARC
(15,13),-1.6217 # DEPENDENCYPART_ARC
(15,16),-0.552769 # DEPENDENCYPART_ARC
(15,17),-1.57311 # DEPENDENCYPART_ARC
(15,20),-2.37664 # DEPENDENCYPART_ARC
(16,1),-2.21409 # DEPENDENCYPART_ARC
(16,5),-2.05999 # DEPENDENCYPART_ARC
(16,7),-1.22921 # DEPENDENCYPART_ARC
(16,9),-1.33797 # DEPENDENCYPART_ARC
(16,11),-1.31904 # DEPENDENCYPART_ARC
(16,12),-1.46397 # DEPENDENCYPART_ARC
(16,13),-0.938476 # DEPENDENCYPART_ARC
(16,14),-1.19952 # DEPENDENCYPART_ARC
(16,15),0.268755 # DEPENDENCYPART_ARC
(16,17),0.472421 # DEPENDENCYPART_ARC
(16,18),-0.81333 # DEPENDENCYPART_ARC
(16,19),-1.18904 # DEPENDENCYPART_ARC
(16,20),-1.52712 # DEPENDENCYPART_ARC
(16,21),-1.62813 # DEPENDENCYPART_ARC
(17,9),-1.52763 # DEPENDENCYPART_ARC
(17,11),-1.17684 # DEPENDENCYPART_ARC
(17,13),-1.31271 # DEPENDENCYPART_ARC
(17,15),-1.10604 # DEPENDENCYPART_ARC
(17,16),-0.0399096 # DEPENDENCYPART_ARC
(17,18),-0.191506 # DEPENDENCYPART_ARC
(17,19),-1.50112 # DEPENDENCYPART_ARC
(17,20),-1.25531 # DEPENDENCYPART_ARC
(17,21),-1.53848 # DEPENDENCYPART_ARC
(19,1),-0.934468 # DEPENDENCYPART_ARC
(19,2),-1.51107 # DEPENDENCYPART_ARC
(19,3),-1.35479 # DEPENDENCYPART_ARC
(19,4),-1.89087 # DEPENDENCYPART_ARC
(19,5),-2.23977 # DEPENDENCYPART_ARC
(19,6),-2.46414 # DEPENDENCYPART_ARC
(19,7),-1.63506 # DEPENDENCYPART_ARC
(19,8),-1.47944 # DEPENDENCYPART_ARC
(19,9),-1.3052 # DEPENDENCYPART_ARC
(19,10),-1.62602 # DEPENDENCYPART_ARC
(19,11),-1.42362 # DEPENDENCYPART_ARC
(19,12),-1.72479 # DEPENDENCYPART_ARC
(19,13),-1.30347 # DEPENDENCYPART_ARC
(19,14),-1.24467 # DEPENDENCYPART_ARC
(19,15),-1.04644 # DEPENDENCYPART_ARC
(19,16),-1.10876 # DEPENDENCYPART_ARC
(19,17),-0.605162 # DEPENDENCYPART_ARC
(19,18),1.19428 # DEPENDENCYPART_ARC
(19,20),0.0881184 # DEPENDENCYPART_ARC
(19,21),-0.54213 # DEPENDENCYPART_ARC
(20,17),-1.75761 # DEPENDENCYPART_ARC
(20,18),-1.23015 # DEPENDENCYPART_ARC
(20,19),0.0401272 # DEPENDENCYPART_ARC
(20,21),-0.403508 # DEPENDENCYPART_ARC
(21,20),-0.49229 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0377229 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.13485 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.124206 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0292791 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.11894 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0747633 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.00773125 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.110832 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.108887 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0536602 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.109017 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.083429 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0148955 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.226697 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.105525 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.229586 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.166867 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0743144 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.10518 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.230066 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.166038 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0742389 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.115317 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0841107 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0159613 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.165982 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0758207 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0273531 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00517801 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0277395 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0113679 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.00922353 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0146577 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0353322 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0274226 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0756916 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.051196 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.0175577 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0044646 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0398428 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00891385 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0851316 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0169897 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00902611 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0905171 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0588734 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.149311 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0819779 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0939113 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0663039 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.030764 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.114006 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.149311 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0600921 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0808325 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0771792 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0219284 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0570593 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.10951 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0150448 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0495196 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.125431 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0219284 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0510369 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0707694 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0133775 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0514689 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0739268 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0125684 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0868439 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0387135 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0133775 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.101516 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0155047 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0173754 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.067465 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0525128 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0187477 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.184407 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0677608 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0162594 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0164711 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.094657 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0376818 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0137537 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.138944 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.00533766 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0131373 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0462181 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0243146 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0978311 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0500703 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0363658 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.11272 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.00742755 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.016374 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0644406 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.0136272 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0433884 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.0201796 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.111447 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0242327 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.017204 # DEPENDENCYPART_SIBL
(3,15),(3,21),-0.019161 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0190325 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.10792 # DEPENDENCYPART_SIBL
(3,16),(3,21),0.0207599 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.0162594 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.0164711 # DEPENDENCYPART_SIBL
(3,19),(3,21),-0.0139089 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.101966 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00670457 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0743476 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0680919 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0478981 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.048571 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0173943 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0106269 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0195735 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0449545 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0109151 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0553273 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0743476 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0108005 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0549356 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0491381 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0327626 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.133818 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0305041 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0272807 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0282402 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00350946 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0456789 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0135392 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.113793 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0565802 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0123833 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.133818 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0463542 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0117233 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0222758 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0652561 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0996028 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0534407 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0538744 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0235206 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0758048 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.135542 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.198062 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0924282 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0675394 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0652561 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.045467 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0669419 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0146769 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0231584 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0197532 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.012473 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0248313 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0482337 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0569936 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0655509 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.056576 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0328348 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.102046 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.037337 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0242711 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0388874 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0426986 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0450953 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0413697 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0505575 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00768088 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0221368 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0250131 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0236827 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0150183 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0349819 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0322484 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0393782 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.076466 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0762182 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0713237 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00838334 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0711753 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0379897 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0466295 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0280682 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0566407 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0551754 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0505471 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0874278 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0841276 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0313844 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0818511 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0486656 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0573054 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0173888 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0673165 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0658512 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0681752 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0873366 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0228259 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0639105 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0260557 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0346794 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0339068 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0475769 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0432252 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0304199 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0108951 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0277384 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0327189 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0342207 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0426802 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0520073 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0427767 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.00417872 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0034362 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0476356 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0160378 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0554269 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0250523 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0246024 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0649195 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0226176 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0335446 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.040637 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.063501 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0421103 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.0159027 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.106082 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0462402 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0227209 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0803663 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.00321855 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0462978 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.0464074 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0607641 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.0203528 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.037337 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.0242711 # DEPENDENCYPART_SIBL
(4,18),(4,21),0.0388874 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.0337932 # DEPENDENCYPART_SIBL
(4,19),(4,21),-0.00521571 # DEPENDENCYPART_SIBL
(4,20),(4,21),-0.0166203 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0392069 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0214705 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0120095 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0105308 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.132735 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0192136 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.064557 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.154663 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0519203 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0235301 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.00423195 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0136828 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0189366 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0126138 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0421493 # DEPENDENCYPART_SIBL
