# _root_ That debt would be paid off as the assets are sold , leaving the total spending for the bailout at $ 50 billion , or $ 166 billion including interest over 10 years .
#goldHeads=2,3,0,3,4,5,5,9,10,7,10,5,5,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,26,29,30,33,31,3,
#predictedHeads=2,3,0,3,4,5,5,9,10,7,10,11,11,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,16,29,30,33,31,3,
(9,13),-1.59234 # DEPENDENCYPART_ARC
(10,1),-2.38827 # DEPENDENCYPART_ARC
(10,2),-1.86441 # DEPENDENCYPART_ARC
(10,3),-1.81685 # DEPENDENCYPART_ARC
(10,5),-1.94648 # DEPENDENCYPART_ARC
(10,6),-1.64516 # DEPENDENCYPART_ARC
(10,7),-1.14407 # DEPENDENCYPART_ARC
(10,8),-1.36321 # DEPENDENCYPART_ARC
(10,9),1.24447 # DEPENDENCYPART_ARC
(10,11),1.56854 # DEPENDENCYPART_ARC
(10,12),-1.13227 # DEPENDENCYPART_ARC
(10,13),-0.74537 # DEPENDENCYPART_ARC
(10,16),-2.17496 # DEPENDENCYPART_ARC
(10,17),-1.72347 # DEPENDENCYPART_ARC
(10,19),-2.52898 # DEPENDENCYPART_ARC
(10,20),-1.84838 # DEPENDENCYPART_ARC
(10,21),-2.36729 # DEPENDENCYPART_ARC
(10,24),-1.06649 # DEPENDENCYPART_ARC
(10,25),-2.37605 # DEPENDENCYPART_ARC
(10,34),0.547226 # DEPENDENCYPART_ARC
(11,1),-2.19818 # DEPENDENCYPART_ARC
(11,2),-1.93763 # DEPENDENCYPART_ARC
(11,3),-1.812 # DEPENDENCYPART_ARC
(11,6),-1.87819 # DEPENDENCYPART_ARC
(11,7),-1.60453 # DEPENDENCYPART_ARC
(11,8),-1.60318 # DEPENDENCYPART_ARC
(11,9),-1.36141 # DEPENDENCYPART_ARC
(11,10),-0.748839 # DEPENDENCYPART_ARC
(11,12),-0.285584 # DEPENDENCYPART_ARC
(11,13),-0.196572 # DEPENDENCYPART_ARC
(11,15),-1.6379 # DEPENDENCYPART_ARC
(11,16),-1.32054 # DEPENDENCYPART_ARC
(11,17),-0.871669 # DEPENDENCYPART_ARC
(11,19),-1.80576 # DEPENDENCYPART_ARC
(11,20),-1.17166 # DEPENDENCYPART_ARC
(11,21),-2.30164 # DEPENDENCYPART_ARC
(11,24),-1.33896 # DEPENDENCYPART_ARC
(11,29),-2.16812 # DEPENDENCYPART_ARC
(11,31),-2.14342 # DEPENDENCYPART_ARC
(11,34),-2.37926 # DEPENDENCYPART_ARC
(12,13),-1.60681 # DEPENDENCYPART_ARC
(13,3),-2.55143 # DEPENDENCYPART_ARC
(13,9),-2.06697 # DEPENDENCYPART_ARC
(13,11),-2.06199 # DEPENDENCYPART_ARC
(13,12),-1.39558 # DEPENDENCYPART_ARC
(13,14),-0.372178 # DEPENDENCYPART_ARC
(13,15),-0.143022 # DEPENDENCYPART_ARC
(13,16),0.696426 # DEPENDENCYPART_ARC
(13,17),0.198534 # DEPENDENCYPART_ARC
(13,19),-0.38957 # DEPENDENCYPART_ARC
(13,20),-0.192489 # DEPENDENCYPART_ARC
(13,21),-1.65992 # DEPENDENCYPART_ARC
(13,23),-2.02177 # DEPENDENCYPART_ARC
(13,24),-0.888083 # DEPENDENCYPART_ARC
(13,25),-1.30207 # DEPENDENCYPART_ARC
(13,26),-2.12483 # DEPENDENCYPART_ARC
(13,29),-1.92484 # DEPENDENCYPART_ARC
(13,30),-1.37496 # DEPENDENCYPART_ARC
(13,31),-1.33419 # DEPENDENCYPART_ARC
(13,33),-2.10772 # DEPENDENCYPART_ARC
(13,34),-1.44277 # DEPENDENCYPART_ARC
(15,14),-0.597151 # DEPENDENCYPART_ARC
(15,17),-1.37626 # DEPENDENCYPART_ARC
(16,8),-2.1626 # DEPENDENCYPART_ARC
(16,9),-1.94711 # DEPENDENCYPART_ARC
(16,11),-1.57029 # DEPENDENCYPART_ARC
(16,12),-2.01753 # DEPENDENCYPART_ARC
(16,13),-1.47882 # DEPENDENCYPART_ARC
(16,14),1.16994 # DEPENDENCYPART_ARC
(16,15),1.84132 # DEPENDENCYPART_ARC
(16,17),0.529797 # DEPENDENCYPART_ARC
(16,19),-1.18625 # DEPENDENCYPART_ARC
(16,20),-1.08096 # DEPENDENCYPART_ARC
(16,21),-1.87878 # DEPENDENCYPART_ARC
(16,24),-1.49331 # DEPENDENCYPART_ARC
(16,25),-1.85194 # DEPENDENCYPART_ARC
(16,29),-1.79642 # DEPENDENCYPART_ARC
(16,31),-1.31336 # DEPENDENCYPART_ARC
(16,34),-2.63115 # DEPENDENCYPART_ARC
(17,16),-1.67089 # DEPENDENCYPART_ARC
(17,18),-1.24237 # DEPENDENCYPART_ARC
(17,19),1.01901 # DEPENDENCYPART_ARC
(17,20),-1.48245 # DEPENDENCYPART_ARC
(17,21),-1.45344 # DEPENDENCYPART_ARC
(17,23),-2.46417 # DEPENDENCYPART_ARC
(17,26),-2.81662 # DEPENDENCYPART_ARC
(17,33),-0.847821 # DEPENDENCYPART_ARC
(17,34),-1.87955 # DEPENDENCYPART_ARC
(19,14),-2.44803 # DEPENDENCYPART_ARC
(19,15),-1.45578 # DEPENDENCYPART_ARC
(19,16),-2.06882 # DEPENDENCYPART_ARC
(19,18),1.51744 # DEPENDENCYPART_ARC
(19,20),-0.180648 # DEPENDENCYPART_ARC
(19,21),-1.37213 # DEPENDENCYPART_ARC
(19,23),-1.82776 # DEPENDENCYPART_ARC
(19,24),-1.54101 # DEPENDENCYPART_ARC
(19,25),-1.70794 # DEPENDENCYPART_ARC
(19,29),-1.7022 # DEPENDENCYPART_ARC
(19,31),-1.50498 # DEPENDENCYPART_ARC
(20,17),-1.62735 # DEPENDENCYPART_ARC
(20,19),-1.5911 # DEPENDENCYPART_ARC
(20,21),0.738742 # DEPENDENCYPART_ARC
(20,22),-1.17821 # DEPENDENCYPART_ARC
(20,23),-1.54551 # DEPENDENCYPART_ARC
(20,24),-1.35619 # DEPENDENCYPART_ARC
(20,25),-1.52133 # DEPENDENCYPART_ARC
(20,26),-2.39174 # DEPENDENCYPART_ARC
(20,28),-2.83682 # DEPENDENCYPART_ARC
(20,30),-1.94504 # DEPENDENCYPART_ARC
(20,33),-2.01093 # DEPENDENCYPART_ARC
(21,16),-2.21235 # DEPENDENCYPART_ARC
(21,17),-2.18213 # DEPENDENCYPART_ARC
(21,18),-1.69913 # DEPENDENCYPART_ARC
(21,19),-1.52559 # DEPENDENCYPART_ARC
(21,20),-0.53578 # DEPENDENCYPART_ARC
(21,22),1.75396 # DEPENDENCYPART_ARC
(21,23),1.00966 # DEPENDENCYPART_ARC
(21,24),-0.301618 # DEPENDENCYPART_ARC
(21,25),-0.847787 # DEPENDENCYPART_ARC
(21,26),-1.44917 # DEPENDENCYPART_ARC
(21,27),-1.58812 # DEPENDENCYPART_ARC
(21,28),-1.56266 # DEPENDENCYPART_ARC
(21,29),-1.34418 # DEPENDENCYPART_ARC
(21,30),-1.94308 # DEPENDENCYPART_ARC
(21,31),-1.87218 # DEPENDENCYPART_ARC
(21,32),-3.58196 # DEPENDENCYPART_ARC
(21,34),-2.08808 # DEPENDENCYPART_ARC
(22,23),-0.956965 # DEPENDENCYPART_ARC
(23,17),-2.30102 # DEPENDENCYPART_ARC
(23,22),-0.200266 # DEPENDENCYPART_ARC
(23,24),-1.31379 # DEPENDENCYPART_ARC
(23,25),-1.31558 # DEPENDENCYPART_ARC
(23,26),-2.06833 # DEPENDENCYPART_ARC
(25,26),0.880024 # DEPENDENCYPART_ARC
(25,27),-0.895969 # DEPENDENCYPART_ARC
(25,28),-1.91591 # DEPENDENCYPART_ARC
(25,29),-1.29289 # DEPENDENCYPART_ARC
(25,30),-1.21852 # DEPENDENCYPART_ARC
(25,33),-2.11577 # DEPENDENCYPART_ARC
(26,20),-2.02866 # DEPENDENCYPART_ARC
(26,23),-2.20316 # DEPENDENCYPART_ARC
(26,25),-0.869492 # DEPENDENCYPART_ARC
(26,27),1.85836 # DEPENDENCYPART_ARC
(26,28),0.945097 # DEPENDENCYPART_ARC
(26,29),-0.692627 # DEPENDENCYPART_ARC
(26,30),-1.33702 # DEPENDENCYPART_ARC
(26,31),-1.21364 # DEPENDENCYPART_ARC
(26,32),-2.30319 # DEPENDENCYPART_ARC
(26,33),-2.09021 # DEPENDENCYPART_ARC
(26,34),-1.77067 # DEPENDENCYPART_ARC
(27,28),-0.80613 # DEPENDENCYPART_ARC
(27,30),-1.79446 # DEPENDENCYPART_ARC
(28,23),-2.25408 # DEPENDENCYPART_ARC
(28,26),-1.50469 # DEPENDENCYPART_ARC
(28,27),-0.105617 # DEPENDENCYPART_ARC
(28,29),-0.951153 # DEPENDENCYPART_ARC
(28,30),-1.69233 # DEPENDENCYPART_ARC
(29,19),-2.08105 # DEPENDENCYPART_ARC
(29,26),-1.33088 # DEPENDENCYPART_ARC
(29,27),-1.84387 # DEPENDENCYPART_ARC
(29,28),-1.17987 # DEPENDENCYPART_ARC
(29,30),0.379107 # DEPENDENCYPART_ARC
(29,31),-0.687009 # DEPENDENCYPART_ARC
(29,32),-1.95339 # DEPENDENCYPART_ARC
(29,33),-0.99239 # DEPENDENCYPART_ARC
(30,18),-1.78261 # DEPENDENCYPART_ARC
(30,21),-1.59238 # DEPENDENCYPART_ARC
(30,26),-0.697925 # DEPENDENCYPART_ARC
(30,27),-1.57642 # DEPENDENCYPART_ARC
(30,28),-0.903683 # DEPENDENCYPART_ARC
(30,29),-0.110907 # DEPENDENCYPART_ARC
(30,31),0.564342 # DEPENDENCYPART_ARC
(30,32),-0.813754 # DEPENDENCYPART_ARC
(30,33),-0.965064 # DEPENDENCYPART_ARC
(31,30),-1.49728 # DEPENDENCYPART_ARC
(31,32),-0.704725 # DEPENDENCYPART_ARC
(31,33),0.748329 # DEPENDENCYPART_ARC
(32,28),-2.2182 # DEPENDENCYPART_ARC
(32,31),-0.785677 # DEPENDENCYPART_ARC
(33,21),-2.79949 # DEPENDENCYPART_ARC
(33,26),-2.1384 # DEPENDENCYPART_ARC
(33,28),-1.6712 # DEPENDENCYPART_ARC
(33,30),-1.41418 # DEPENDENCYPART_ARC
(33,32),1.41425 # DEPENDENCYPART_ARC
(34,33),-2.47623 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.305671 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.252283 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.116879 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0823941 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.479787 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.339875 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.1466 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0917698 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.414416 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.370667 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.29001 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.691007 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.15716 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.391816 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.359638 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.485029 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.130958 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0724991 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.259331 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.169987 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0759418 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.303749 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.145429 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.233445 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.158681 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0789574 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.151007 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.198141 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.258572 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0528269 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0839462 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0228548 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0261796 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0238805 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0640256 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0503379 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.113009 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0153327 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.117818 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0207957 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0527297 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0811136 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00688978 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.255407 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.202908 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0179198 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0818635 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0336673 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0455956 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.10652 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0763079 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.10221 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.120275 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0483453 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0169717 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0454342 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.195282 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0146874 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.197538 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0412462 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.562733 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.283834 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.175809 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0655777 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0378884 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0537984 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0333411 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0300177 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0213189 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0049915 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.016275 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0049915 # DEPENDENCYPART_SIBL
(3,1),(3,25),0.0637238 # DEPENDENCYPART_SIBL
(3,1),(3,34),-0.0191566 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0532708 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.111976 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0379532 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0651314 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.104909 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0937247 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.073526 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0601087 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0874646 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0601087 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0936229 # DEPENDENCYPART_SIBL
(3,2),(3,34),0.0202351 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.298072 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.185228 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0986033 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.161968 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.166341 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.299843 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0120307 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.298939 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0120307 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.0115149 # DEPENDENCYPART_SIBL
(3,4),(3,34),0.027993 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.12515 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.15657 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.176515 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0537993 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.36831 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0310551 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.197832 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0310551 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0393257 # DEPENDENCYPART_SIBL
(3,5),(3,34),-0.13 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0494769 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.090267 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0496017 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.108003 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0770375 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0359467 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0770375 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.0118881 # DEPENDENCYPART_SIBL
(3,6),(3,34),-0.0385897 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0356811 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.029248 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0975142 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00126277 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0478487 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.00126277 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.0450867 # DEPENDENCYPART_SIBL
(3,7),(3,34),0.00461108 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.00117117 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0146933 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.00852911 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0105366 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.00852911 # DEPENDENCYPART_SIBL
(3,9),(3,25),-0.00826044 # DEPENDENCYPART_SIBL
(3,9),(3,34),0.0459265 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0806537 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0145585 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0954951 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.0145585 # DEPENDENCYPART_SIBL
(3,10),(3,25),-0.0785789 # DEPENDENCYPART_SIBL
(3,10),(3,34),0.0744161 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0288581 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.203 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.0288581 # DEPENDENCYPART_SIBL
(3,11),(3,25),-0.0438666 # DEPENDENCYPART_SIBL
(3,11),(3,34),-0.108666 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.464111 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.0518988 # DEPENDENCYPART_SIBL
(3,12),(3,25),0.968477 # DEPENDENCYPART_SIBL
(3,12),(3,34),-0.00797503 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.00475901 # DEPENDENCYPART_SIBL
(3,13),(3,25),-0.0634061 # DEPENDENCYPART_SIBL
(3,13),(3,34),-0.0216099 # DEPENDENCYPART_SIBL
(3,24),(3,25),0.968477 # DEPENDENCYPART_SIBL
(3,24),(3,34),-0.00797503 # DEPENDENCYPART_SIBL
(3,25),(3,34),-0.18591 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.128311 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00122755 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0749547 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.205547 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.244372 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.252714 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.156625 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.147116 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.18787 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.253219 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.114225 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0925988 # DEPENDENCYPART_SIBL
(4,1),(4,34),-0.153734 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0980428 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0751423 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0279921 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0624814 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0390576 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0116114 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0903744 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0894448 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0722151 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.00843619 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0222277 # DEPENDENCYPART_SIBL
(4,2),(4,34),0.0225434 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.161999 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0121306 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.160146 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00771547 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0505453 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.134659 # DEPENDENCYPART_SIBL
