# _root_ `` The earnings were fine and above expectations , '' said Michael W. Blumstein , an analyst at First Boston Corp .
#goldHeads=11,3,4,11,6,4,6,7,11,11,0,14,14,11,14,17,14,17,21,21,18,11,
#predictedHeads=11,3,4,11,6,8,6,4,11,11,0,14,14,11,14,17,14,17,21,21,18,11,
(7,10),-1.85655 # DEPENDENCYPART_ARC
(7,11),-2.13375 # DEPENDENCYPART_ARC
(8,1),-1.45835 # DEPENDENCYPART_ARC
(8,2),-2.09246 # DEPENDENCYPART_ARC
(8,3),-1.21489 # DEPENDENCYPART_ARC
(8,4),-1.27547 # DEPENDENCYPART_ARC
(8,5),-0.811709 # DEPENDENCYPART_ARC
(8,6),0.0615413 # DEPENDENCYPART_ARC
(8,7),1.19186 # DEPENDENCYPART_ARC
(8,9),-0.145181 # DEPENDENCYPART_ARC
(8,10),-1.52104 # DEPENDENCYPART_ARC
(8,11),-1.99519 # DEPENDENCYPART_ARC
(8,13),-1.98308 # DEPENDENCYPART_ARC
(8,14),-1.91324 # DEPENDENCYPART_ARC
(8,15),-1.71113 # DEPENDENCYPART_ARC
(8,17),-2.30528 # DEPENDENCYPART_ARC
(8,18),-1.94465 # DEPENDENCYPART_ARC
(8,21),-2.49434 # DEPENDENCYPART_ARC
(11,1),-0.889185 # DEPENDENCYPART_ARC
(11,3),-2.25589 # DEPENDENCYPART_ARC
(11,4),-1.22473 # DEPENDENCYPART_ARC
(11,5),-1.84782 # DEPENDENCYPART_ARC
(11,6),-1.50562 # DEPENDENCYPART_ARC
(11,7),-1.72202 # DEPENDENCYPART_ARC
(11,8),-1.87705 # DEPENDENCYPART_ARC
(11,9),-0.290289 # DEPENDENCYPART_ARC
(11,10),0.70621 # DEPENDENCYPART_ARC
(11,12),0.180715 # DEPENDENCYPART_ARC
(11,13),-0.338686 # DEPENDENCYPART_ARC
(11,14),-0.196427 # DEPENDENCYPART_ARC
(11,15),-1.35181 # DEPENDENCYPART_ARC
(11,16),-1.6779 # DEPENDENCYPART_ARC
(11,17),-1.73077 # DEPENDENCYPART_ARC
(11,18),-1.65835 # DEPENDENCYPART_ARC
(11,21),-1.85386 # DEPENDENCYPART_ARC
(11,22),0.591422 # DEPENDENCYPART_ARC
(12,6),-3.24596 # DEPENDENCYPART_ARC
(12,10),-2.26937 # DEPENDENCYPART_ARC
(12,11),-1.06933 # DEPENDENCYPART_ARC
(12,13),-0.518229 # DEPENDENCYPART_ARC
(12,14),-1.56394 # DEPENDENCYPART_ARC
(12,17),-2.14082 # DEPENDENCYPART_ARC
(12,18),-2.08414 # DEPENDENCYPART_ARC
(12,21),-2.47911 # DEPENDENCYPART_ARC
(13,8),-3.22889 # DEPENDENCYPART_ARC
(13,10),-2.49494 # DEPENDENCYPART_ARC
(13,11),-1.78894 # DEPENDENCYPART_ARC
(13,12),0.208648 # DEPENDENCYPART_ARC
(13,14),-0.849711 # DEPENDENCYPART_ARC
(13,15),-1.84567 # DEPENDENCYPART_ARC
(13,17),-2.13048 # DEPENDENCYPART_ARC
(13,18),-2.54064 # DEPENDENCYPART_ARC
(13,21),-2.67174 # DEPENDENCYPART_ARC
(14,5),-2.54444 # DEPENDENCYPART_ARC
(14,7),-2.27003 # DEPENDENCYPART_ARC
(14,8),-2.38766 # DEPENDENCYPART_ARC
(14,9),-1.71581 # DEPENDENCYPART_ARC
(14,11),-0.990616 # DEPENDENCYPART_ARC
(14,12),0.799934 # DEPENDENCYPART_ARC
(14,13),1.546 # DEPENDENCYPART_ARC
(14,15),0.283409 # DEPENDENCYPART_ARC
(14,17),-1.60088 # DEPENDENCYPART_ARC
(14,18),-2.01373 # DEPENDENCYPART_ARC
(14,19),-1.90394 # DEPENDENCYPART_ARC
(14,20),-1.93449 # DEPENDENCYPART_ARC
(14,21),-2.06822 # DEPENDENCYPART_ARC
(14,22),-1.87451 # DEPENDENCYPART_ARC
(16,15),-0.12436 # DEPENDENCYPART_ARC
(16,18),-1.36784 # DEPENDENCYPART_ARC
(17,2),-2.38089 # DEPENDENCYPART_ARC
(17,5),-2.49078 # DEPENDENCYPART_ARC
(17,8),-2.82233 # DEPENDENCYPART_ARC
(17,12),-1.90566 # DEPENDENCYPART_ARC
(17,13),-1.81372 # DEPENDENCYPART_ARC
(17,14),-2.09125 # DEPENDENCYPART_ARC
(17,15),-1.35364 # DEPENDENCYPART_ARC
(17,16),1.00942 # DEPENDENCYPART_ARC
(17,18),0.362608 # DEPENDENCYPART_ARC
(17,19),-0.960893 # DEPENDENCYPART_ARC
(17,20),-1.25427 # DEPENDENCYPART_ARC
(17,21),-1.52829 # DEPENDENCYPART_ARC
(17,22),-1.21964 # DEPENDENCYPART_ARC
(18,16),-1.53007 # DEPENDENCYPART_ARC
(18,17),-0.711521 # DEPENDENCYPART_ARC
(18,19),0.142257 # DEPENDENCYPART_ARC
(18,20),-0.656692 # DEPENDENCYPART_ARC
(18,21),-0.855397 # DEPENDENCYPART_ARC
(19,20),-0.659171 # DEPENDENCYPART_ARC
(20,16),-2.58569 # DEPENDENCYPART_ARC
(20,19),0.0471768 # DEPENDENCYPART_ARC
(20,21),-0.852125 # DEPENDENCYPART_ARC
(21,12),-1.96893 # DEPENDENCYPART_ARC
(21,13),-2.00621 # DEPENDENCYPART_ARC
(21,14),-2.5621 # DEPENDENCYPART_ARC
(21,15),-2.01693 # DEPENDENCYPART_ARC
(21,16),-1.34811 # DEPENDENCYPART_ARC
(21,17),-1.05298 # DEPENDENCYPART_ARC
(21,19),0.667606 # DEPENDENCYPART_ARC
(21,20),1.64512 # DEPENDENCYPART_ARC
(21,22),-0.254789 # DEPENDENCYPART_ARC
(22,21),-0.646968 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.123604 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0998283 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0538711 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.132523 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0538719 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.183323 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0818653 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.255545 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0818428 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0594778 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.173919 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0594778 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.135129 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0575174 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0940268 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0316067 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0702976 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0532228 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0252142 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.031788 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0347624 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0205716 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0897456 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.110711 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.825507 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0113398 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0898224 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.110711 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.089966 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0571991 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0521563 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0590814 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0174312 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0119011 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0160921 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0113497 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0592559 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0110456 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0160921 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.00442181 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.00631453 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00198358 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0275046 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00528638 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0442401 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0810303 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00568983 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.00515401 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0442401 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.00167201 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0148143 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0373465 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.000189767 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0272094 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00499613 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0206872 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.000277264 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0272094 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.00785666 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0312511 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0320469 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.031083 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0456446 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00317616 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0319594 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.031083 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0235948 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.00894548 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0354659 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0301385 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.000509868 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.000368475 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0354659 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.00399416 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0210243 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0707854 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0151087 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0447046 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0307161 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0913991 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.00956216 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0286358 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0410016 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0389699 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0486196 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0393772 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.00758009 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0796788 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0142186 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0200624 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0371509 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.00412085 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.0238747 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.0913991 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.00956216 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0268817 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0138908 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00773422 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0587643 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0815905 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0393361 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0169601 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0173277 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.290235 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0513494 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0123396 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0173277 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0563519 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0964016 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0115469 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0440886 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0974417 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.102575 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0544805 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.074376 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0164147 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.103663 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.147901 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0689969 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0164147 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0955574 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0703602 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.118629 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0183383 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.000647849 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0238452 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.047035 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0111595 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0583088 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00962318 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0215077 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0111595 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0354222 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0157756 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0124777 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0443031 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0528 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0154581 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0654236 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0426554 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00123247 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0148015 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0654236 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0201562 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0254694 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.00979529 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0226124 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0212558 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0103971 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0113885 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0438625 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0205992 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0103971 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.025215 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0322504 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0151471 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.010593 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0509614 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0249977 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.000461887 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00993648 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0509614 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0152912 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0172158 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0185179 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0469085 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0733001 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0632402 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0582099 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0469085 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0669321 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0204572 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0366599 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.00816094 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0245737 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.00796048 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0016087 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0163665 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.00549399 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.00651999 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0315586 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0275354 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0173561 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0225343 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0271994 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0526288 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0216558 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.01409 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0273607 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0419307 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.0217617 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0396713 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0628025 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0121137 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.0293143 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.0163665 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.00549399 # DEPENDENCYPART_SIBL
(4,15),(4,22),-0.00651999 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0231351 # DEPENDENCYPART_SIBL
(4,17),(4,22),-0.0303526 # DEPENDENCYPART_SIBL
(4,18),(4,22),-0.0297142 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.042809 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0241776 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0233068 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0162234 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0456554 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.134556 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.607991 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0314437 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0173102 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.07429 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0684846 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.103552 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.278337 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.16363 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.111525 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00654163 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0685178 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.000394472 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0143543 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0203058 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0149424 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0173842 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00139033 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00551291 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0190392 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0259708 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0301372 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0281984 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00189491 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0245173 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00853773 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.00132916 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00766183 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.021561 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0045083 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.00797176 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0124997 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0190146 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0912489 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0139543 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0156199 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0142494 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00384516 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.455305 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.00206898 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.00113661 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00992237 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.00930967 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.00384516 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0268255 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0263162 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.001053 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.00578111 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0978766 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00992414 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0494158 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.161529 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.201902 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0156439 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0333282 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0378374 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.213331 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.208247 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.208722 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0156439 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.198746 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.122671 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.218067 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0893287 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0082525 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0340894 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0240484 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0324882 # DEPENDENCYPART_SIBL
