# _root_ General unsecured creditors of Maxicare 's discontinued operations , whose claims total $ 110 million , initially will receive $ 17.8 million in cash and $ 10 million in senior notes .
#goldHeads=3,3,18,3,8,5,8,4,3,11,12,3,12,13,13,3,18,0,18,25,20,20,20,23,19,25,26,26,26,31,29,18,
#predictedHeads=3,3,18,3,8,5,8,4,8,11,12,8,12,13,13,18,18,0,18,25,20,20,20,23,19,25,26,26,26,31,29,18,
(8,5),-0.0697535 # DEPENDENCYPART_ARC
(8,6),-0.555215 # DEPENDENCYPART_ARC
(8,7),1.12704 # DEPENDENCYPART_ARC
(8,9),0.190064 # DEPENDENCYPART_ARC
(8,11),-1.67965 # DEPENDENCYPART_ARC
(8,12),-1.69736 # DEPENDENCYPART_ARC
(8,13),-2.02191 # DEPENDENCYPART_ARC
(8,14),-2.31854 # DEPENDENCYPART_ARC
(8,15),-2.35872 # DEPENDENCYPART_ARC
(8,16),-1.38079 # DEPENDENCYPART_ARC
(8,17),-1.75324 # DEPENDENCYPART_ARC
(8,18),-1.76369 # DEPENDENCYPART_ARC
(8,19),-2.31 # DEPENDENCYPART_ARC
(8,25),-1.18747 # DEPENDENCYPART_ARC
(8,32),-1.50249 # DEPENDENCYPART_ARC
(11,5),-2.44478 # DEPENDENCYPART_ARC
(11,7),-1.75637 # DEPENDENCYPART_ARC
(11,8),-1.75637 # DEPENDENCYPART_ARC
(11,9),-1.39523 # DEPENDENCYPART_ARC
(11,10),-0.0337481 # DEPENDENCYPART_ARC
(11,12),-0.157085 # DEPENDENCYPART_ARC
(11,13),-1.43904 # DEPENDENCYPART_ARC
(11,14),-1.70083 # DEPENDENCYPART_ARC
(11,15),-1.84685 # DEPENDENCYPART_ARC
(12,1),-1.6224 # DEPENDENCYPART_ARC
(12,2),-1.68289 # DEPENDENCYPART_ARC
(12,3),-1.80018 # DEPENDENCYPART_ARC
(12,4),-1.54839 # DEPENDENCYPART_ARC
(12,5),-1.98499 # DEPENDENCYPART_ARC
(12,7),-1.34247 # DEPENDENCYPART_ARC
(12,8),-2.00006 # DEPENDENCYPART_ARC
(12,9),-1.01993 # DEPENDENCYPART_ARC
(12,11),0.870398 # DEPENDENCYPART_ARC
(12,13),0.133646 # DEPENDENCYPART_ARC
(12,14),-0.634422 # DEPENDENCYPART_ARC
(12,15),-1.11898 # DEPENDENCYPART_ARC
(12,16),-0.690799 # DEPENDENCYPART_ARC
(12,17),-1.30404 # DEPENDENCYPART_ARC
(12,18),-1.68233 # DEPENDENCYPART_ARC
(12,19),-1.62189 # DEPENDENCYPART_ARC
(12,23),-2.02134 # DEPENDENCYPART_ARC
(12,25),-0.877302 # DEPENDENCYPART_ARC
(12,29),-2.27045 # DEPENDENCYPART_ARC
(12,32),-0.943128 # DEPENDENCYPART_ARC
(13,14),0.818979 # DEPENDENCYPART_ARC
(13,15),-0.0212609 # DEPENDENCYPART_ARC
(13,16),-0.714854 # DEPENDENCYPART_ARC
(13,17),-1.35836 # DEPENDENCYPART_ARC
(13,18),-1.35541 # DEPENDENCYPART_ARC
(13,19),-1.41312 # DEPENDENCYPART_ARC
(13,20),-1.57569 # DEPENDENCYPART_ARC
(13,21),-2.29245 # DEPENDENCYPART_ARC
(13,22),-2.08199 # DEPENDENCYPART_ARC
(13,23),-2.14593 # DEPENDENCYPART_ARC
(13,28),-2.82917 # DEPENDENCYPART_ARC
(13,29),-2.4978 # DEPENDENCYPART_ARC
(13,30),-1.77194 # DEPENDENCYPART_ARC
(13,32),-1.39122 # DEPENDENCYPART_ARC
(14,13),-0.495052 # DEPENDENCYPART_ARC
(14,15),-0.673316 # DEPENDENCYPART_ARC
(14,16),-1.10069 # DEPENDENCYPART_ARC
(14,17),-1.50921 # DEPENDENCYPART_ARC
(14,18),-1.54466 # DEPENDENCYPART_ARC
(14,19),-1.73413 # DEPENDENCYPART_ARC
(15,4),-1.30564 # DEPENDENCYPART_ARC
(15,13),-0.924555 # DEPENDENCYPART_ARC
(15,14),0.501799 # DEPENDENCYPART_ARC
(15,16),-0.258407 # DEPENDENCYPART_ARC
(15,17),-1.50213 # DEPENDENCYPART_ARC
(15,18),-1.45113 # DEPENDENCYPART_ARC
(15,19),-1.67197 # DEPENDENCYPART_ARC
(16,17),-0.443883 # DEPENDENCYPART_ARC
(17,3),-1.46169 # DEPENDENCYPART_ARC
(17,8),-1.44244 # DEPENDENCYPART_ARC
(17,11),-1.86842 # DEPENDENCYPART_ARC
(17,13),-1.61538 # DEPENDENCYPART_ARC
(17,16),0.181575 # DEPENDENCYPART_ARC
(17,18),-0.131296 # DEPENDENCYPART_ARC
(17,19),-0.936377 # DEPENDENCYPART_ARC
(17,20),-1.30695 # DEPENDENCYPART_ARC
(17,21),-1.54633 # DEPENDENCYPART_ARC
(17,22),-1.6599 # DEPENDENCYPART_ARC
(18,1),-1.36827 # DEPENDENCYPART_ARC
(18,2),-1.40485 # DEPENDENCYPART_ARC
(18,3),-1.25616 # DEPENDENCYPART_ARC
(18,4),-1.34287 # DEPENDENCYPART_ARC
(18,5),-1.16741 # DEPENDENCYPART_ARC
(18,7),-1.24869 # DEPENDENCYPART_ARC
(18,8),-1.04658 # DEPENDENCYPART_ARC
(18,9),-1.70516 # DEPENDENCYPART_ARC
(18,11),-1.53181 # DEPENDENCYPART_ARC
(18,12),-1.31852 # DEPENDENCYPART_ARC
(18,13),-1.46173 # DEPENDENCYPART_ARC
(18,14),-1.55998 # DEPENDENCYPART_ARC
(18,15),-1.43168 # DEPENDENCYPART_ARC
(18,16),-0.1588 # DEPENDENCYPART_ARC
(18,17),0.746425 # DEPENDENCYPART_ARC
(18,19),1.53211 # DEPENDENCYPART_ARC
(18,23),-1.41787 # DEPENDENCYPART_ARC
(18,25),-0.514188 # DEPENDENCYPART_ARC
(18,32),-0.0629287 # DEPENDENCYPART_ARC
(19,3),-2.31466 # DEPENDENCYPART_ARC
(19,8),-2.22091 # DEPENDENCYPART_ARC
(19,12),-1.95503 # DEPENDENCYPART_ARC
(19,16),-1.48493 # DEPENDENCYPART_ARC
(19,17),-1.01111 # DEPENDENCYPART_ARC
(19,18),-0.513701 # DEPENDENCYPART_ARC
(19,20),-0.121298 # DEPENDENCYPART_ARC
(19,21),-0.848555 # DEPENDENCYPART_ARC
(19,22),-1.35286 # DEPENDENCYPART_ARC
(19,23),-0.814687 # DEPENDENCYPART_ARC
(19,24),-0.994512 # DEPENDENCYPART_ARC
(19,25),-0.373578 # DEPENDENCYPART_ARC
(19,26),-1.45669 # DEPENDENCYPART_ARC
(19,27),-1.66678 # DEPENDENCYPART_ARC
(19,28),-1.66901 # DEPENDENCYPART_ARC
(19,29),-1.22205 # DEPENDENCYPART_ARC
(19,30),-1.47236 # DEPENDENCYPART_ARC
(19,31),-1.59582 # DEPENDENCYPART_ARC
(19,32),-0.557694 # DEPENDENCYPART_ARC
(20,17),-1.09043 # DEPENDENCYPART_ARC
(20,21),0.731063 # DEPENDENCYPART_ARC
(20,22),-0.0915402 # DEPENDENCYPART_ARC
(20,23),-0.947797 # DEPENDENCYPART_ARC
(20,24),-1.05822 # DEPENDENCYPART_ARC
(20,25),-0.725892 # DEPENDENCYPART_ARC
(20,26),-0.796347 # DEPENDENCYPART_ARC
(20,27),-1.783 # DEPENDENCYPART_ARC
(20,28),-1.75682 # DEPENDENCYPART_ARC
(20,29),-1.65067 # DEPENDENCYPART_ARC
(20,30),-1.08147 # DEPENDENCYPART_ARC
(20,32),-0.801535 # DEPENDENCYPART_ARC
(21,20),-0.518515 # DEPENDENCYPART_ARC
(21,22),-0.684895 # DEPENDENCYPART_ARC
(21,23),-1.04896 # DEPENDENCYPART_ARC
(21,24),-1.26146 # DEPENDENCYPART_ARC
(21,25),-0.970235 # DEPENDENCYPART_ARC
(21,27),-1.66935 # DEPENDENCYPART_ARC
(21,31),-1.74892 # DEPENDENCYPART_ARC
(22,20),-0.851328 # DEPENDENCYPART_ARC
(22,21),0.666391 # DEPENDENCYPART_ARC
(22,23),-0.196362 # DEPENDENCYPART_ARC
(22,24),-0.887253 # DEPENDENCYPART_ARC
(22,25),-0.821138 # DEPENDENCYPART_ARC
(22,26),-1.10823 # DEPENDENCYPART_ARC
(22,31),-1.56064 # DEPENDENCYPART_ARC
(23,20),-1.16908 # DEPENDENCYPART_ARC
(23,21),-1.36019 # DEPENDENCYPART_ARC
(23,22),-0.369325 # DEPENDENCYPART_ARC
(23,24),0.87425 # DEPENDENCYPART_ARC
(23,25),-1.01712 # DEPENDENCYPART_ARC
(23,26),-1.16315 # DEPENDENCYPART_ARC
(23,27),-1.53576 # DEPENDENCYPART_ARC
(23,28),-1.5665 # DEPENDENCYPART_ARC
(23,29),-0.57005 # DEPENDENCYPART_ARC
(23,31),-1.58371 # DEPENDENCYPART_ARC
(24,20),-1.96794 # DEPENDENCYPART_ARC
(24,21),-1.84367 # DEPENDENCYPART_ARC
(24,22),-1.28784 # DEPENDENCYPART_ARC
(24,23),-0.430462 # DEPENDENCYPART_ARC
(24,27),-1.62328 # DEPENDENCYPART_ARC
(25,1),-2.49708 # DEPENDENCYPART_ARC
(25,3),-1.97123 # DEPENDENCYPART_ARC
(25,4),-1.10197 # DEPENDENCYPART_ARC
(25,5),-1.77541 # DEPENDENCYPART_ARC
(25,7),-1.6948 # DEPENDENCYPART_ARC
(25,8),-1.56338 # DEPENDENCYPART_ARC
(25,9),-2.2378 # DEPENDENCYPART_ARC
(25,11),-1.78301 # DEPENDENCYPART_ARC
(25,12),-1.53785 # DEPENDENCYPART_ARC
(25,13),-1.71209 # DEPENDENCYPART_ARC
(25,14),-1.84014 # DEPENDENCYPART_ARC
(25,15),-1.82087 # DEPENDENCYPART_ARC
(25,16),-1.7437 # DEPENDENCYPART_ARC
(25,17),-0.974358 # DEPENDENCYPART_ARC
(25,18),-0.921702 # DEPENDENCYPART_ARC
(25,19),-0.589798 # DEPENDENCYPART_ARC
(25,20),-0.737267 # DEPENDENCYPART_ARC
(25,21),-0.849359 # DEPENDENCYPART_ARC
(25,22),-0.631399 # DEPENDENCYPART_ARC
(25,23),-0.751176 # DEPENDENCYPART_ARC
(25,24),0.668638 # DEPENDENCYPART_ARC
(25,26),0.424942 # DEPENDENCYPART_ARC
(25,27),-0.477698 # DEPENDENCYPART_ARC
(25,28),-1.3481 # DEPENDENCYPART_ARC
(25,29),-1.3485 # DEPENDENCYPART_ARC
(25,30),-1.3073 # DEPENDENCYPART_ARC
(25,31),-0.794563 # DEPENDENCYPART_ARC
(25,32),-0.86034 # DEPENDENCYPART_ARC
(26,23),-1.33115 # DEPENDENCYPART_ARC
(26,24),-1.40789 # DEPENDENCYPART_ARC
(26,27),0.766877 # DEPENDENCYPART_ARC
(26,28),-0.101828 # DEPENDENCYPART_ARC
(26,29),-0.992465 # DEPENDENCYPART_ARC
(26,30),-0.833226 # DEPENDENCYPART_ARC
(26,31),-1.17934 # DEPENDENCYPART_ARC
(26,32),-0.908207 # DEPENDENCYPART_ARC
(27,24),-1.58731 # DEPENDENCYPART_ARC
(27,26),-0.674573 # DEPENDENCYPART_ARC
(27,28),-0.665579 # DEPENDENCYPART_ARC
(27,29),-1.08455 # DEPENDENCYPART_ARC
(27,30),-1.01778 # DEPENDENCYPART_ARC
(27,31),-1.3962 # DEPENDENCYPART_ARC
(28,24),-1.11879 # DEPENDENCYPART_ARC
(28,26),-0.978933 # DEPENDENCYPART_ARC
(28,27),0.612841 # DEPENDENCYPART_ARC
(28,29),-0.363163 # DEPENDENCYPART_ARC
(28,30),-1.00719 # DEPENDENCYPART_ARC
(28,31),-1.21179 # DEPENDENCYPART_ARC
(29,26),-1.24901 # DEPENDENCYPART_ARC
(29,27),-1.39778 # DEPENDENCYPART_ARC
(29,28),-0.386903 # DEPENDENCYPART_ARC
(29,30),0.13251 # DEPENDENCYPART_ARC
(29,31),0.293138 # DEPENDENCYPART_ARC
(30,26),-1.57002 # DEPENDENCYPART_ARC
(30,28),-1.63112 # DEPENDENCYPART_ARC
(31,24),-1.85371 # DEPENDENCYPART_ARC
(31,26),-1.41196 # DEPENDENCYPART_ARC
(31,27),-1.32792 # DEPENDENCYPART_ARC
(31,28),-1.13676 # DEPENDENCYPART_ARC
(31,29),-0.904339 # DEPENDENCYPART_ARC
(31,30),1.49492 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0202885 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0818486 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0167655 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.020332 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0819153 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0133693 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.017053 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0841214 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0133693 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.0607183 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.12572 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0560643 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0570565 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.125536 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0191397 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0437931 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.129731 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0191397 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.10513 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0816676 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0769149 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.225934 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0742578 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.116131 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.220029 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0742578 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.182076 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0586501 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.118805 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0226045 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0444647 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.123 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0226045 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.110488 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.124742 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0235798 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0452533 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.128937 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0235798 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.105728 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0756801 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.116138 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.222207 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0756801 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.182078 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.00835825 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.119196 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0186895 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.0669336 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.119987 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0210457 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.102656 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0742589 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.182392 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.0669336 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0214542 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00676955 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0214721 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0166305 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0287148 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0187755 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0045914 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00977137 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.00437926 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.126656 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0570122 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.148338 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00759766 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00454947 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0647066 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00644436 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.013764 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.125641 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0351766 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0189016 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0313343 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0415009 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0208631 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0533271 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0211303 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0402934 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0533271 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0611231 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0428694 # DEPENDENCYPART_SIBL
(3,1),(3,32),-0.0667431 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00791862 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00367721 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0322452 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0141485 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0310214 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0138813 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0310453 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0310214 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0575926 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0336064 # DEPENDENCYPART_SIBL
(3,2),(3,32),-0.0486525 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0105358 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0543827 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00466569 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0122187 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0283627 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0478717 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0122187 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0818276 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0561885 # DEPENDENCYPART_SIBL
(3,4),(3,32),-0.0400742 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0207292 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0244329 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0135994 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0185279 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.02093 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0135994 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0138519 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0213892 # DEPENDENCYPART_SIBL
(3,5),(3,32),0.0236624 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0280486 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0288514 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0149021 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00956641 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0288514 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0173255 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.00273035 # DEPENDENCYPART_SIBL
(3,7),(3,32),0.00160848 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0139065 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0192089 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0156296 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0139065 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0137769 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0160889 # DEPENDENCYPART_SIBL
(3,8),(3,32),0.0236337 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0252004 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.012382 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0447442 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.035471 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.00438201 # DEPENDENCYPART_SIBL
(3,9),(3,32),0.00257597 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0144768 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0487417 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.00739492 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0149361 # DEPENDENCYPART_SIBL
(3,11),(3,32),0.0291689 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0226425 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0174089 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.00047125 # DEPENDENCYPART_SIBL
(3,12),(3,32),0.00438876 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.035471 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.00438201 # DEPENDENCYPART_SIBL
(3,16),(3,32),0.00257597 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0114232 # DEPENDENCYPART_SIBL
(3,18),(3,32),0.0530792 # DEPENDENCYPART_SIBL
(3,19),(3,32),0.017116 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.138202 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0268794 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.134472 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.123391 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.14 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0518307 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.11441 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00288988 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.113348 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0578833 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0766524 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0510792 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.000648251 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.11722 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0286613 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0297808 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0772268 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0424201 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0857644 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0391629 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0800196 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0160807 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0379553 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0403227 # DEPENDENCYPART_SIBL
