# _root_ Even if the gross national product is either flat or in the growth range of 2 % to 2.5 % , `` we can handle that , '' Mr. Marous said .
#goldHeads=7,7,6,6,6,7,24,10,10,7,10,14,14,11,14,20,20,20,20,15,24,24,24,31,24,25,31,31,30,31,0,31,
#predictedHeads=7,7,6,6,6,7,24,10,10,7,10,14,14,11,14,17,15,15,20,18,24,24,24,31,24,25,31,31,30,31,0,31,
(5,4),-0.0210457 # DEPENDENCYPART_ARC
(5,6),-0.481506 # DEPENDENCYPART_ARC
(5,7),-0.96271 # DEPENDENCYPART_ARC
(6,1),-0.800071 # DEPENDENCYPART_ARC
(6,2),-0.906491 # DEPENDENCYPART_ARC
(6,3),-0.199537 # DEPENDENCYPART_ARC
(6,4),0.424153 # DEPENDENCYPART_ARC
(6,5),1.56366 # DEPENDENCYPART_ARC
(6,7),-0.436758 # DEPENDENCYPART_ARC
(6,8),-1.46572 # DEPENDENCYPART_ARC
(6,9),-1.63005 # DEPENDENCYPART_ARC
(6,10),-1.42708 # DEPENDENCYPART_ARC
(6,18),-1.6273 # DEPENDENCYPART_ARC
(7,1),-0.794533 # DEPENDENCYPART_ARC
(7,2),-0.145284 # DEPENDENCYPART_ARC
(7,3),-1.09202 # DEPENDENCYPART_ARC
(7,4),-0.901908 # DEPENDENCYPART_ARC
(7,5),-0.717569 # DEPENDENCYPART_ARC
(7,6),0.537659 # DEPENDENCYPART_ARC
(7,8),0.429023 # DEPENDENCYPART_ARC
(7,9),0.0097718 # DEPENDENCYPART_ARC
(7,10),-0.108965 # DEPENDENCYPART_ARC
(7,11),-0.735437 # DEPENDENCYPART_ARC
(7,13),-1.14987 # DEPENDENCYPART_ARC
(7,14),-0.974327 # DEPENDENCYPART_ARC
(7,15),-1.34458 # DEPENDENCYPART_ARC
(7,17),-1.44244 # DEPENDENCYPART_ARC
(7,20),-1.58912 # DEPENDENCYPART_ARC
(7,21),-1.046 # DEPENDENCYPART_ARC
(7,22),-1.62576 # DEPENDENCYPART_ARC
(7,24),-1.93378 # DEPENDENCYPART_ARC
(7,27),-1.75423 # DEPENDENCYPART_ARC
(7,28),-0.518912 # DEPENDENCYPART_ARC
(7,31),-3.28543 # DEPENDENCYPART_ARC
(7,32),-1.33421 # DEPENDENCYPART_ARC
(8,4),-1.74709 # DEPENDENCYPART_ARC
(8,5),-1.62544 # DEPENDENCYPART_ARC
(8,6),-1.42068 # DEPENDENCYPART_ARC
(8,7),-0.319581 # DEPENDENCYPART_ARC
(8,9),-0.211662 # DEPENDENCYPART_ARC
(8,10),-0.869777 # DEPENDENCYPART_ARC
(8,11),-1.09044 # DEPENDENCYPART_ARC
(8,14),-1.46342 # DEPENDENCYPART_ARC
(8,15),-1.3348 # DEPENDENCYPART_ARC
(9,2),-0.96393 # DEPENDENCYPART_ARC
(9,4),-1.2534 # DEPENDENCYPART_ARC
(9,5),-1.1497 # DEPENDENCYPART_ARC
(9,6),-0.960875 # DEPENDENCYPART_ARC
(9,8),0.663699 # DEPENDENCYPART_ARC
(9,10),-0.358216 # DEPENDENCYPART_ARC
(9,11),-0.947287 # DEPENDENCYPART_ARC
(9,14),-1.49706 # DEPENDENCYPART_ARC
(9,15),-1.37723 # DEPENDENCYPART_ARC
(9,24),-1.74713 # DEPENDENCYPART_ARC
(9,25),-1.81898 # DEPENDENCYPART_ARC
(10,1),-1.29263 # DEPENDENCYPART_ARC
(10,2),-0.545105 # DEPENDENCYPART_ARC
(10,3),-1.70836 # DEPENDENCYPART_ARC
(10,4),-1.49326 # DEPENDENCYPART_ARC
(10,5),-1.4206 # DEPENDENCYPART_ARC
(10,6),-1.18706 # DEPENDENCYPART_ARC
(10,7),-0.642317 # DEPENDENCYPART_ARC
(10,8),-0.462584 # DEPENDENCYPART_ARC
(10,9),0.486122 # DEPENDENCYPART_ARC
(10,11),0.597267 # DEPENDENCYPART_ARC
(10,12),-0.48718 # DEPENDENCYPART_ARC
(10,13),-0.885069 # DEPENDENCYPART_ARC
(10,14),-1.1747 # DEPENDENCYPART_ARC
(10,15),-1.06006 # DEPENDENCYPART_ARC
(10,16),-1.22457 # DEPENDENCYPART_ARC
(10,17),-1.83423 # DEPENDENCYPART_ARC
(10,20),-2.14517 # DEPENDENCYPART_ARC
(10,21),-1.18796 # DEPENDENCYPART_ARC
(10,22),-1.6498 # DEPENDENCYPART_ARC
(10,24),-1.50327 # DEPENDENCYPART_ARC
(10,27),-1.76781 # DEPENDENCYPART_ARC
(10,28),-1.01605 # DEPENDENCYPART_ARC
(10,31),-2.90108 # DEPENDENCYPART_ARC
(10,32),-2.32103 # DEPENDENCYPART_ARC
(11,8),-1.73966 # DEPENDENCYPART_ARC
(11,9),-1.85131 # DEPENDENCYPART_ARC
(11,10),-0.415819 # DEPENDENCYPART_ARC
(11,12),0.0713351 # DEPENDENCYPART_ARC
(11,13),-0.137937 # DEPENDENCYPART_ARC
(11,14),-0.827155 # DEPENDENCYPART_ARC
(11,15),-1.13558 # DEPENDENCYPART_ARC
(11,16),-1.44241 # DEPENDENCYPART_ARC
(11,17),-1.96491 # DEPENDENCYPART_ARC
(11,18),-1.44694 # DEPENDENCYPART_ARC
(11,20),-2.37046 # DEPENDENCYPART_ARC
(12,13),-0.369755 # DEPENDENCYPART_ARC
(13,12),-0.139814 # DEPENDENCYPART_ARC
(13,14),-0.597155 # DEPENDENCYPART_ARC
(13,15),-1.06398 # DEPENDENCYPART_ARC
(13,16),-1.66894 # DEPENDENCYPART_ARC
(13,18),-1.43017 # DEPENDENCYPART_ARC
(13,22),-1.98727 # DEPENDENCYPART_ARC
(13,26),-2.0897 # DEPENDENCYPART_ARC
(14,3),-2.34584 # DEPENDENCYPART_ARC
(14,4),-1.70886 # DEPENDENCYPART_ARC
(14,5),-1.6379 # DEPENDENCYPART_ARC
(14,8),-1.32422 # DEPENDENCYPART_ARC
(14,9),-1.4933 # DEPENDENCYPART_ARC
(14,10),-0.583183 # DEPENDENCYPART_ARC
(14,11),-0.960608 # DEPENDENCYPART_ARC
(14,12),0.446961 # DEPENDENCYPART_ARC
(14,13),1.66766 # DEPENDENCYPART_ARC
(14,15),0.29111 # DEPENDENCYPART_ARC
(14,16),-0.99578 # DEPENDENCYPART_ARC
(14,17),-1.12292 # DEPENDENCYPART_ARC
(14,18),-1.11705 # DEPENDENCYPART_ARC
(14,19),-1.58748 # DEPENDENCYPART_ARC
(14,20),-1.39563 # DEPENDENCYPART_ARC
(14,21),-1.14054 # DEPENDENCYPART_ARC
(14,22),-1.71017 # DEPENDENCYPART_ARC
(14,24),-1.5854 # DEPENDENCYPART_ARC
(14,25),-1.83695 # DEPENDENCYPART_ARC
(14,26),-1.7986 # DEPENDENCYPART_ARC
(14,27),-1.51342 # DEPENDENCYPART_ARC
(14,28),-1.24578 # DEPENDENCYPART_ARC
(14,30),-2.04283 # DEPENDENCYPART_ARC
(14,31),-1.85611 # DEPENDENCYPART_ARC
(14,32),-1.61458 # DEPENDENCYPART_ARC
(15,13),-1.20269 # DEPENDENCYPART_ARC
(15,14),-0.301647 # DEPENDENCYPART_ARC
(15,16),-0.292676 # DEPENDENCYPART_ARC
(15,17),-0.143532 # DEPENDENCYPART_ARC
(15,18),-1.17169 # DEPENDENCYPART_ARC
(15,19),-1.53202 # DEPENDENCYPART_ARC
(15,20),-1.12404 # DEPENDENCYPART_ARC
(15,22),-1.88046 # DEPENDENCYPART_ARC
(15,24),-1.95842 # DEPENDENCYPART_ARC
(16,17),-0.257099 # DEPENDENCYPART_ARC
(16,19),-1.67335 # DEPENDENCYPART_ARC
(16,20),-1.55833 # DEPENDENCYPART_ARC
(17,3),-3.17279 # DEPENDENCYPART_ARC
(17,9),-2.30416 # DEPENDENCYPART_ARC
(17,10),-0.986383 # DEPENDENCYPART_ARC
(17,11),-1.29016 # DEPENDENCYPART_ARC
(17,12),-1.13648 # DEPENDENCYPART_ARC
(17,13),-1.01362 # DEPENDENCYPART_ARC
(17,14),-1.30269 # DEPENDENCYPART_ARC
(17,15),-0.4135 # DEPENDENCYPART_ARC
(17,16),0.798953 # DEPENDENCYPART_ARC
(17,18),-0.127264 # DEPENDENCYPART_ARC
(17,19),-1.07739 # DEPENDENCYPART_ARC
(17,20),-1.12361 # DEPENDENCYPART_ARC
(17,21),-1.48816 # DEPENDENCYPART_ARC
(17,22),-1.80764 # DEPENDENCYPART_ARC
(17,24),-1.72656 # DEPENDENCYPART_ARC
(17,25),-1.97855 # DEPENDENCYPART_ARC
(17,26),-1.83399 # DEPENDENCYPART_ARC
(17,27),-1.84779 # DEPENDENCYPART_ARC
(17,28),-1.35314 # DEPENDENCYPART_ARC
(17,30),-1.88645 # DEPENDENCYPART_ARC
(17,31),-2.13206 # DEPENDENCYPART_ARC
(17,32),-1.8622 # DEPENDENCYPART_ARC
(18,16),-1.23164 # DEPENDENCYPART_ARC
(18,19),-0.284083 # DEPENDENCYPART_ARC
(18,20),-0.708031 # DEPENDENCYPART_ARC
(18,21),-0.983465 # DEPENDENCYPART_ARC
(19,16),-1.17595 # DEPENDENCYPART_ARC
(19,17),-1.2534 # DEPENDENCYPART_ARC
(19,18),-0.132634 # DEPENDENCYPART_ARC
(19,21),-1.06293 # DEPENDENCYPART_ARC
(19,24),-1.7879 # DEPENDENCYPART_ARC
(19,25),-1.8528 # DEPENDENCYPART_ARC
(20,9),-2.40261 # DEPENDENCYPART_ARC
(20,11),-1.14027 # DEPENDENCYPART_ARC
(20,12),-1.74865 # DEPENDENCYPART_ARC
(20,13),-1.42397 # DEPENDENCYPART_ARC
(20,15),-0.688006 # DEPENDENCYPART_ARC
(20,16),-0.629716 # DEPENDENCYPART_ARC
(20,17),-0.652433 # DEPENDENCYPART_ARC
(20,18),-0.56417 # DEPENDENCYPART_ARC
(20,19),0.992512 # DEPENDENCYPART_ARC
(20,21),0.119466 # DEPENDENCYPART_ARC
(20,22),-1.487 # DEPENDENCYPART_ARC
(20,24),-1.61382 # DEPENDENCYPART_ARC
(20,25),-1.94567 # DEPENDENCYPART_ARC
(20,26),-1.83469 # DEPENDENCYPART_ARC
(20,27),-1.42816 # DEPENDENCYPART_ARC
(20,28),-1.40346 # DEPENDENCYPART_ARC
(20,29),-1.57063 # DEPENDENCYPART_ARC
(20,30),-1.793 # DEPENDENCYPART_ARC
(20,31),-2.20563 # DEPENDENCYPART_ARC
(20,32),-1.98264 # DEPENDENCYPART_ARC
(23,25),-0.766681 # DEPENDENCYPART_ARC
(24,1),-2.12114 # DEPENDENCYPART_ARC
(24,2),-1.86412 # DEPENDENCYPART_ARC
(24,6),-1.96377 # DEPENDENCYPART_ARC
(24,7),-1.81387 # DEPENDENCYPART_ARC
(24,8),-1.88807 # DEPENDENCYPART_ARC
(24,9),-1.75432 # DEPENDENCYPART_ARC
(24,10),-1.28602 # DEPENDENCYPART_ARC
(24,11),-1.25758 # DEPENDENCYPART_ARC
(24,12),-1.97868 # DEPENDENCYPART_ARC
(24,13),-1.80051 # DEPENDENCYPART_ARC
(24,14),-1.53447 # DEPENDENCYPART_ARC
(24,15),-1.42346 # DEPENDENCYPART_ARC
(24,16),-1.66074 # DEPENDENCYPART_ARC
(24,17),-1.52018 # DEPENDENCYPART_ARC
(24,19),-1.66211 # DEPENDENCYPART_ARC
(24,20),-1.53324 # DEPENDENCYPART_ARC
(24,21),-0.606921 # DEPENDENCYPART_ARC
(24,22),-0.505108 # DEPENDENCYPART_ARC
(24,23),0.895529 # DEPENDENCYPART_ARC
(24,25),1.33523 # DEPENDENCYPART_ARC
(24,27),-1.0305 # DEPENDENCYPART_ARC
(24,28),-1.22472 # DEPENDENCYPART_ARC
(24,31),-2.02916 # DEPENDENCYPART_ARC
(24,32),-1.57495 # DEPENDENCYPART_ARC
(25,11),-1.90076 # DEPENDENCYPART_ARC
(25,21),-1.65264 # DEPENDENCYPART_ARC
(25,22),-1.297 # DEPENDENCYPART_ARC
(25,23),-0.990331 # DEPENDENCYPART_ARC
(25,24),-0.58743 # DEPENDENCYPART_ARC
(25,26),0.214391 # DEPENDENCYPART_ARC
(25,27),-0.516059 # DEPENDENCYPART_ARC
(25,28),-1.05432 # DEPENDENCYPART_ARC
(25,29),-1.22968 # DEPENDENCYPART_ARC
(25,30),-1.16643 # DEPENDENCYPART_ARC
(25,31),-1.76882 # DEPENDENCYPART_ARC
(25,32),-1.76297 # DEPENDENCYPART_ARC
(26,25),0.248344 # DEPENDENCYPART_ARC
(26,27),-0.211671 # DEPENDENCYPART_ARC
(29,26),-2.15832 # DEPENDENCYPART_ARC
(29,28),-0.459624 # DEPENDENCYPART_ARC
(29,30),-0.6325 # DEPENDENCYPART_ARC
(29,31),-0.837227 # DEPENDENCYPART_ARC
(30,26),-1.57117 # DEPENDENCYPART_ARC
(30,27),-1.71145 # DEPENDENCYPART_ARC
(30,28),-0.915328 # DEPENDENCYPART_ARC
(30,29),1.3896 # DEPENDENCYPART_ARC
(30,31),-0.319261 # DEPENDENCYPART_ARC
(31,1),-1.73364 # DEPENDENCYPART_ARC
(31,2),-1.62221 # DEPENDENCYPART_ARC
(31,6),-1.64766 # DEPENDENCYPART_ARC
(31,7),-0.796531 # DEPENDENCYPART_ARC
(31,8),-1.70076 # DEPENDENCYPART_ARC
(31,10),-1.49347 # DEPENDENCYPART_ARC
(31,11),-0.732792 # DEPENDENCYPART_ARC
(31,13),-1.60242 # DEPENDENCYPART_ARC
(31,14),-1.4732 # DEPENDENCYPART_ARC
(31,17),-1.43111 # DEPENDENCYPART_ARC
(31,18),-2.03776 # DEPENDENCYPART_ARC
(31,19),-1.29685 # DEPENDENCYPART_ARC
(31,20),-1.44102 # DEPENDENCYPART_ARC
(31,21),-2.05619 # DEPENDENCYPART_ARC
(31,22),-0.891846 # DEPENDENCYPART_ARC
(31,23),-1.79454 # DEPENDENCYPART_ARC
(31,24),-1.19338 # DEPENDENCYPART_ARC
(31,25),-1.1367 # DEPENDENCYPART_ARC
(31,26),-0.981695 # DEPENDENCYPART_ARC
(31,27),-0.595798 # DEPENDENCYPART_ARC
(31,28),-0.284855 # DEPENDENCYPART_ARC
(31,29),-0.277629 # DEPENDENCYPART_ARC
(31,30),1.03351 # DEPENDENCYPART_ARC
(31,32),0.994581 # DEPENDENCYPART_ARC
(0,1),(0,7),-0.10671 # DEPENDENCYPART_SIBL
(0,1),(0,31),-0.100827 # DEPENDENCYPART_SIBL
(0,7),(0,31),-0.204198 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.025544 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0485974 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0485909 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0150219 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.012764 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0198236 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0322875 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.032287 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0193126 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0120094 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0167844 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0480033 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.000514641 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0615155 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.00364708 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0040797 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0615171 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0034749 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0211024 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00779813 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0119535 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00513086 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.044811 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0447234 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.095916 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0476563 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.133161 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0169203 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0169241 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0390651 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0295626 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0111002 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0217583 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0393737 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0010407 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0188962 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0429634 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00106382 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0188665 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0195513 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00333447 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.00402582 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0289136 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.117254 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0825542 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.022031 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00522439 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0419162 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.016776 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0219262 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0195461 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0387549 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00367597 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00329331 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0330924 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.000780193 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00430237 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.012637 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0591919 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.104394 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.203456 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0507264 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0600018 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0701248 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0222868 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.000288517 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00245087 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0175733 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0186887 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00683229 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00608029 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.000291384 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0246875 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00710444 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.000199674 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0335174 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0124391 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00125975 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0185862 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.117254 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.082554 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0846251 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00626557 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0415036 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0387547 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0165511 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00433507 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0326794 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0175077 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.102409 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.201338 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00593787 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00607954 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00534847 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.139645 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.122781 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.137469 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.132941 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0101489 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00251814 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0329391 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0540401 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0349316 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0303701 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00761467 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0112417 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.018023 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0344751 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0117628 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0159942 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.024954 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.1128 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0846364 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.208639 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0300428 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0956223 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0854219 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0424686 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0688981 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0341983 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00495363 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0259853 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00512145 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0761612 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0377079 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.01322 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0202688 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00200836 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0676603 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.029129 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0202288 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0577974 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.024221 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.00759255 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.00412977 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0067252 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0255698 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.0130298 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0180669 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.141936 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0497881 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0485467 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.048178 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.06993 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0100723 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0177251 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0447109 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0444192 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00311879 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.000341363 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0167205 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0576546 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.0576546 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.0419112 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.0738338 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.019322 # DEPENDENCYPART_SIBL
(7,1),(7,27),-0.0419112 # DEPENDENCYPART_SIBL
(7,1),(7,28),0.0344713 # DEPENDENCYPART_SIBL
(7,1),(7,31),-0.0137723 # DEPENDENCYPART_SIBL
(7,1),(7,32),-0.0221652 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.00461324 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.00483819 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00461024 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0817901 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.00875633 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0404648 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0421567 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0516741 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0329989 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0221636 # DEPENDENCYPART_SIBL
