# _root_ Dun & Bradstreet Corp. said business failures fell 17.8 % to 11,586 in the third quarter from 14,099 in the year-earlier period .
#goldHeads=2,4,2,5,0,7,8,5,10,8,8,11,11,16,16,13,8,17,17,22,22,19,5,
#predictedHeads=2,4,2,5,0,7,8,5,10,8,8,11,8,16,16,13,8,17,17,22,22,19,5,
(4,23),-1.37121 # DEPENDENCYPART_ARC
(5,1),-0.738836 # DEPENDENCYPART_ARC
(5,2),-0.82567 # DEPENDENCYPART_ARC
(5,3),-0.636087 # DEPENDENCYPART_ARC
(5,4),0.526707 # DEPENDENCYPART_ARC
(5,6),0.0986143 # DEPENDENCYPART_ARC
(5,7),-0.385493 # DEPENDENCYPART_ARC
(5,8),-0.527149 # DEPENDENCYPART_ARC
(5,9),-1.61372 # DEPENDENCYPART_ARC
(5,10),-1.18339 # DEPENDENCYPART_ARC
(5,11),-1.53758 # DEPENDENCYPART_ARC
(5,13),-1.40304 # DEPENDENCYPART_ARC
(5,17),-1.47116 # DEPENDENCYPART_ARC
(5,23),0.992682 # DEPENDENCYPART_ARC
(6,2),-1.38389 # DEPENDENCYPART_ARC
(6,4),-1.04807 # DEPENDENCYPART_ARC
(6,5),-0.38398 # DEPENDENCYPART_ARC
(6,8),-1.00141 # DEPENDENCYPART_ARC
(6,12),-2.32605 # DEPENDENCYPART_ARC
(7,1),-1.52466 # DEPENDENCYPART_ARC
(7,2),-0.233181 # DEPENDENCYPART_ARC
(7,3),-0.21817 # DEPENDENCYPART_ARC
(7,4),-0.592021 # DEPENDENCYPART_ARC
(7,5),-0.40316 # DEPENDENCYPART_ARC
(7,6),2.24941 # DEPENDENCYPART_ARC
(7,8),-0.505093 # DEPENDENCYPART_ARC
(7,9),-1.59161 # DEPENDENCYPART_ARC
(7,10),-1.62129 # DEPENDENCYPART_ARC
(7,11),-1.92101 # DEPENDENCYPART_ARC
(7,12),-2.17297 # DEPENDENCYPART_ARC
(7,13),-1.85565 # DEPENDENCYPART_ARC
(8,1),-0.610962 # DEPENDENCYPART_ARC
(8,2),-0.957287 # DEPENDENCYPART_ARC
(8,3),-0.755398 # DEPENDENCYPART_ARC
(8,4),-0.586663 # DEPENDENCYPART_ARC
(8,5),-1.505 # DEPENDENCYPART_ARC
(8,6),-0.627481 # DEPENDENCYPART_ARC
(8,7),0.869243 # DEPENDENCYPART_ARC
(8,9),0.305583 # DEPENDENCYPART_ARC
(8,10),0.364423 # DEPENDENCYPART_ARC
(8,11),-0.312888 # DEPENDENCYPART_ARC
(8,12),-1.0797 # DEPENDENCYPART_ARC
(8,13),-0.49096 # DEPENDENCYPART_ARC
(8,15),-1.00934 # DEPENDENCYPART_ARC
(8,16),-0.620387 # DEPENDENCYPART_ARC
(8,17),-0.352104 # DEPENDENCYPART_ARC
(8,19),-1.07404 # DEPENDENCYPART_ARC
(8,21),-1.22291 # DEPENDENCYPART_ARC
(8,22),-1.08388 # DEPENDENCYPART_ARC
(8,23),1.19947 # DEPENDENCYPART_ARC
(9,10),-0.34475 # DEPENDENCYPART_ARC
(9,12),-1.71418 # DEPENDENCYPART_ARC
(9,13),-1.43215 # DEPENDENCYPART_ARC
(9,18),-1.88265 # DEPENDENCYPART_ARC
(10,2),-1.08394 # DEPENDENCYPART_ARC
(10,4),-2.16002 # DEPENDENCYPART_ARC
(10,5),-1.61634 # DEPENDENCYPART_ARC
(10,6),-1.20122 # DEPENDENCYPART_ARC
(10,7),-1.37034 # DEPENDENCYPART_ARC
(10,8),-1.09621 # DEPENDENCYPART_ARC
(10,9),0.991209 # DEPENDENCYPART_ARC
(10,11),-0.334752 # DEPENDENCYPART_ARC
(10,12),-1.13471 # DEPENDENCYPART_ARC
(10,13),-1.43923 # DEPENDENCYPART_ARC
(10,16),-1.3948 # DEPENDENCYPART_ARC
(10,17),-1.66444 # DEPENDENCYPART_ARC
(10,18),-2.08639 # DEPENDENCYPART_ARC
(10,19),-2.03669 # DEPENDENCYPART_ARC
(10,22),-1.65676 # DEPENDENCYPART_ARC
(10,23),-1.20394 # DEPENDENCYPART_ARC
(11,9),-1.34881 # DEPENDENCYPART_ARC
(11,10),-0.392127 # DEPENDENCYPART_ARC
(11,12),0.000280167 # DEPENDENCYPART_ARC
(11,13),-0.888541 # DEPENDENCYPART_ARC
(11,16),-1.29542 # DEPENDENCYPART_ARC
(11,17),-1.31562 # DEPENDENCYPART_ARC
(11,19),-1.19227 # DEPENDENCYPART_ARC
(11,22),-2.0289 # DEPENDENCYPART_ARC
(12,9),-0.93768 # DEPENDENCYPART_ARC
(12,10),-1.07855 # DEPENDENCYPART_ARC
(12,11),-0.088054 # DEPENDENCYPART_ARC
(12,13),-0.0895299 # DEPENDENCYPART_ARC
(12,14),-0.97853 # DEPENDENCYPART_ARC
(12,15),-0.994448 # DEPENDENCYPART_ARC
(12,16),-1.23525 # DEPENDENCYPART_ARC
(12,17),-1.45852 # DEPENDENCYPART_ARC
(12,18),-1.68896 # DEPENDENCYPART_ARC
(12,19),-1.43823 # DEPENDENCYPART_ARC
(12,22),-1.53497 # DEPENDENCYPART_ARC
(13,10),-1.56561 # DEPENDENCYPART_ARC
(13,11),-1.54616 # DEPENDENCYPART_ARC
(13,12),-0.611551 # DEPENDENCYPART_ARC
(13,14),0.0670975 # DEPENDENCYPART_ARC
(13,15),-0.555161 # DEPENDENCYPART_ARC
(13,16),-0.266965 # DEPENDENCYPART_ARC
(13,17),-1.18978 # DEPENDENCYPART_ARC
(13,18),-1.23359 # DEPENDENCYPART_ARC
(13,19),-1.15393 # DEPENDENCYPART_ARC
(13,21),-1.09438 # DEPENDENCYPART_ARC
(13,22),-1.63265 # DEPENDENCYPART_ARC
(14,15),-0.508024 # DEPENDENCYPART_ARC
(15,10),-1.42511 # DEPENDENCYPART_ARC
(15,11),-1.56245 # DEPENDENCYPART_ARC
(15,14),0.123973 # DEPENDENCYPART_ARC
(15,17),-1.26702 # DEPENDENCYPART_ARC
(15,18),-1.6609 # DEPENDENCYPART_ARC
(15,19),-1.35922 # DEPENDENCYPART_ARC
(16,9),-1.08664 # DEPENDENCYPART_ARC
(16,10),-1.89172 # DEPENDENCYPART_ARC
(16,12),-1.05985 # DEPENDENCYPART_ARC
(16,14),0.572601 # DEPENDENCYPART_ARC
(16,15),1.76457 # DEPENDENCYPART_ARC
(16,17),0.0868228 # DEPENDENCYPART_ARC
(16,18),-1.23044 # DEPENDENCYPART_ARC
(16,19),-1.20073 # DEPENDENCYPART_ARC
(16,21),-1.72777 # DEPENDENCYPART_ARC
(16,22),-1.71927 # DEPENDENCYPART_ARC
(17,11),-1.82962 # DEPENDENCYPART_ARC
(17,15),-1.45974 # DEPENDENCYPART_ARC
(17,16),-0.720821 # DEPENDENCYPART_ARC
(17,18),0.267581 # DEPENDENCYPART_ARC
(17,19),-0.802173 # DEPENDENCYPART_ARC
(17,21),-1.07929 # DEPENDENCYPART_ARC
(17,22),-0.985424 # DEPENDENCYPART_ARC
(18,13),-1.5663 # DEPENDENCYPART_ARC
(18,14),-1.3503 # DEPENDENCYPART_ARC
(18,15),-1.35846 # DEPENDENCYPART_ARC
(18,16),-1.37343 # DEPENDENCYPART_ARC
(18,19),-0.0148219 # DEPENDENCYPART_ARC
(18,20),-0.951891 # DEPENDENCYPART_ARC
(18,21),-0.982463 # DEPENDENCYPART_ARC
(18,22),-1.22435 # DEPENDENCYPART_ARC
(19,11),-1.86529 # DEPENDENCYPART_ARC
(19,16),-1.61831 # DEPENDENCYPART_ARC
(19,17),-1.38573 # DEPENDENCYPART_ARC
(19,18),-0.573043 # DEPENDENCYPART_ARC
(19,20),0.0773114 # DEPENDENCYPART_ARC
(19,21),-0.544193 # DEPENDENCYPART_ARC
(19,22),-0.213881 # DEPENDENCYPART_ARC
(20,21),-0.509177 # DEPENDENCYPART_ARC
(21,11),-1.71431 # DEPENDENCYPART_ARC
(21,16),-1.50685 # DEPENDENCYPART_ARC
(21,20),0.0249051 # DEPENDENCYPART_ARC
(22,13),-1.38654 # DEPENDENCYPART_ARC
(22,14),-2.07231 # DEPENDENCYPART_ARC
(22,15),-1.66306 # DEPENDENCYPART_ARC
(22,17),-1.1921 # DEPENDENCYPART_ARC
(22,18),-1.13489 # DEPENDENCYPART_ARC
(22,20),0.447911 # DEPENDENCYPART_ARC
(22,21),1.5301 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.047966 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.148196 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0476239 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.132117 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.137833 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0570963 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.133487 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0940268 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.233822 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.131086 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0334498 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0267491 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00160404 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0339103 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00261707 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.014964 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00786931 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0127241 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0204897 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0126682 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.015684 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0252744 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00541313 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.013989 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0211382 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.103369 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0153744 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0303792 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0591964 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0719574 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.010507 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00278968 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.075192 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.00700301 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.00700301 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.00350758 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.104836 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.017668 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0722219 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0735461 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0262763 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00303943 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0861495 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0349914 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0349914 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.000775427 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0327944 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.083917 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0852412 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0413913 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00847223 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0979028 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.029644 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.029644 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.0203703 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00175885 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0115915 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0220005 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0128857 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0288786 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0705139 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0705139 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.147021 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.06077 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0273959 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00549906 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0733734 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.050335 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.050335 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.0132537 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0210677 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00790005 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0785131 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0430584 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0430584 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.00329625 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00813147 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0431221 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0548489 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0548489 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0211681 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0120021 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0107272 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0107272 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.0347061 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0366096 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0366096 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.00645484 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.00301171 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.00159343 # DEPENDENCYPART_SIBL
(2,19),(2,23),0.00159343 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0935571 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0133729 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0325296 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0126682 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0252744 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.013989 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.290101 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0119015 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00953845 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0616241 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0296327 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0812567 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0147586 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.028841 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0715321 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0455708 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0341057 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0069503 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0556785 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0322209 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0784358 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0074291 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0146643 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0477092 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00418997 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.0537707 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.00309096 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0310382 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.133364 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.124004 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0999679 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.133438 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0163023 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0165576 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.11586 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0720114 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0330586 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0810518 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.022799 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.064279 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0744535 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0555809 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0352463 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00361628 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00502633 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0487293 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0155959 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0477456 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.000713877 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0442547 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.125405 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.10207 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.13554 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.016019 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0165576 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.117962 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0720114 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0308328 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0799356 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0228242 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.107972 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.140953 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00655887 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0226103 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.12167 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.116949 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0900483 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.131826 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.0365626 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0655504 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.104723 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0422627 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0691475 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0491692 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.00334795 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.019949 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.0800273 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0954319 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0399775 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0717133 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0548121 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0297558 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0480988 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.049418 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0632272 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0579044 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0952634 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.044971 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.105037 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.00435859 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0401394 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.00876417 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0210825 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0669483 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.0400196 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0393749 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.03533 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0133049 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.0743287 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0350664 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.0945393 # DEPENDENCYPART_SIBL
(5,11),(5,23),-0.0712847 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.00613135 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.0121523 # DEPENDENCYPART_SIBL
(5,17),(5,23),-0.033645 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00296764 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0127711 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0170665 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0505012 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0693763 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0669738 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0855963 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0668723 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.104157 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0148776 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.29285 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.013175 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.00623028 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0297042 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00685994 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0411878 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0471535 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.035284 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0754851 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0471535 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0161732 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00507978 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0286202 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00387999 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0217664 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0339357 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0588437 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0503521 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0282408 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0588437 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.000174593 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0111917 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0275448 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0117837 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0428109 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0490351 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0397823 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0773668 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0490351 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0165175 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0422341 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.017736 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0678753 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0747491 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0578466 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.119487 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0747491 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0511457 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0210507 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0752038 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.101248 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0394368 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0129858 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.101248 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0126554 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0081103 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0323006 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0279943 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0785383 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0323006 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0389347 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0191959 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0396133 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00990244 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0191959 # DEPENDENCYPART_SIBL
