# _root_ For the year ended March 31 , Dentsu sales rose 19 % to $ 8.9 billion from $ 7.5 billion , and net income jumped 59 % to $ 102 million from $ 64 million .
#goldHeads=22,3,1,3,4,5,22,9,10,22,12,10,10,13,14,14,10,17,18,18,22,0,24,25,22,27,25,25,28,29,29,25,32,33,33,22,
#predictedHeads=10,3,1,3,4,5,10,9,10,22,12,10,10,13,14,14,10,17,18,18,22,0,24,25,22,27,25,25,28,29,29,25,32,33,33,22,
(22,24),-0.0891919 # DEPENDENCYPART_ARC
(22,25),-0.449092 # DEPENDENCYPART_ARC
(22,26),-1.43422 # DEPENDENCYPART_ARC
(22,27),-1.24241 # DEPENDENCYPART_ARC
(22,28),-1.51448 # DEPENDENCYPART_ARC
(22,32),-1.71571 # DEPENDENCYPART_ARC
(22,36),1.16418 # DEPENDENCYPART_ARC
(23,24),-0.522908 # DEPENDENCYPART_ARC
(23,25),-1.00708 # DEPENDENCYPART_ARC
(23,26),-1.57235 # DEPENDENCYPART_ARC
(24,18),-2.01587 # DEPENDENCYPART_ARC
(24,19),-1.99619 # DEPENDENCYPART_ARC
(24,20),-1.78921 # DEPENDENCYPART_ARC
(24,21),-1.30865 # DEPENDENCYPART_ARC
(24,22),-0.278102 # DEPENDENCYPART_ARC
(24,23),1.1969 # DEPENDENCYPART_ARC
(24,25),-0.172286 # DEPENDENCYPART_ARC
(24,26),-1.28582 # DEPENDENCYPART_ARC
(24,27),-1.30315 # DEPENDENCYPART_ARC
(24,28),-1.34971 # DEPENDENCYPART_ARC
(24,29),-1.58986 # DEPENDENCYPART_ARC
(25,1),-0.991941 # DEPENDENCYPART_ARC
(25,3),-1.55272 # DEPENDENCYPART_ARC
(25,4),-2.10451 # DEPENDENCYPART_ARC
(25,5),-1.62912 # DEPENDENCYPART_ARC
(25,7),-2.53267 # DEPENDENCYPART_ARC
(25,9),-2.39616 # DEPENDENCYPART_ARC
(25,10),-1.82682 # DEPENDENCYPART_ARC
(25,11),-2.02151 # DEPENDENCYPART_ARC
(25,12),-2.18953 # DEPENDENCYPART_ARC
(25,13),-2.3643 # DEPENDENCYPART_ARC
(25,14),-1.87346 # DEPENDENCYPART_ARC
(25,15),-1.87337 # DEPENDENCYPART_ARC
(25,16),-1.89692 # DEPENDENCYPART_ARC
(25,17),-1.33629 # DEPENDENCYPART_ARC
(25,18),-1.78523 # DEPENDENCYPART_ARC
(25,19),-1.92212 # DEPENDENCYPART_ARC
(25,20),-1.89679 # DEPENDENCYPART_ARC
(25,21),-1.1749 # DEPENDENCYPART_ARC
(25,22),-0.812483 # DEPENDENCYPART_ARC
(25,23),-0.802172 # DEPENDENCYPART_ARC
(25,24),0.667742 # DEPENDENCYPART_ARC
(25,26),0.331913 # DEPENDENCYPART_ARC
(25,27),0.363417 # DEPENDENCYPART_ARC
(25,28),-0.195299 # DEPENDENCYPART_ARC
(25,29),-0.874926 # DEPENDENCYPART_ARC
(25,30),-0.976326 # DEPENDENCYPART_ARC
(25,32),-0.00101875 # DEPENDENCYPART_ARC
(25,33),-1.13084 # DEPENDENCYPART_ARC
(25,36),0.118117 # DEPENDENCYPART_ARC
(26,23),-1.5084 # DEPENDENCYPART_ARC
(26,24),-1.41433 # DEPENDENCYPART_ARC
(26,27),-0.162876 # DEPENDENCYPART_ARC
(26,29),-1.07592 # DEPENDENCYPART_ARC
(27,19),-2.46547 # DEPENDENCYPART_ARC
(27,20),-2.33335 # DEPENDENCYPART_ARC
(27,22),-1.28455 # DEPENDENCYPART_ARC
(27,23),-1.13127 # DEPENDENCYPART_ARC
(27,24),-1.36725 # DEPENDENCYPART_ARC
(27,26),0.895845 # DEPENDENCYPART_ARC
(27,28),-0.161845 # DEPENDENCYPART_ARC
(27,29),-1.21133 # DEPENDENCYPART_ARC
(27,30),-1.38374 # DEPENDENCYPART_ARC
(27,31),-1.57241 # DEPENDENCYPART_ARC
(27,32),-1.29513 # DEPENDENCYPART_ARC
(27,33),-1.47012 # DEPENDENCYPART_ARC
(27,34),-1.63808 # DEPENDENCYPART_ARC
(27,36),-1.11195 # DEPENDENCYPART_ARC
(28,26),-1.09442 # DEPENDENCYPART_ARC
(28,27),-0.209773 # DEPENDENCYPART_ARC
(28,29),0.0485357 # DEPENDENCYPART_ARC
(28,30),-0.609366 # DEPENDENCYPART_ARC
(28,31),-0.950024 # DEPENDENCYPART_ARC
(28,32),-0.762863 # DEPENDENCYPART_ARC
(29,26),-0.94488 # DEPENDENCYPART_ARC
(29,27),-0.783867 # DEPENDENCYPART_ARC
(29,28),0.361382 # DEPENDENCYPART_ARC
(29,30),0.76899 # DEPENDENCYPART_ARC
(29,31),0.232935 # DEPENDENCYPART_ARC
(29,32),-0.969699 # DEPENDENCYPART_ARC
(29,33),-0.904823 # DEPENDENCYPART_ARC
(29,36),-0.972303 # DEPENDENCYPART_ARC
(30,26),-1.57926 # DEPENDENCYPART_ARC
(30,27),-1.4428 # DEPENDENCYPART_ARC
(30,28),-1.35415 # DEPENDENCYPART_ARC
(30,29),-0.193331 # DEPENDENCYPART_ARC
(30,31),-0.533803 # DEPENDENCYPART_ARC
(30,32),-0.871362 # DEPENDENCYPART_ARC
(30,33),-0.926026 # DEPENDENCYPART_ARC
(30,34),-1.49162 # DEPENDENCYPART_ARC
(30,35),-1.77701 # DEPENDENCYPART_ARC
(31,29),-0.772605 # DEPENDENCYPART_ARC
(31,30),-0.116191 # DEPENDENCYPART_ARC
(31,32),-0.204555 # DEPENDENCYPART_ARC
(31,33),-0.847649 # DEPENDENCYPART_ARC
(31,34),-1.40917 # DEPENDENCYPART_ARC
(31,35),-1.6521 # DEPENDENCYPART_ARC
(32,27),-1.47527 # DEPENDENCYPART_ARC
(32,28),-1.4835 # DEPENDENCYPART_ARC
(32,29),-1.26242 # DEPENDENCYPART_ARC
(32,30),-1.34372 # DEPENDENCYPART_ARC
(32,31),-0.395069 # DEPENDENCYPART_ARC
(32,33),-0.0114852 # DEPENDENCYPART_ARC
(32,34),-0.580408 # DEPENDENCYPART_ARC
(32,35),-1.00643 # DEPENDENCYPART_ARC
(33,29),-0.939618 # DEPENDENCYPART_ARC
(33,30),-1.337 # DEPENDENCYPART_ARC
(33,31),-1.12159 # DEPENDENCYPART_ARC
(33,32),0.255251 # DEPENDENCYPART_ARC
(33,34),0.633229 # DEPENDENCYPART_ARC
(33,35),0.104893 # DEPENDENCYPART_ARC
(33,36),-0.909019 # DEPENDENCYPART_ARC
(34,30),-1.59932 # DEPENDENCYPART_ARC
(34,31),-1.47694 # DEPENDENCYPART_ARC
(34,33),-0.213805 # DEPENDENCYPART_ARC
(34,35),-0.466803 # DEPENDENCYPART_ARC
(35,31),-1.11806 # DEPENDENCYPART_ARC
(35,33),-0.588976 # DEPENDENCYPART_ARC
(35,34),0.223227 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0210659 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.123768 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0295978 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.122794 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0383505 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0617589 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.117429 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0932885 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0230219 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0920016 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0222289 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0942572 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.0913023 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0515348 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.167207 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0558771 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.132314 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.168287 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0913123 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0025139 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.0628188 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.090097 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0612867 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.131705 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.165729 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.048285 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.0730481 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.133114 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0605546 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0647641 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00264023 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0625049 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0917498 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.000276184 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0870851 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00558985 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0891099 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0787293 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00319066 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00898813 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0236293 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0351582 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0409194 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0748212 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0286362 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0388013 # DEPENDENCYPART_SIBL
(3,1),(3,36),0.0173224 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.302679 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0137538 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.105462 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0893623 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0233733 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.11759 # DEPENDENCYPART_SIBL
(3,2),(3,36),-0.124813 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.030137 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.025126 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00859523 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0370362 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0322599 # DEPENDENCYPART_SIBL
(3,4),(3,36),-0.0166208 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00691088 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00561797 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.022074 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0305822 # DEPENDENCYPART_SIBL
(3,5),(3,36),0.00434635 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0459905 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0545806 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0446674 # DEPENDENCYPART_SIBL
(3,6),(3,36),-0.00188415 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0356279 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.046275 # DEPENDENCYPART_SIBL
(3,7),(3,36),-0.0512868 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0319462 # DEPENDENCYPART_SIBL
(3,9),(3,36),0.00709438 # DEPENDENCYPART_SIBL
(3,10),(3,36),-0.0212095 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0260333 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0400963 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0666612 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0464336 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0715193 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0597318 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0206073 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.110203 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0278199 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0715193 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.00593322 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0197899 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0447606 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0933185 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0614517 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0128407 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.111931 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0704421 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0454924 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0076571 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0128407 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0616712 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0622267 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0610748 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00211409 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0136448 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0858338 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0295895 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.00758716 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.00861373 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0136448 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0328892 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0307391 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0675085 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0776493 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0851521 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0685574 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0644851 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.051431 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0776493 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0766045 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.0760229 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0504558 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0671492 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0351321 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0172183 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.081571 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0504558 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0339847 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0410431 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00587024 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0823264 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.00498795 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0127831 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0447014 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0187784 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.0667367 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0499842 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0453928 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0429873 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0659639 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0637065 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.0576337 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0580456 # DEPENDENCYPART_SIBL
