# _root_ These mainly involved such areas as materials -- advanced soldering machines , for example -- and medical developments derived from experimentation in space , such as artificial blood vessels .
#goldHeads=3,3,0,5,3,5,16,11,11,11,7,11,11,13,11,6,18,16,18,19,20,21,22,18,26,18,29,29,26,3,
#predictedHeads=3,3,0,5,3,5,6,16,11,11,16,16,16,13,16,7,18,16,18,19,20,21,22,21,26,21,29,29,26,3,
(6,7),0.547063 # DEPENDENCYPART_ARC
(6,8),-1.10859 # DEPENDENCYPART_ARC
(6,9),-1.32169 # DEPENDENCYPART_ARC
(6,10),-1.43365 # DEPENDENCYPART_ARC
(6,11),-1.52529 # DEPENDENCYPART_ARC
(6,15),-1.69649 # DEPENDENCYPART_ARC
(6,16),-1.77813 # DEPENDENCYPART_ARC
(7,1),-2.11163 # DEPENDENCYPART_ARC
(7,2),-1.45676 # DEPENDENCYPART_ARC
(7,3),-1.169 # DEPENDENCYPART_ARC
(7,4),-1.0042 # DEPENDENCYPART_ARC
(7,5),-0.53859 # DEPENDENCYPART_ARC
(7,6),0.180349 # DEPENDENCYPART_ARC
(7,8),-0.0601068 # DEPENDENCYPART_ARC
(7,9),-1.13041 # DEPENDENCYPART_ARC
(7,10),-1.29803 # DEPENDENCYPART_ARC
(7,11),-1.50353 # DEPENDENCYPART_ARC
(7,12),-1.88485 # DEPENDENCYPART_ARC
(7,13),-2.08072 # DEPENDENCYPART_ARC
(7,14),-2.00252 # DEPENDENCYPART_ARC
(7,15),-1.50593 # DEPENDENCYPART_ARC
(7,16),-1.33499 # DEPENDENCYPART_ARC
(7,17),-1.93102 # DEPENDENCYPART_ARC
(7,18),-2.07705 # DEPENDENCYPART_ARC
(7,19),-2.26 # DEPENDENCYPART_ARC
(7,30),-1.602 # DEPENDENCYPART_ARC
(8,3),-1.27641 # DEPENDENCYPART_ARC
(8,6),-1.02233 # DEPENDENCYPART_ARC
(9,4),-1.58888 # DEPENDENCYPART_ARC
(9,5),-1.32119 # DEPENDENCYPART_ARC
(9,6),-1.21485 # DEPENDENCYPART_ARC
(9,7),-1.12528 # DEPENDENCYPART_ARC
(9,8),-0.210115 # DEPENDENCYPART_ARC
(9,10),0.00997481 # DEPENDENCYPART_ARC
(9,11),-0.869079 # DEPENDENCYPART_ARC
(9,12),-0.812367 # DEPENDENCYPART_ARC
(9,13),-1.43126 # DEPENDENCYPART_ARC
(9,14),-1.63824 # DEPENDENCYPART_ARC
(9,16),-1.05677 # DEPENDENCYPART_ARC
(9,17),-1.26627 # DEPENDENCYPART_ARC
(10,4),-1.42095 # DEPENDENCYPART_ARC
(10,5),-1.19618 # DEPENDENCYPART_ARC
(10,6),-1.20493 # DEPENDENCYPART_ARC
(10,7),-0.933962 # DEPENDENCYPART_ARC
(10,8),-1.0278 # DEPENDENCYPART_ARC
(10,9),-0.0238871 # DEPENDENCYPART_ARC
(11,2),-1.43325 # DEPENDENCYPART_ARC
(11,4),-1.0124 # DEPENDENCYPART_ARC
(11,5),-1.85341 # DEPENDENCYPART_ARC
(11,6),-1.2608 # DEPENDENCYPART_ARC
(11,7),-0.867195 # DEPENDENCYPART_ARC
(11,8),-0.958486 # DEPENDENCYPART_ARC
(11,9),0.31708 # DEPENDENCYPART_ARC
(11,10),1.54372 # DEPENDENCYPART_ARC
(11,12),0.117642 # DEPENDENCYPART_ARC
(11,13),-1.55009 # DEPENDENCYPART_ARC
(11,14),-1.63974 # DEPENDENCYPART_ARC
(11,15),-1.43461 # DEPENDENCYPART_ARC
(11,16),-1.63786 # DEPENDENCYPART_ARC
(11,17),-1.86685 # DEPENDENCYPART_ARC
(11,18),-1.96405 # DEPENDENCYPART_ARC
(11,19),-2.08679 # DEPENDENCYPART_ARC
(11,20),-2.0985 # DEPENDENCYPART_ARC
(11,24),-1.32561 # DEPENDENCYPART_ARC
(11,26),-1.97102 # DEPENDENCYPART_ARC
(11,29),-2.46515 # DEPENDENCYPART_ARC
(11,30),-1.73667 # DEPENDENCYPART_ARC
(13,11),-1.79777 # DEPENDENCYPART_ARC
(13,12),0.0770118 # DEPENDENCYPART_ARC
(13,14),0.610394 # DEPENDENCYPART_ARC
(13,15),-0.95655 # DEPENDENCYPART_ARC
(13,16),-1.01046 # DEPENDENCYPART_ARC
(13,17),-1.40188 # DEPENDENCYPART_ARC
(13,18),-1.54824 # DEPENDENCYPART_ARC
(13,20),-1.04514 # DEPENDENCYPART_ARC
(13,21),-2.532 # DEPENDENCYPART_ARC
(14,1),-3.30358 # DEPENDENCYPART_ARC
(14,8),-2.26032 # DEPENDENCYPART_ARC
(14,9),-1.94271 # DEPENDENCYPART_ARC
(14,10),-1.83501 # DEPENDENCYPART_ARC
(14,11),-1.92549 # DEPENDENCYPART_ARC
(14,12),-1.16404 # DEPENDENCYPART_ARC
(14,13),-0.0835789 # DEPENDENCYPART_ARC
(14,15),-0.172887 # DEPENDENCYPART_ARC
(14,16),-1.29977 # DEPENDENCYPART_ARC
(14,17),-1.39189 # DEPENDENCYPART_ARC
(14,18),-1.54007 # DEPENDENCYPART_ARC
(14,19),-1.42488 # DEPENDENCYPART_ARC
(14,20),-1.51584 # DEPENDENCYPART_ARC
(14,22),-1.79611 # DEPENDENCYPART_ARC
(14,30),-2.01019 # DEPENDENCYPART_ARC
(15,12),-1.17187 # DEPENDENCYPART_ARC
(15,13),-1.00406 # DEPENDENCYPART_ARC
(16,1),-2.28564 # DEPENDENCYPART_ARC
(16,2),-1.34684 # DEPENDENCYPART_ARC
(16,3),-1.82874 # DEPENDENCYPART_ARC
(16,4),-2.00264 # DEPENDENCYPART_ARC
(16,5),-1.42902 # DEPENDENCYPART_ARC
(16,6),-1.38089 # DEPENDENCYPART_ARC
(16,7),-1.3288 # DEPENDENCYPART_ARC
(16,8),-1.1723 # DEPENDENCYPART_ARC
(16,9),-1.42751 # DEPENDENCYPART_ARC
(16,10),-1.41026 # DEPENDENCYPART_ARC
(16,11),-1.01915 # DEPENDENCYPART_ARC
(16,12),-0.818787 # DEPENDENCYPART_ARC
(16,13),-0.584909 # DEPENDENCYPART_ARC
(16,14),-0.392418 # DEPENDENCYPART_ARC
(16,15),1.08329 # DEPENDENCYPART_ARC
(16,17),0.970347 # DEPENDENCYPART_ARC
(16,18),0.420681 # DEPENDENCYPART_ARC
(16,19),-0.361864 # DEPENDENCYPART_ARC
(16,20),-0.875776 # DEPENDENCYPART_ARC
(16,21),-1.08305 # DEPENDENCYPART_ARC
(16,22),-1.0654 # DEPENDENCYPART_ARC
(16,23),-1.66017 # DEPENDENCYPART_ARC
(16,24),-1.06712 # DEPENDENCYPART_ARC
(16,25),-1.62814 # DEPENDENCYPART_ARC
(16,26),-1.84061 # DEPENDENCYPART_ARC
(16,29),-2.56785 # DEPENDENCYPART_ARC
(16,30),-1.57722 # DEPENDENCYPART_ARC
(17,14),-1.59508 # DEPENDENCYPART_ARC
(17,15),-1.66726 # DEPENDENCYPART_ARC
(17,18),-0.555827 # DEPENDENCYPART_ARC
(17,19),-1.03639 # DEPENDENCYPART_ARC
(18,10),-2.15609 # DEPENDENCYPART_ARC
(18,13),-1.54099 # DEPENDENCYPART_ARC
(18,14),-1.25742 # DEPENDENCYPART_ARC
(18,15),-1.27074 # DEPENDENCYPART_ARC
(18,16),-0.436205 # DEPENDENCYPART_ARC
(18,17),0.958807 # DEPENDENCYPART_ARC
(18,19),0.169558 # DEPENDENCYPART_ARC
(18,20),-0.709327 # DEPENDENCYPART_ARC
(18,21),-1.19964 # DEPENDENCYPART_ARC
(18,22),-1.08186 # DEPENDENCYPART_ARC
(18,23),-1.52425 # DEPENDENCYPART_ARC
(18,24),-1.23608 # DEPENDENCYPART_ARC
(18,29),-2.14763 # DEPENDENCYPART_ARC
(19,3),-2.15234 # DEPENDENCYPART_ARC
(19,5),-2.21956 # DEPENDENCYPART_ARC
(19,6),-1.9562 # DEPENDENCYPART_ARC
(19,7),-2.48405 # DEPENDENCYPART_ARC
(19,11),-2.29052 # DEPENDENCYPART_ARC
(19,12),-1.79651 # DEPENDENCYPART_ARC
(19,13),-1.03923 # DEPENDENCYPART_ARC
(19,14),-1.24988 # DEPENDENCYPART_ARC
(19,17),-1.27355 # DEPENDENCYPART_ARC
(19,18),-0.0897795 # DEPENDENCYPART_ARC
(19,20),0.66427 # DEPENDENCYPART_ARC
(19,21),-0.849583 # DEPENDENCYPART_ARC
(19,22),-0.765827 # DEPENDENCYPART_ARC
(19,23),-1.65294 # DEPENDENCYPART_ARC
(19,24),-1.5428 # DEPENDENCYPART_ARC
(19,25),-2.02469 # DEPENDENCYPART_ARC
(19,26),-2.11816 # DEPENDENCYPART_ARC
(19,30),-0.587247 # DEPENDENCYPART_ARC
(20,18),-1.29615 # DEPENDENCYPART_ARC
(20,21),0.84236 # DEPENDENCYPART_ARC
(20,22),-0.819987 # DEPENDENCYPART_ARC
(20,23),-0.89561 # DEPENDENCYPART_ARC
(20,25),-1.65088 # DEPENDENCYPART_ARC
(20,26),-1.76845 # DEPENDENCYPART_ARC
(20,27),-1.82997 # DEPENDENCYPART_ARC
(20,29),-2.79021 # DEPENDENCYPART_ARC
(21,17),-1.76366 # DEPENDENCYPART_ARC
(21,18),-1.77211 # DEPENDENCYPART_ARC
(21,19),-1.11195 # DEPENDENCYPART_ARC
(21,20),-0.398718 # DEPENDENCYPART_ARC
(21,22),0.389434 # DEPENDENCYPART_ARC
(21,23),-0.948568 # DEPENDENCYPART_ARC
(21,24),-1.30376 # DEPENDENCYPART_ARC
(21,25),-1.66718 # DEPENDENCYPART_ARC
(21,26),-1.76467 # DEPENDENCYPART_ARC
(21,27),-1.74509 # DEPENDENCYPART_ARC
(21,29),-2.12157 # DEPENDENCYPART_ARC
(21,30),-1.55658 # DEPENDENCYPART_ARC
(22,20),-1.12358 # DEPENDENCYPART_ARC
(22,21),-0.476538 # DEPENDENCYPART_ARC
(22,23),1.001 # DEPENDENCYPART_ARC
(22,25),-1.30019 # DEPENDENCYPART_ARC
(22,26),-1.4961 # DEPENDENCYPART_ARC
(22,27),-1.58887 # DEPENDENCYPART_ARC
(22,29),-2.39565 # DEPENDENCYPART_ARC
(23,21),-0.72108 # DEPENDENCYPART_ARC
(23,22),-0.0941077 # DEPENDENCYPART_ARC
(23,24),-0.01102 # DEPENDENCYPART_ARC
(23,25),-1.46355 # DEPENDENCYPART_ARC
(23,26),-1.58334 # DEPENDENCYPART_ARC
(23,27),-1.76822 # DEPENDENCYPART_ARC
(23,28),-1.70722 # DEPENDENCYPART_ARC
(23,29),-1.99714 # DEPENDENCYPART_ARC
(23,30),-1.61339 # DEPENDENCYPART_ARC
(25,20),-1.47583 # DEPENDENCYPART_ARC
(25,21),-1.20676 # DEPENDENCYPART_ARC
(25,22),-1.2413 # DEPENDENCYPART_ARC
(25,23),-1.0279 # DEPENDENCYPART_ARC
(25,24),0.207796 # DEPENDENCYPART_ARC
(25,26),0.0911958 # DEPENDENCYPART_ARC
(25,27),-0.871785 # DEPENDENCYPART_ARC
(25,28),-1.25229 # DEPENDENCYPART_ARC
(25,29),-1.3616 # DEPENDENCYPART_ARC
(26,21),-1.72349 # DEPENDENCYPART_ARC
(26,22),-1.50675 # DEPENDENCYPART_ARC
(26,23),-1.55717 # DEPENDENCYPART_ARC
(26,24),-1.02153 # DEPENDENCYPART_ARC
(26,25),0.257843 # DEPENDENCYPART_ARC
(26,27),-0.0120017 # DEPENDENCYPART_ARC
(26,28),-0.459309 # DEPENDENCYPART_ARC
(26,29),-1.0152 # DEPENDENCYPART_ARC
(27,23),-1.74944 # DEPENDENCYPART_ARC
(27,25),-1.36366 # DEPENDENCYPART_ARC
(27,28),-0.360065 # DEPENDENCYPART_ARC
(28,25),-1.79818 # DEPENDENCYPART_ARC
(28,27),0.120511 # DEPENDENCYPART_ARC
(28,29),-0.652176 # DEPENDENCYPART_ARC
(29,21),-2.18016 # DEPENDENCYPART_ARC
(29,23),-1.90339 # DEPENDENCYPART_ARC
(29,24),-1.38365 # DEPENDENCYPART_ARC
(29,25),-0.910608 # DEPENDENCYPART_ARC
(29,26),-0.82223 # DEPENDENCYPART_ARC
(29,27),0.411639 # DEPENDENCYPART_ARC
(29,28),1.8561 # DEPENDENCYPART_ARC
(29,30),-0.224983 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0891805 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0145998 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0549871 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0942837 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0621218 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.131744 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.160986 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0912498 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.103508 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.132251 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00256689 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0187842 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00314083 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.030624 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0327433 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00347441 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0327757 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0516116 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00738852 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0127448 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0386252 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0101815 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0150369 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00937337 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0119995 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0181259 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.020915 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0346161 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0222886 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0346157 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.022272 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0109674 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0490822 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.017039 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0119308 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0421948 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0116988 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0327314 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0371953 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0383446 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00311398 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0190956 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0714962 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.012301 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0327314 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0017989 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0383362 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0546102 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0011502 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.000194586 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0190956 # DEPENDENCYPART_SIBL
(3,1),(3,26),-0.0421948 # DEPENDENCYPART_SIBL
(3,1),(3,30),0.0393087 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0264475 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00211175 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0842451 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00245204 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0403633 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00922432 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00874304 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00796054 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0703838 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0407282 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.000303318 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0403633 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00275053 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.00875693 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.00599475 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.00788706 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0878419 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0703838 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.0842451 # DEPENDENCYPART_SIBL
(3,2),(3,30),0.018378 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0436122 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0560698 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0374082 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0311201 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0528132 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0543876 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0473131 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.00438742 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00111571 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0478401 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0311201 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.037214 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0543876 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0274267 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0377747 # DEPENDENCYPART_SIBL
(3,4),(3,22),-8.27953e-05 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.00438742 # DEPENDENCYPART_SIBL
(3,4),(3,26),-0.0560698 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.0440238 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0104814 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0189834 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00901372 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0242069 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0287587 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0226982 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0019572 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0244784 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0246597 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.00901372 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0359465 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.028766 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0181023 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0201539 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.016554 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.0019572 # DEPENDENCYPART_SIBL
(3,5),(3,26),-0.0104814 # DEPENDENCYPART_SIBL
(3,5),(3,30),0.0111255 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0342352 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0152254 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0487985 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0569721 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.035656 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.030313 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0915562 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0401522 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0152254 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0500112 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0569801 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0581057 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.126868 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0401241 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.030313 # DEPENDENCYPART_SIBL
(3,6),(3,26),-0.147688 # DEPENDENCYPART_SIBL
(3,6),(3,30),-0.0101579 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0079607 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0252579 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0298097 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0237332 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00114202 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0224787 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0256947 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0079607 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0369975 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.029817 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0122335 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0221497 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0185685 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.00114202 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.0084837 # DEPENDENCYPART_SIBL
(3,7),(3,30),-0.000169991 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0234201 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0261221 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0293117 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0141085 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.00863075 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0340462 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.00341322 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0163459 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0261221 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.00919971 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.00328849 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.00623214 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0141085 # DEPENDENCYPART_SIBL
(3,8),(3,26),-0.0235696 # DEPENDENCYPART_SIBL
(3,8),(3,30),-0.0165665 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0399177 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0223153 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0109241 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.018484 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0228424 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0152982 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0215007 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0399177 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.00672524 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0204421 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.0173508 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.0109241 # DEPENDENCYPART_SIBL
(3,9),(3,26),-0.0368126 # DEPENDENCYPART_SIBL
(3,9),(3,30),-0.0141878 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0215906 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0123473 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0191905 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0221176 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.014618 # DEPENDENCYPART_SIBL
