# _root_ Hughes Aircraft Co. , a General Motors Corp. unit , said the Intelsat VI commercial communications satellite is set to be launched Friday .
#goldHeads=3,3,11,3,9,9,9,9,3,3,0,17,17,17,17,17,18,11,18,21,19,21,22,11,
#predictedHeads=3,3,11,3,9,9,9,9,3,3,0,17,17,17,17,17,18,11,18,21,19,21,22,11,
(9,1),-1.16201 # DEPENDENCYPART_ARC
(9,2),-1.27211 # DEPENDENCYPART_ARC
(9,3),-1.68355 # DEPENDENCYPART_ARC
(9,4),-1.04926 # DEPENDENCYPART_ARC
(9,5),-0.122308 # DEPENDENCYPART_ARC
(9,6),0.660725 # DEPENDENCYPART_ARC
(9,7),1.01127 # DEPENDENCYPART_ARC
(9,8),2.11504 # DEPENDENCYPART_ARC
(9,10),-0.0574397 # DEPENDENCYPART_ARC
(9,11),-2.08452 # DEPENDENCYPART_ARC
(9,12),-2.25804 # DEPENDENCYPART_ARC
(9,14),-2.02913 # DEPENDENCYPART_ARC
(9,15),-2.26238 # DEPENDENCYPART_ARC
(9,17),-2.28739 # DEPENDENCYPART_ARC
(9,18),-2.53303 # DEPENDENCYPART_ARC
(9,23),-1.98347 # DEPENDENCYPART_ARC
(11,1),-0.96105 # DEPENDENCYPART_ARC
(11,2),-0.897732 # DEPENDENCYPART_ARC
(11,3),-0.738198 # DEPENDENCYPART_ARC
(11,4),-1.4863 # DEPENDENCYPART_ARC
(11,5),-1.80319 # DEPENDENCYPART_ARC
(11,6),-1.98796 # DEPENDENCYPART_ARC
(11,7),-1.81794 # DEPENDENCYPART_ARC
(11,8),-1.69219 # DEPENDENCYPART_ARC
(11,9),-1.24857 # DEPENDENCYPART_ARC
(11,10),0.799789 # DEPENDENCYPART_ARC
(11,12),0.208638 # DEPENDENCYPART_ARC
(11,13),-0.176516 # DEPENDENCYPART_ARC
(11,14),-0.184839 # DEPENDENCYPART_ARC
(11,15),-0.629002 # DEPENDENCYPART_ARC
(11,16),-0.59004 # DEPENDENCYPART_ARC
(11,17),-0.537365 # DEPENDENCYPART_ARC
(11,18),-0.0417025 # DEPENDENCYPART_ARC
(11,19),-0.723588 # DEPENDENCYPART_ARC
(11,20),-1.50951 # DEPENDENCYPART_ARC
(11,21),-0.722259 # DEPENDENCYPART_ARC
(11,22),-0.544425 # DEPENDENCYPART_ARC
(11,23),-1.05777 # DEPENDENCYPART_ARC
(11,24),0.692394 # DEPENDENCYPART_ARC
(13,12),-0.484598 # DEPENDENCYPART_ARC
(13,14),-0.867541 # DEPENDENCYPART_ARC
(13,15),-1.55784 # DEPENDENCYPART_ARC
(13,18),-1.22873 # DEPENDENCYPART_ARC
(13,19),-1.6304 # DEPENDENCYPART_ARC
(14,11),-1.95971 # DEPENDENCYPART_ARC
(14,12),-0.481581 # DEPENDENCYPART_ARC
(14,13),0.731395 # DEPENDENCYPART_ARC
(14,15),-0.502297 # DEPENDENCYPART_ARC
(14,16),-1.41333 # DEPENDENCYPART_ARC
(14,17),-1.70013 # DEPENDENCYPART_ARC
(14,18),-1.28227 # DEPENDENCYPART_ARC
(14,19),-1.6578 # DEPENDENCYPART_ARC
(14,21),-1.75995 # DEPENDENCYPART_ARC
(14,22),-1.91242 # DEPENDENCYPART_ARC
(14,23),-1.74362 # DEPENDENCYPART_ARC
(15,9),-1.8564 # DEPENDENCYPART_ARC
(15,12),-1.31079 # DEPENDENCYPART_ARC
(15,13),-0.907129 # DEPENDENCYPART_ARC
(15,14),0.0442556 # DEPENDENCYPART_ARC
(15,16),-0.446803 # DEPENDENCYPART_ARC
(15,19),-1.57226 # DEPENDENCYPART_ARC
(15,21),-1.54777 # DEPENDENCYPART_ARC
(15,22),-1.63619 # DEPENDENCYPART_ARC
(16,11),-1.7986 # DEPENDENCYPART_ARC
(16,12),-1.58463 # DEPENDENCYPART_ARC
(16,13),-1.14973 # DEPENDENCYPART_ARC
(16,14),-0.643799 # DEPENDENCYPART_ARC
(16,15),0.30059 # DEPENDENCYPART_ARC
(16,17),-0.586393 # DEPENDENCYPART_ARC
(16,18),-0.803422 # DEPENDENCYPART_ARC
(16,19),-1.35627 # DEPENDENCYPART_ARC
(16,21),-1.55901 # DEPENDENCYPART_ARC
(16,22),-1.63951 # DEPENDENCYPART_ARC
(17,5),-2.34742 # DEPENDENCYPART_ARC
(17,6),-1.95829 # DEPENDENCYPART_ARC
(17,8),-1.83142 # DEPENDENCYPART_ARC
(17,9),-2.5494 # DEPENDENCYPART_ARC
(17,11),-1.24519 # DEPENDENCYPART_ARC
(17,12),-0.374931 # DEPENDENCYPART_ARC
(17,13),-0.0317697 # DEPENDENCYPART_ARC
(17,14),-0.321508 # DEPENDENCYPART_ARC
(17,15),0.17443 # DEPENDENCYPART_ARC
(17,16),1.85157 # DEPENDENCYPART_ARC
(17,18),-0.504216 # DEPENDENCYPART_ARC
(17,19),-1.32923 # DEPENDENCYPART_ARC
(17,21),-1.67896 # DEPENDENCYPART_ARC
(17,22),-1.82131 # DEPENDENCYPART_ARC
(18,1),-0.97775 # DEPENDENCYPART_ARC
(18,2),-0.970392 # DEPENDENCYPART_ARC
(18,3),-1.15251 # DEPENDENCYPART_ARC
(18,4),-2.43369 # DEPENDENCYPART_ARC
(18,9),-2.04202 # DEPENDENCYPART_ARC
(18,10),-1.86238 # DEPENDENCYPART_ARC
(18,11),-1.71402 # DEPENDENCYPART_ARC
(18,12),-1.45302 # DEPENDENCYPART_ARC
(18,13),-0.790697 # DEPENDENCYPART_ARC
(18,14),-0.472202 # DEPENDENCYPART_ARC
(18,15),-1.07955 # DEPENDENCYPART_ARC
(18,16),-0.467035 # DEPENDENCYPART_ARC
(18,17),1.00876 # DEPENDENCYPART_ARC
(18,19),1.57797 # DEPENDENCYPART_ARC
(18,20),-1.03228 # DEPENDENCYPART_ARC
(18,21),-0.813171 # DEPENDENCYPART_ARC
(18,22),-0.539354 # DEPENDENCYPART_ARC
(18,23),-1.32312 # DEPENDENCYPART_ARC
(18,24),-0.515449 # DEPENDENCYPART_ARC
(19,4),-2.81302 # DEPENDENCYPART_ARC
(19,9),-3.05429 # DEPENDENCYPART_ARC
(19,10),-2.23081 # DEPENDENCYPART_ARC
(19,11),-2.53581 # DEPENDENCYPART_ARC
(19,13),-1.75062 # DEPENDENCYPART_ARC
(19,14),-1.59935 # DEPENDENCYPART_ARC
(19,15),-1.70273 # DEPENDENCYPART_ARC
(19,16),-1.39475 # DEPENDENCYPART_ARC
(19,17),-1.32398 # DEPENDENCYPART_ARC
(19,20),0.047497 # DEPENDENCYPART_ARC
(19,21),-0.0510688 # DEPENDENCYPART_ARC
(19,22),-0.911919 # DEPENDENCYPART_ARC
(19,23),-1.2934 # DEPENDENCYPART_ARC
(19,24),-1.30211 # DEPENDENCYPART_ARC
(20,21),-0.499494 # DEPENDENCYPART_ARC
(20,23),-2.02187 # DEPENDENCYPART_ARC
(21,3),-1.47414 # DEPENDENCYPART_ARC
(21,4),-2.79111 # DEPENDENCYPART_ARC
(21,9),-2.65509 # DEPENDENCYPART_ARC
(21,12),-1.66225 # DEPENDENCYPART_ARC
(21,13),-1.36386 # DEPENDENCYPART_ARC
(21,14),-1.13521 # DEPENDENCYPART_ARC
(21,15),-1.5306 # DEPENDENCYPART_ARC
(21,16),-1.32488 # DEPENDENCYPART_ARC
(21,17),-1.10477 # DEPENDENCYPART_ARC
(21,20),1.38448 # DEPENDENCYPART_ARC
(21,22),0.742467 # DEPENDENCYPART_ARC
(21,23),-0.585411 # DEPENDENCYPART_ARC
(21,24),-1.5088 # DEPENDENCYPART_ARC
(22,10),-2.38785 # DEPENDENCYPART_ARC
(22,13),-2.05316 # DEPENDENCYPART_ARC
(22,16),-1.99755 # DEPENDENCYPART_ARC
(22,17),-2.01982 # DEPENDENCYPART_ARC
(22,20),-0.927952 # DEPENDENCYPART_ARC
(22,23),0.373695 # DEPENDENCYPART_ARC
(22,24),-0.530812 # DEPENDENCYPART_ARC
(23,15),-2.46614 # DEPENDENCYPART_ARC
(23,21),-1.33047 # DEPENDENCYPART_ARC
(23,22),0.106177 # DEPENDENCYPART_ARC
(24,22),-1.37796 # DEPENDENCYPART_ARC
(24,23),-0.591025 # DEPENDENCYPART_ARC
(0,3),(0,11),-0.135699 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.127939 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.247878 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0274245 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0135909 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0100936 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0135909 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0232451 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0535221 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0106173 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0535221 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0245632 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.136806 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0393972 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0347648 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0238104 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0174964 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0347648 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0183332 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0971779 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0399463 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0538923 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.102029 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0971779 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0932026 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0529136 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0191698 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0187093 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00897303 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0529136 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0173533 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0513003 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0711069 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.143904 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0510712 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0579612 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0156897 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00865095 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0151571 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0135591 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.00476993 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0127926 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0187101 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0232019 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0102865 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0579612 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0338331 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.107161 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0236285 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0166969 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0300873 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0897609 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.107161 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0380191 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0200773 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0200773 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.00888566 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0168723 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0562172 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0327552 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0150891 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0387627 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.141233 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0413197 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0343881 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0477785 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.107454 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.141233 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0359954 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0377684 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0377684 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0265768 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0345635 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0541923 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0313923 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0327802 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.03481 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0559931 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0453232 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.064679 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.145654 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.036065 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0623379 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0453249 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0453249 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0334777 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0453244 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0805482 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.11412 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.025215 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0139077 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0254335 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0228298 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0067034 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0201764 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0169058 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0210225 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0210225 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0216533 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0223044 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.00592208 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.00875796 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.00486413 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0219225 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0206154 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00921189 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0107157 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0121382 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0188093 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0188093 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0194401 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0200912 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.00115393 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.00397672 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.00265092 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.0223503 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00513181 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00809264 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.00682276 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0228874 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0228874 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0235182 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0241694 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.00415012 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.00131051 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.00672909 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.00852679 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0320109 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.032211 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0139697 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0139697 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0146005 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0152516 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0173209 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0240678 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.00218863 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.0331159 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0623379 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0453249 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0453249 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0334777 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0453244 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0805482 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.11412 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.025215 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.0139077 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0105882 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0105882 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0140596 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0105901 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0106464 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.015614 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.0185341 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.0498066 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0187968 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0194276 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0200787 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.00127625 # DEPENDENCYPART_SIBL
(3,13),(3,21),0.00411346 # DEPENDENCYPART_SIBL
(3,13),(3,23),-0.00263845 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.0247131 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0194276 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0200787 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.00127625 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.00411346 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.00263845 # DEPENDENCYPART_SIBL
(3,14),(3,24),0.0247131 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0137608 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0029786 # DEPENDENCYPART_SIBL
(3,16),(3,21),0.00581582 # DEPENDENCYPART_SIBL
(3,16),(3,23),0.00374869 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.0257585 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.000969835 # DEPENDENCYPART_SIBL
(3,17),(3,21),0.00186738 # DEPENDENCYPART_SIBL
(3,17),(3,23),-0.00307954 # DEPENDENCYPART_SIBL
(3,17),(3,24),0.0247191 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.0338484 # DEPENDENCYPART_SIBL
(3,18),(3,23),-0.0479051 # DEPENDENCYPART_SIBL
(3,18),(3,24),0.0324833 # DEPENDENCYPART_SIBL
(3,21),(3,23),-0.0249331 # DEPENDENCYPART_SIBL
(3,21),(3,24),-0.00393115 # DEPENDENCYPART_SIBL
(3,23),(3,24),0.0278347 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0111732 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0112921 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0154854 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0497104 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0289985 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00466354 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.011772 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0481604 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.00625442 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.115112 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0195757 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0869288 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.00122949 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0345686 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.057201 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.025565 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0313203 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.110458 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.103578 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0332171 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0128168 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0343388 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0297398 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0143843 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.12136 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0233678 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0280154 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0105846 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00114816 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0834586 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0144538 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0373419 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0972408 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0213401 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.0159825 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.13048 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.122564 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0504714 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0149971 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.015761 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.0951693 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0045181 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0238884 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.124119 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0758922 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0180708 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.00687547 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0258272 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0230682 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.00587418 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.103174 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.0287997 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.00886425 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.0255947 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.0146936 # DEPENDENCYPART_SIBL
(9,1),(9,23),0.023819 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0176546 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.12953 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0708191 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0118545 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.00065915 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0196108 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0571398 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.00789792 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0978818 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.0464907 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.00930221 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.0432857 # DEPENDENCYPART_SIBL
