# _root_ Du Pont , unlike companies hurt badly by sharp price declines for basic chemicals and plastics , is benefiting from its broad range of businesses .
#goldHeads=2,18,18,18,4,5,6,6,11,11,8,11,15,15,12,15,18,0,18,19,23,23,20,23,24,18,
#predictedHeads=2,18,18,18,4,5,6,6,11,11,8,11,15,15,12,15,18,0,18,19,23,23,20,23,24,18,
(9,13),-1.21391 # DEPENDENCYPART_ARC
(10,6),-2.00271 # DEPENDENCYPART_ARC
(10,7),-1.59282 # DEPENDENCYPART_ARC
(10,8),-1.59884 # DEPENDENCYPART_ARC
(10,9),0.15598 # DEPENDENCYPART_ARC
(10,11),-0.677445 # DEPENDENCYPART_ARC
(10,12),-1.07293 # DEPENDENCYPART_ARC
(10,18),-1.92517 # DEPENDENCYPART_ARC
(11,2),-2.83521 # DEPENDENCYPART_ARC
(11,3),-1.96393 # DEPENDENCYPART_ARC
(11,4),-1.65976 # DEPENDENCYPART_ARC
(11,5),-1.61742 # DEPENDENCYPART_ARC
(11,6),-1.37795 # DEPENDENCYPART_ARC
(11,7),-1.07341 # DEPENDENCYPART_ARC
(11,8),-1.04495 # DEPENDENCYPART_ARC
(11,9),0.25466 # DEPENDENCYPART_ARC
(11,10),1.8228 # DEPENDENCYPART_ARC
(11,12),0.185112 # DEPENDENCYPART_ARC
(11,13),-1.31682 # DEPENDENCYPART_ARC
(11,14),-1.45096 # DEPENDENCYPART_ARC
(11,15),-1.02668 # DEPENDENCYPART_ARC
(11,16),-1.56338 # DEPENDENCYPART_ARC
(11,17),-1.69315 # DEPENDENCYPART_ARC
(11,18),-1.79007 # DEPENDENCYPART_ARC
(11,19),-2.25722 # DEPENDENCYPART_ARC
(11,20),-2.2438 # DEPENDENCYPART_ARC
(11,26),-2.01335 # DEPENDENCYPART_ARC
(12,10),-1.561 # DEPENDENCYPART_ARC
(12,11),-0.54251 # DEPENDENCYPART_ARC
(12,13),-0.171545 # DEPENDENCYPART_ARC
(12,14),-0.11937 # DEPENDENCYPART_ARC
(12,15),-0.906493 # DEPENDENCYPART_ARC
(12,16),-1.17117 # DEPENDENCYPART_ARC
(12,17),-1.55188 # DEPENDENCYPART_ARC
(12,18),-2.14037 # DEPENDENCYPART_ARC
(12,20),-1.82213 # DEPENDENCYPART_ARC
(13,9),-1.70228 # DEPENDENCYPART_ARC
(13,11),-1.36853 # DEPENDENCYPART_ARC
(13,14),-0.542948 # DEPENDENCYPART_ARC
(14,6),-2.13859 # DEPENDENCYPART_ARC
(14,9),-1.64901 # DEPENDENCYPART_ARC
(14,10),-1.28871 # DEPENDENCYPART_ARC
(14,11),-1.58289 # DEPENDENCYPART_ARC
(14,12),-1.56068 # DEPENDENCYPART_ARC
(14,13),0.722344 # DEPENDENCYPART_ARC
(14,16),-1.40848 # DEPENDENCYPART_ARC
(14,18),-2.12779 # DEPENDENCYPART_ARC
(15,1),-1.28491 # DEPENDENCYPART_ARC
(15,2),-0.954766 # DEPENDENCYPART_ARC
(15,3),-1.57124 # DEPENDENCYPART_ARC
(15,4),-0.772507 # DEPENDENCYPART_ARC
(15,5),-0.293502 # DEPENDENCYPART_ARC
(15,6),-0.6051 # DEPENDENCYPART_ARC
(15,7),-0.842443 # DEPENDENCYPART_ARC
(15,8),-0.825097 # DEPENDENCYPART_ARC
(15,9),-0.93051 # DEPENDENCYPART_ARC
(15,10),-0.18433 # DEPENDENCYPART_ARC
(15,11),-0.406862 # DEPENDENCYPART_ARC
(15,12),-0.6841 # DEPENDENCYPART_ARC
(15,13),0.0702159 # DEPENDENCYPART_ARC
(15,14),2.6177 # DEPENDENCYPART_ARC
(15,16),1.90514 # DEPENDENCYPART_ARC
(15,17),-0.89764 # DEPENDENCYPART_ARC
(15,18),-1.59406 # DEPENDENCYPART_ARC
(15,19),-2.36298 # DEPENDENCYPART_ARC
(15,20),-2.10548 # DEPENDENCYPART_ARC
(15,23),-2.0953 # DEPENDENCYPART_ARC
(15,24),-1.98331 # DEPENDENCYPART_ARC
(15,26),-1.855 # DEPENDENCYPART_ARC
(16,3),-2.32171 # DEPENDENCYPART_ARC
(16,13),-1.60289 # DEPENDENCYPART_ARC
(16,14),-1.14704 # DEPENDENCYPART_ARC
(16,17),-0.357466 # DEPENDENCYPART_ARC
(16,18),-2.01967 # DEPENDENCYPART_ARC
(16,19),-2.46551 # DEPENDENCYPART_ARC
(16,20),-2.29458 # DEPENDENCYPART_ARC
(16,23),-2.07278 # DEPENDENCYPART_ARC
(18,1),-0.808441 # DEPENDENCYPART_ARC
(18,2),-0.484268 # DEPENDENCYPART_ARC
(18,3),-2.40804 # DEPENDENCYPART_ARC
(18,4),-0.948406 # DEPENDENCYPART_ARC
(18,5),-1.43947 # DEPENDENCYPART_ARC
(18,6),-1.66271 # DEPENDENCYPART_ARC
(18,7),-1.77432 # DEPENDENCYPART_ARC
(18,8),-1.59046 # DEPENDENCYPART_ARC
(18,9),-1.5064 # DEPENDENCYPART_ARC
(18,10),-1.69989 # DEPENDENCYPART_ARC
(18,11),-1.51826 # DEPENDENCYPART_ARC
(18,12),-1.64372 # DEPENDENCYPART_ARC
(18,13),-1.6213 # DEPENDENCYPART_ARC
(18,14),-1.54799 # DEPENDENCYPART_ARC
(18,15),-1.23918 # DEPENDENCYPART_ARC
(18,16),-1.16027 # DEPENDENCYPART_ARC
(18,17),0.77288 # DEPENDENCYPART_ARC
(18,19),1.38817 # DEPENDENCYPART_ARC
(18,20),-0.765741 # DEPENDENCYPART_ARC
(18,22),-1.32122 # DEPENDENCYPART_ARC
(18,23),-1.2503 # DEPENDENCYPART_ARC
(18,24),-1.67747 # DEPENDENCYPART_ARC
(18,26),0.00704405 # DEPENDENCYPART_ARC
(19,12),-2.30765 # DEPENDENCYPART_ARC
(19,20),0.663785 # DEPENDENCYPART_ARC
(19,22),-1.12195 # DEPENDENCYPART_ARC
(19,23),-0.866313 # DEPENDENCYPART_ARC
(19,24),-1.07119 # DEPENDENCYPART_ARC
(19,25),-1.54123 # DEPENDENCYPART_ARC
(19,26),-0.247427 # DEPENDENCYPART_ARC
(20,21),-0.0390121 # DEPENDENCYPART_ARC
(20,22),-0.805828 # DEPENDENCYPART_ARC
(20,23),-0.712699 # DEPENDENCYPART_ARC
(20,24),-1.4209 # DEPENDENCYPART_ARC
(20,25),-1.17262 # DEPENDENCYPART_ARC
(20,26),-1.22802 # DEPENDENCYPART_ARC
(22,21),-0.18823 # DEPENDENCYPART_ARC
(22,24),-1.33703 # DEPENDENCYPART_ARC
(22,25),-1.64796 # DEPENDENCYPART_ARC
(23,13),-2.34366 # DEPENDENCYPART_ARC
(23,19),-1.32857 # DEPENDENCYPART_ARC
(23,20),-1.29383 # DEPENDENCYPART_ARC
(23,21),-0.061197 # DEPENDENCYPART_ARC
(23,22),1.39358 # DEPENDENCYPART_ARC
(23,24),0.607741 # DEPENDENCYPART_ARC
(23,25),-0.94497 # DEPENDENCYPART_ARC
(23,26),-1.03017 # DEPENDENCYPART_ARC
(24,22),-1.49047 # DEPENDENCYPART_ARC
(24,25),0.699349 # DEPENDENCYPART_ARC
(25,21),-1.07598 # DEPENDENCYPART_ARC
(25,22),-1.37449 # DEPENDENCYPART_ARC
(25,23),-0.737707 # DEPENDENCYPART_ARC
(25,24),0.0210993 # DEPENDENCYPART_ARC
(25,26),-0.441375 # DEPENDENCYPART_ARC
(26,24),-1.38845 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0616181 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.064735 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.119721 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.10513 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.125877 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.123547 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0636316 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.119744 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.105135 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.125924 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.12357 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.120047 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.10404 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.124213 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.123873 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.182413 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.235563 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.22548 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.155598 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.152851 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.252492 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0145598 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00909922 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0279234 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0149301 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.025229 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0125452 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0237685 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0104958 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00237442 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0177103 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.12961 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0234595 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00653268 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00028203 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0135965 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.12676 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0340182 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0450534 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.12961 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0110892 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0473375 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0369595 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0393726 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0256111 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0443397 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0259657 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00716693 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0522749 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0324638 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0821903 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0429399 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.000298001 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.0192034 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0113987 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.000647573 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00376923 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0326159 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00761617 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0218323 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0261547 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.00750846 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0350658 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0259947 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.016119 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00605278 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0110104 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0163503 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0393133 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0430072 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0176462 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.00719064 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0159563 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00413409 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.022637 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00192774 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0227402 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0450379 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00445802 # DEPENDENCYPART_SIBL
(2,6),(2,20),-2.6898e-05 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.0144467 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0237367 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0135525 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.00497704 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0180956 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0119724 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0240429 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0101387 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.00390312 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0130229 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.00014347 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0251798 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0473082 # DEPENDENCYPART_SIBL
(2,8),(2,26),0.0267612 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0385475 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0272027 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0156345 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.00528481 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.0246723 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.0443604 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.00455767 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.00761988 # DEPENDENCYPART_SIBL
(2,15),(2,26),0.00797658 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.0429399 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.000298001 # DEPENDENCYPART_SIBL
(2,17),(2,26),0.0192034 # DEPENDENCYPART_SIBL
(2,19),(2,20),-0.00482149 # DEPENDENCYPART_SIBL
(2,19),(2,26),0.00395452 # DEPENDENCYPART_SIBL
(2,20),(2,26),0.0720609 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.129616 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.134713 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0559204 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0481798 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0899647 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0256246 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0277259 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.028829 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.168344 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0154526 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0326725 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.100362 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00393304 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0819142 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0605986 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00477209 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.064267 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0451628 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.102179 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0458812 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.205123 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0388954 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0765467 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.00874945 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0031253 # DEPENDENCYPART_SIBL
(5,1),(5,26),-0.0311348 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0662162 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0476292 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.11553 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0581725 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.212409 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0512043 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0845411 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0171404 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0469518 # DEPENDENCYPART_SIBL
(5,2),(5,26),-0.0428489 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0613891 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0145157 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0750304 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.148696 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0627474 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.175594 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0500435 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.092069 # DEPENDENCYPART_SIBL
(5,3),(5,26),0.0154695 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0287676 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00312471 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0159779 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0105398 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0198542 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0139187 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0164091 # DEPENDENCYPART_SIBL
(5,4),(5,26),0.00759632 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0159642 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00735809 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0091685 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.00428702 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0355158 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.00578355 # DEPENDENCYPART_SIBL
(5,6),(5,26),-0.0119418 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0206794 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0251847 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0175435 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.00579657 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.00132945 # DEPENDENCYPART_SIBL
(5,7),(5,26),0.000676364 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00391032 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0439818 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0184446 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0276632 # DEPENDENCYPART_SIBL
(5,8),(5,26),0.0106962 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0119528 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0259324 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.00171963 # DEPENDENCYPART_SIBL
(5,9),(5,26),0.000106915 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0106529 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0318122 # DEPENDENCYPART_SIBL
(5,12),(5,26),0.0327106 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0271558 # DEPENDENCYPART_SIBL
(5,15),(5,26),-0.000610948 # DEPENDENCYPART_SIBL
(5,17),(5,26),-0.0121455 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00166426 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.000449631 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.105424 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0069158 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.10215 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.000452016 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0307056 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00424118 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0163158 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.000807797 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0016195 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0347352 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.00121955 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.00849947 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.00173649 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0102366 # DEPENDENCYPART_SIBL
(6,2),(6,26),0.0353215 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00514642 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00172049 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0581412 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0199422 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0279646 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0400227 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0204127 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.109678 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0289524 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0178705 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00106495 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0163855 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.18262 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0226421 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.00238038 # DEPENDENCYPART_SIBL
(6,3),(6,26),0.0554509 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0257919 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0458219 # DEPENDENCYPART_SIBL
