# _root_ While Allianz officials were n't willing to comment in any detail on their plans , they said Allianz currently holds between 5 % and 10 % of Navigation Mixte , an apparent increase from the 5 % stake that Navigation Mixte officials had earlier announced .
#goldHeads=4,3,4,17,4,4,8,6,8,11,9,8,14,12,17,17,0,20,20,17,24,24,24,20,24,24,24,29,27,24,33,33,24,33,38,37,38,34,45,42,42,43,38,43,43,17,
#predictedHeads=4,3,4,17,4,4,8,6,8,11,9,11,14,12,17,17,0,20,20,17,24,24,24,20,24,24,26,29,27,24,33,33,24,33,38,37,38,34,43,42,42,43,38,45,43,17,
(29,43),-1.86824 # DEPENDENCYPART_ARC
(31,32),-0.481087 # DEPENDENCYPART_ARC
(32,29),-1.595 # DEPENDENCYPART_ARC
(32,31),-0.0308398 # DEPENDENCYPART_ARC
(32,34),-1.11537 # DEPENDENCYPART_ARC
(32,36),-1.67328 # DEPENDENCYPART_ARC
(33,25),-1.90263 # DEPENDENCYPART_ARC
(33,28),-1.39263 # DEPENDENCYPART_ARC
(33,29),-1.76136 # DEPENDENCYPART_ARC
(33,30),-1.65761 # DEPENDENCYPART_ARC
(33,31),0.301343 # DEPENDENCYPART_ARC
(33,32),1.58831 # DEPENDENCYPART_ARC
(33,34),0.445993 # DEPENDENCYPART_ARC
(33,35),-1.44508 # DEPENDENCYPART_ARC
(33,36),-1.55474 # DEPENDENCYPART_ARC
(33,37),-1.28217 # DEPENDENCYPART_ARC
(33,38),-1.49511 # DEPENDENCYPART_ARC
(33,39),-1.03715 # DEPENDENCYPART_ARC
(33,42),-1.72635 # DEPENDENCYPART_ARC
(33,43),-1.00971 # DEPENDENCYPART_ARC
(33,44),-1.61557 # DEPENDENCYPART_ARC
(33,45),-1.55545 # DEPENDENCYPART_ARC
(34,32),-1.66421 # DEPENDENCYPART_ARC
(34,33),-0.727174 # DEPENDENCYPART_ARC
(34,35),0.0437433 # DEPENDENCYPART_ARC
(34,36),-0.702287 # DEPENDENCYPART_ARC
(34,37),-0.525422 # DEPENDENCYPART_ARC
(34,38),-0.698505 # DEPENDENCYPART_ARC
(34,39),-1.3608 # DEPENDENCYPART_ARC
(34,40),-1.70554 # DEPENDENCYPART_ARC
(34,41),-1.7423 # DEPENDENCYPART_ARC
(34,42),-1.61213 # DEPENDENCYPART_ARC
(34,43),-1.50342 # DEPENDENCYPART_ARC
(34,44),-1.46465 # DEPENDENCYPART_ARC
(35,36),-0.274097 # DEPENDENCYPART_ARC
(35,37),-1.15228 # DEPENDENCYPART_ARC
(35,39),-1.41735 # DEPENDENCYPART_ARC
(35,45),-1.54657 # DEPENDENCYPART_ARC
(36,31),-1.75812 # DEPENDENCYPART_ARC
(36,35),-0.205195 # DEPENDENCYPART_ARC
(36,37),-0.24322 # DEPENDENCYPART_ARC
(37,35),-0.691374 # DEPENDENCYPART_ARC
(37,36),0.36298 # DEPENDENCYPART_ARC
(37,38),-0.31789 # DEPENDENCYPART_ARC
(37,39),-1.28545 # DEPENDENCYPART_ARC
(37,42),-1.91302 # DEPENDENCYPART_ARC
(37,43),-0.851125 # DEPENDENCYPART_ARC
(37,44),-1.60447 # DEPENDENCYPART_ARC
(38,28),-1.77616 # DEPENDENCYPART_ARC
(38,31),-1.5544 # DEPENDENCYPART_ARC
(38,32),-1.36732 # DEPENDENCYPART_ARC
(38,33),-1.13565 # DEPENDENCYPART_ARC
(38,34),-0.920279 # DEPENDENCYPART_ARC
(38,35),0.070239 # DEPENDENCYPART_ARC
(38,36),0.0816632 # DEPENDENCYPART_ARC
(38,37),1.89075 # DEPENDENCYPART_ARC
(38,39),0.221544 # DEPENDENCYPART_ARC
(38,40),-1.06606 # DEPENDENCYPART_ARC
(38,41),-1.28701 # DEPENDENCYPART_ARC
(38,42),-1.55414 # DEPENDENCYPART_ARC
(38,43),-0.935779 # DEPENDENCYPART_ARC
(38,44),-1.4322 # DEPENDENCYPART_ARC
(38,45),-1.42194 # DEPENDENCYPART_ARC
(39,38),-0.725627 # DEPENDENCYPART_ARC
(39,40),-0.686671 # DEPENDENCYPART_ARC
(39,41),-1.48586 # DEPENDENCYPART_ARC
(39,42),-1.78714 # DEPENDENCYPART_ARC
(39,44),-2.27512 # DEPENDENCYPART_ARC
(40,41),-0.41729 # DEPENDENCYPART_ARC
(41,35),-2.73494 # DEPENDENCYPART_ARC
(41,37),-1.88778 # DEPENDENCYPART_ARC
(41,40),0.17254 # DEPENDENCYPART_ARC
(42,35),-1.04641 # DEPENDENCYPART_ARC
(42,36),-0.936583 # DEPENDENCYPART_ARC
(42,37),-0.292125 # DEPENDENCYPART_ARC
(42,38),-0.613242 # DEPENDENCYPART_ARC
(42,39),-0.846658 # DEPENDENCYPART_ARC
(42,40),1.18558 # DEPENDENCYPART_ARC
(42,41),2.07648 # DEPENDENCYPART_ARC
(42,43),-0.396167 # DEPENDENCYPART_ARC
(42,44),-1.4321 # DEPENDENCYPART_ARC
(42,45),-1.65968 # DEPENDENCYPART_ARC
(43,1),-1.22834 # DEPENDENCYPART_ARC
(43,4),-3.40596 # DEPENDENCYPART_ARC
(43,9),-1.07388 # DEPENDENCYPART_ARC
(43,11),-1.45551 # DEPENDENCYPART_ARC
(43,14),-1.72548 # DEPENDENCYPART_ARC
(43,15),-2.12447 # DEPENDENCYPART_ARC
(43,18),-2.61185 # DEPENDENCYPART_ARC
(43,19),-2.09279 # DEPENDENCYPART_ARC
(43,21),-1.38046 # DEPENDENCYPART_ARC
(43,22),-1.90851 # DEPENDENCYPART_ARC
(43,24),-0.227096 # DEPENDENCYPART_ARC
(43,25),-1.92065 # DEPENDENCYPART_ARC
(43,26),-2.36036 # DEPENDENCYPART_ARC
(43,29),-2.3968 # DEPENDENCYPART_ARC
(43,30),-1.11116 # DEPENDENCYPART_ARC
(43,31),-1.63583 # DEPENDENCYPART_ARC
(43,32),-1.19109 # DEPENDENCYPART_ARC
(43,33),-0.585297 # DEPENDENCYPART_ARC
(43,34),-0.649422 # DEPENDENCYPART_ARC
(43,35),-1.63108 # DEPENDENCYPART_ARC
(43,36),-1.34318 # DEPENDENCYPART_ARC
(43,37),-1.13705 # DEPENDENCYPART_ARC
(43,38),-0.683684 # DEPENDENCYPART_ARC
(43,39),-0.00116252 # DEPENDENCYPART_ARC
(43,40),-0.653421 # DEPENDENCYPART_ARC
(43,41),-0.685843 # DEPENDENCYPART_ARC
(43,42),0.604142 # DEPENDENCYPART_ARC
(43,44),0.565878 # DEPENDENCYPART_ARC
(43,45),0.397416 # DEPENDENCYPART_ARC
(43,46),-0.547086 # DEPENDENCYPART_ARC
(44,42),-1.64595 # DEPENDENCYPART_ARC
(44,45),-0.0642826 # DEPENDENCYPART_ARC
(45,30),-2.22161 # DEPENDENCYPART_ARC
(45,33),-1.74231 # DEPENDENCYPART_ARC
(45,38),-1.64427 # DEPENDENCYPART_ARC
(45,39),-0.766853 # DEPENDENCYPART_ARC
(45,40),-1.59919 # DEPENDENCYPART_ARC
(45,41),-1.58633 # DEPENDENCYPART_ARC
(45,42),-1.30806 # DEPENDENCYPART_ARC
(45,44),0.0552622 # DEPENDENCYPART_ARC
(45,46),0.335697 # DEPENDENCYPART_ARC
(46,45),-0.0998656 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.126422 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.124913 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.135336 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.125256 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.105154 # DEPENDENCYPART_SIBL
(0,3),(0,45),-0.134635 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.227799 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.255545 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.228535 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.183323 # DEPENDENCYPART_SIBL
(0,4),(0,45),-0.224129 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.250556 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.223765 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.182152 # DEPENDENCYPART_SIBL
(0,8),(0,45),-0.219316 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.242528 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.209778 # DEPENDENCYPART_SIBL
(0,17),(0,45),-0.236747 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.182328 # DEPENDENCYPART_SIBL
(0,20),(0,45),-0.22339 # DEPENDENCYPART_SIBL
(0,24),(0,45),-0.154829 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0853918 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.030007 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0334109 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.026916 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0321478 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0306473 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0280448 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0209179 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0117349 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0222538 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0314508 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0256454 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0212385 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0251799 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0225642 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0115601 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0154734 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0376339 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0572741 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00667474 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0202294 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.026553 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0137726 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00186279 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0162785 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0492609 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0146922 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00798235 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.03704 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0529383 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0533002 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0207275 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.074577 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.092243 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0198315 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0160435 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0304824 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.073842 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.105158 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0579079 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0220897 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0759071 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.0123738 # DEPENDENCYPART_SIBL
(4,1),(4,30),-0.105158 # DEPENDENCYPART_SIBL
