# _root_ He said that even though virtually all corn seeds currently planted are hybrids , the genetic approach will obviate the need for mechanical emasculation of anthers , which costs U.S. seed producers about $ 70 million annually .
#goldHeads=2,0,18,12,12,7,9,9,12,11,9,18,12,18,17,17,18,2,18,21,19,21,24,22,24,25,24,29,24,32,32,29,34,29,34,34,29,2,
#predictedHeads=2,0,18,12,12,9,9,9,12,11,9,18,12,18,17,17,18,2,18,21,19,21,24,22,24,25,26,29,26,32,32,29,34,29,34,34,34,2,
(12,21),-1.86685 # DEPENDENCYPART_ARC
(12,22),-2.56344 # DEPENDENCYPART_ARC
(12,27),-2.4337 # DEPENDENCYPART_ARC
(12,29),-2.29765 # DEPENDENCYPART_ARC
(12,38),-0.0586604 # DEPENDENCYPART_ARC
(13,4),-1.65339 # DEPENDENCYPART_ARC
(13,6),-1.62668 # DEPENDENCYPART_ARC
(13,7),-2.17484 # DEPENDENCYPART_ARC
(13,8),-0.594467 # DEPENDENCYPART_ARC
(13,9),-0.96339 # DEPENDENCYPART_ARC
(13,10),-1.04298 # DEPENDENCYPART_ARC
(13,11),-0.663545 # DEPENDENCYPART_ARC
(13,12),0.814191 # DEPENDENCYPART_ARC
(13,14),0.0259294 # DEPENDENCYPART_ARC
(13,15),-1.69609 # DEPENDENCYPART_ARC
(13,16),-1.58325 # DEPENDENCYPART_ARC
(13,17),-1.5691 # DEPENDENCYPART_ARC
(13,18),-1.68677 # DEPENDENCYPART_ARC
(13,19),-2.09026 # DEPENDENCYPART_ARC
(13,21),-1.76373 # DEPENDENCYPART_ARC
(13,22),-1.86858 # DEPENDENCYPART_ARC
(13,24),-1.85986 # DEPENDENCYPART_ARC
(13,26),-1.80403 # DEPENDENCYPART_ARC
(13,27),-1.4434 # DEPENDENCYPART_ARC
(13,29),-1.99636 # DEPENDENCYPART_ARC
(15,14),-0.0683633 # DEPENDENCYPART_ARC
(15,16),-0.630623 # DEPENDENCYPART_ARC
(15,19),-1.4703 # DEPENDENCYPART_ARC
(16,13),-1.60158 # DEPENDENCYPART_ARC
(16,15),-0.0222999 # DEPENDENCYPART_ARC
(16,17),-0.475954 # DEPENDENCYPART_ARC
(16,18),-1.07982 # DEPENDENCYPART_ARC
(16,19),-1.17655 # DEPENDENCYPART_ARC
(17,11),-1.80429 # DEPENDENCYPART_ARC
(17,12),-1.40479 # DEPENDENCYPART_ARC
(17,13),-1.6413 # DEPENDENCYPART_ARC
(17,14),-1.52166 # DEPENDENCYPART_ARC
(17,15),0.336687 # DEPENDENCYPART_ARC
(17,16),1.4708 # DEPENDENCYPART_ARC
(17,18),-0.676877 # DEPENDENCYPART_ARC
(17,19),-1.0405 # DEPENDENCYPART_ARC
(17,21),-1.65709 # DEPENDENCYPART_ARC
(17,22),-1.48079 # DEPENDENCYPART_ARC
(17,25),-2.00987 # DEPENDENCYPART_ARC
(18,1),-2.96194 # DEPENDENCYPART_ARC
(18,2),-2.36267 # DEPENDENCYPART_ARC
(18,3),-0.351607 # DEPENDENCYPART_ARC
(18,4),-1.9034 # DEPENDENCYPART_ARC
(18,5),-1.45095 # DEPENDENCYPART_ARC
(18,6),-1.83142 # DEPENDENCYPART_ARC
(18,7),-2.13239 # DEPENDENCYPART_ARC
(18,8),-1.67334 # DEPENDENCYPART_ARC
(18,9),-1.59202 # DEPENDENCYPART_ARC
(18,10),-1.70611 # DEPENDENCYPART_ARC
(18,11),-1.32536 # DEPENDENCYPART_ARC
(18,12),-1.18757 # DEPENDENCYPART_ARC
(18,13),-1.60692 # DEPENDENCYPART_ARC
(18,14),-0.599008 # DEPENDENCYPART_ARC
(18,15),-0.997227 # DEPENDENCYPART_ARC
(18,16),-0.60352 # DEPENDENCYPART_ARC
(18,17),0.960139 # DEPENDENCYPART_ARC
(18,19),1.6327 # DEPENDENCYPART_ARC
(18,21),-1.12847 # DEPENDENCYPART_ARC
(18,22),-1.41875 # DEPENDENCYPART_ARC
(18,24),-1.58385 # DEPENDENCYPART_ARC
(18,25),-1.60569 # DEPENDENCYPART_ARC
(18,27),-1.50327 # DEPENDENCYPART_ARC
(18,29),-2.22031 # DEPENDENCYPART_ARC
(18,37),-2.05774 # DEPENDENCYPART_ARC
(18,38),-0.375347 # DEPENDENCYPART_ARC
(19,3),-2.36176 # DEPENDENCYPART_ARC
(19,14),-1.74545 # DEPENDENCYPART_ARC
(19,16),-1.63237 # DEPENDENCYPART_ARC
(19,17),-1.37775 # DEPENDENCYPART_ARC
(19,20),-0.0141239 # DEPENDENCYPART_ARC
(19,21),0.433965 # DEPENDENCYPART_ARC
(19,22),-0.606966 # DEPENDENCYPART_ARC
(19,23),-1.07856 # DEPENDENCYPART_ARC
(19,24),-0.268297 # DEPENDENCYPART_ARC
(19,25),-1.38408 # DEPENDENCYPART_ARC
(19,26),-1.15616 # DEPENDENCYPART_ARC
(19,27),-1.31984 # DEPENDENCYPART_ARC
(19,29),-1.98739 # DEPENDENCYPART_ARC
(19,32),-2.11583 # DEPENDENCYPART_ARC
(19,33),-2.50409 # DEPENDENCYPART_ARC
(19,37),-2.25221 # DEPENDENCYPART_ARC
(19,38),-0.708943 # DEPENDENCYPART_ARC
(20,22),-1.36712 # DEPENDENCYPART_ARC
(21,15),-2.38666 # DEPENDENCYPART_ARC
(21,16),-1.58163 # DEPENDENCYPART_ARC
(21,17),-1.57453 # DEPENDENCYPART_ARC
(21,20),1.2601 # DEPENDENCYPART_ARC
(21,22),0.20629 # DEPENDENCYPART_ARC
(21,23),-1.35201 # DEPENDENCYPART_ARC
(21,24),-1.3854 # DEPENDENCYPART_ARC
(21,25),-1.30378 # DEPENDENCYPART_ARC
(21,26),-1.83151 # DEPENDENCYPART_ARC
(21,27),-1.96749 # DEPENDENCYPART_ARC
(21,29),-1.64848 # DEPENDENCYPART_ARC
(21,32),-2.30776 # DEPENDENCYPART_ARC
(22,17),-1.85439 # DEPENDENCYPART_ARC
(22,20),-1.43026 # DEPENDENCYPART_ARC
(22,21),-0.592979 # DEPENDENCYPART_ARC
(22,23),-0.100329 # DEPENDENCYPART_ARC
(22,24),-0.19272 # DEPENDENCYPART_ARC
(22,25),-1.33365 # DEPENDENCYPART_ARC
(22,26),-1.19092 # DEPENDENCYPART_ARC
(22,32),-3.65993 # DEPENDENCYPART_ARC
(23,21),-1.3375 # DEPENDENCYPART_ARC
(23,22),-0.534755 # DEPENDENCYPART_ARC
(23,25),-1.29556 # DEPENDENCYPART_ARC
(23,26),-1.57727 # DEPENDENCYPART_ARC
(24,15),-2.70955 # DEPENDENCYPART_ARC
(24,16),-1.88925 # DEPENDENCYPART_ARC
(24,20),-1.33206 # DEPENDENCYPART_ARC
(24,21),-1.18029 # DEPENDENCYPART_ARC
(24,22),-1.11021 # DEPENDENCYPART_ARC
(24,23),1.3471 # DEPENDENCYPART_ARC
(24,25),0.631816 # DEPENDENCYPART_ARC
(24,26),-0.876043 # DEPENDENCYPART_ARC
(24,27),-1.23093 # DEPENDENCYPART_ARC
(24,29),-1.25532 # DEPENDENCYPART_ARC
(24,32),-1.77558 # DEPENDENCYPART_ARC
(24,33),-1.7051 # DEPENDENCYPART_ARC
(25,21),-1.53941 # DEPENDENCYPART_ARC
(25,23),-1.40105 # DEPENDENCYPART_ARC
(25,24),-0.452715 # DEPENDENCYPART_ARC
(25,26),0.721039 # DEPENDENCYPART_ARC
(25,29),-2.12243 # DEPENDENCYPART_ARC
(25,32),-3.17713 # DEPENDENCYPART_ARC
(26,23),-1.34461 # DEPENDENCYPART_ARC
(26,24),-0.742934 # DEPENDENCYPART_ARC
(26,25),-0.0576359 # DEPENDENCYPART_ARC
(26,27),0.122707 # DEPENDENCYPART_ARC
(26,29),-1.38359 # DEPENDENCYPART_ARC
(26,30),-1.63503 # DEPENDENCYPART_ARC
(26,31),-1.77856 # DEPENDENCYPART_ARC
(26,32),-1.8739 # DEPENDENCYPART_ARC
(26,33),-1.9269 # DEPENDENCYPART_ARC
(26,35),-2.46843 # DEPENDENCYPART_ARC
(26,36),-2.64347 # DEPENDENCYPART_ARC
(26,37),-2.03217 # DEPENDENCYPART_ARC
(27,25),-1.09697 # DEPENDENCYPART_ARC
(29,2),-2.35468 # DEPENDENCYPART_ARC
(29,3),-1.63403 # DEPENDENCYPART_ARC
(29,4),-2.45079 # DEPENDENCYPART_ARC
(29,22),-1.84625 # DEPENDENCYPART_ARC
(29,25),-1.75094 # DEPENDENCYPART_ARC
(29,26),-2.41118 # DEPENDENCYPART_ARC
(29,27),-1.13916 # DEPENDENCYPART_ARC
(29,28),0.298353 # DEPENDENCYPART_ARC
(29,30),0.351458 # DEPENDENCYPART_ARC
(29,31),-0.312595 # DEPENDENCYPART_ARC
(29,32),-0.296577 # DEPENDENCYPART_ARC
(29,33),-0.897608 # DEPENDENCYPART_ARC
(29,34),-1.12506 # DEPENDENCYPART_ARC
(29,37),-0.993799 # DEPENDENCYPART_ARC
(29,38),-0.203618 # DEPENDENCYPART_ARC
(30,31),-0.676965 # DEPENDENCYPART_ARC
(30,33),-1.32175 # DEPENDENCYPART_ARC
(30,34),-1.75962 # DEPENDENCYPART_ARC
(31,28),-1.92401 # DEPENDENCYPART_ARC
(31,30),0.797343 # DEPENDENCYPART_ARC
(31,32),-0.660257 # DEPENDENCYPART_ARC
(31,33),-1.40414 # DEPENDENCYPART_ARC
(31,34),-1.74573 # DEPENDENCYPART_ARC
(31,35),-2.09165 # DEPENDENCYPART_ARC
(31,37),-1.8561 # DEPENDENCYPART_ARC
(32,23),-2.08033 # DEPENDENCYPART_ARC
(32,26),-2.03058 # DEPENDENCYPART_ARC
(32,27),-1.49433 # DEPENDENCYPART_ARC
(32,29),-0.622412 # DEPENDENCYPART_ARC
(32,30),1.06345 # DEPENDENCYPART_ARC
(32,31),1.99972 # DEPENDENCYPART_ARC
(32,33),0.0661034 # DEPENDENCYPART_ARC
(32,34),-1.32006 # DEPENDENCYPART_ARC
(32,35),-1.55878 # DEPENDENCYPART_ARC
(32,36),-1.76836 # DEPENDENCYPART_ARC
(32,37),-1.54993 # DEPENDENCYPART_ARC
(33,28),-1.93316 # DEPENDENCYPART_ARC
(33,32),-0.504476 # DEPENDENCYPART_ARC
(33,34),-0.472753 # DEPENDENCYPART_ARC
(33,35),-0.876318 # DEPENDENCYPART_ARC
(33,36),-1.47716 # DEPENDENCYPART_ARC
(33,37),-1.505 # DEPENDENCYPART_ARC
(34,31),-1.03405 # DEPENDENCYPART_ARC
(34,33),0.446621 # DEPENDENCYPART_ARC
(34,35),0.808227 # DEPENDENCYPART_ARC
(34,36),-0.123165 # DEPENDENCYPART_ARC
(34,37),-0.899391 # DEPENDENCYPART_ARC
(35,31),-1.71927 # DEPENDENCYPART_ARC
(35,33),-1.58076 # DEPENDENCYPART_ARC
(35,34),-0.569379 # DEPENDENCYPART_ARC
(35,36),-0.572792 # DEPENDENCYPART_ARC
(35,37),-0.910609 # DEPENDENCYPART_ARC
(36,31),-1.2998 # DEPENDENCYPART_ARC
(36,34),-1.03007 # DEPENDENCYPART_ARC
(36,35),0.583624 # DEPENDENCYPART_ARC
(36,37),-0.152901 # DEPENDENCYPART_ARC
(37,17),-1.91641 # DEPENDENCYPART_ARC
(37,21),-1.87396 # DEPENDENCYPART_ARC
(37,26),-1.91632 # DEPENDENCYPART_ARC
(37,30),-1.38139 # DEPENDENCYPART_ARC
(37,31),-1.42093 # DEPENDENCYPART_ARC
(37,32),-1.46452 # DEPENDENCYPART_ARC
(37,33),-1.28349 # DEPENDENCYPART_ARC
(37,34),-1.1712 # DEPENDENCYPART_ARC
(0,2),(0,11),-0.240174 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.24467 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.138128 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.229788 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.116131 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.122976 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.123549 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.102914 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.101599 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.123739 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.141488 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.130155 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0952759 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.127596 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.132391 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0603952 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.000999105 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.127589 # DEPENDENCYPART_SIBL
(2,1),(2,29),-0.147134 # DEPENDENCYPART_SIBL
(2,1),(2,38),0.0475975 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.047516 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0826187 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0204841 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0123208 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0257803 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0415987 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0655118 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0668952 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0684805 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0307259 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0655118 # DEPENDENCYPART_SIBL
(2,3),(2,29),-0.0761604 # DEPENDENCYPART_SIBL
(2,3),(2,38),-0.0374762 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0638884 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.034841 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00891411 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0226074 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0416611 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0145494 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0392934 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0535127 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0131166 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0145494 # DEPENDENCYPART_SIBL
(2,4),(2,29),-0.0222788 # DEPENDENCYPART_SIBL
(2,4),(2,38),-0.0301388 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0263749 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0318966 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0342273 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00526023 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0133755 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0129082 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.023188 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0165992 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0133755 # DEPENDENCYPART_SIBL
(2,5),(2,29),0.00272782 # DEPENDENCYPART_SIBL
(2,5),(2,38),0.0122556 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00579829 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0304898 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0293088 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0238575 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0398087 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0411474 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.000657232 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0238575 # DEPENDENCYPART_SIBL
(2,6),(2,29),-0.0315869 # DEPENDENCYPART_SIBL
(2,6),(2,38),-0.0268631 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0225024 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0353983 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0336783 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0402825 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0507972 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0191449 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0336783 # DEPENDENCYPART_SIBL
(2,7),(2,29),-0.0405596 # DEPENDENCYPART_SIBL
(2,7),(2,38),0.0039742 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0476788 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0720588 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0521064 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0386194 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0634138 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0720588 # DEPENDENCYPART_SIBL
(2,9),(2,29),-0.0796831 # DEPENDENCYPART_SIBL
(2,9),(2,38),-0.0459808 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0105415 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.00582706 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0195309 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0250514 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0105415 # DEPENDENCYPART_SIBL
(2,10),(2,29),0.002812 # DEPENDENCYPART_SIBL
(2,10),(2,38),0.024365 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0880968 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0419622 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0740951 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0921253 # DEPENDENCYPART_SIBL
(2,11),(2,29),-0.101024 # DEPENDENCYPART_SIBL
(2,11),(2,38),-0.00102697 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.024221 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0985844 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.114273 # DEPENDENCYPART_SIBL
(2,12),(2,29),-0.123171 # DEPENDENCYPART_SIBL
(2,12),(2,38),0.00881175 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.00116525 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.00237428 # DEPENDENCYPART_SIBL
(2,14),(2,29),-0.0182845 # DEPENDENCYPART_SIBL
(2,14),(2,38),-0.0252113 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0426743 # DEPENDENCYPART_SIBL
(2,18),(2,29),-0.0495563 # DEPENDENCYPART_SIBL
(2,18),(2,38),-0.00631236 # DEPENDENCYPART_SIBL
(2,19),(2,29),-0.100141 # DEPENDENCYPART_SIBL
(2,19),(2,38),0.000472435 # DEPENDENCYPART_SIBL
(2,29),(2,38),-0.00568663 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0322925 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0880927 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0295567 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0346248 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0334754 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0356467 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.135005 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0337712 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0301399 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0128357 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0132518 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0365111 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0137592 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0126479 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0496033 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0506891 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0600437 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.136555 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0507617 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0683615 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0263312 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0114329 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0675757 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0257491 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.011383 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0675606 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.124178 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0444445 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0242827 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.023191 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0685516 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0137672 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.154272 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.155376 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0574773 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.15508 # DEPENDENCYPART_SIBL
