# _root_ The company , however , said orders in the U.S. showed `` good gains '' during the latest quarter .
#goldHeads=2,6,6,6,6,0,11,7,10,8,6,11,14,11,11,11,19,19,16,6,
#predictedHeads=2,6,6,6,6,0,11,7,10,8,6,14,14,11,14,11,19,19,16,6,
(2,1),(2,3),0.0152066 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.309369 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0152066 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0352847 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.144652 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.244859 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.118219 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.112757 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.10724 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.110918 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0745076 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.351872 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.130533 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.444698 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0741985 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.335918 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.728462 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.246117 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.728973 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.495114 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.351839 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.663467 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.428941 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.346084 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.76277 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.204326 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0418319 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.160853 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.228895 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0872806 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.032841 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0220625 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0988286 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0313592 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.235291 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0597562 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.335918 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.728462 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.246117 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.728973 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.495114 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.351839 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.663467 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.428941 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.346084 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.76277 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0485875 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.129243 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0506025 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.263775 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0213427 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0113432 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.119971 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0636869 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00449245 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.163659 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.069143 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.132996 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.071565 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.265281 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0177515 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0998799 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.123786 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0746723 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0101191 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.124564 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.105886 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0666494 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.290918 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0690336 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0662791 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0644561 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0908688 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.00626771 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0120058 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.114629 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.007177 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.00866384 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.090076 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0648905 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0052381 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.239917 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.373956 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.171869 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.175732 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.001489 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0534872 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.115205 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.341884 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.269992 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.00560996 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0139539 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0509493 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.216847 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0627308 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0215694 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.04908 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0621848 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0287514 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.00672982 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.644021 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.184083 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0137105 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0265705 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00951644 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0142799 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0260385 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.2168 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.234323 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.155086 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.372798 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.300341 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.137056 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0514909 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0812737 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.305633 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.177034 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0271595 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.20132 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0871161 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0986366 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.133189 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0208741 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0796013 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.073161 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.163905 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0486557 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.292433 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.419458 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.301792 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0421591 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.532873 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0220595 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0211688 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.362801 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.138937 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.362801 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.182993 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0220022 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.180366 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.190456 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.147152 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0154562 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.173413 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0571732 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0202555 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0541562 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.706616 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.324472 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.11056 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0239132 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.094654 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0144763 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0901005 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0219462 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.111673 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.017487 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.1049 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.01006 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.492075 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0421173 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0982839 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.000672836 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0932565 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.143217 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.131866 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.055356 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.101968 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0777153 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.261943 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.11056 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0239132 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.094654 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0144763 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0901005 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0219462 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.111673 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.017487 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.1049 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.01006 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0191057 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.122143 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.188758 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.378951 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0498175 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.442628 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.00144504 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0370737 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.331402 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.116742 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0615672 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.183001 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.357335 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0571663 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0938815 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.372811 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.00363171 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.236718 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.320738 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.107321 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.183526 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.184425 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0877011 # DEPENDENCYPART_SIBL
(6,9),(6,20),-0.323275 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.412835 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0644448 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.288845 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.153583 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0115819 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.116716 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0252847 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.256995 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0145657 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0961631 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.0369045 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0078653 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0739707 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.00213285 # DEPENDENCYPART_SIBL
(6,12),(6,20),-0.0043514 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0457435 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0434374 # DEPENDENCYPART_SIBL
(6,14),(6,20),-0.286165 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.409297 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.116861 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.0632296 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0123407 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.104845 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0123407 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0623334 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.189359 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.241474 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0901811 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0619533 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.179818 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0786789 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.178144 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.324618 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.119386 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.116622 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.365213 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.299033 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.000305425 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0759169 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0847517 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00109503 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.030569 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0746033 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0371939 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0729633 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0954699 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0486098 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.044978 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.169534 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.00984942 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0514704 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.102665 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.00305138 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0881132 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0545878 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.00697237 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.111663 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0817356 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0555824 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.00853826 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.000305425 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0759169 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0847517 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.00109503 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.030569 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0746033 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0371939 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0729633 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0954699 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.0486098 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.044978 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0890065 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0756535 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0527147 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0682869 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0496778 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0455069 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0719436 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0842047 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0273419 # DEPENDENCYPART_SIBL
