# _root_ `` I find myself in an adversary relationship with Laurel Bank , and I am not inclined to extend myself as far as any favors are concerned , '' the judge wrote back in a letter attached to the grand jury 's report .
#goldHeads=32,3,13,3,3,8,8,5,8,11,9,13,32,15,13,15,15,19,17,19,19,21,26,25,26,21,26,32,32,31,32,0,32,32,36,34,36,37,41,41,43,41,38,32,
#predictedHeads=32,3,13,3,3,8,8,5,8,11,9,13,32,15,13,15,15,19,17,19,19,21,26,25,26,21,26,32,32,31,32,0,32,32,36,34,36,37,41,41,43,41,38,32,
(16,19),-0.936466 # DEPENDENCYPART_ARC
(16,25),-1.5619 # DEPENDENCYPART_ARC
(16,32),-1.59004 # DEPENDENCYPART_ARC
(17,8),-1.79191 # DEPENDENCYPART_ARC
(17,14),-1.28022 # DEPENDENCYPART_ARC
(17,16),0.4493 # DEPENDENCYPART_ARC
(17,18),0.0760851 # DEPENDENCYPART_ARC
(17,19),-0.564176 # DEPENDENCYPART_ARC
(17,21),-1.28179 # DEPENDENCYPART_ARC
(17,22),-1.37835 # DEPENDENCYPART_ARC
(17,23),-1.10635 # DEPENDENCYPART_ARC
(17,26),-1.27408 # DEPENDENCYPART_ARC
(17,28),-1.14481 # DEPENDENCYPART_ARC
(17,29),-1.25975 # DEPENDENCYPART_ARC
(17,31),-1.98262 # DEPENDENCYPART_ARC
(17,32),-1.75062 # DEPENDENCYPART_ARC
(18,16),-0.932762 # DEPENDENCYPART_ARC
(18,17),-0.140872 # DEPENDENCYPART_ARC
(18,19),-0.362213 # DEPENDENCYPART_ARC
(18,25),-2.27034 # DEPENDENCYPART_ARC
(18,38),-2.11575 # DEPENDENCYPART_ARC
(19,5),-1.79313 # DEPENDENCYPART_ARC
(19,9),-1.5633 # DEPENDENCYPART_ARC
(19,11),-2.34592 # DEPENDENCYPART_ARC
(19,12),-2.01442 # DEPENDENCYPART_ARC
(19,13),-1.03987 # DEPENDENCYPART_ARC
(19,14),-1.60186 # DEPENDENCYPART_ARC
(19,15),-1.38411 # DEPENDENCYPART_ARC
(19,16),-1.03498 # DEPENDENCYPART_ARC
(19,17),-0.951453 # DEPENDENCYPART_ARC
(19,18),1.13308 # DEPENDENCYPART_ARC
(19,20),0.465747 # DEPENDENCYPART_ARC
(19,21),-0.200763 # DEPENDENCYPART_ARC
(19,22),-0.567821 # DEPENDENCYPART_ARC
(19,23),-1.00535 # DEPENDENCYPART_ARC
(19,24),-1.02529 # DEPENDENCYPART_ARC
(19,25),-0.872663 # DEPENDENCYPART_ARC
(19,26),-0.787401 # DEPENDENCYPART_ARC
(19,27),-1.04242 # DEPENDENCYPART_ARC
(19,28),-1.25458 # DEPENDENCYPART_ARC
(19,29),-0.880481 # DEPENDENCYPART_ARC
(19,31),-2.19427 # DEPENDENCYPART_ARC
(19,32),-1.95716 # DEPENDENCYPART_ARC
(19,33),-1.96504 # DEPENDENCYPART_ARC
(19,34),-2.53211 # DEPENDENCYPART_ARC
(19,44),-1.7504 # DEPENDENCYPART_ARC
(20,21),-0.0791309 # DEPENDENCYPART_ARC
(20,23),-0.971663 # DEPENDENCYPART_ARC
(21,11),-2.00571 # DEPENDENCYPART_ARC
(21,13),-1.45599 # DEPENDENCYPART_ARC
(21,17),-1.65197 # DEPENDENCYPART_ARC
(21,18),-1.39612 # DEPENDENCYPART_ARC
(21,19),-1.21358 # DEPENDENCYPART_ARC
(21,20),-0.321662 # DEPENDENCYPART_ARC
(21,22),0.784494 # DEPENDENCYPART_ARC
(21,23),-0.293809 # DEPENDENCYPART_ARC
(21,25),-0.772803 # DEPENDENCYPART_ARC
(21,26),-0.770555 # DEPENDENCYPART_ARC
(21,28),-0.896136 # DEPENDENCYPART_ARC
(21,32),-1.39922 # DEPENDENCYPART_ARC
(22,17),-1.5374 # DEPENDENCYPART_ARC
(22,18),-1.29424 # DEPENDENCYPART_ARC
(22,19),-1.01441 # DEPENDENCYPART_ARC
(22,20),-1.07345 # DEPENDENCYPART_ARC
(22,21),-0.0975701 # DEPENDENCYPART_ARC
(22,23),-0.0484365 # DEPENDENCYPART_ARC
(22,24),-0.86857 # DEPENDENCYPART_ARC
(22,25),-1.1373 # DEPENDENCYPART_ARC
(22,26),-1.01411 # DEPENDENCYPART_ARC
(23,18),-1.30403 # DEPENDENCYPART_ARC
(23,21),-0.715851 # DEPENDENCYPART_ARC
(23,22),0.285332 # DEPENDENCYPART_ARC
(23,24),-0.0223807 # DEPENDENCYPART_ARC
(23,25),-0.239352 # DEPENDENCYPART_ARC
(23,33),-1.80218 # DEPENDENCYPART_ARC
(24,27),-1.38078 # DEPENDENCYPART_ARC
(25,22),-1.26226 # DEPENDENCYPART_ARC
(25,23),-0.867829 # DEPENDENCYPART_ARC
(25,24),1.10582 # DEPENDENCYPART_ARC
(25,26),-0.176842 # DEPENDENCYPART_ARC
(25,27),-1.03538 # DEPENDENCYPART_ARC
(25,31),-1.66046 # DEPENDENCYPART_ARC
(26,5),-2.13873 # DEPENDENCYPART_ARC
(26,8),-1.78159 # DEPENDENCYPART_ARC
(26,12),-1.87869 # DEPENDENCYPART_ARC
(26,13),-0.657588 # DEPENDENCYPART_ARC
(26,15),-1.46602 # DEPENDENCYPART_ARC
(26,16),-0.964627 # DEPENDENCYPART_ARC
(26,17),-1.23471 # DEPENDENCYPART_ARC
(26,18),-1.18841 # DEPENDENCYPART_ARC
(26,19),-1.33049 # DEPENDENCYPART_ARC
(26,20),-1.05883 # DEPENDENCYPART_ARC
(26,21),-0.799226 # DEPENDENCYPART_ARC
(26,22),-0.785215 # DEPENDENCYPART_ARC
(26,23),-0.0328496 # DEPENDENCYPART_ARC
(26,24),-0.555036 # DEPENDENCYPART_ARC
(26,25),0.966284 # DEPENDENCYPART_ARC
(26,27),1.2955 # DEPENDENCYPART_ARC
(26,28),-0.934497 # DEPENDENCYPART_ARC
(26,29),-1.31724 # DEPENDENCYPART_ARC
(26,31),-2.08007 # DEPENDENCYPART_ARC
(26,32),-2.11129 # DEPENDENCYPART_ARC
(26,33),-1.88707 # DEPENDENCYPART_ARC
(26,34),-2.26458 # DEPENDENCYPART_ARC
(26,37),-2.24931 # DEPENDENCYPART_ARC
(26,44),-1.18501 # DEPENDENCYPART_ARC
(27,21),-1.72054 # DEPENDENCYPART_ARC
(27,22),-1.71482 # DEPENDENCYPART_ARC
(27,23),-1.04151 # DEPENDENCYPART_ARC
(27,24),-1.49294 # DEPENDENCYPART_ARC
(27,25),-1.06379 # DEPENDENCYPART_ARC
(27,28),0.0733492 # DEPENDENCYPART_ARC
(27,29),-1.32496 # DEPENDENCYPART_ARC
(27,31),-1.75732 # DEPENDENCYPART_ARC
(27,32),-1.96715 # DEPENDENCYPART_ARC
(27,33),-2.07118 # DEPENDENCYPART_ARC
(27,34),-2.19116 # DEPENDENCYPART_ARC
(27,37),-2.38003 # DEPENDENCYPART_ARC
(27,38),-2.13312 # DEPENDENCYPART_ARC
(27,44),-2.10908 # DEPENDENCYPART_ARC
(30,34),-1.44173 # DEPENDENCYPART_ARC
(30,37),-1.58746 # DEPENDENCYPART_ARC
(31,24),-2.41017 # DEPENDENCYPART_ARC
(31,27),-1.76546 # DEPENDENCYPART_ARC
(31,29),-0.826936 # DEPENDENCYPART_ARC
(31,30),1.22933 # DEPENDENCYPART_ARC
(31,32),-0.215383 # DEPENDENCYPART_ARC
(31,33),-1.16603 # DEPENDENCYPART_ARC
(31,34),-1.16488 # DEPENDENCYPART_ARC
(31,36),-1.53012 # DEPENDENCYPART_ARC
(31,37),-1.67609 # DEPENDENCYPART_ARC
(31,38),-1.33915 # DEPENDENCYPART_ARC
(32,1),0.224641 # DEPENDENCYPART_ARC
(32,3),-1.57249 # DEPENDENCYPART_ARC
(32,5),-1.75767 # DEPENDENCYPART_ARC
(32,8),-1.51139 # DEPENDENCYPART_ARC
(32,9),-1.80521 # DEPENDENCYPART_ARC
(32,11),-2.01079 # DEPENDENCYPART_ARC
(32,12),-3.00927 # DEPENDENCYPART_ARC
(32,13),-1.37716 # DEPENDENCYPART_ARC
(32,14),-2.57434 # DEPENDENCYPART_ARC
(32,15),-1.4127 # DEPENDENCYPART_ARC
(32,16),-1.86901 # DEPENDENCYPART_ARC
(32,17),-1.79184 # DEPENDENCYPART_ARC
(32,18),-2.20684 # DEPENDENCYPART_ARC
(32,19),-1.36783 # DEPENDENCYPART_ARC
(32,20),-2.21543 # DEPENDENCYPART_ARC
(32,21),-2.00364 # DEPENDENCYPART_ARC
(32,22),-1.70842 # DEPENDENCYPART_ARC
(32,23),-1.32873 # DEPENDENCYPART_ARC
(32,24),-1.90094 # DEPENDENCYPART_ARC
(32,25),-2.05722 # DEPENDENCYPART_ARC
(32,26),-1.39021 # DEPENDENCYPART_ARC
(32,27),-1.14502 # DEPENDENCYPART_ARC
(32,28),-0.821735 # DEPENDENCYPART_ARC
(32,29),-0.564339 # DEPENDENCYPART_ARC
(32,30),-0.550993 # DEPENDENCYPART_ARC
(32,31),0.574185 # DEPENDENCYPART_ARC
(32,33),0.933266 # DEPENDENCYPART_ARC
(32,34),0.132384 # DEPENDENCYPART_ARC
(32,36),-0.550357 # DEPENDENCYPART_ARC
(32,37),-0.466005 # DEPENDENCYPART_ARC
(32,38),-0.773446 # DEPENDENCYPART_ARC
(32,40),-1.2176 # DEPENDENCYPART_ARC
(32,41),-1.1162 # DEPENDENCYPART_ARC
(32,43),-1.03252 # DEPENDENCYPART_ARC
(32,44),0.376244 # DEPENDENCYPART_ARC
(33,31),-1.36097 # DEPENDENCYPART_ARC
(33,34),0.0843666 # DEPENDENCYPART_ARC
(33,35),-0.764097 # DEPENDENCYPART_ARC
(33,36),-1.02599 # DEPENDENCYPART_ARC
(33,38),-1.02066 # DEPENDENCYPART_ARC
(34,31),-1.40974 # DEPENDENCYPART_ARC
(34,33),-0.0326125 # DEPENDENCYPART_ARC
(34,35),0.275309 # DEPENDENCYPART_ARC
(34,36),0.201021 # DEPENDENCYPART_ARC
(34,38),-1.22816 # DEPENDENCYPART_ARC
(34,40),-1.03895 # DEPENDENCYPART_ARC
(34,41),-1.97444 # DEPENDENCYPART_ARC
(34,43),-1.88639 # DEPENDENCYPART_ARC
(35,37),-1.08661 # DEPENDENCYPART_ARC
(36,33),-1.38774 # DEPENDENCYPART_ARC
(36,34),-0.944644 # DEPENDENCYPART_ARC
(36,35),1.11758 # DEPENDENCYPART_ARC
(36,37),0.177482 # DEPENDENCYPART_ARC
(36,38),-0.851664 # DEPENDENCYPART_ARC
(36,40),-1.2816 # DEPENDENCYPART_ARC
(36,41),-1.21064 # DEPENDENCYPART_ARC
(36,43),-1.50244 # DEPENDENCYPART_ARC
(37,28),-2.01805 # DEPENDENCYPART_ARC
(37,31),-1.48843 # DEPENDENCYPART_ARC
(37,33),-1.48173 # DEPENDENCYPART_ARC
(37,34),-0.917453 # DEPENDENCYPART_ARC
(37,35),-1.29381 # DEPENDENCYPART_ARC
(37,36),0.0537078 # DEPENDENCYPART_ARC
(37,38),0.157328 # DEPENDENCYPART_ARC
(37,39),-1.22949 # DEPENDENCYPART_ARC
(37,40),-1.46241 # DEPENDENCYPART_ARC
(37,41),-1.04629 # DEPENDENCYPART_ARC
(37,43),-1.18116 # DEPENDENCYPART_ARC
(37,44),-0.45327 # DEPENDENCYPART_ARC
(38,39),0.212565 # DEPENDENCYPART_ARC
(38,40),-0.523376 # DEPENDENCYPART_ARC
(38,41),-0.585295 # DEPENDENCYPART_ARC
(38,43),-0.821242 # DEPENDENCYPART_ARC
(38,44),-0.627115 # DEPENDENCYPART_ARC
(39,40),-0.416969 # DEPENDENCYPART_ARC
(40,31),-1.545 # DEPENDENCYPART_ARC
(40,36),-1.4749 # DEPENDENCYPART_ARC
(40,38),-1.28457 # DEPENDENCYPART_ARC
(40,39),-0.10299 # DEPENDENCYPART_ARC
(40,43),-1.47309 # DEPENDENCYPART_ARC
(41,35),-1.72268 # DEPENDENCYPART_ARC
(41,36),-1.38864 # DEPENDENCYPART_ARC
(41,37),-1.03072 # DEPENDENCYPART_ARC
(41,38),-1.15555 # DEPENDENCYPART_ARC
(41,39),0.394227 # DEPENDENCYPART_ARC
(41,40),1.54509 # DEPENDENCYPART_ARC
(41,42),0.94575 # DEPENDENCYPART_ARC
(41,43),-1.00551 # DEPENDENCYPART_ARC
(43,35),-2.12767 # DEPENDENCYPART_ARC
(43,36),-1.84683 # DEPENDENCYPART_ARC
(43,37),-1.36394 # DEPENDENCYPART_ARC
(43,39),-0.882759 # DEPENDENCYPART_ARC
(43,40),-0.646336 # DEPENDENCYPART_ARC
(43,41),0.291077 # DEPENDENCYPART_ARC
(43,42),0.0710915 # DEPENDENCYPART_ARC
(43,44),-0.347996 # DEPENDENCYPART_ARC
(44,43),-0.341271 # DEPENDENCYPART_ARC
(0,3),(0,13),-0.131797 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.165412 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.163848 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.164406 # DEPENDENCYPART_SIBL
(0,3),(0,32),-0.164842 # DEPENDENCYPART_SIBL
(0,3),(0,37),-0.164329 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.135483 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.132401 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.132251 # DEPENDENCYPART_SIBL
(0,13),(0,32),-0.132259 # DEPENDENCYPART_SIBL
(0,13),(0,37),-0.132259 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.163837 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.164395 # DEPENDENCYPART_SIBL
(0,15),(0,32),-0.164831 # DEPENDENCYPART_SIBL
(0,15),(0,37),-0.164318 # DEPENDENCYPART_SIBL
(0,26),(0,27),-0.177279 # DEPENDENCYPART_SIBL
(0,26),(0,32),-0.177714 # DEPENDENCYPART_SIBL
(0,26),(0,37),-0.177201 # DEPENDENCYPART_SIBL
(0,27),(0,32),-0.164931 # DEPENDENCYPART_SIBL
(0,27),(0,37),-0.164417 # DEPENDENCYPART_SIBL
(0,32),(0,37),-0.164999 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0658584 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0372729 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0534854 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0585225 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.039429 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00579481 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00681681 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0519053 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0554206 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00802304 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0306187 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0627862 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.00475519 # DEPENDENCYPART_SIBL
(3,1),(3,26),-0.0477842 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.0554206 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.450005 # DEPENDENCYPART_SIBL
(3,1),(3,44),0.0439804 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.128316 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0151676 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0600297 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0747453 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0756717 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.111979 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0217462 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0316121 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.000134741 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0487499 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.000865121 # DEPENDENCYPART_SIBL
(3,2),(3,26),-0.00259219 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.0217462 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.0224807 # DEPENDENCYPART_SIBL
(3,2),(3,44),0.0766043 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0433392 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0164154 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0265509 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0271165 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00737111 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0103592 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00541342 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0193513 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0481359 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0339743 # DEPENDENCYPART_SIBL
(3,4),(3,26),-0.0493993 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.0103592 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.0676223 # DEPENDENCYPART_SIBL
(3,4),(3,44),-0.0421234 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0188996 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00864936 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00808374 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0102161 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0133089 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0253429 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0191188 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0413453 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0282923 # DEPENDENCYPART_SIBL
(3,5),(3,26),-0.0350483 # DEPENDENCYPART_SIBL
(3,5),(3,28),0.0133089 # DEPENDENCYPART_SIBL
(3,5),(3,29),-0.0662301 # DEPENDENCYPART_SIBL
(3,5),(3,44),-0.00954933 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0399547 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0405204 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0196854 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0453529 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0368512 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0310764 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0352553 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0457187 # DEPENDENCYPART_SIBL
(3,6),(3,26),-0.054813 # DEPENDENCYPART_SIBL
(3,6),(3,28),-0.0453529 # DEPENDENCYPART_SIBL
(3,6),(3,29),-0.0155408 # DEPENDENCYPART_SIBL
(3,6),(3,44),-0.00651427 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0450261 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0300433 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0093755 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0466668 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0304005 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0471535 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0483017 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.0359246 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.0093755 # DEPENDENCYPART_SIBL
(3,7),(3,29),-0.0366846 # DEPENDENCYPART_SIBL
(3,7),(3,44),-0.0187683 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0104149 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.01461 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.043737 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0188226 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0375741 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0367238 # DEPENDENCYPART_SIBL
(3,8),(3,26),-0.0243467 # DEPENDENCYPART_SIBL
(3,8),(3,28),-0.01461 # DEPENDENCYPART_SIBL
(3,8),(3,29),-0.0221014 # DEPENDENCYPART_SIBL
(3,8),(3,44),-0.0116348 # DEPENDENCYPART_SIBL
