# _root_ Many investors , trying to outperform the market 's major indexes , have flocked to these small issues in recent weeks .
#goldHeads=2,13,2,2,4,5,8,11,8,11,6,13,0,13,14,18,18,15,14,21,19,13,
#predictedHeads=2,13,2,2,4,5,8,11,8,11,6,2,0,13,14,18,18,15,14,21,19,13,
(15,17),-0.657977 # DEPENDENCYPART_ARC
(15,18),0.236302 # DEPENDENCYPART_ARC
(15,19),-1.16364 # DEPENDENCYPART_ARC
(15,20),-1.72792 # DEPENDENCYPART_ARC
(15,21),-0.745549 # DEPENDENCYPART_ARC
(15,22),-2.16315 # DEPENDENCYPART_ARC
(16,17),-1.36878 # DEPENDENCYPART_ARC
(16,19),-1.51111 # DEPENDENCYPART_ARC
(17,16),-0.621903 # DEPENDENCYPART_ARC
(17,19),-1.94065 # DEPENDENCYPART_ARC
(18,4),-2.48612 # DEPENDENCYPART_ARC
(18,8),-1.05988 # DEPENDENCYPART_ARC
(18,10),-1.33886 # DEPENDENCYPART_ARC
(18,11),-2.02546 # DEPENDENCYPART_ARC
(18,14),-0.920027 # DEPENDENCYPART_ARC
(18,15),-1.47091 # DEPENDENCYPART_ARC
(18,16),1.44483 # DEPENDENCYPART_ARC
(18,17),1.91576 # DEPENDENCYPART_ARC
(18,19),0.118364 # DEPENDENCYPART_ARC
(18,20),-1.05029 # DEPENDENCYPART_ARC
(18,21),-1.09771 # DEPENDENCYPART_ARC
(18,22),-1.96535 # DEPENDENCYPART_ARC
(19,16),-2.29575 # DEPENDENCYPART_ARC
(19,18),-1.62197 # DEPENDENCYPART_ARC
(19,20),-0.46205 # DEPENDENCYPART_ARC
(19,21),1.67177 # DEPENDENCYPART_ARC
(19,22),-2.61203 # DEPENDENCYPART_ARC
(21,8),-2.23687 # DEPENDENCYPART_ARC
(21,16),-1.01856 # DEPENDENCYPART_ARC
(21,17),-1.04754 # DEPENDENCYPART_ARC
(21,18),-1.39789 # DEPENDENCYPART_ARC
(21,20),1.15947 # DEPENDENCYPART_ARC
(21,22),-1.76256 # DEPENDENCYPART_ARC
(0,2),(0,13),-0.397117 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.110363 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.46307 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.491546 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.137898 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0572492 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.192395 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.123408 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.134594 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.120346 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0384098 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.117658 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.192395 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0940834 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0655736 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.108858 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.157095 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0257191 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.517055 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.17048 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.609745 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0315307 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.739684 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.108167 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.546002 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.440797 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.721987 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.203572 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.00569634 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.026646 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0580743 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0897465 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0261054 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.114491 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0545459 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0805351 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.023837 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0117725 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.056111 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0987416 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.114888 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.159583 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0155956 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.063897 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0423873 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.158689 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.115301 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.146483 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.130922 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.113005 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0352333 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0742104 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0398259 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.110261 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.062578 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.00285981 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.14694 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.231057 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.171307 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.131022 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.14418 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.051291 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.199601 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0030304 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0630547 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0394624 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.195598 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0548526 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.0104044 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.546002 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.440797 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.721987 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.203572 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.00569634 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0420556 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0666774 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.00164447 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.0286818 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.00670997 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0895923 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.00179874 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0657721 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.00587908 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.00490443 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00994328 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0770397 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.142651 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0063352 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0588957 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00605762 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0155802 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0141798 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0503017 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0695738 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00680944 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0063352 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0230561 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0323199 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.188252 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0313913 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0082586 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0030702 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0277536 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0256484 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0209907 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.000259971 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0133072 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0313913 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0205668 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0218028 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0059144 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0495003 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0583842 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.220127 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0140433 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0570417 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0459068 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.000911981 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0059144 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0138242 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0192092 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.160524 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.269588 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.198739 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.270218 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0105678 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.199465 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0829076 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.354927 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.27855 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.00895279 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.215204 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0430322 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.16538 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0218593 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0899734 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0910543 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0252535 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.170104 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0164945 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.064304 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.337453 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0157089 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.100324 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.00999272 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0620835 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.342152 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.123722 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.225648 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.198508 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.101809 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0502751 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0687307 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.230327 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0581846 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0370233 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0650941 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0299168 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0853902 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.327856 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0729598 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.182372 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.311578 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0916436 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.058329 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.139919 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.083872 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0649515 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.156512 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0434915 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.232375 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.312035 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.23505 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.27855 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.00895279 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.0903451 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.30023 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0251333 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.195907 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0210818 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.000915136 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0278514 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0205 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.183308 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0104802 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0299659 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.178428 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.110337 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.300279 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0363897 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0505952 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0771578 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0497199 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.106137 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.727929 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.1477 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.687789 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.154962 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.275504 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.791734 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0603132 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.37424 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0831703 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0212232 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.000584493 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0618703 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0220721 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.000403483 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00850176 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.032241 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0113202 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.106775 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0190812 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.024672 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0057031 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0699471 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0359425 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.172813 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0797301 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0928694 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.173194 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0555829 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0875919 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0100386 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0319538 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0260158 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0385347 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0509966 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0692102 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0963127 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.17286 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.214723 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.128802 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0698062 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.166177 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0515257 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.134228 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0928402 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0992073 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.170103 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.160335 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.164532 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.161698 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0657926 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0117258 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.355607 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0612102 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0926784 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0151421 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.00882969 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.358403 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.0491305 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.357597 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.0401109 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0148284 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.226554 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.12493 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0721158 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0310891 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.109618 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.229333 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.0784293 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.232308 # DEPENDENCYPART_SIBL
(6,9),(6,22),-0.0774799 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.206679 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.00362056 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0778562 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0668612 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0620368 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.212085 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.0158399 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.214425 # DEPENDENCYPART_SIBL
(6,10),(6,22),-0.0323281 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0173481 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0546091 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0458749 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0352392 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.41862 # DEPENDENCYPART_SIBL
