# _root_ Among active stocks , MCI Communications rose 7\/8 to 43 on 2.2 million shares , Mentor Graphics added 1\/8 to 16 3\/8 on turnover of 1.5 million shares .
#goldHeads=7,3,1,7,6,7,0,7,7,9,7,14,14,11,7,17,18,7,18,18,22,20,18,23,24,27,28,25,7,
#predictedHeads=7,3,1,7,6,7,18,7,7,9,7,13,14,11,18,17,18,0,18,18,22,20,18,23,24,27,28,25,18,
(24,19),-1.83995 # DEPENDENCYPART_ARC
(24,21),-1.65269 # DEPENDENCYPART_ARC
(24,22),-1.0912 # DEPENDENCYPART_ARC
(24,25),0.616917 # DEPENDENCYPART_ARC
(24,26),-0.735013 # DEPENDENCYPART_ARC
(24,27),-1.20507 # DEPENDENCYPART_ARC
(24,28),-1.12225 # DEPENDENCYPART_ARC
(24,29),-0.914269 # DEPENDENCYPART_ARC
(25,20),-1.55251 # DEPENDENCYPART_ARC
(25,24),-0.378009 # DEPENDENCYPART_ARC
(25,26),-0.156527 # DEPENDENCYPART_ARC
(25,27),-0.788347 # DEPENDENCYPART_ARC
(25,28),-0.277896 # DEPENDENCYPART_ARC
(26,22),-2.17281 # DEPENDENCYPART_ARC
(26,27),-0.850436 # DEPENDENCYPART_ARC
(27,24),-1.03683 # DEPENDENCYPART_ARC
(27,25),-0.967017 # DEPENDENCYPART_ARC
(27,26),0.658107 # DEPENDENCYPART_ARC
(28,21),-1.6441 # DEPENDENCYPART_ARC
(28,22),-1.62636 # DEPENDENCYPART_ARC
(28,23),-0.873902 # DEPENDENCYPART_ARC
(28,24),-1.19919 # DEPENDENCYPART_ARC
(28,25),-0.486531 # DEPENDENCYPART_ARC
(28,26),-0.407567 # DEPENDENCYPART_ARC
(28,27),0.801187 # DEPENDENCYPART_ARC
(28,29),-0.225252 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.00536422 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0113314 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.106457 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0964614 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0430167 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.102305 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.103709 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.102774 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.104178 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.162222 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0425631 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0276164 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0379716 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0379726 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.00552379 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0185666 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.00197833 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0681591 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0468293 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.042236 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0074164 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0185283 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.00676796 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0259283 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0259336 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.026311 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0263422 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0208127 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0480154 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.00472966 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0136811 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.00408123 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00472766 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0136725 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.00407923 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.00222501 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0028421 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0199951 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0260844 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0755045 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0136654 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0174764 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00347336 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0255804 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.022735 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0136783 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00896195 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00413716 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0326494 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.013776 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0309476 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0248973 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0332103 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0388576 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0174844 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0136783 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.00975636 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0248973 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.0381239 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0161683 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00893634 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0293283 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0997983 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0459932 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0974931 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0466785 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0974862 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0951383 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0202779 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0161683 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0138893 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0466785 # DEPENDENCYPART_SIBL
(3,2),(3,29),-0.0240817 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.025665 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0241692 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0202716 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0634852 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0109645 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0205355 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0109661 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00175022 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0118176 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.00248234 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0342918 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0205355 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.0207985 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0155213 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00199808 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.00191948 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.00731068 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00123566 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00731069 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0132563 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0127105 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0189866 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0165549 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.00123566 # DEPENDENCYPART_SIBL
(3,5),(3,29),0.0371428 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0202558 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0234706 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0295632 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0202478 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0295624 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0354091 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0296962 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.00196138 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0207435 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0202478 # DEPENDENCYPART_SIBL
(3,7),(3,29),-0.0033628 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00927406 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0075053 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0220249 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.00741513 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.00606255 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0316289 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.00140483 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0207638 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.0220249 # DEPENDENCYPART_SIBL
(3,8),(3,29),0.0468159 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0198898 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0382014 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0206262 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0252992 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0125405 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.00249401 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0102764 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0382014 # DEPENDENCYPART_SIBL
(3,9),(3,29),0.0685581 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0273665 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.00738277 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.00609491 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0387573 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.00206945 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.020834 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0273665 # DEPENDENCYPART_SIBL
(3,10),(3,29),0.0280734 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.000375971 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0085348 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0134542 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0483865 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0405096 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.0728143 # DEPENDENCYPART_SIBL
(3,11),(3,29),0.110487 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.00719609 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0387528 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.00207106 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0209276 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.0276821 # DEPENDENCYPART_SIBL
(3,12),(3,29),0.0280947 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0450232 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0138749 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0252961 # DEPENDENCYPART_SIBL
(3,13),(3,23),-0.0321774 # DEPENDENCYPART_SIBL
(3,13),(3,29),0.018194 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.000474757 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0368014 # DEPENDENCYPART_SIBL
(3,14),(3,23),0.00317375 # DEPENDENCYPART_SIBL
(3,14),(3,29),0.0186311 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0342918 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.0205355 # DEPENDENCYPART_SIBL
(3,15),(3,29),-0.0207985 # DEPENDENCYPART_SIBL
(3,18),(3,23),-0.0174273 # DEPENDENCYPART_SIBL
(3,18),(3,29),0.0181245 # DEPENDENCYPART_SIBL
(3,23),(3,29),0.110487 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0502555 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.125269 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0112769 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.000797784 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.103565 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.101259 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0596668 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.000320273 # DEPENDENCYPART_SIBL
(5,2),(5,29),-0.0289994 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0388687 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0321466 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0468987 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0608481 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0685252 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.000766146 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0319422 # DEPENDENCYPART_SIBL
(5,3),(5,29),0.00320657 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0168601 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00060468 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.116467 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.113456 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0935971 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0111609 # DEPENDENCYPART_SIBL
(5,4),(5,29),0.0274589 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0174203 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00264955 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0119583 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00116686 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0124778 # DEPENDENCYPART_SIBL
(5,6),(5,29),0.0221294 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0160795 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0253868 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00815388 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0252389 # DEPENDENCYPART_SIBL
(5,7),(5,29),-0.00623397 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.00749677 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0140973 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0314578 # DEPENDENCYPART_SIBL
(5,8),(5,29),0.0390214 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.019439 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0385862 # DEPENDENCYPART_SIBL
(5,10),(5,29),0.020279 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0127915 # DEPENDENCYPART_SIBL
(5,11),(5,29),0.101495 # DEPENDENCYPART_SIBL
(5,14),(5,29),0.00944304 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0232649 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00145974 # DEPENDENCYPART_SIBL
(6,4),(6,29),0.0258737 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0418864 # DEPENDENCYPART_SIBL
(6,5),(6,29),0.002673 # DEPENDENCYPART_SIBL
(6,7),(6,29),-0.0101672 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0145772 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0111158 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0758769 # DEPENDENCYPART_SIBL
