# _root_ Money funds invest in such things as short-term Treasury securities , commercial paper and certificates of deposit , all of which have been posting lower interest rates since last spring .
#goldHeads=2,3,0,3,6,4,6,10,10,14,14,13,14,7,14,15,16,14,20,22,20,14,22,23,27,27,24,24,30,28,3,
#predictedHeads=2,3,0,3,6,4,6,10,10,14,14,13,14,7,14,15,16,17,20,22,20,17,22,23,27,27,24,24,30,28,3,
(10,31),-2.01574 # DEPENDENCYPART_ARC
(12,8),-1.63094 # DEPENDENCYPART_ARC
(12,9),-1.17409 # DEPENDENCYPART_ARC
(12,10),-1.08714 # DEPENDENCYPART_ARC
(12,11),0.259259 # DEPENDENCYPART_ARC
(12,13),-0.448415 # DEPENDENCYPART_ARC
(12,15),-1.40708 # DEPENDENCYPART_ARC
(12,16),-1.37244 # DEPENDENCYPART_ARC
(12,17),-1.58125 # DEPENDENCYPART_ARC
(13,3),-2.07892 # DEPENDENCYPART_ARC
(13,5),-2.1439 # DEPENDENCYPART_ARC
(13,8),-1.53295 # DEPENDENCYPART_ARC
(13,9),-1.64485 # DEPENDENCYPART_ARC
(13,10),-1.89194 # DEPENDENCYPART_ARC
(13,11),-1.27598 # DEPENDENCYPART_ARC
(13,12),0.964671 # DEPENDENCYPART_ARC
(13,15),-1.25755 # DEPENDENCYPART_ARC
(13,16),-1.15671 # DEPENDENCYPART_ARC
(13,17),-1.76811 # DEPENDENCYPART_ARC
(13,22),-1.77261 # DEPENDENCYPART_ARC
(14,1),-1.33393 # DEPENDENCYPART_ARC
(14,2),-1.19749 # DEPENDENCYPART_ARC
(14,3),-1.44379 # DEPENDENCYPART_ARC
(14,4),-1.1969 # DEPENDENCYPART_ARC
(14,5),-1.53068 # DEPENDENCYPART_ARC
(14,6),-1.04835 # DEPENDENCYPART_ARC
(14,7),-1.42815 # DEPENDENCYPART_ARC
(14,8),-1.19609 # DEPENDENCYPART_ARC
(14,9),-0.590598 # DEPENDENCYPART_ARC
(14,10),-0.391951 # DEPENDENCYPART_ARC
(14,11),-0.15438 # DEPENDENCYPART_ARC
(14,12),-0.0435161 # DEPENDENCYPART_ARC
(14,13),2.32555 # DEPENDENCYPART_ARC
(14,15),1.81572 # DEPENDENCYPART_ARC
(14,16),-0.267199 # DEPENDENCYPART_ARC
(14,17),-0.793681 # DEPENDENCYPART_ARC
(14,18),-1.1275 # DEPENDENCYPART_ARC
(14,19),-1.68256 # DEPENDENCYPART_ARC
(14,20),-1.95521 # DEPENDENCYPART_ARC
(14,22),-1.91921 # DEPENDENCYPART_ARC
(14,23),-2.51473 # DEPENDENCYPART_ARC
(14,24),-2.49012 # DEPENDENCYPART_ARC
(14,28),-1.75125 # DEPENDENCYPART_ARC
(14,31),-1.65603 # DEPENDENCYPART_ARC
(15,12),-1.70751 # DEPENDENCYPART_ARC
(15,13),-1.35482 # DEPENDENCYPART_ARC
(15,16),0.397581 # DEPENDENCYPART_ARC
(15,17),-0.992312 # DEPENDENCYPART_ARC
(15,18),-1.1883 # DEPENDENCYPART_ARC
(15,19),-1.88873 # DEPENDENCYPART_ARC
(15,20),-2.21735 # DEPENDENCYPART_ARC
(15,22),-1.40277 # DEPENDENCYPART_ARC
(15,23),-1.85643 # DEPENDENCYPART_ARC
(15,24),-1.90206 # DEPENDENCYPART_ARC
(16,13),-1.29492 # DEPENDENCYPART_ARC
(16,15),-0.380845 # DEPENDENCYPART_ARC
(16,17),0.779541 # DEPENDENCYPART_ARC
(16,20),-1.83083 # DEPENDENCYPART_ARC
(17,12),-1.64961 # DEPENDENCYPART_ARC
(17,13),-1.56757 # DEPENDENCYPART_ARC
(17,15),-0.755259 # DEPENDENCYPART_ARC
(17,16),0.0120675 # DEPENDENCYPART_ARC
(17,18),0.10818 # DEPENDENCYPART_ARC
(17,19),-1.66226 # DEPENDENCYPART_ARC
(17,20),-1.74054 # DEPENDENCYPART_ARC
(17,22),-1.32657 # DEPENDENCYPART_ARC
(17,23),-1.79795 # DEPENDENCYPART_ARC
(17,24),-1.98836 # DEPENDENCYPART_ARC
(17,27),-1.53579 # DEPENDENCYPART_ARC
(17,30),-1.69821 # DEPENDENCYPART_ARC
(19,18),0.0785821 # DEPENDENCYPART_ARC
(19,20),0.113511 # DEPENDENCYPART_ARC
(19,22),-0.792436 # DEPENDENCYPART_ARC
(19,23),-1.06631 # DEPENDENCYPART_ARC
(19,24),-1.10145 # DEPENDENCYPART_ARC
(19,28),-0.990864 # DEPENDENCYPART_ARC
(20,16),-1.57428 # DEPENDENCYPART_ARC
(20,17),-1.61864 # DEPENDENCYPART_ARC
(20,18),-1.03502 # DEPENDENCYPART_ARC
(20,19),0.12996 # DEPENDENCYPART_ARC
(20,21),0.777517 # DEPENDENCYPART_ARC
(20,22),-0.504805 # DEPENDENCYPART_ARC
(20,24),-1.14468 # DEPENDENCYPART_ARC
(20,25),-1.09298 # DEPENDENCYPART_ARC
(20,26),-1.82782 # DEPENDENCYPART_ARC
(20,27),-1.76498 # DEPENDENCYPART_ARC
(20,30),-2.36505 # DEPENDENCYPART_ARC
(22,2),-1.47207 # DEPENDENCYPART_ARC
(22,3),-2.49081 # DEPENDENCYPART_ARC
(22,4),-1.25192 # DEPENDENCYPART_ARC
(22,6),-1.14017 # DEPENDENCYPART_ARC
(22,7),-1.21674 # DEPENDENCYPART_ARC
(22,8),-1.74424 # DEPENDENCYPART_ARC
(22,9),-1.42276 # DEPENDENCYPART_ARC
(22,10),-1.33748 # DEPENDENCYPART_ARC
(22,11),-2.54531 # DEPENDENCYPART_ARC
(22,12),-2.07734 # DEPENDENCYPART_ARC
(22,14),-1.64866 # DEPENDENCYPART_ARC
(22,15),-2.19861 # DEPENDENCYPART_ARC
(22,16),-1.88877 # DEPENDENCYPART_ARC
(22,17),-2.26907 # DEPENDENCYPART_ARC
(22,18),-1.45516 # DEPENDENCYPART_ARC
(22,19),-1.44058 # DEPENDENCYPART_ARC
(22,20),-0.676028 # DEPENDENCYPART_ARC
(22,21),0.0786453 # DEPENDENCYPART_ARC
(22,23),1.08761 # DEPENDENCYPART_ARC
(22,24),-0.174846 # DEPENDENCYPART_ARC
(22,25),-1.29733 # DEPENDENCYPART_ARC
(22,26),-1.08727 # DEPENDENCYPART_ARC
(22,27),-0.992546 # DEPENDENCYPART_ARC
(22,28),-1.22381 # DEPENDENCYPART_ARC
(22,30),-1.44404 # DEPENDENCYPART_ARC
(22,31),-0.526339 # DEPENDENCYPART_ARC
(23,4),-2.17414 # DEPENDENCYPART_ARC
(23,19),-1.90737 # DEPENDENCYPART_ARC
(23,20),-1.19826 # DEPENDENCYPART_ARC
(23,21),-1.42971 # DEPENDENCYPART_ARC
(23,24),0.910739 # DEPENDENCYPART_ARC
(23,25),-0.841189 # DEPENDENCYPART_ARC
(23,26),-0.974005 # DEPENDENCYPART_ARC
(23,27),-0.950267 # DEPENDENCYPART_ARC
(23,28),-1.13624 # DEPENDENCYPART_ARC
(23,29),-1.46779 # DEPENDENCYPART_ARC
(23,30),-1.42512 # DEPENDENCYPART_ARC
(23,31),-0.853552 # DEPENDENCYPART_ARC
(24,10),-1.84298 # DEPENDENCYPART_ARC
(24,20),-1.24182 # DEPENDENCYPART_ARC
(24,21),-1.56908 # DEPENDENCYPART_ARC
(24,23),-0.785745 # DEPENDENCYPART_ARC
(24,25),0.263666 # DEPENDENCYPART_ARC
(24,26),-0.0744767 # DEPENDENCYPART_ARC
(24,27),-0.258228 # DEPENDENCYPART_ARC
(24,28),-0.650611 # DEPENDENCYPART_ARC
(24,29),-1.16413 # DEPENDENCYPART_ARC
(24,30),-0.872839 # DEPENDENCYPART_ARC
(24,31),-0.267513 # DEPENDENCYPART_ARC
(25,26),-0.211612 # DEPENDENCYPART_ARC
(25,28),-0.96123 # DEPENDENCYPART_ARC
(25,29),-0.95976 # DEPENDENCYPART_ARC
(25,30),-1.44536 # DEPENDENCYPART_ARC
(26,21),-2.41283 # DEPENDENCYPART_ARC
(26,24),-1.30285 # DEPENDENCYPART_ARC
(26,25),0.129225 # DEPENDENCYPART_ARC
(26,27),-0.528782 # DEPENDENCYPART_ARC
(26,28),-0.981362 # DEPENDENCYPART_ARC
(26,29),-1.50365 # DEPENDENCYPART_ARC
(26,30),-1.90085 # DEPENDENCYPART_ARC
(27,19),-2.03827 # DEPENDENCYPART_ARC
(27,20),-1.36076 # DEPENDENCYPART_ARC
(27,23),-0.936083 # DEPENDENCYPART_ARC
(27,24),-0.684867 # DEPENDENCYPART_ARC
(27,25),0.432495 # DEPENDENCYPART_ARC
(27,26),1.7677 # DEPENDENCYPART_ARC
(27,28),0.113034 # DEPENDENCYPART_ARC
(27,29),-1.11602 # DEPENDENCYPART_ARC
(27,30),-1.36995 # DEPENDENCYPART_ARC
(27,31),-1.00381 # DEPENDENCYPART_ARC
(28,25),-1.27459 # DEPENDENCYPART_ARC
(28,26),-1.15916 # DEPENDENCYPART_ARC
(28,27),-0.190985 # DEPENDENCYPART_ARC
(28,29),-0.176958 # DEPENDENCYPART_ARC
(28,30),-0.264969 # DEPENDENCYPART_ARC
(29,25),-1.86007 # DEPENDENCYPART_ARC
(29,26),-1.50803 # DEPENDENCYPART_ARC
(29,27),-1.50024 # DEPENDENCYPART_ARC
(30,25),-1.09664 # DEPENDENCYPART_ARC
(30,26),-1.10658 # DEPENDENCYPART_ARC
(30,27),-1.34006 # DEPENDENCYPART_ARC
(30,28),-0.987804 # DEPENDENCYPART_ARC
(30,29),1.18337 # DEPENDENCYPART_ARC
(30,31),-0.462955 # DEPENDENCYPART_ARC
(31,29),-1.00309 # DEPENDENCYPART_ARC
(31,30),-0.238166 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0536516 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.109545 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0862653 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.113768 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.100354 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0919608 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.104577 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.133647 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.158592 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.143537 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0154636 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.036264 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0178438 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0189035 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00048672 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0210209 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0070474 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0206886 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0140751 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0113652 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0299022 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0207011 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0392725 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.026688 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0126496 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0190687 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.102651 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0180753 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.102651 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0989732 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0345943 # DEPENDENCYPART_SIBL
(2,1),(2,31),0.00831063 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00045323 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00156446 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0167882 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00611343 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0146395 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0164961 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0279276 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0164961 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.00351255 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0055312 # DEPENDENCYPART_SIBL
(2,3),(2,31),0.00145702 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0224997 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0205519 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00894833 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0166773 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0142165 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0304247 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0142165 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0124517 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.00905296 # DEPENDENCYPART_SIBL
(2,4),(2,31),0.0461642 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0201393 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0227705 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0235222 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0071173 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0333188 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0071173 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0167898 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.00722179 # DEPENDENCYPART_SIBL
(2,5),(2,31),0.00585576 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0174131 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0188875 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.00728816 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0386652 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.00728816 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00190725 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.00461696 # DEPENDENCYPART_SIBL
(2,6),(2,31),0.0205809 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0172065 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0014258 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.021916 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0014258 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0261933 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0182647 # DEPENDENCYPART_SIBL
(2,7),(2,31),0.0680348 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.011021 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0447365 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.011021 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.00555145 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.0114908 # DEPENDENCYPART_SIBL
(2,10),(2,31),0.0242169 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0202498 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0242244 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0133492 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.0131798 # DEPENDENCYPART_SIBL
(2,11),(2,31),0.0076422 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0148789 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0142399 # DEPENDENCYPART_SIBL
(2,14),(2,23),-0.0106581 # DEPENDENCYPART_SIBL
(2,14),(2,31),0.011518 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0133492 # DEPENDENCYPART_SIBL
(2,18),(2,23),0.0131798 # DEPENDENCYPART_SIBL
(2,18),(2,31),0.0076422 # DEPENDENCYPART_SIBL
(2,19),(2,23),-0.0114677 # DEPENDENCYPART_SIBL
(2,19),(2,31),0.0674166 # DEPENDENCYPART_SIBL
(2,23),(2,31),0.00458467 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.117641 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00768944 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0355894 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0264831 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00717217 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0113911 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.026376 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00251361 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.00232679 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00299672 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.00251361 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.00220037 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0138347 # DEPENDENCYPART_SIBL
(3,1),(3,28),-0.00639871 # DEPENDENCYPART_SIBL
(3,1),(3,31),-0.00893426 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.033285 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0401475 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0328573 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0337246 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0159492 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.032935 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.000512125 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00157714 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00248392 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.000512125 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.00649791 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.00328472 # DEPENDENCYPART_SIBL
(3,2),(3,28),-0.0477269 # DEPENDENCYPART_SIBL
(3,2),(3,31),0.0221315 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0410481 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0113756 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0523108 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0372869 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0206745 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0183613 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0321536 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.027684 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0183613 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.00768389 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0196613 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.0189844 # DEPENDENCYPART_SIBL
(3,4),(3,31),-0.0231942 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0479235 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0463992 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0595946 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0434263 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.00469108 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0544033 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.035741 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.00469108 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0404457 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0265316 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.0254087 # DEPENDENCYPART_SIBL
(3,5),(3,31),-0.0419906 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0125157 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0349014 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0186639 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0145085 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0263682 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0324526 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0145085 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0195061 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.00478676 # DEPENDENCYPART_SIBL
(3,6),(3,28),0.0147698 # DEPENDENCYPART_SIBL
(3,6),(3,31),-0.0218735 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0447734 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0118778 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00466456 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.039652 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.030384 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.00466456 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0287094 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0391253 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.0603711 # DEPENDENCYPART_SIBL
(3,7),(3,31),0.0120074 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0186724 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0214193 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0392592 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0193498 # DEPENDENCYPART_SIBL
