# _root_ Jerome Kern , Tele-Communications ' chief outside counsel , said he was n't aware of Time 's legal plans .
#goldHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,12,14,19,16,19,15,10,
#predictedHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,12,14,19,16,19,15,10,
(6,15),-2.27809 # DEPENDENCYPART_ARC
(7,3),-1.59817 # DEPENDENCYPART_ARC
(7,4),-1.02829 # DEPENDENCYPART_ARC
(7,5),-1.31311 # DEPENDENCYPART_ARC
(7,6),0.114804 # DEPENDENCYPART_ARC
(7,8),-0.612122 # DEPENDENCYPART_ARC
(7,9),-1.4146 # DEPENDENCYPART_ARC
(7,12),-2.24297 # DEPENDENCYPART_ARC
(7,14),-2.03036 # DEPENDENCYPART_ARC
(8,1),-1.70746 # DEPENDENCYPART_ARC
(8,2),-1.98764 # DEPENDENCYPART_ARC
(8,3),-1.5081 # DEPENDENCYPART_ARC
(8,4),-0.225026 # DEPENDENCYPART_ARC
(8,6),0.409837 # DEPENDENCYPART_ARC
(8,7),1.60468 # DEPENDENCYPART_ARC
(8,9),-0.0163924 # DEPENDENCYPART_ARC
(8,10),-1.82544 # DEPENDENCYPART_ARC
(8,12),-2.236 # DEPENDENCYPART_ARC
(8,13),-2.00742 # DEPENDENCYPART_ARC
(8,14),-2.01662 # DEPENDENCYPART_ARC
(8,15),-2.05659 # DEPENDENCYPART_ARC
(8,19),-2.14644 # DEPENDENCYPART_ARC
(10,1),-0.729291 # DEPENDENCYPART_ARC
(10,2),-0.418378 # DEPENDENCYPART_ARC
(10,3),-1.62544 # DEPENDENCYPART_ARC
(10,4),-1.776 # DEPENDENCYPART_ARC
(10,6),-1.47417 # DEPENDENCYPART_ARC
(10,7),-1.36072 # DEPENDENCYPART_ARC
(10,8),-1.18536 # DEPENDENCYPART_ARC
(10,9),0.911521 # DEPENDENCYPART_ARC
(10,11),0.381068 # DEPENDENCYPART_ARC
(10,12),0.526555 # DEPENDENCYPART_ARC
(10,13),-0.870877 # DEPENDENCYPART_ARC
(10,14),-0.785689 # DEPENDENCYPART_ARC
(10,15),-1.39289 # DEPENDENCYPART_ARC
(10,18),-1.33121 # DEPENDENCYPART_ARC
(10,19),-1.25503 # DEPENDENCYPART_ARC
(10,20),0.363438 # DEPENDENCYPART_ARC
(11,12),-0.359451 # DEPENDENCYPART_ARC
(11,15),-1.56635 # DEPENDENCYPART_ARC
(12,1),-1.57384 # DEPENDENCYPART_ARC
(12,2),-1.48609 # DEPENDENCYPART_ARC
(12,3),-2.74201 # DEPENDENCYPART_ARC
(12,6),-1.98385 # DEPENDENCYPART_ARC
(12,7),-1.93078 # DEPENDENCYPART_ARC
(12,8),-2.43838 # DEPENDENCYPART_ARC
(12,9),-1.62337 # DEPENDENCYPART_ARC
(12,10),-1.35049 # DEPENDENCYPART_ARC
(12,11),0.921575 # DEPENDENCYPART_ARC
(12,13),0.559161 # DEPENDENCYPART_ARC
(12,14),0.0844045 # DEPENDENCYPART_ARC
(12,15),-0.713364 # DEPENDENCYPART_ARC
(12,16),-0.918852 # DEPENDENCYPART_ARC
(12,18),-0.959009 # DEPENDENCYPART_ARC
(12,19),-1.07896 # DEPENDENCYPART_ARC
(12,20),0.207812 # DEPENDENCYPART_ARC
(13,2),-1.88078 # DEPENDENCYPART_ARC
(13,8),-2.37852 # DEPENDENCYPART_ARC
(13,9),-1.86297 # DEPENDENCYPART_ARC
(13,11),-1.68392 # DEPENDENCYPART_ARC
(13,14),-0.491606 # DEPENDENCYPART_ARC
(13,15),-1.22902 # DEPENDENCYPART_ARC
(13,16),-1.42428 # DEPENDENCYPART_ARC
(13,18),-1.51234 # DEPENDENCYPART_ARC
(13,19),-1.79303 # DEPENDENCYPART_ARC
(14,6),-2.11034 # DEPENDENCYPART_ARC
(14,8),-2.10734 # DEPENDENCYPART_ARC
(14,11),-1.52055 # DEPENDENCYPART_ARC
(14,13),0.396835 # DEPENDENCYPART_ARC
(14,15),0.474613 # DEPENDENCYPART_ARC
(14,16),-0.596417 # DEPENDENCYPART_ARC
(14,18),-0.523845 # DEPENDENCYPART_ARC
(14,19),-1.11028 # DEPENDENCYPART_ARC
(14,20),-0.745361 # DEPENDENCYPART_ARC
(15,13),-1.06634 # DEPENDENCYPART_ARC
(15,14),-0.510383 # DEPENDENCYPART_ARC
(15,16),0.444379 # DEPENDENCYPART_ARC
(15,18),-1.26098 # DEPENDENCYPART_ARC
(15,19),-0.787578 # DEPENDENCYPART_ARC
(16,11),-1.78878 # DEPENDENCYPART_ARC
(16,13),-1.38376 # DEPENDENCYPART_ARC
(16,14),-1.07221 # DEPENDENCYPART_ARC
(16,15),-0.198269 # DEPENDENCYPART_ARC
(16,17),0.953458 # DEPENDENCYPART_ARC
(16,18),-1.03966 # DEPENDENCYPART_ARC
(16,19),-1.32598 # DEPENDENCYPART_ARC
(17,20),-0.859348 # DEPENDENCYPART_ARC
(18,8),-1.8436 # DEPENDENCYPART_ARC
(18,13),-1.22786 # DEPENDENCYPART_ARC
(18,14),-1.27827 # DEPENDENCYPART_ARC
(18,16),-0.803613 # DEPENDENCYPART_ARC
(18,17),-0.163952 # DEPENDENCYPART_ARC
(18,19),-0.653596 # DEPENDENCYPART_ARC
(19,9),-2.13404 # DEPENDENCYPART_ARC
(19,13),-1.47411 # DEPENDENCYPART_ARC
(19,14),-1.46332 # DEPENDENCYPART_ARC
(19,15),-1.32487 # DEPENDENCYPART_ARC
(19,16),-0.330183 # DEPENDENCYPART_ARC
(19,17),-0.901583 # DEPENDENCYPART_ARC
(19,18),1.3458 # DEPENDENCYPART_ARC
(19,20),-0.421239 # DEPENDENCYPART_ARC
(0,2),(0,10),-0.134325 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.128771 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.230965 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0159306 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0130644 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0145082 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00707828 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0153926 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0159306 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0436562 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0102427 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00268608 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0462876 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0393972 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0145088 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00707889 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0153944 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0159044 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0400114 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0307877 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0350582 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.00498186 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.038884 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.00367952 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0486506 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0161223 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.084073 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00305357 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0230484 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.031715 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0486506 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00250136 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0478457 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0289965 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0152296 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0119506 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0165894 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0436562 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0102427 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00268608 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0705111 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0462876 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0393972 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0189474 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0504886 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0108795 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0218514 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0415165 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0050613 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0145088 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00707889 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0119196 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0153944 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0159044 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.00738948 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0191398 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.00118367 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.00202124 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0161085 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0262083 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0400114 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0206413 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0307877 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0350582 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0124317 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.036027 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0248163 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0194078 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0309255 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0141774 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0102316 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00498186 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.038884 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.00929979 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0189448 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0223731 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.00938213 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.00509053 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.00168042 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0044641 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.014175 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.00527002 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.023159 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0266929 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.00689681 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.00435543 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.00263678 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.00367952 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00986384 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0216142 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.00140312 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.00226535 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0180079 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0254945 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0189474 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0504886 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0108795 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0218514 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0415165 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0050613 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0153776 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.00601502 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0022135 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.000463112 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0509848 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0195813 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.00509501 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0163635 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.00413117 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.000571434 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.022111 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.000147459 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0198811 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0331566 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.0350506 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0151679 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0420249 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0836618 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00346476 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0226372 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0313038 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0482375 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0474232 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0285853 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0433662 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0832312 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00389538 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0222066 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0321454 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0460861 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0470366 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0281546 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.177257 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0752526 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0337067 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0238967 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.117851 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0771598 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.102904 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0400114 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0206413 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0308166 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0351167 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.036032 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0248163 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0102316 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00495302 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0388254 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0189498 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0223731 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00449293 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0141165 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0231641 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0266929 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00361992 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0216196 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00140347 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0503648 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0107708 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0195901 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.199141 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0195358 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0187377 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0523184 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0293999 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0557829 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0238541 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0442471 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0204779 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0613461 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0129423 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0532317 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00373285 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.463456 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0616994 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0614692 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0919915 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0187377 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0523186 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0228632 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0582398 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0242684 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0442472 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0199346 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0216325 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0120654 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0754973 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0101338 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0213084 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0174609 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.02639 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0388887 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00572771 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0135635 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.00919998 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00164194 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.00935529 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0143051 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0108447 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0438681 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0395881 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0299205 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.00586313 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0410856 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0110072 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0562059 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0138514 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00145882 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.00616747 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.450023 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0614126 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.060042 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0226193 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0448729 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0428251 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0368725 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0227101 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0415914 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0254927 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00219449 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0620085 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.00982245 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0199062 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00544132 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.111817 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0345733 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0657069 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.00196601 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00858703 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.012287 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0384182 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0372341 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.00572782 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0187498 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0425316 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0109316 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.00375428 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0176941 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0515755 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.00187649 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0434669 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0288936 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.00535283 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.00944837 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.0171363 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0438728 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0129624 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0050955 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0190353 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0494241 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.00226365 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0430803 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0284629 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.00492221 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0090178 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0179779 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0248385 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.00662787 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0320861 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.1188 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0991396 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0740699 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.103131 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0666789 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.198887 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0266299 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.00464975 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0185896 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.053541 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.000182472 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0451615 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0301352 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.00659433 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0124966 # DEPENDENCYPART_SIBL
(8,4),(8,19),0.0131086 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0662294 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0579653 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0211216 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.080827 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0261402 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0223128 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.128922 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0441587 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0251434 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0438177 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0148629 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0112175 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0647403 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0151197 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.00643688 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0166828 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0482233 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.00892012 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0298687 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.018834 # DEPENDENCYPART_SIBL
