# _root_ Often , Mr. Dinkins 's procrastination prevented him from having a say in the way things turned out , critics claim .
#goldHeads=7,7,4,6,4,7,21,7,7,9,12,10,10,15,13,17,15,17,21,21,0,21,
#predictedHeads=21,21,4,6,4,7,21,7,7,9,12,10,10,16,16,13,12,17,21,21,0,21,
(4,5),(4,9),0.0302477 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0464395 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.086934 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0174409 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0100938 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.013119 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00689835 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0630417 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0236775 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00213072 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0103553 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0556753 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.00198863 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0467779 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.154903 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.104278 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0515473 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.0298487 # DEPENDENCYPART_SIBL
(4,19),(4,22),0.00613116 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00192737 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0439634 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00559652 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0483261 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.000929595 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0262519 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0633858 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0161335 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00366358 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0407338 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00750301 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0173861 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.147261 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0121485 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0283278 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.115467 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00635933 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0237953 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.027459 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0449489 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0183121 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0995041 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0138976 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.184744 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.116666 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0376585 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0364031 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0387366 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0168401 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0247731 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0692297 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0328581 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0103724 # DEPENDENCYPART_SIBL
(6,4),(6,22),0.0177317 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0340129 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0107886 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0524563 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0171354 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.014143 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0805644 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0060041 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.000874933 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0132905 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0211197 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.00198057 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0183835 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0208752 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.00191801 # DEPENDENCYPART_SIBL
(6,8),(6,22),0.0206896 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0517081 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0375691 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.105807 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0227208 # DEPENDENCYPART_SIBL
(6,10),(6,22),-0.00466362 # DEPENDENCYPART_SIBL
(6,12),(6,22),0.0263701 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.033118 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.00485916 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0105351 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.00333934 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0331186 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.00919444 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0348731 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0286722 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0555604 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.00448556 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0204035 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0394494 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.0303829 # DEPENDENCYPART_SIBL
(7,1),(7,22),0.062774 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0303736 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0273077 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.00296009 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0276036 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.045124 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0153218 # DEPENDENCYPART_SIBL
(7,2),(7,12),2.30599e-05 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0258609 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0192738 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.00743704 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.158062 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.0237944 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.0518036 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.109386 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.117076 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0097268 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0596247 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.019894 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0383568 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0813174 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0362801 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0396827 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0264797 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.0224519 # DEPENDENCYPART_SIBL
(7,3),(7,22),0.000262035 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0903957 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.034171 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0079948 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0425295 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0186742 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.00953844 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0170057 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0221683 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.00818384 # DEPENDENCYPART_SIBL
(7,4),(7,21),0.0393991 # DEPENDENCYPART_SIBL
(7,4),(7,22),0.0571946 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0251147 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00555219 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0248384 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0231735 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.00286946 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0215051 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.00447721 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.00681189 # DEPENDENCYPART_SIBL
(7,6),(7,21),0.021708 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.0230115 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0114465 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0290115 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0169313 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.025885 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0245193 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.00882779 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.038936 # DEPENDENCYPART_SIBL
(7,8),(7,21),0.00670392 # DEPENDENCYPART_SIBL
(7,8),(7,22),0.0157303 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0378906 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0106759 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.00721041 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0131694 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.0295381 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.0479333 # DEPENDENCYPART_SIBL
(7,9),(7,21),0.0216982 # DEPENDENCYPART_SIBL
(7,9),(7,22),0.0162644 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0203023 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0188029 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.00986187 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.00469632 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.0169075 # DEPENDENCYPART_SIBL
(7,10),(7,21),0.00503369 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.0297597 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0554126 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.00171902 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0236058 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.0273002 # DEPENDENCYPART_SIBL
(7,12),(7,21),0.0248437 # DEPENDENCYPART_SIBL
(7,12),(7,22),0.0268652 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0129522 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.00540787 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.0198496 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.015893 # DEPENDENCYPART_SIBL
(7,13),(7,22),-0.0217711 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.00530421 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.0147944 # DEPENDENCYPART_SIBL
(7,16),(7,21),-0.0040663 # DEPENDENCYPART_SIBL
(7,16),(7,22),-0.0216602 # DEPENDENCYPART_SIBL
(7,17),(7,19),0.00601442 # DEPENDENCYPART_SIBL
(7,17),(7,21),-0.0185508 # DEPENDENCYPART_SIBL
(7,17),(7,22),0.0181919 # DEPENDENCYPART_SIBL
(7,19),(7,21),0.03083 # DEPENDENCYPART_SIBL
(7,19),(7,22),0.00519652 # DEPENDENCYPART_SIBL
(7,21),(7,22),0.00758989 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.00547701 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0226119 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0203066 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0154037 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0676746 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.00588311 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0295156 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.0730442 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.0169493 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.0138737 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0335188 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0297714 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0553533 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.023886 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0170175 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0625757 # DEPENDENCYPART_SIBL
(9,10),(9,21),-0.0148857 # DEPENDENCYPART_SIBL
(9,10),(9,22),0.055394 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0095586 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0075132 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.00818594 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0160237 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.00110469 # DEPENDENCYPART_SIBL
