# _root_ The Financial Times 100-share index shed 47.3 points to close at 2082.1 , down 4.5 % from the previous Friday and 6.8 % from Oct. 13 , when Wall Street 's plunge helped spark the current weakness in London .
#goldHeads=5,5,5,5,6,0,8,6,10,6,10,11,10,21,16,14,14,20,20,17,10,23,16,17,24,25,25,34,30,32,30,33,25,33,37,37,34,37,38,6,
#predictedHeads=5,5,5,5,6,0,8,6,10,6,10,11,10,10,16,14,14,21,21,21,17,23,21,14,24,25,25,34,30,32,30,33,25,33,37,37,34,37,38,6,
(16,11),-1.40852 # DEPENDENCYPART_ARC
(16,12),-1.70494 # DEPENDENCYPART_ARC
(16,13),-1.44783 # DEPENDENCYPART_ARC
(16,14),-0.305582 # DEPENDENCYPART_ARC
(16,15),0.86412 # DEPENDENCYPART_ARC
(16,17),0.202412 # DEPENDENCYPART_ARC
(16,18),-1.21399 # DEPENDENCYPART_ARC
(16,19),-1.19078 # DEPENDENCYPART_ARC
(16,20),-1.22289 # DEPENDENCYPART_ARC
(16,22),-1.53547 # DEPENDENCYPART_ARC
(16,23),-0.819058 # DEPENDENCYPART_ARC
(16,24),-1.10945 # DEPENDENCYPART_ARC
(16,25),-1.28162 # DEPENDENCYPART_ARC
(16,27),-1.50673 # DEPENDENCYPART_ARC
(16,32),-2.09845 # DEPENDENCYPART_ARC
(16,33),-1.89784 # DEPENDENCYPART_ARC
(17,14),-1.38875 # DEPENDENCYPART_ARC
(17,15),-1.49454 # DEPENDENCYPART_ARC
(17,16),-0.445057 # DEPENDENCYPART_ARC
(17,18),0.156883 # DEPENDENCYPART_ARC
(17,19),-0.316144 # DEPENDENCYPART_ARC
(17,20),-0.154353 # DEPENDENCYPART_ARC
(17,21),-0.613985 # DEPENDENCYPART_ARC
(17,22),-1.27876 # DEPENDENCYPART_ARC
(17,23),-0.908375 # DEPENDENCYPART_ARC
(17,24),-0.390962 # DEPENDENCYPART_ARC
(17,25),-1.6364 # DEPENDENCYPART_ARC
(17,38),-1.4418 # DEPENDENCYPART_ARC
(18,19),-0.407475 # DEPENDENCYPART_ARC
(19,16),-1.07098 # DEPENDENCYPART_ARC
(19,18),0.0803146 # DEPENDENCYPART_ARC
(19,20),-0.279098 # DEPENDENCYPART_ARC
(19,22),-1.23658 # DEPENDENCYPART_ARC
(20,18),-0.536788 # DEPENDENCYPART_ARC
(20,19),0.613777 # DEPENDENCYPART_ARC
(20,21),-0.456203 # DEPENDENCYPART_ARC
(20,22),-1.1966 # DEPENDENCYPART_ARC
(20,23),-1.44777 # DEPENDENCYPART_ARC
(20,24),-1.1821 # DEPENDENCYPART_ARC
(20,26),-1.56122 # DEPENDENCYPART_ARC
(20,33),-1.90989 # DEPENDENCYPART_ARC
(21,1),-3.5379 # DEPENDENCYPART_ARC
(21,2),-1.9891 # DEPENDENCYPART_ARC
(21,3),-1.864 # DEPENDENCYPART_ARC
(21,4),-2.59367 # DEPENDENCYPART_ARC
(21,5),-1.45392 # DEPENDENCYPART_ARC
(21,6),-1.4883 # DEPENDENCYPART_ARC
(21,7),-1.50926 # DEPENDENCYPART_ARC
(21,8),-1.87838 # DEPENDENCYPART_ARC
(21,9),-1.69149 # DEPENDENCYPART_ARC
(21,10),-1.29743 # DEPENDENCYPART_ARC
(21,11),-1.32106 # DEPENDENCYPART_ARC
(21,12),-1.23569 # DEPENDENCYPART_ARC
(21,13),-1.24242 # DEPENDENCYPART_ARC
(21,14),-0.75525 # DEPENDENCYPART_ARC
(21,15),-0.774813 # DEPENDENCYPART_ARC
(21,16),-0.710238 # DEPENDENCYPART_ARC
(21,17),-0.752577 # DEPENDENCYPART_ARC
(21,18),-0.734648 # DEPENDENCYPART_ARC
(21,19),-0.428612 # DEPENDENCYPART_ARC
(21,20),0.585889 # DEPENDENCYPART_ARC
(21,22),0.1687 # DEPENDENCYPART_ARC
(21,23),0.204709 # DEPENDENCYPART_ARC
(21,24),-1.05092 # DEPENDENCYPART_ARC
(21,25),-1.02865 # DEPENDENCYPART_ARC
(21,26),-1.51383 # DEPENDENCYPART_ARC
(21,27),-0.940504 # DEPENDENCYPART_ARC
(21,29),-2.09776 # DEPENDENCYPART_ARC
(21,30),-2.06688 # DEPENDENCYPART_ARC
(21,32),-2.20459 # DEPENDENCYPART_ARC
(21,33),-2.43363 # DEPENDENCYPART_ARC
(21,34),-2.6591 # DEPENDENCYPART_ARC
(21,37),-2.57923 # DEPENDENCYPART_ARC
(21,38),-2.35553 # DEPENDENCYPART_ARC
(21,40),-0.912033 # DEPENDENCYPART_ARC
(22,20),-1.79213 # DEPENDENCYPART_ARC
(22,23),-0.297064 # DEPENDENCYPART_ARC
(22,25),-1.4435 # DEPENDENCYPART_ARC
(22,26),-1.75759 # DEPENDENCYPART_ARC
(23,15),-1.34617 # DEPENDENCYPART_ARC
(23,17),-1.51045 # DEPENDENCYPART_ARC
(23,18),-0.952241 # DEPENDENCYPART_ARC
(23,19),-1.04977 # DEPENDENCYPART_ARC
(23,20),-1.26389 # DEPENDENCYPART_ARC
(23,21),-0.717323 # DEPENDENCYPART_ARC
(23,22),0.957085 # DEPENDENCYPART_ARC
(23,24),0.31199 # DEPENDENCYPART_ARC
(23,25),-0.793004 # DEPENDENCYPART_ARC
(23,26),-1.28352 # DEPENDENCYPART_ARC
(23,27),-1.3553 # DEPENDENCYPART_ARC
(23,29),-1.69908 # DEPENDENCYPART_ARC
(23,30),-1.85618 # DEPENDENCYPART_ARC
(23,32),-1.97255 # DEPENDENCYPART_ARC
(23,33),-1.78497 # DEPENDENCYPART_ARC
(23,34),-2.17765 # DEPENDENCYPART_ARC
(23,37),-1.76807 # DEPENDENCYPART_ARC
(24,22),-1.38199 # DEPENDENCYPART_ARC
(24,23),-0.333034 # DEPENDENCYPART_ARC
(24,25),0.982855 # DEPENDENCYPART_ARC
(24,26),-0.643686 # DEPENDENCYPART_ARC
(24,27),-0.813162 # DEPENDENCYPART_ARC
(24,29),-1.94942 # DEPENDENCYPART_ARC
(24,30),-2.17221 # DEPENDENCYPART_ARC
(24,32),-2.14704 # DEPENDENCYPART_ARC
(24,33),-1.81516 # DEPENDENCYPART_ARC
(24,38),-1.51658 # DEPENDENCYPART_ARC
(25,18),-3.36161 # DEPENDENCYPART_ARC
(25,22),-2.46382 # DEPENDENCYPART_ARC
(25,26),0.866039 # DEPENDENCYPART_ARC
(25,27),-0.811249 # DEPENDENCYPART_ARC
(25,29),-1.52503 # DEPENDENCYPART_ARC
(25,30),-1.79395 # DEPENDENCYPART_ARC
(25,31),-1.55406 # DEPENDENCYPART_ARC
(25,32),-1.89129 # DEPENDENCYPART_ARC
(25,33),-1.47663 # DEPENDENCYPART_ARC
(25,37),-1.88354 # DEPENDENCYPART_ARC
(26,22),-1.23569 # DEPENDENCYPART_ARC
(26,23),-1.04714 # DEPENDENCYPART_ARC
(26,24),-0.923909 # DEPENDENCYPART_ARC
(26,25),-0.0504803 # DEPENDENCYPART_ARC
(26,27),-0.0673478 # DEPENDENCYPART_ARC
(26,29),-1.70496 # DEPENDENCYPART_ARC
(26,30),-1.86809 # DEPENDENCYPART_ARC
(26,32),-2.00752 # DEPENDENCYPART_ARC
(26,33),-1.6773 # DEPENDENCYPART_ARC
(26,34),-1.94065 # DEPENDENCYPART_ARC
(28,27),0.146304 # DEPENDENCYPART_ARC
(29,30),-0.519038 # DEPENDENCYPART_ARC
(29,31),-1.07796 # DEPENDENCYPART_ARC
(29,34),-1.52229 # DEPENDENCYPART_ARC
(29,37),-1.83035 # DEPENDENCYPART_ARC
(30,19),-2.50451 # DEPENDENCYPART_ARC
(30,25),-1.61867 # DEPENDENCYPART_ARC
(30,26),-2.09948 # DEPENDENCYPART_ARC
(30,29),1.61702 # DEPENDENCYPART_ARC
(30,31),1.05304 # DEPENDENCYPART_ARC
(30,34),-1.26513 # DEPENDENCYPART_ARC
(30,37),-1.29314 # DEPENDENCYPART_ARC
(31,34),-1.25738 # DEPENDENCYPART_ARC
(32,18),-2.54171 # DEPENDENCYPART_ARC
(32,23),-2.55174 # DEPENDENCYPART_ARC
(32,25),-2.12108 # DEPENDENCYPART_ARC
(32,26),-2.2025 # DEPENDENCYPART_ARC
(32,29),-0.351519 # DEPENDENCYPART_ARC
(32,30),0.214271 # DEPENDENCYPART_ARC
(32,31),-0.0941336 # DEPENDENCYPART_ARC
(32,33),-0.225756 # DEPENDENCYPART_ARC
(32,34),-1.15114 # DEPENDENCYPART_ARC
(32,37),-1.28222 # DEPENDENCYPART_ARC
(32,38),-1.12118 # DEPENDENCYPART_ARC
(33,2),-1.35249 # DEPENDENCYPART_ARC
(33,3),-1.20569 # DEPENDENCYPART_ARC
(33,6),-2.01735 # DEPENDENCYPART_ARC
(33,8),-1.06465 # DEPENDENCYPART_ARC
(33,10),-1.73657 # DEPENDENCYPART_ARC
(33,11),-1.51929 # DEPENDENCYPART_ARC
(33,13),-2.1183 # DEPENDENCYPART_ARC
(33,14),-2.05837 # DEPENDENCYPART_ARC
(33,16),-1.84179 # DEPENDENCYPART_ARC
(33,17),-1.64826 # DEPENDENCYPART_ARC
(33,18),-2.08275 # DEPENDENCYPART_ARC
(33,19),-1.72914 # DEPENDENCYPART_ARC
(33,20),-1.85676 # DEPENDENCYPART_ARC
(33,21),-0.834044 # DEPENDENCYPART_ARC
(33,22),-1.72615 # DEPENDENCYPART_ARC
(33,23),-1.56702 # DEPENDENCYPART_ARC
(33,24),-1.42497 # DEPENDENCYPART_ARC
(33,25),-1.71037 # DEPENDENCYPART_ARC
(33,26),-1.78621 # DEPENDENCYPART_ARC
(33,27),-1.20841 # DEPENDENCYPART_ARC
(33,28),-0.240235 # DEPENDENCYPART_ARC
(33,29),-0.452741 # DEPENDENCYPART_ARC
(33,30),-0.383344 # DEPENDENCYPART_ARC
(33,32),0.93309 # DEPENDENCYPART_ARC
(33,34),1.04392 # DEPENDENCYPART_ARC
(33,37),-1.03085 # DEPENDENCYPART_ARC
(33,38),-1.30734 # DEPENDENCYPART_ARC
(33,40),-0.574363 # DEPENDENCYPART_ARC
(34,26),-2.11783 # DEPENDENCYPART_ARC
(34,28),-0.461018 # DEPENDENCYPART_ARC
(34,29),-1.12239 # DEPENDENCYPART_ARC
(34,30),-1.08141 # DEPENDENCYPART_ARC
(34,32),-0.920888 # DEPENDENCYPART_ARC
(34,35),0.277274 # DEPENDENCYPART_ARC
(34,36),-0.374329 # DEPENDENCYPART_ARC
(34,37),0.222167 # DEPENDENCYPART_ARC
(34,38),-0.409025 # DEPENDENCYPART_ARC
(34,39),-0.441879 # DEPENDENCYPART_ARC
(34,40),0.0689384 # DEPENDENCYPART_ARC
(35,36),-0.410978 # DEPENDENCYPART_ARC
(35,38),-1.17936 # DEPENDENCYPART_ARC
(36,32),-1.46703 # DEPENDENCYPART_ARC
(36,35),-0.0841285 # DEPENDENCYPART_ARC
(36,38),-1.11903 # DEPENDENCYPART_ARC
(36,39),-1.50412 # DEPENDENCYPART_ARC
(37,29),-1.43164 # DEPENDENCYPART_ARC
(37,30),-1.6065 # DEPENDENCYPART_ARC
(37,32),-1.43071 # DEPENDENCYPART_ARC
(37,35),0.3517 # DEPENDENCYPART_ARC
(37,36),1.57427 # DEPENDENCYPART_ARC
(37,38),0.463693 # DEPENDENCYPART_ARC
(37,39),-1.0112 # DEPENDENCYPART_ARC
(37,40),-1.08477 # DEPENDENCYPART_ARC
(38,36),-1.52453 # DEPENDENCYPART_ARC
(38,37),-0.626036 # DEPENDENCYPART_ARC
(38,39),0.964265 # DEPENDENCYPART_ARC
(39,35),-1.92759 # DEPENDENCYPART_ARC
(39,36),-1.79762 # DEPENDENCYPART_ARC
(39,37),-1.33554 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0446506 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0505078 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.104477 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.100022 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0912719 # DEPENDENCYPART_SIBL
(0,2),(0,33),-0.105663 # DEPENDENCYPART_SIBL
(0,2),(0,34),-0.101979 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.053026 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.108989 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.104534 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0913856 # DEPENDENCYPART_SIBL
(0,3),(0,33),-0.110175 # DEPENDENCYPART_SIBL
(0,3),(0,34),-0.106491 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.103263 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0988079 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0914062 # DEPENDENCYPART_SIBL
(0,5),(0,33),-0.104449 # DEPENDENCYPART_SIBL
(0,5),(0,34),-0.100765 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.162536 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.131702 # DEPENDENCYPART_SIBL
(0,6),(0,33),-0.163794 # DEPENDENCYPART_SIBL
(0,6),(0,34),-0.161746 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.133727 # DEPENDENCYPART_SIBL
(0,10),(0,33),-0.172176 # DEPENDENCYPART_SIBL
(0,10),(0,34),-0.170129 # DEPENDENCYPART_SIBL
(0,21),(0,33),-0.132738 # DEPENDENCYPART_SIBL
(0,21),(0,34),-0.132251 # DEPENDENCYPART_SIBL
(0,33),(0,34),-0.164796 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0247871 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0900486 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0301073 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.135938 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.141093 # DEPENDENCYPART_SIBL
(2,1),(2,40),-0.116477 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0165873 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0169289 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0159765 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00747668 # DEPENDENCYPART_SIBL
(2,3),(2,40),0.0190634 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0173559 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0019899 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0288848 # DEPENDENCYPART_SIBL
(2,4),(2,40),-0.00131145 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0151645 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00766167 # DEPENDENCYPART_SIBL
(2,5),(2,40),0.00398656 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0217208 # DEPENDENCYPART_SIBL
(2,6),(2,40),-0.00470105 # DEPENDENCYPART_SIBL
(2,7),(2,40),0.0203008 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0169206 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0972545 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0522839 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.116449 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.16028 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0413877 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00346472 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0115227 # DEPENDENCYPART_SIBL
(3,1),(3,40),-0.132121 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0255665 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0102993 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0704947 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0836921 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0202743 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0742483 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.082094 # DEPENDENCYPART_SIBL
(3,2),(3,40),-0.00897932 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.016371 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0182628 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0263999 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0102343 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0128243 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0150995 # DEPENDENCYPART_SIBL
(3,4),(3,40),0.000936545 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00822806 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00932838 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0204132 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0308565 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0136878 # DEPENDENCYPART_SIBL
(3,5),(3,40),0.00182858 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.021808 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0195969 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0159565 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0187117 # DEPENDENCYPART_SIBL
(3,6),(3,40),-0.00502849 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.033483 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0441576 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.00307911 # DEPENDENCYPART_SIBL
(3,7),(3,40),0.0186428 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0337891 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0192095 # DEPENDENCYPART_SIBL
(3,8),(3,40),0.0108406 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0270952 # DEPENDENCYPART_SIBL
(3,11),(3,40),0.0518665 # DEPENDENCYPART_SIBL
(3,13),(3,40),-0.0063041 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0102531 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0076965 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.098797 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.171791 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0513191 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.103071 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.193372 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0269289 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.033634 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0200569 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0518742 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0417939 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0209778 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0127254 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0141091 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0563989 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0194965 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0155436 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00520543 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00134669 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0115931 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0096606 # DEPENDENCYPART_SIBL
