# _root_ The Dutch unit , known as Celtona B.V. , is a leading maker of consumer and away-from-home tissue products for the Benelux region .
#goldHeads=3,3,10,3,3,5,8,6,3,0,13,13,10,13,16,19,16,19,14,19,23,23,20,10,
#predictedHeads=3,3,10,3,3,5,8,6,3,0,13,13,10,13,16,14,19,19,16,19,23,23,20,10,
(10,20),-1.39631 # DEPENDENCYPART_ARC
(10,23),-1.71866 # DEPENDENCYPART_ARC
(10,24),0.00931924 # DEPENDENCYPART_ARC
(11,9),-1.18138 # DEPENDENCYPART_ARC
(11,12),-0.154504 # DEPENDENCYPART_ARC
(11,14),-1.19215 # DEPENDENCYPART_ARC
(12,6),-2.352 # DEPENDENCYPART_ARC
(12,9),-2.01761 # DEPENDENCYPART_ARC
(12,10),-1.95294 # DEPENDENCYPART_ARC
(12,11),-0.766329 # DEPENDENCYPART_ARC
(12,13),0.22337 # DEPENDENCYPART_ARC
(12,14),-0.944655 # DEPENDENCYPART_ARC
(12,15),-1.29506 # DEPENDENCYPART_ARC
(12,16),-1.04662 # DEPENDENCYPART_ARC
(12,17),-1.53218 # DEPENDENCYPART_ARC
(12,18),-1.84149 # DEPENDENCYPART_ARC
(12,19),-1.54164 # DEPENDENCYPART_ARC
(12,20),-1.40777 # DEPENDENCYPART_ARC
(12,23),-2.05545 # DEPENDENCYPART_ARC
(12,24),-0.821705 # DEPENDENCYPART_ARC
(13,1),-1.9871 # DEPENDENCYPART_ARC
(13,2),-1.95363 # DEPENDENCYPART_ARC
(13,3),-2.52661 # DEPENDENCYPART_ARC
(13,4),-2.43763 # DEPENDENCYPART_ARC
(13,6),-2.06814 # DEPENDENCYPART_ARC
(13,8),-2.15254 # DEPENDENCYPART_ARC
(13,9),-1.64216 # DEPENDENCYPART_ARC
(13,11),0.0244462 # DEPENDENCYPART_ARC
(13,12),0.961202 # DEPENDENCYPART_ARC
(13,14),0.693581 # DEPENDENCYPART_ARC
(13,15),-0.952875 # DEPENDENCYPART_ARC
(13,16),-0.72167 # DEPENDENCYPART_ARC
(13,17),-1.12006 # DEPENDENCYPART_ARC
(13,18),-1.25749 # DEPENDENCYPART_ARC
(13,19),-1.45327 # DEPENDENCYPART_ARC
(13,20),-0.806297 # DEPENDENCYPART_ARC
(13,23),-1.74273 # DEPENDENCYPART_ARC
(13,24),-0.984026 # DEPENDENCYPART_ARC
(14,12),-1.38515 # DEPENDENCYPART_ARC
(14,15),0.815031 # DEPENDENCYPART_ARC
(14,16),-1.10221 # DEPENDENCYPART_ARC
(14,17),-1.15117 # DEPENDENCYPART_ARC
(14,18),-1.47807 # DEPENDENCYPART_ARC
(14,19),-1.22703 # DEPENDENCYPART_ARC
(14,20),-0.952637 # DEPENDENCYPART_ARC
(14,23),-2.22735 # DEPENDENCYPART_ARC
(15,11),-1.90299 # DEPENDENCYPART_ARC
(15,12),-1.16282 # DEPENDENCYPART_ARC
(15,13),-0.871465 # DEPENDENCYPART_ARC
(15,14),-0.108778 # DEPENDENCYPART_ARC
(15,17),-1.2573 # DEPENDENCYPART_ARC
(15,19),-1.74062 # DEPENDENCYPART_ARC
(15,20),-1.31564 # DEPENDENCYPART_ARC
(16,1),-2.76673 # DEPENDENCYPART_ARC
(16,2),-1.87724 # DEPENDENCYPART_ARC
(16,3),-1.18429 # DEPENDENCYPART_ARC
(16,4),-1.99827 # DEPENDENCYPART_ARC
(16,5),-2.37898 # DEPENDENCYPART_ARC
(16,6),-1.18914 # DEPENDENCYPART_ARC
(16,7),-1.56039 # DEPENDENCYPART_ARC
(16,8),-1.34269 # DEPENDENCYPART_ARC
(16,9),-1.21408 # DEPENDENCYPART_ARC
(16,10),-1.18812 # DEPENDENCYPART_ARC
(16,11),-1.23241 # DEPENDENCYPART_ARC
(16,12),-0.879378 # DEPENDENCYPART_ARC
(16,13),-0.57455 # DEPENDENCYPART_ARC
(16,14),-0.602422 # DEPENDENCYPART_ARC
(16,15),1.24794 # DEPENDENCYPART_ARC
(16,17),0.523251 # DEPENDENCYPART_ARC
(16,18),0.538239 # DEPENDENCYPART_ARC
(16,19),-0.173964 # DEPENDENCYPART_ARC
(16,20),-0.848035 # DEPENDENCYPART_ARC
(16,21),-1.18915 # DEPENDENCYPART_ARC
(16,22),-1.3047 # DEPENDENCYPART_ARC
(16,23),-1.26849 # DEPENDENCYPART_ARC
(16,24),-1.10281 # DEPENDENCYPART_ARC
(17,15),-1.58057 # DEPENDENCYPART_ARC
(17,18),-0.483912 # DEPENDENCYPART_ARC
(17,19),-1.25528 # DEPENDENCYPART_ARC
(17,20),-1.17003 # DEPENDENCYPART_ARC
(18,11),-2.92451 # DEPENDENCYPART_ARC
(18,15),-1.78621 # DEPENDENCYPART_ARC
(18,16),-1.14467 # DEPENDENCYPART_ARC
(18,17),-0.0107615 # DEPENDENCYPART_ARC
(18,19),-0.581526 # DEPENDENCYPART_ARC
(18,20),-0.962355 # DEPENDENCYPART_ARC
(18,23),-2.06148 # DEPENDENCYPART_ARC
(19,5),-1.65664 # DEPENDENCYPART_ARC
(19,11),-1.6767 # DEPENDENCYPART_ARC
(19,12),-0.812885 # DEPENDENCYPART_ARC
(19,13),-1.4714 # DEPENDENCYPART_ARC
(19,14),-1.15973 # DEPENDENCYPART_ARC
(19,15),-0.736771 # DEPENDENCYPART_ARC
(19,16),-0.505423 # DEPENDENCYPART_ARC
(19,17),0.25095 # DEPENDENCYPART_ARC
(19,18),1.78795 # DEPENDENCYPART_ARC
(19,20),0.280094 # DEPENDENCYPART_ARC
(19,21),-1.34167 # DEPENDENCYPART_ARC
(19,22),-1.2043 # DEPENDENCYPART_ARC
(19,23),-1.47955 # DEPENDENCYPART_ARC
(19,24),-1.27558 # DEPENDENCYPART_ARC
(20,15),-1.68986 # DEPENDENCYPART_ARC
(20,18),-1.51631 # DEPENDENCYPART_ARC
(20,19),-0.515133 # DEPENDENCYPART_ARC
(20,21),-0.15313 # DEPENDENCYPART_ARC
(20,22),-0.302293 # DEPENDENCYPART_ARC
(20,23),-0.630586 # DEPENDENCYPART_ARC
(20,24),-1.38491 # DEPENDENCYPART_ARC
(22,21),-0.681784 # DEPENDENCYPART_ARC
(22,23),-0.766546 # DEPENDENCYPART_ARC
(23,11),-2.59711 # DEPENDENCYPART_ARC
(23,13),-1.781 # DEPENDENCYPART_ARC
(23,14),-1.25485 # DEPENDENCYPART_ARC
(23,15),-1.62736 # DEPENDENCYPART_ARC
(23,16),-0.944478 # DEPENDENCYPART_ARC
(23,17),-1.50925 # DEPENDENCYPART_ARC
(23,18),-0.435782 # DEPENDENCYPART_ARC
(23,19),-0.958342 # DEPENDENCYPART_ARC
(23,20),-0.853252 # DEPENDENCYPART_ARC
(23,21),0.547919 # DEPENDENCYPART_ARC
(23,22),1.73152 # DEPENDENCYPART_ARC
(23,24),-0.328146 # DEPENDENCYPART_ARC
(24,23),-0.330962 # DEPENDENCYPART_ARC
(0,3),(0,5),-0.0990649 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0976911 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0975648 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0882621 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.167581 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.168168 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.131806 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.177954 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.146733 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.131715 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0235395 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0119228 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0107756 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0344106 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.013585 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00280589 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.111007 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.238092 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.198991 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.212384 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.113586 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.03984 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0104507 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0104401 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0200306 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0454528 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0126907 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0929226 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0285429 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0487846 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0777536 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0904044 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0139004 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.201431 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.148979 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0258518 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0139004 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.223059 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0849124 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.132739 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0181575 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.308031 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.101748 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0836481 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0377069 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0350323 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0218539 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0836481 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0393812 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0426859 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00845766 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0235985 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0167144 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0481348 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0281174 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0454134 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0396202 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0344254 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0150726 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00548176 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.00269618 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0651554 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0219103 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0184487 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.014178 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00639787 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0616753 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0154301 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00212072 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00704215 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00275343 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0195373 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.00886481 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0119201 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0151677 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0402683 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0437786 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0249491 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0183853 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0570227 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0515654 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0187868 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0318373 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00865064 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0194415 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00551919 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.00563719 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0143511 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0150726 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.00548176 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00269618 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0651554 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0219103 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.0184487 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0243408 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0398454 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0330511 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0217796 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.0245383 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0314883 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.00121688 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0210943 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.00648667 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0135246 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0108354 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.0179982 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0104403 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.0165046 # DEPENDENCYPART_SIBL
(3,14),(3,24),-0.0237278 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0177361 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0117521 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0198486 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00923543 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00932645 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00868396 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0729796 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0493259 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.000444955 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0184402 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.044411 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0275658 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0251437 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0184979 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0407375 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0399353 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.0385808 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0391729 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00514714 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00562079 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.155403 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0290322 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00691202 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0420583 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0086405 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00865144 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0172584 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0405358 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0243071 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.020444 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0228526 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00916808 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.016201 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0174544 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.00911282 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00916808 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0162023 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0174556 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.00911282 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0554507 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.030766 # DEPENDENCYPART_SIBL
(5,9),(5,24),0.00296107 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0230396 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.012181 # DEPENDENCYPART_SIBL
(5,12),(5,24),-0.00610955 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00159189 # DEPENDENCYPART_SIBL
(6,3),(6,5),-2.48054e-06 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00140551 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00110577 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0548876 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0346892 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0124134 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0241573 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0257717 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0696681 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.069461 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.734138 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0841278 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0664464 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.124951 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0894265 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0894265 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0664792 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0202432 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0764492 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0470801 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0662612 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0120408 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0245222 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0691972 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.13495 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0120408 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0245235 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0691972 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.13495 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.01444 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0155946 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0589746 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0123528 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0696199 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.135624 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0710135 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0974149 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0158476 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.140625 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00304734 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0150436 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.00619479 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0157888 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0127164 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.038593 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.000911281 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.042933 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0745093 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0141816 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0395149 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0155455 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0305378 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.00664179 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0323658 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0674337 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0336949 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0550339 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0352889 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.026318 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.118183 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0171026 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0467218 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.00872017 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.213116 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0172491 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.267163 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.00582033 # DEPENDENCYPART_SIBL
(8,1),(8,24),-0.116465 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0663369 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.132581 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.081764 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.00127873 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0727521 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0246148 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0173768 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0191329 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0177104 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0781976 # DEPENDENCYPART_SIBL
(8,2),(8,24),-0.0338992 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0261557 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0327557 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0297462 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.000341258 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0297445 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.00486352 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0399766 # DEPENDENCYPART_SIBL
