# _root_ `` It 's impossible to overstate how much this means to the families of these patients , '' said Samuel Broder , director of the National Cancer Institute and a main developer of AZT .
#goldHeads=19,3,19,3,6,3,8,10,10,6,10,13,11,13,16,14,19,19,0,21,19,21,29,23,28,28,28,24,21,32,32,29,32,33,19,
#predictedHeads=19,3,19,3,6,3,10,7,10,6,10,13,11,13,16,14,19,19,0,21,19,21,21,23,28,28,28,29,24,32,32,29,32,33,19,
(6,22),-1.95305 # DEPENDENCYPART_ARC
(6,29),-1.03619 # DEPENDENCYPART_ARC
(6,35),-1.49389 # DEPENDENCYPART_ARC
(7,8),0.604462 # DEPENDENCYPART_ARC
(8,4),-1.69009 # DEPENDENCYPART_ARC
(8,5),-1.60171 # DEPENDENCYPART_ARC
(8,7),-0.0608172 # DEPENDENCYPART_ARC
(8,10),-0.650989 # DEPENDENCYPART_ARC
(8,11),-0.911203 # DEPENDENCYPART_ARC
(8,13),-1.44277 # DEPENDENCYPART_ARC
(8,14),-1.08871 # DEPENDENCYPART_ARC
(8,18),-1.3852 # DEPENDENCYPART_ARC
(8,23),-1.63772 # DEPENDENCYPART_ARC
(9,10),-0.386326 # DEPENDENCYPART_ARC
(10,1),-0.789504 # DEPENDENCYPART_ARC
(10,2),-1.29415 # DEPENDENCYPART_ARC
(10,3),-1.32741 # DEPENDENCYPART_ARC
(10,4),-1.16592 # DEPENDENCYPART_ARC
(10,5),-0.924603 # DEPENDENCYPART_ARC
(10,6),-1.22306 # DEPENDENCYPART_ARC
(10,7),-0.0685279 # DEPENDENCYPART_ARC
(10,8),-0.492831 # DEPENDENCYPART_ARC
(10,9),0.541237 # DEPENDENCYPART_ARC
(10,11),0.448213 # DEPENDENCYPART_ARC
(10,12),-0.831628 # DEPENDENCYPART_ARC
(10,13),-0.631248 # DEPENDENCYPART_ARC
(10,14),-1.04636 # DEPENDENCYPART_ARC
(10,16),-1.34109 # DEPENDENCYPART_ARC
(10,17),-1.06059 # DEPENDENCYPART_ARC
(10,18),-1.05651 # DEPENDENCYPART_ARC
(10,19),-2.1284 # DEPENDENCYPART_ARC
(10,22),-1.90738 # DEPENDENCYPART_ARC
(10,29),-0.836951 # DEPENDENCYPART_ARC
(10,35),-1.07194 # DEPENDENCYPART_ARC
(11,12),0.196263 # DEPENDENCYPART_ARC
(11,13),-0.101886 # DEPENDENCYPART_ARC
(11,14),-0.939947 # DEPENDENCYPART_ARC
(11,16),-0.982183 # DEPENDENCYPART_ARC
(11,17),-0.685134 # DEPENDENCYPART_ARC
(11,23),-2.49935 # DEPENDENCYPART_ARC
(11,24),-1.49545 # DEPENDENCYPART_ARC
(11,29),-1.07669 # DEPENDENCYPART_ARC
(12,14),-1.20741 # DEPENDENCYPART_ARC
(13,7),-1.90531 # DEPENDENCYPART_ARC
(13,8),-2.00955 # DEPENDENCYPART_ARC
(13,9),-1.67807 # DEPENDENCYPART_ARC
(13,10),-1.22578 # DEPENDENCYPART_ARC
(13,11),-1.14811 # DEPENDENCYPART_ARC
(13,12),1.08952 # DEPENDENCYPART_ARC
(13,14),0.645151 # DEPENDENCYPART_ARC
(13,15),-1.05991 # DEPENDENCYPART_ARC
(13,16),-1.06135 # DEPENDENCYPART_ARC
(13,17),-1.21861 # DEPENDENCYPART_ARC
(13,18),-1.3758 # DEPENDENCYPART_ARC
(13,19),-1.57078 # DEPENDENCYPART_ARC
(13,21),-1.80796 # DEPENDENCYPART_ARC
(13,22),-1.50858 # DEPENDENCYPART_ARC
(13,23),-1.79584 # DEPENDENCYPART_ARC
(13,24),-1.86703 # DEPENDENCYPART_ARC
(13,32),-1.85944 # DEPENDENCYPART_ARC
(13,35),-1.85353 # DEPENDENCYPART_ARC
(14,11),-1.41 # DEPENDENCYPART_ARC
(14,12),-1.30411 # DEPENDENCYPART_ARC
(14,15),-0.0130532 # DEPENDENCYPART_ARC
(14,16),0.0256367 # DEPENDENCYPART_ARC
(14,17),-1.08608 # DEPENDENCYPART_ARC
(14,18),-1.4796 # DEPENDENCYPART_ARC
(14,21),-2.58333 # DEPENDENCYPART_ARC
(14,23),-2.48693 # DEPENDENCYPART_ARC
(14,29),-1.57972 # DEPENDENCYPART_ARC
(16,8),-2.59153 # DEPENDENCYPART_ARC
(16,9),-2.71212 # DEPENDENCYPART_ARC
(16,11),-1.77473 # DEPENDENCYPART_ARC
(16,12),-1.36634 # DEPENDENCYPART_ARC
(16,13),-1.31666 # DEPENDENCYPART_ARC
(16,14),-0.812139 # DEPENDENCYPART_ARC
(16,15),0.999979 # DEPENDENCYPART_ARC
(16,17),-0.148247 # DEPENDENCYPART_ARC
(16,18),-1.38503 # DEPENDENCYPART_ARC
(16,19),-1.77056 # DEPENDENCYPART_ARC
(16,20),-1.73112 # DEPENDENCYPART_ARC
(16,21),-1.88813 # DEPENDENCYPART_ARC
(16,22),-1.46193 # DEPENDENCYPART_ARC
(16,23),-1.95778 # DEPENDENCYPART_ARC
(16,24),-2.04253 # DEPENDENCYPART_ARC
(16,29),-0.984965 # DEPENDENCYPART_ARC
(16,32),-2.27815 # DEPENDENCYPART_ARC
(19,1),-0.722398 # DEPENDENCYPART_ARC
(19,2),-2.20256 # DEPENDENCYPART_ARC
(19,3),-1.47347 # DEPENDENCYPART_ARC
(19,4),-1.69662 # DEPENDENCYPART_ARC
(19,5),-2.12744 # DEPENDENCYPART_ARC
(19,6),-1.37781 # DEPENDENCYPART_ARC
(19,7),-1.34348 # DEPENDENCYPART_ARC
(19,8),-1.61197 # DEPENDENCYPART_ARC
(19,9),-1.97616 # DEPENDENCYPART_ARC
(19,10),-0.999665 # DEPENDENCYPART_ARC
(19,11),-1.81447 # DEPENDENCYPART_ARC
(19,12),-1.84271 # DEPENDENCYPART_ARC
(19,13),-1.92999 # DEPENDENCYPART_ARC
(19,14),-1.4251 # DEPENDENCYPART_ARC
(19,15),-1.50132 # DEPENDENCYPART_ARC
(19,16),-1.71981 # DEPENDENCYPART_ARC
(19,17),-0.226722 # DEPENDENCYPART_ARC
(19,18),0.678359 # DEPENDENCYPART_ARC
(19,20),0.300956 # DEPENDENCYPART_ARC
(19,21),0.0361566 # DEPENDENCYPART_ARC
(19,22),-0.915635 # DEPENDENCYPART_ARC
(19,23),-1.4845 # DEPENDENCYPART_ARC
(19,24),-1.58365 # DEPENDENCYPART_ARC
(19,28),-1.95573 # DEPENDENCYPART_ARC
(19,29),-1.01224 # DEPENDENCYPART_ARC
(19,31),-1.61535 # DEPENDENCYPART_ARC
(19,32),-2.0878 # DEPENDENCYPART_ARC
(19,35),0.627181 # DEPENDENCYPART_ARC
(20,18),-1.98899 # DEPENDENCYPART_ARC
(20,19),-0.669406 # DEPENDENCYPART_ARC
(20,21),-0.678422 # DEPENDENCYPART_ARC
(20,23),-1.95501 # DEPENDENCYPART_ARC
(20,24),-1.96244 # DEPENDENCYPART_ARC
(20,28),-2.6519 # DEPENDENCYPART_ARC
(21,15),-2.40066 # DEPENDENCYPART_ARC
(21,16),-2.12095 # DEPENDENCYPART_ARC
(21,17),-1.97319 # DEPENDENCYPART_ARC
(21,18),-1.59463 # DEPENDENCYPART_ARC
(21,19),-0.766231 # DEPENDENCYPART_ARC
(21,20),1.60102 # DEPENDENCYPART_ARC
(21,22),0.407128 # DEPENDENCYPART_ARC
(21,23),-1.0532 # DEPENDENCYPART_ARC
(21,24),-1.83851 # DEPENDENCYPART_ARC
(21,26),-1.84842 # DEPENDENCYPART_ARC
(21,27),-1.87515 # DEPENDENCYPART_ARC
(21,28),-2.07658 # DEPENDENCYPART_ARC
(21,29),-1.0989 # DEPENDENCYPART_ARC
(21,32),-1.97356 # DEPENDENCYPART_ARC
(21,34),-2.18565 # DEPENDENCYPART_ARC
(21,35),-1.80193 # DEPENDENCYPART_ARC
(23,9),-2.40981 # DEPENDENCYPART_ARC
(23,12),-1.68899 # DEPENDENCYPART_ARC
(23,15),-1.33161 # DEPENDENCYPART_ARC
(23,19),-1.29743 # DEPENDENCYPART_ARC
(23,20),-0.860231 # DEPENDENCYPART_ARC
(23,21),-0.838516 # DEPENDENCYPART_ARC
(23,22),0.0412581 # DEPENDENCYPART_ARC
(23,24),0.759838 # DEPENDENCYPART_ARC
(23,25),-1.04747 # DEPENDENCYPART_ARC
(23,26),-0.989999 # DEPENDENCYPART_ARC
(23,27),-1.19501 # DEPENDENCYPART_ARC
(23,28),-1.42618 # DEPENDENCYPART_ARC
(23,29),-0.437523 # DEPENDENCYPART_ARC
(23,30),-1.0544 # DEPENDENCYPART_ARC
(23,31),-1.04945 # DEPENDENCYPART_ARC
(23,32),-1.26727 # DEPENDENCYPART_ARC
(23,33),-1.37893 # DEPENDENCYPART_ARC
(23,34),-1.61956 # DEPENDENCYPART_ARC
(23,35),-0.988812 # DEPENDENCYPART_ARC
(24,22),-1.3258 # DEPENDENCYPART_ARC
(24,25),-0.0216992 # DEPENDENCYPART_ARC
(24,26),-0.251392 # DEPENDENCYPART_ARC
(24,27),-0.98295 # DEPENDENCYPART_ARC
(24,28),-0.786522 # DEPENDENCYPART_ARC
(24,29),-1.04917 # DEPENDENCYPART_ARC
(24,32),-1.90259 # DEPENDENCYPART_ARC
(24,33),-1.10633 # DEPENDENCYPART_ARC
(24,34),-2.17379 # DEPENDENCYPART_ARC
(25,24),-0.590788 # DEPENDENCYPART_ARC
(26,25),-0.711299 # DEPENDENCYPART_ARC
(26,27),-0.516378 # DEPENDENCYPART_ARC
(26,28),-1.55529 # DEPENDENCYPART_ARC
(26,32),-1.84433 # DEPENDENCYPART_ARC
(26,33),-1.63308 # DEPENDENCYPART_ARC
(27,25),-1.22925 # DEPENDENCYPART_ARC
(27,26),-0.295576 # DEPENDENCYPART_ARC
(27,28),-0.783042 # DEPENDENCYPART_ARC
(27,32),-1.848 # DEPENDENCYPART_ARC
(27,33),-1.76397 # DEPENDENCYPART_ARC
(28,20),-1.65845 # DEPENDENCYPART_ARC
(28,21),-2.41874 # DEPENDENCYPART_ARC
(28,23),-1.03704 # DEPENDENCYPART_ARC
(28,25),-0.193032 # DEPENDENCYPART_ARC
(28,26),0.527171 # DEPENDENCYPART_ARC
(28,27),1.52613 # DEPENDENCYPART_ARC
(28,32),-1.6029 # DEPENDENCYPART_ARC
(28,33),-1.59602 # DEPENDENCYPART_ARC
(29,1),-0.867983 # DEPENDENCYPART_ARC
(29,3),-2.88942 # DEPENDENCYPART_ARC
(29,4),-2.64473 # DEPENDENCYPART_ARC
(29,5),-2.01134 # DEPENDENCYPART_ARC
(29,6),-2.75892 # DEPENDENCYPART_ARC
(29,8),-2.07203 # DEPENDENCYPART_ARC
(29,9),-2.66969 # DEPENDENCYPART_ARC
(29,10),-2.33181 # DEPENDENCYPART_ARC
(29,11),-1.71636 # DEPENDENCYPART_ARC
(29,12),-3.37204 # DEPENDENCYPART_ARC
(29,13),-1.71565 # DEPENDENCYPART_ARC
(29,14),-1.43022 # DEPENDENCYPART_ARC
(29,15),-2.14088 # DEPENDENCYPART_ARC
(29,16),-1.4138 # DEPENDENCYPART_ARC
(29,17),-1.62065 # DEPENDENCYPART_ARC
(29,19),-1.57998 # DEPENDENCYPART_ARC
(29,20),-1.53085 # DEPENDENCYPART_ARC
(29,21),-1.38299 # DEPENDENCYPART_ARC
(29,22),-0.755664 # DEPENDENCYPART_ARC
(29,23),-0.700916 # DEPENDENCYPART_ARC
(29,24),-1.13669 # DEPENDENCYPART_ARC
(29,25),-1.22553 # DEPENDENCYPART_ARC
(29,26),-0.730701 # DEPENDENCYPART_ARC
(29,27),-0.617698 # DEPENDENCYPART_ARC
(29,28),0.65754 # DEPENDENCYPART_ARC
(29,30),-0.0260281 # DEPENDENCYPART_ARC
(29,31),-0.64076 # DEPENDENCYPART_ARC
(29,32),-0.503416 # DEPENDENCYPART_ARC
(29,33),-1.28872 # DEPENDENCYPART_ARC
(29,34),-1.19378 # DEPENDENCYPART_ARC
(29,35),-1.24086 # DEPENDENCYPART_ARC
(30,31),-0.458773 # DEPENDENCYPART_ARC
(30,33),-1.23479 # DEPENDENCYPART_ARC
(31,27),-1.22424 # DEPENDENCYPART_ARC
(31,28),-1.16143 # DEPENDENCYPART_ARC
(31,30),-0.106808 # DEPENDENCYPART_ARC
(31,33),-0.981973 # DEPENDENCYPART_ARC
(31,34),-1.41474 # DEPENDENCYPART_ARC
(32,24),-1.3658 # DEPENDENCYPART_ARC
(32,25),-1.83122 # DEPENDENCYPART_ARC
(32,26),-1.30415 # DEPENDENCYPART_ARC
(32,27),-0.998527 # DEPENDENCYPART_ARC
(32,28),-1.37743 # DEPENDENCYPART_ARC
(32,30),0.203908 # DEPENDENCYPART_ARC
(32,31),1.45697 # DEPENDENCYPART_ARC
(32,33),0.74832 # DEPENDENCYPART_ARC
(32,34),-0.74704 # DEPENDENCYPART_ARC
(32,35),-0.832169 # DEPENDENCYPART_ARC
(33,31),-1.4467 # DEPENDENCYPART_ARC
(33,34),0.775297 # DEPENDENCYPART_ARC
(34,25),-3.09553 # DEPENDENCYPART_ARC
(34,30),-1.99757 # DEPENDENCYPART_ARC
(34,31),-1.85655 # DEPENDENCYPART_ARC
(34,35),-0.391193 # DEPENDENCYPART_ARC
(35,33),-1.03324 # DEPENDENCYPART_ARC
(0,3),(0,6),-0.168037 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0478116 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0681978 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.168591 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.194545 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0470392 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0595391 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.164806 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.189686 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.00312068 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0766073 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0858453 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.067962 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0668696 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.185181 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0946251 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0755251 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0415955 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0615825 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0595538 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.093254 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0415955 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0619781 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0882667 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.516221 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0606259 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0882667 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.1057 # DEPENDENCYPART_SIBL
(3,1),(3,35),0.185232 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.206648 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0603814 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.22178 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.178916 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.255069 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0603814 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.177028 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0461489 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.138325 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.230019 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0461489 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.156939 # DEPENDENCYPART_SIBL
(3,2),(3,35),0.232211 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0706812 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0995787 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00555419 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0938259 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0706812 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0449569 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.06302 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0602948 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.116832 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.06302 # DEPENDENCYPART_SIBL
(3,4),(3,29),0.0130501 # DEPENDENCYPART_SIBL
(3,4),(3,35),0.0829717 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00247162 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0441066 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00189532 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.086134 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00771631 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0139115 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.00257997 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.00521922 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0139115 # DEPENDENCYPART_SIBL
(3,5),(3,29),-0.0562973 # DEPENDENCYPART_SIBL
(3,5),(3,35),0.0204884 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0350457 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0189637 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.031935 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0105454 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0167543 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0409514 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0242404 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0167543 # DEPENDENCYPART_SIBL
(3,6),(3,29),-0.075115 # DEPENDENCYPART_SIBL
(3,6),(3,35),0.0200558 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0042979 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.052414 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0136986 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.00279909 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0213743 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0288995 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.00279909 # DEPENDENCYPART_SIBL
(3,8),(3,29),-0.0400779 # DEPENDENCYPART_SIBL
(3,8),(3,35),0.000157978 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0266393 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.00565578 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0143365 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0519513 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.00983074 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0143365 # DEPENDENCYPART_SIBL
(3,10),(3,29),-0.0779245 # DEPENDENCYPART_SIBL
(3,10),(3,35),0.0432273 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.00771631 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0139115 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.00257997 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.00521922 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0139115 # DEPENDENCYPART_SIBL
(3,11),(3,29),-0.0562973 # DEPENDENCYPART_SIBL
(3,11),(3,35),0.0204884 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.01376 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0185282 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0302396 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.01376 # DEPENDENCYPART_SIBL
(3,13),(3,29),-0.0684696 # DEPENDENCYPART_SIBL
(3,13),(3,35),-0.00293263 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0404548 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.0379578 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.0192489 # DEPENDENCYPART_SIBL
(3,17),(3,29),-0.0469815 # DEPENDENCYPART_SIBL
(3,17),(3,35),-0.0228364 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0303052 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.05533 # DEPENDENCYPART_SIBL
(3,18),(3,29),-0.0288194 # DEPENDENCYPART_SIBL
(3,18),(3,35),-0.0809522 # DEPENDENCYPART_SIBL
(3,19),(3,22),0.0219275 # DEPENDENCYPART_SIBL
(3,19),(3,29),-0.0538411 # DEPENDENCYPART_SIBL
(3,19),(3,35),0.0538516 # DEPENDENCYPART_SIBL
(3,22),(3,29),-0.0469815 # DEPENDENCYPART_SIBL
(3,22),(3,35),-0.0228364 # DEPENDENCYPART_SIBL
(3,29),(3,35),0.0453894 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0355015 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0434007 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0582784 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0221579 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0660063 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0857649 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.054404 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0780541 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0296812 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0252284 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0343181 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00035151 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0284101 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00382931 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0202159 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.000653877 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0166075 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.00340238 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0022232 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00274075 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0427317 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.00824391 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0048809 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.00742714 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0140098 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0384317 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.00372181 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0436072 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0176547 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0013651 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0395306 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00336534 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.028503 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.00871324 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0347469 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0649718 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0222257 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00282207 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0252974 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0101292 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.033588 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0340233 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00552819 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0102594 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.022392 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.00721012 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0654242 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.452836 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0654242 # DEPENDENCYPART_SIBL
(6,1),(6,29),-0.00831224 # DEPENDENCYPART_SIBL
(6,1),(6,35),0.0338669 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0220331 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.123371 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.207802 # DEPENDENCYPART_SIBL
