# _root_ The `` anti-hooligan '' law , which would deprive troublemakers of cards , must be ratified by the House of Lords and is expected to become effective early next year .
#goldHeads=5,5,5,5,22,5,8,5,8,9,9,11,5,22,14,15,16,19,17,19,20,0,22,23,26,24,26,30,30,26,22,
#predictedHeads=5,5,5,5,14,5,8,5,8,9,10,11,5,0,14,15,16,19,22,19,20,17,22,23,26,24,26,30,30,26,14,
(0,5),(0,8),-0.0500075 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.10448 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0430012 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.112452 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.10448 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0913014 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.105401 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.109845 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.102399 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.10483 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0483105 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.105077 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.10483 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0892796 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.105105 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.105248 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.105125 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0657466 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.170993 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.164276 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.131702 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.163624 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.165526 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.165983 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0933928 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.093121 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0818366 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0953442 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.0935391 # DEPENDENCYPART_SIBL
(0,14),(0,26),-0.0933995 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.175167 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.134704 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.173231 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.176432 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.176873 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.131702 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.163624 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.165526 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.165983 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.13746 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.133283 # DEPENDENCYPART_SIBL
(0,22),(0,26),-0.128059 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.179205 # DEPENDENCYPART_SIBL
(0,23),(0,26),-0.179661 # DEPENDENCYPART_SIBL
(0,24),(0,26),-0.162175 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0341213 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.139979 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.107294 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.220383 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.121328 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.168892 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.434205 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.185446 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.182884 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.563926 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0413902 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.187188 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0474132 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0445451 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0883742 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0691509 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0672838 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0685246 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0115933 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0207251 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0165051 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0697438 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0181148 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0185891 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0149798 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0102335 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.00398846 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00402628 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.00817061 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.000722447 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00497516 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0300842 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0177491 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00993115 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0320394 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.000637091 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0158747 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0207139 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.002969 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0437054 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.00842669 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.00305071 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.00832555 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0732378 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.00783838 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.121438 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0729274 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.307721 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0153281 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00324956 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.15526 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0268009 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.288824 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0268019 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0153281 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.032994 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.155525 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.158159 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0608788 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0220047 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.00309409 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.243277 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.228041 # DEPENDENCYPART_SIBL
(5,1),(5,31),-0.113755 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.071043 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.760941 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.145621 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0633113 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00513568 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0353542 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.135145 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0338174 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.145621 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0628179 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0168698 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.000663256 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0269076 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0459001 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0413953 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0162815 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.0194776 # DEPENDENCYPART_SIBL
(5,2),(5,31),0.000631071 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.292494 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0531404 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0221585 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0151659 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0459891 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0222076 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0459902 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0531404 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0382108 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0390438 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0151657 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0584807 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0363462 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0626165 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.019937 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.0366704 # DEPENDENCYPART_SIBL
(5,3),(5,31),-0.0444629 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0154325 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0096332 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0156627 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0216694 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00861639 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0216703 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0154325 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.00353849 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.00681201 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.00668038 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0495398 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0169532 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.00300704 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0228545 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0128888 # DEPENDENCYPART_SIBL
(5,4),(5,31),0.0369137 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0157237 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.000894067 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0101703 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0192092 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0101699 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0200268 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0154183 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.00295993 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.00338893 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0390176 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.00541076 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.00256911 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.0096502 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.00433895 # DEPENDENCYPART_SIBL
(5,6),(5,31),-0.0178343 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.000704077 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0032776 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0137827 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.00327726 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0495481 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0186525 # DEPENDENCYPART_SIBL
