# _root_ The company 's conduct `` does not even raise a question of wrongful corporate intent , ratification or cover-up , '' GE 's brief asserts .
#goldHeads=2,4,2,6,6,25,6,6,6,11,9,11,18,18,18,18,18,12,18,25,25,24,22,25,0,25,
#predictedHeads=2,4,2,6,6,25,6,6,6,11,9,11,15,15,18,18,18,12,18,25,25,24,22,25,0,25,
(13,12),-0.687669 # DEPENDENCYPART_ARC
(13,14),-0.397479 # DEPENDENCYPART_ARC
(13,24),-1.81543 # DEPENDENCYPART_ARC
(14,8),-1.39428 # DEPENDENCYPART_ARC
(14,10),-1.39352 # DEPENDENCYPART_ARC
(14,11),-1.01469 # DEPENDENCYPART_ARC
(14,13),-0.0804061 # DEPENDENCYPART_ARC
(15,4),-2.0606 # DEPENDENCYPART_ARC
(15,5),-1.10655 # DEPENDENCYPART_ARC
(15,10),-1.25141 # DEPENDENCYPART_ARC
(15,11),-1.14262 # DEPENDENCYPART_ARC
(15,12),-0.995528 # DEPENDENCYPART_ARC
(15,13),0.375521 # DEPENDENCYPART_ARC
(15,14),1.51711 # DEPENDENCYPART_ARC
(15,16),0.34913 # DEPENDENCYPART_ARC
(15,17),-1.17226 # DEPENDENCYPART_ARC
(15,18),-1.21126 # DEPENDENCYPART_ARC
(15,19),-1.47909 # DEPENDENCYPART_ARC
(15,20),-1.0689 # DEPENDENCYPART_ARC
(15,21),-1.03311 # DEPENDENCYPART_ARC
(15,22),-1.85211 # DEPENDENCYPART_ARC
(15,24),-1.96758 # DEPENDENCYPART_ARC
(15,25),-1.7133 # DEPENDENCYPART_ARC
(15,26),-1.65595 # DEPENDENCYPART_ARC
(17,10),-2.25601 # DEPENDENCYPART_ARC
(17,13),-1.75574 # DEPENDENCYPART_ARC
(17,14),-1.59666 # DEPENDENCYPART_ARC
(17,15),-1.19476 # DEPENDENCYPART_ARC
(17,16),-0.227861 # DEPENDENCYPART_ARC
(17,19),-1.16027 # DEPENDENCYPART_ARC
(17,20),-1.33286 # DEPENDENCYPART_ARC
(17,22),-2.0058 # DEPENDENCYPART_ARC
(17,24),-2.14026 # DEPENDENCYPART_ARC
(18,1),-2.1974 # DEPENDENCYPART_ARC
(18,2),-1.01969 # DEPENDENCYPART_ARC
(18,4),-1.30529 # DEPENDENCYPART_ARC
(18,5),-1.18303 # DEPENDENCYPART_ARC
(18,6),-1.63747 # DEPENDENCYPART_ARC
(18,7),-1.26412 # DEPENDENCYPART_ARC
(18,8),-1.52514 # DEPENDENCYPART_ARC
(18,9),-1.26993 # DEPENDENCYPART_ARC
(18,10),-1.14752 # DEPENDENCYPART_ARC
(18,11),-1.10249 # DEPENDENCYPART_ARC
(18,12),-1.46288 # DEPENDENCYPART_ARC
(18,13),-1.05109 # DEPENDENCYPART_ARC
(18,14),-0.839802 # DEPENDENCYPART_ARC
(18,15),-0.235474 # DEPENDENCYPART_ARC
(18,16),0.399087 # DEPENDENCYPART_ARC
(18,17),2.31382 # DEPENDENCYPART_ARC
(18,19),1.93521 # DEPENDENCYPART_ARC
(18,20),-0.350875 # DEPENDENCYPART_ARC
(18,21),-1.00476 # DEPENDENCYPART_ARC
(18,22),-1.20453 # DEPENDENCYPART_ARC
(18,24),-1.63366 # DEPENDENCYPART_ARC
(18,25),-1.97307 # DEPENDENCYPART_ARC
(18,26),-2.33488 # DEPENDENCYPART_ARC
(19,10),-2.71338 # DEPENDENCYPART_ARC
(19,15),-2.13252 # DEPENDENCYPART_ARC
(19,16),-1.64403 # DEPENDENCYPART_ARC
(19,17),-0.672749 # DEPENDENCYPART_ARC
(19,18),0.00198996 # DEPENDENCYPART_ARC
(19,20),-0.254764 # DEPENDENCYPART_ARC
(19,21),-1.71785 # DEPENDENCYPART_ARC
(19,22),-1.9326 # DEPENDENCYPART_ARC
(19,24),-2.22758 # DEPENDENCYPART_ARC
(19,25),-2.30972 # DEPENDENCYPART_ARC
(22,13),-1.52192 # DEPENDENCYPART_ARC
(22,14),-1.50964 # DEPENDENCYPART_ARC
(22,15),-1.80469 # DEPENDENCYPART_ARC
(22,17),-1.61401 # DEPENDENCYPART_ARC
(22,18),-1.33625 # DEPENDENCYPART_ARC
(22,19),-1.345 # DEPENDENCYPART_ARC
(22,20),-0.968608 # DEPENDENCYPART_ARC
(22,21),0.447104 # DEPENDENCYPART_ARC
(22,23),1.03895 # DEPENDENCYPART_ARC
(22,24),-0.878951 # DEPENDENCYPART_ARC
(22,25),-0.682943 # DEPENDENCYPART_ARC
(22,26),-1.17754 # DEPENDENCYPART_ARC
(23,26),-1.01767 # DEPENDENCYPART_ARC
(24,10),-1.79052 # DEPENDENCYPART_ARC
(24,14),-1.68176 # DEPENDENCYPART_ARC
(24,15),-1.97832 # DEPENDENCYPART_ARC
(24,17),-2.1715 # DEPENDENCYPART_ARC
(24,18),-1.64227 # DEPENDENCYPART_ARC
(24,19),-1.73043 # DEPENDENCYPART_ARC
(24,21),-1.16585 # DEPENDENCYPART_ARC
(24,22),0.193575 # DEPENDENCYPART_ARC
(24,23),-0.0960351 # DEPENDENCYPART_ARC
(24,25),-0.375526 # DEPENDENCYPART_ARC
(25,2),-1.35579 # DEPENDENCYPART_ARC
(25,4),-1.10003 # DEPENDENCYPART_ARC
(25,5),-0.358244 # DEPENDENCYPART_ARC
(25,6),-1.30898 # DEPENDENCYPART_ARC
(25,7),-1.198 # DEPENDENCYPART_ARC
(25,8),-1.77199 # DEPENDENCYPART_ARC
(25,9),-1.36528 # DEPENDENCYPART_ARC
(25,11),-0.590406 # DEPENDENCYPART_ARC
(25,12),-1.00429 # DEPENDENCYPART_ARC
(25,13),-1.07562 # DEPENDENCYPART_ARC
(25,15),-0.642769 # DEPENDENCYPART_ARC
(25,16),-1.53925 # DEPENDENCYPART_ARC
(25,17),-1.60558 # DEPENDENCYPART_ARC
(25,18),-1.18326 # DEPENDENCYPART_ARC
(25,19),-1.66544 # DEPENDENCYPART_ARC
(25,20),-0.806446 # DEPENDENCYPART_ARC
(25,21),-0.524458 # DEPENDENCYPART_ARC
(25,22),-0.286512 # DEPENDENCYPART_ARC
(25,24),0.984917 # DEPENDENCYPART_ARC
(25,26),0.821898 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.045616 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.119651 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0362047 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.11299 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.111343 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.109792 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0299202 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.103132 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.101484 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0574537 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.164245 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.162074 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0863114 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.0824008 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.163776 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.345707 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0445157 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0353171 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.142579 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0957149 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.103079 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.126149 # DEPENDENCYPART_SIBL
(2,1),(2,26),-0.164999 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00763682 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0311713 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0392458 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0347453 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0299353 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0436883 # DEPENDENCYPART_SIBL
(2,3),(2,26),-0.0211153 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0247026 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0231171 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0128932 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0238416 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0229764 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0162582 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0198894 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0264341 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0351799 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0128395 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.109915 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00546338 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00965541 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.00871803 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.00536443 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0145717 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0207319 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.00707717 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0225555 # DEPENDENCYPART_SIBL
(2,8),(2,26),0.00290033 # DEPENDENCYPART_SIBL
(2,9),(2,26),-0.0113259 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00433939 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.073974 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0133799 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.153603 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0289327 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0413772 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.132907 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00238631 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.267873 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.00872011 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.00872011 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.116465 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0401548 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.000802812 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0564438 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00215474 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0192559 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0386066 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0306308 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.031708 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0610152 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0610152 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.032464 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0106348 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0349815 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0238604 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0272413 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0249509 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0254233 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0137627 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0144544 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0144544 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0805642 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0259794 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0267056 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0354514 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0189264 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0638757 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0285751 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0186261 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0186261 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.110815 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00794215 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0121342 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00369648 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0117412 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0463427 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0120614 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0120614 # DEPENDENCYPART_SIBL
(4,6),(4,26),0.00366984 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0130356 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0134425 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0097604 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.00122162 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0138782 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0138782 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.00491179 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0156748 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0270276 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0115262 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.00280842 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.00280842 # DEPENDENCYPART_SIBL
(4,8),(4,26),0.00465705 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0135998 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0122754 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.012188 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.012188 # DEPENDENCYPART_SIBL
(4,9),(4,26),-0.0130207 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.00567177 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0214998 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0214998 # DEPENDENCYPART_SIBL
(4,11),(4,26),0.0303524 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0225044 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0225044 # DEPENDENCYPART_SIBL
(4,12),(4,26),-0.0112069 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.036982 # DEPENDENCYPART_SIBL
(4,16),(4,26),-0.00261008 # DEPENDENCYPART_SIBL
(4,20),(4,26),-0.00261008 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0631408 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0540275 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0202823 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0127614 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0567354 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0130393 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.041532 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.243955 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0153904 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0187161 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0318196 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0190383 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0198542 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0369321 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0190383 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0528394 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.0224853 # DEPENDENCYPART_SIBL
(6,1),(6,26),-0.102974 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.118285 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0346619 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0494853 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.034763 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0691157 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.06355 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0560015 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.027409 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0360293 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0499774 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0560349 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0389187 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0493792 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0560349 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0394155 # DEPENDENCYPART_SIBL
(6,2),(6,25),0.0781325 # DEPENDENCYPART_SIBL
(6,2),(6,26),-0.0120283 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.028539 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0469795 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0366834 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0173487 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0415648 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0451186 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0203999 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0290202 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.027484 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0333756 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.00626728 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.027394 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0333756 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0240224 # DEPENDENCYPART_SIBL
(6,4),(6,25),0.0285412 # DEPENDENCYPART_SIBL
(6,4),(6,26),-0.0416057 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00239086 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00350151 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0259651 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.00717158 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0113771 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.00242491 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.00240961 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0118161 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0349446 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0158707 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0184962 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0349446 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.494207 # DEPENDENCYPART_SIBL
(6,5),(6,25),0.029907 # DEPENDENCYPART_SIBL
(6,5),(6,26),0.0250821 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0271658 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.1311 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0175115 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00293954 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.118889 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.118503 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0243333 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.00558132 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0232878 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0195782 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.00558132 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0604722 # DEPENDENCYPART_SIBL
(6,7),(6,25),0.13629 # DEPENDENCYPART_SIBL
(6,7),(6,26),0.112281 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0452257 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0319513 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.021627 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.00339099 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.00377737 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0251295 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0351324 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0108288 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0298846 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0351324 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.000806008 # DEPENDENCYPART_SIBL
(6,8),(6,25),0.0505546 # DEPENDENCYPART_SIBL
(6,8),(6,26),0.0514953 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0161276 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0281475 # DEPENDENCYPART_SIBL
