# _root_ Two old friends , George Bush and Deng Xiaoping , are trying to limit further damage to U.S.-China ties .
#goldHeads=3,3,11,3,6,7,3,9,7,3,0,11,14,12,16,14,16,19,17,11,
#predictedHeads=3,3,11,3,6,7,3,9,7,3,0,11,14,12,16,14,16,19,17,11,
(12,10),-1.53643 # DEPENDENCYPART_ARC
(12,11),-0.915697 # DEPENDENCYPART_ARC
(12,13),0.257114 # DEPENDENCYPART_ARC
(12,14),0.00473123 # DEPENDENCYPART_ARC
(12,15),-1.21248 # DEPENDENCYPART_ARC
(12,16),-0.911209 # DEPENDENCYPART_ARC
(12,17),-1.16163 # DEPENDENCYPART_ARC
(12,19),-1.25392 # DEPENDENCYPART_ARC
(12,20),-0.767195 # DEPENDENCYPART_ARC
(13,10),-1.16051 # DEPENDENCYPART_ARC
(13,14),-0.43622 # DEPENDENCYPART_ARC
(13,15),-1.34235 # DEPENDENCYPART_ARC
(13,16),-1.69561 # DEPENDENCYPART_ARC
(13,17),-1.641 # DEPENDENCYPART_ARC
(13,19),-2.42692 # DEPENDENCYPART_ARC
(14,3),-1.40687 # DEPENDENCYPART_ARC
(14,4),-2.36774 # DEPENDENCYPART_ARC
(14,7),-1.40392 # DEPENDENCYPART_ARC
(14,9),-2.36855 # DEPENDENCYPART_ARC
(14,10),-1.58321 # DEPENDENCYPART_ARC
(14,11),-1.42663 # DEPENDENCYPART_ARC
(14,13),1.13338 # DEPENDENCYPART_ARC
(14,15),0.122946 # DEPENDENCYPART_ARC
(14,16),0.104847 # DEPENDENCYPART_ARC
(14,17),-0.823348 # DEPENDENCYPART_ARC
(14,18),-0.734374 # DEPENDENCYPART_ARC
(14,19),-0.509499 # DEPENDENCYPART_ARC
(14,20),-0.761358 # DEPENDENCYPART_ARC
(15,13),-1.23448 # DEPENDENCYPART_ARC
(15,14),-0.0634183 # DEPENDENCYPART_ARC
(15,16),-0.264658 # DEPENDENCYPART_ARC
(15,17),-0.886421 # DEPENDENCYPART_ARC
(15,19),-1.48815 # DEPENDENCYPART_ARC
(16,9),-2.84672 # DEPENDENCYPART_ARC
(16,11),-1.29365 # DEPENDENCYPART_ARC
(16,12),-1.23511 # DEPENDENCYPART_ARC
(16,13),-1.44583 # DEPENDENCYPART_ARC
(16,14),-0.582126 # DEPENDENCYPART_ARC
(16,15),1.51946 # DEPENDENCYPART_ARC
(16,17),0.0903987 # DEPENDENCYPART_ARC
(16,18),-0.826155 # DEPENDENCYPART_ARC
(16,19),-1.45161 # DEPENDENCYPART_ARC
(16,20),-1.18796 # DEPENDENCYPART_ARC
(17,16),-0.356514 # DEPENDENCYPART_ARC
(17,18),0.227141 # DEPENDENCYPART_ARC
(17,19),-0.624213 # DEPENDENCYPART_ARC
(17,20),-0.869387 # DEPENDENCYPART_ARC
(18,15),-2.49844 # DEPENDENCYPART_ARC
(18,16),-1.95718 # DEPENDENCYPART_ARC
(18,19),-0.417782 # DEPENDENCYPART_ARC
(18,20),-1.24004 # DEPENDENCYPART_ARC
(19,12),-1.27073 # DEPENDENCYPART_ARC
(19,13),-1.78421 # DEPENDENCYPART_ARC
(19,14),-0.991251 # DEPENDENCYPART_ARC
(19,15),-0.604853 # DEPENDENCYPART_ARC
(19,16),-0.629487 # DEPENDENCYPART_ARC
(19,17),-0.584816 # DEPENDENCYPART_ARC
(19,18),1.78042 # DEPENDENCYPART_ARC
(19,20),-0.224544 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0389761 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0634652 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0388161 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0874209 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0873599 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0873336 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0912498 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0506227 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.100661 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0979582 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.104715 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0609008 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.132401 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.132251 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.132251 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.100359 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0976564 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.104413 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.178155 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.175579 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.163569 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0529707 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0153547 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0152968 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0267249 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0153547 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0529707 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0157213 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.109114 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.107449 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.124676 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.109114 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.197283 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.110057 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0064314 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.00452409 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.00538517 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0360712 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0151507 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00333908 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.00552609 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.036859 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0157646 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0137486 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0876984 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0241509 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0360712 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0159037 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.110057 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.010346 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.067194 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0103448 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0869182 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0240395 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0156528 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0314704 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0860057 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.017157 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0314704 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0919789 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.073751 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0500633 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0509159 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.259942 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0500643 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0500643 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.073751 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0630197 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0481703 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00111343 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.053693 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.054544 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0500563 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0346523 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0343428 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0271908 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.026576 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0781304 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0271874 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0271874 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0343428 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0185592 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.02385 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0423474 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0432704 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0333048 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0272111 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0315166 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0367233 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0328586 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0148979 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0367132 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0367233 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0337319 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00719245 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00783697 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0410798 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0166605 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0314095 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0387795 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.00639584 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0148543 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0368829 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0129724 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0129682 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0151905 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0247487 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0145361 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00272588 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0194381 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.00190833 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0128883 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0189111 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0385836 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0136353 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0136311 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0151279 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.024734 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0144885 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00255305 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0193904 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.00101454 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0135512 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0172398 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0325609 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0325583 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0232497 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0188577 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0165226 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.015562 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0137717 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.00685115 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0321491 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.000508986 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0126018 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0151785 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0239998 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0137871 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00272988 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0186891 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.00190427 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0125219 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0196594 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0151908 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0239954 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0137828 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00272554 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0186847 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.00190863 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0124943 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0196644 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.00719245 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00783697 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0410798 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0166605 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0314095 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0387795 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.00639584 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.01545 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.000995083 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0101126 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.000728843 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.00224686 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.0379839 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0143028 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0141167 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0120882 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.02223 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0169172 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.00514407 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.00262926 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.00198772 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.0610279 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.00832027 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0194586 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.00647598 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0116545 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.00297786 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.0179264 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0922642 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0614291 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0246196 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0534805 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.259942 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0526289 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.079378 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0632524 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0399393 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.100196 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0216947 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0791613 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0223062 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0248564 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0198233 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0412177 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0206536 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00795753 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0190164 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.052077 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0508494 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00856484 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0346062 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0156415 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.140625 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00817257 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0387407 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0127092 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0153255 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0248495 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.031479 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0236044 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0186595 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0153884 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0241109 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.010641 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0272152 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0996651 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0403428 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0788728 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.017793 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.017793 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0272823 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0154333 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0370449 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00309709 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00384099 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0184014 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.016921 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0364864 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0699417 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0301158 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0348829 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0111235 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0111172 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.138216 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00379932 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00497877 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0440988 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0426183 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0389338 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0596652 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0325944 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0325918 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0235787 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.019867 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0126438 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0154855 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0250176 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0154979 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0250132 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.00616052 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0225832 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0358747 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0201785 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0380155 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0662305 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0587042 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0616661 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0092449 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0564729 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0651056 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0658663 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0405822 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0398004 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0552388 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.059528 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00675817 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0706143 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.00476904 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0400826 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.010298 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.01326 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0241921 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0664271 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0810848 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0732022 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.408453 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.00784492 # DEPENDENCYPART_SIBL
