# _root_ `` We are still only half way through the turnaround of this company , and there are many more things to do , '' President Kume says .
#goldHeads=27,3,15,3,7,7,8,3,10,8,10,13,11,15,27,17,15,19,20,17,22,20,27,27,26,27,0,27,
#predictedHeads=27,3,15,3,7,7,3,3,10,8,10,13,11,15,27,17,15,19,20,17,22,20,27,27,26,27,0,27,
(15,1),-1.24027 # DEPENDENCYPART_ARC
(15,2),-1.6226 # DEPENDENCYPART_ARC
(15,3),-1.13296 # DEPENDENCYPART_ARC
(15,4),-1.49468 # DEPENDENCYPART_ARC
(15,5),-1.39872 # DEPENDENCYPART_ARC
(15,6),-1.806 # DEPENDENCYPART_ARC
(15,7),-1.23324 # DEPENDENCYPART_ARC
(15,8),-1.35532 # DEPENDENCYPART_ARC
(15,9),-1.78519 # DEPENDENCYPART_ARC
(15,10),-1.17073 # DEPENDENCYPART_ARC
(15,11),-1.23329 # DEPENDENCYPART_ARC
(15,12),-0.850133 # DEPENDENCYPART_ARC
(15,13),-0.776357 # DEPENDENCYPART_ARC
(15,14),1.50176 # DEPENDENCYPART_ARC
(15,17),0.257696 # DEPENDENCYPART_ARC
(15,18),-1.19072 # DEPENDENCYPART_ARC
(15,19),-1.32382 # DEPENDENCYPART_ARC
(15,20),-1.3311 # DEPENDENCYPART_ARC
(15,21),-1.57607 # DEPENDENCYPART_ARC
(15,22),-1.78398 # DEPENDENCYPART_ARC
(15,23),-1.18546 # DEPENDENCYPART_ARC
(15,24),-1.25296 # DEPENDENCYPART_ARC
(15,26),-2.85517 # DEPENDENCYPART_ARC
(15,27),-2.46769 # DEPENDENCYPART_ARC
(15,28),-1.16313 # DEPENDENCYPART_ARC
(17,1),-0.883823 # DEPENDENCYPART_ARC
(17,3),-1.38257 # DEPENDENCYPART_ARC
(17,4),-1.77683 # DEPENDENCYPART_ARC
(17,5),-1.59823 # DEPENDENCYPART_ARC
(17,6),-1.66485 # DEPENDENCYPART_ARC
(17,7),-1.63368 # DEPENDENCYPART_ARC
(17,8),-1.17556 # DEPENDENCYPART_ARC
(17,10),-1.72919 # DEPENDENCYPART_ARC
(17,11),-1.44064 # DEPENDENCYPART_ARC
(17,12),-1.7893 # DEPENDENCYPART_ARC
(17,13),-1.74268 # DEPENDENCYPART_ARC
(17,14),-1.07343 # DEPENDENCYPART_ARC
(17,15),-0.535042 # DEPENDENCYPART_ARC
(17,16),0.72496 # DEPENDENCYPART_ARC
(17,18),0.496562 # DEPENDENCYPART_ARC
(17,19),-0.243259 # DEPENDENCYPART_ARC
(17,20),-0.0777159 # DEPENDENCYPART_ARC
(17,21),-1.04313 # DEPENDENCYPART_ARC
(17,22),-0.665288 # DEPENDENCYPART_ARC
(17,23),-1.40518 # DEPENDENCYPART_ARC
(17,24),-1.14557 # DEPENDENCYPART_ARC
(17,27),-2.15038 # DEPENDENCYPART_ARC
(17,28),-1.38448 # DEPENDENCYPART_ARC
(18,13),-2.29196 # DEPENDENCYPART_ARC
(18,17),-0.448595 # DEPENDENCYPART_ARC
(18,19),-0.160086 # DEPENDENCYPART_ARC
(18,20),-0.940409 # DEPENDENCYPART_ARC
(18,21),-1.05879 # DEPENDENCYPART_ARC
(18,22),-1.04415 # DEPENDENCYPART_ARC
(18,27),-1.94376 # DEPENDENCYPART_ARC
(19,18),0.894606 # DEPENDENCYPART_ARC
(19,22),-1.04629 # DEPENDENCYPART_ARC
(20,12),-2.45317 # DEPENDENCYPART_ARC
(20,15),-1.15475 # DEPENDENCYPART_ARC
(20,16),-1.33277 # DEPENDENCYPART_ARC
(20,18),-0.276798 # DEPENDENCYPART_ARC
(20,19),1.24813 # DEPENDENCYPART_ARC
(20,21),0.0333829 # DEPENDENCYPART_ARC
(20,22),-0.522214 # DEPENDENCYPART_ARC
(20,23),-1.64924 # DEPENDENCYPART_ARC
(20,24),-1.63472 # DEPENDENCYPART_ARC
(20,25),-1.50886 # DEPENDENCYPART_ARC
(20,26),-1.64744 # DEPENDENCYPART_ARC
(20,27),-2.07924 # DEPENDENCYPART_ARC
(20,28),-1.95015 # DEPENDENCYPART_ARC
(21,20),-0.338482 # DEPENDENCYPART_ARC
(21,22),-0.421468 # DEPENDENCYPART_ARC
(21,25),-2.72105 # DEPENDENCYPART_ARC
(21,26),-2.85363 # DEPENDENCYPART_ARC
(22,7),-2.48058 # DEPENDENCYPART_ARC
(22,8),-1.91907 # DEPENDENCYPART_ARC
(22,13),-2.47222 # DEPENDENCYPART_ARC
(22,14),-1.93747 # DEPENDENCYPART_ARC
(22,15),-1.0931 # DEPENDENCYPART_ARC
(22,17),-1.65799 # DEPENDENCYPART_ARC
(22,18),-1.3342 # DEPENDENCYPART_ARC
(22,19),-1.2476 # DEPENDENCYPART_ARC
(22,20),-0.725337 # DEPENDENCYPART_ARC
(22,21),1.26602 # DEPENDENCYPART_ARC
(22,23),0.0892368 # DEPENDENCYPART_ARC
(22,24),-1.1917 # DEPENDENCYPART_ARC
(22,25),-1.51999 # DEPENDENCYPART_ARC
(22,26),-1.4307 # DEPENDENCYPART_ARC
(22,27),-1.89078 # DEPENDENCYPART_ARC
(22,28),-2.39642 # DEPENDENCYPART_ARC
(25,22),-2.59169 # DEPENDENCYPART_ARC
(25,24),-0.550843 # DEPENDENCYPART_ARC
(25,26),-0.350136 # DEPENDENCYPART_ARC
(26,23),-1.91695 # DEPENDENCYPART_ARC
(26,24),-1.06738 # DEPENDENCYPART_ARC
(26,25),1.36011 # DEPENDENCYPART_ARC
(26,27),-0.450207 # DEPENDENCYPART_ARC
(27,1),0.594131 # DEPENDENCYPART_ARC
(27,3),-1.33469 # DEPENDENCYPART_ARC
(27,4),-1.85666 # DEPENDENCYPART_ARC
(27,5),-1.7492 # DEPENDENCYPART_ARC
(27,7),-1.14535 # DEPENDENCYPART_ARC
(27,8),-1.82554 # DEPENDENCYPART_ARC
(27,10),-1.28797 # DEPENDENCYPART_ARC
(27,13),-1.56694 # DEPENDENCYPART_ARC
(27,14),-2.49914 # DEPENDENCYPART_ARC
(27,15),-1.64032 # DEPENDENCYPART_ARC
(27,17),-0.945884 # DEPENDENCYPART_ARC
(27,18),-1.94163 # DEPENDENCYPART_ARC
(27,19),-1.78872 # DEPENDENCYPART_ARC
(27,20),-1.90613 # DEPENDENCYPART_ARC
(27,21),-1.78819 # DEPENDENCYPART_ARC
(27,22),-0.945407 # DEPENDENCYPART_ARC
(27,23),-0.757095 # DEPENDENCYPART_ARC
(27,24),-0.440839 # DEPENDENCYPART_ARC
(27,25),-0.33671 # DEPENDENCYPART_ARC
(27,26),1.21398 # DEPENDENCYPART_ARC
(27,28),1.0496 # DEPENDENCYPART_ARC
(0,3),(0,15),-0.18796 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.23651 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.267329 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.152445 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.182252 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.267329 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0361968 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0498353 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0613191 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00911494 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0529487 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0261938 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0579288 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0984134 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0199477 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.158128 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0304562 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0729367 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0345699 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.158128 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.519375 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.0564686 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.0498459 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0714695 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00157773 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00846152 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0576153 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0791771 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0736595 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.057012 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.116033 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0902193 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0370862 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.00625057 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0238999 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0902193 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.052785 # DEPENDENCYPART_SIBL
(3,2),(3,27),-0.0476838 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.0237436 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0263927 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.125715 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0580259 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0902425 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0481697 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0937681 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0407795 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0347384 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.000466689 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.043255 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.041406 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0347384 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0423353 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0339757 # DEPENDENCYPART_SIBL
(3,4),(3,28),0.0562962 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0193359 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0206022 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0224838 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0107473 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0187705 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.00335708 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0615014 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0524116 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.058322 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0649368 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0615014 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0322781 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.072523 # DEPENDENCYPART_SIBL
(3,5),(3,28),0.0350877 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0344662 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.000656273 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0437144 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0119648 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0518822 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0448758 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0725037 # DEPENDENCYPART_SIBL
(3,6),(3,17),-2.12976e-05 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.00458554 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0448758 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0454674 # DEPENDENCYPART_SIBL
(3,6),(3,27),-0.0430221 # DEPENDENCYPART_SIBL
(3,6),(3,28),-0.0322905 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00598823 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0341459 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.00422558 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0497808 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0254061 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.112852 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.00305165 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.00576745 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0254061 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0194717 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.0413462 # DEPENDENCYPART_SIBL
(3,7),(3,28),0.0113055 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00539303 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0786836 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0249625 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0116746 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0662032 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0050902 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.0298329 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.0116746 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0270313 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.00835033 # DEPENDENCYPART_SIBL
(3,8),(3,28),-0.01135 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0149968 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0453038 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.00361655 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.102838 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.00117406 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.012744 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.00361655 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.00489864 # DEPENDENCYPART_SIBL
(3,10),(3,27),-0.0455383 # DEPENDENCYPART_SIBL
(3,10),(3,28),0.000478927 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0349686 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0419306 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0998957 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.095153 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0252843 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.0419306 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.112831 # DEPENDENCYPART_SIBL
(3,11),(3,27),-0.0663448 # DEPENDENCYPART_SIBL
(3,11),(3,28),-0.0314357 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0115602 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.104079 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0207361 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0308641 # DEPENDENCYPART_SIBL
(3,13),(3,23),-0.0115602 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.00953484 # DEPENDENCYPART_SIBL
(3,13),(3,27),-0.0640482 # DEPENDENCYPART_SIBL
(3,13),(3,28),-0.0407286 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0410403 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.00324808 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.0690302 # DEPENDENCYPART_SIBL
(3,14),(3,23),0.0378257 # DEPENDENCYPART_SIBL
(3,14),(3,24),0.0600246 # DEPENDENCYPART_SIBL
(3,14),(3,27),-0.0251394 # DEPENDENCYPART_SIBL
(3,14),(3,28),0.00366912 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0221231 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.0286674 # DEPENDENCYPART_SIBL
(3,15),(3,23),-0.0209604 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.042427 # DEPENDENCYPART_SIBL
(3,15),(3,27),-0.0562639 # DEPENDENCYPART_SIBL
(3,15),(3,28),0.0266463 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.0898142 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.00143329 # DEPENDENCYPART_SIBL
(3,17),(3,24),-0.0595555 # DEPENDENCYPART_SIBL
(3,17),(3,27),-0.117707 # DEPENDENCYPART_SIBL
(3,17),(3,28),-0.0038807 # DEPENDENCYPART_SIBL
(3,22),(3,23),0.00564158 # DEPENDENCYPART_SIBL
(3,22),(3,24),0.0240618 # DEPENDENCYPART_SIBL
(3,22),(3,27),-0.0982079 # DEPENDENCYPART_SIBL
(3,22),(3,28),0.000994122 # DEPENDENCYPART_SIBL
(3,23),(3,24),0.0600246 # DEPENDENCYPART_SIBL
(3,23),(3,27),-0.0251394 # DEPENDENCYPART_SIBL
(3,23),(3,28),0.00366912 # DEPENDENCYPART_SIBL
(3,24),(3,27),-0.0408479 # DEPENDENCYPART_SIBL
(3,24),(3,28),-0.0673895 # DEPENDENCYPART_SIBL
(3,27),(3,28),0.00576861 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00662179 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0280191 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0257982 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.074363 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00397983 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0759087 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0133493 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.144781 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.00429141 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0336586 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.072015 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.106505 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0870902 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0964146 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.085836 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.128986 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0145133 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0977274 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00861708 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0146209 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0119683 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0143115 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0446088 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0284425 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0221233 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0571644 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0208543 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0868951 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00981005 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0317571 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00434572 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0427205 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00796179 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.00529658 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0234853 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00273787 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0392031 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0207637 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0340855 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0203672 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.00884451 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0269575 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.00715923 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0325777 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0187216 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.016628 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0646656 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0985745 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0760655 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0884866 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0747445 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.1206 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.123109 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0608106 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.10968 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0591519 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0200023 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.066107 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0187331 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0909941 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00850016 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0291618 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.00177486 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00923266 # DEPENDENCYPART_SIBL
