# _root_ Terms for the venture , which would be jointly owned by both companies , were n't disclosed .
#goldHeads=15,1,4,2,4,7,4,7,10,8,10,13,11,4,0,15,15,15,
#predictedHeads=15,1,4,2,4,7,4,7,10,8,10,13,11,4,0,15,15,15,
(10,5),-2.5392 # DEPENDENCYPART_ARC
(10,6),-1.77925 # DEPENDENCYPART_ARC
(10,9),-0.0230742 # DEPENDENCYPART_ARC
(10,11),0.576954 # DEPENDENCYPART_ARC
(10,12),-1.23605 # DEPENDENCYPART_ARC
(10,13),-1.06455 # DEPENDENCYPART_ARC
(10,14),-1.15886 # DEPENDENCYPART_ARC
(10,15),-1.67857 # DEPENDENCYPART_ARC
(10,16),-2.30704 # DEPENDENCYPART_ARC
(10,17),-2.18603 # DEPENDENCYPART_ARC
(10,18),-1.67522 # DEPENDENCYPART_ARC
(11,6),-1.5876 # DEPENDENCYPART_ARC
(11,9),-1.06191 # DEPENDENCYPART_ARC
(11,10),-0.307219 # DEPENDENCYPART_ARC
(11,12),0.0621012 # DEPENDENCYPART_ARC
(11,13),0.0950201 # DEPENDENCYPART_ARC
(11,14),-1.2074 # DEPENDENCYPART_ARC
(11,15),-2.03853 # DEPENDENCYPART_ARC
(11,16),-1.97399 # DEPENDENCYPART_ARC
(11,18),-1.70592 # DEPENDENCYPART_ARC
(12,15),-1.75561 # DEPENDENCYPART_ARC
(13,9),-1.5068 # DEPENDENCYPART_ARC
(13,10),-1.23755 # DEPENDENCYPART_ARC
(13,11),-0.981621 # DEPENDENCYPART_ARC
(13,12),0.970254 # DEPENDENCYPART_ARC
(13,14),-0.0430868 # DEPENDENCYPART_ARC
(13,15),-1.50941 # DEPENDENCYPART_ARC
(13,16),-1.71101 # DEPENDENCYPART_ARC
(13,17),-2.16963 # DEPENDENCYPART_ARC
(14,11),-0.91004 # DEPENDENCYPART_ARC
(15,1),-1.09931 # DEPENDENCYPART_ARC
(15,2),-1.51351 # DEPENDENCYPART_ARC
(15,4),-1.09888 # DEPENDENCYPART_ARC
(15,5),-2.22231 # DEPENDENCYPART_ARC
(15,6),-1.68012 # DEPENDENCYPART_ARC
(15,7),-1.51911 # DEPENDENCYPART_ARC
(15,8),-1.2551 # DEPENDENCYPART_ARC
(15,9),-1.77193 # DEPENDENCYPART_ARC
(15,10),-1.17543 # DEPENDENCYPART_ARC
(15,11),-1.00279 # DEPENDENCYPART_ARC
(15,12),-1.46913 # DEPENDENCYPART_ARC
(15,13),-1.20993 # DEPENDENCYPART_ARC
(15,14),0.623957 # DEPENDENCYPART_ARC
(15,16),0.857811 # DEPENDENCYPART_ARC
(15,17),0.518931 # DEPENDENCYPART_ARC
(15,18),-0.275411 # DEPENDENCYPART_ARC
(16,1),-2.20744 # DEPENDENCYPART_ARC
(16,13),-2.29181 # DEPENDENCYPART_ARC
(16,17),-0.378084 # DEPENDENCYPART_ARC
(16,18),-1.47527 # DEPENDENCYPART_ARC
(17,2),-2.57532 # DEPENDENCYPART_ARC
(17,4),-2.24768 # DEPENDENCYPART_ARC
(17,5),-3.58989 # DEPENDENCYPART_ARC
(17,6),-2.63976 # DEPENDENCYPART_ARC
(17,11),-2.26437 # DEPENDENCYPART_ARC
(17,13),-2.6286 # DEPENDENCYPART_ARC
(17,14),-2.16167 # DEPENDENCYPART_ARC
(17,16),-0.101792 # DEPENDENCYPART_ARC
(17,18),0.334066 # DEPENDENCYPART_ARC
(18,17),-0.125133 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0211635 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0582225 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0503069 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.124165 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.130445 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.125875 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.123775 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.00998575 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.023461 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.122141 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.136201 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.145856 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.128727 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.054004 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.120702 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.126983 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.122367 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.120314 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.115317 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.115625 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.118547 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.115589 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.232902 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.237658 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.233834 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.230965 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.227505 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.227931 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0379179 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0380864 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0629336 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.014548 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00998401 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0069601 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0205606 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0721575 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0290079 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0629336 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0346866 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.00688809 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0423247 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0230362 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00661688 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0256066 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0243362 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0241619 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.030701 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0262123 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0345345 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.00661688 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0239083 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0278206 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0145196 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0110413 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.03379 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.00591194 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.00402483 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0194522 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0260534 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0331808 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0110413 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.00408154 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.00825416 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0145262 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00399674 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.090645 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0132399 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0403446 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0059517 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.00812106 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0554513 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0441802 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0411769 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.00104624 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.00520325 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.000986812 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0104409 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.022067 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0177093 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0359333 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.00588201 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.00751018 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.012286 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0194 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0239114 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0143896 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0235842 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0457404 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0191031 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0219624 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0237316 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0130959 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0318526 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0123558 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0123229 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.00668782 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.00726826 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0019023 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.00204581 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0315065 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0320571 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.00626123 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.00948509 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.0120146 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.00854276 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.00374037 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0114297 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0346525 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0204863 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.0340931 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.0101406 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.0143125 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.00633998 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0441802 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.0411769 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.00104624 # DEPENDENCYPART_SIBL
(1,15),(1,17),-0.00423716 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.00137098 # DEPENDENCYPART_SIBL
(1,17),(1,18),-0.00889036 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0489659 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0268581 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.138495 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0210988 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0178716 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0424974 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.00390072 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0742769 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00597282 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0158735 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0517443 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0421717 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0238147 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0187074 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0257877 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0285662 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0120487 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.00752193 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0592399 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0571577 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0637218 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.00472868 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0158934 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00860684 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0514223 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0167562 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.065871 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.000777515 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.082773 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.128865 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.102905 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.021212 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0216727 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00387983 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0212995 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.138107 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00150635 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.102905 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0356904 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.044626 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0129336 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0144938 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00945745 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0305394 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0423229 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0252179 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0312963 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.00770581 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0573862 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.000980629 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0305394 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0153584 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0213174 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.00453487 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.00725519 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.120841 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.037814 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.217699 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0352283 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.21516 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0644796 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0250838 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.120841 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.10288 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0179295 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.167269 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0528081 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0327802 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.123269 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0390864 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0728319 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.015931 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0365963 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.133894 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0766674 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0386523 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0736642 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0327151 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00333081 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00100177 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00870449 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.023136 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0167211 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.068379 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.00414562 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.00287812 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.00577379 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0201955 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0107741 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0135527 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0217032 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0142443 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0917728 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00874441 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0157964 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0116037 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.00294727 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0113521 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0307921 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.013354 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0448064 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.00494402 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0105062 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.00552446 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.00602202 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.00189004 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0255439 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0747123 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.000719155 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0101577 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.00250471 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.00791161 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.00258489 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0479448 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0173944 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0263622 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0406172 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0342996 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0744527 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.00586891 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.00546618 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0100409 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0168833 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0766674 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.0386523 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0736642 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0327151 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.00555341 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.00274388 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0185559 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0169121 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.000257048 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0110359 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.000724666 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.17086 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.00707057 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.113944 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0944546 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0530353 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.01002 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0704307 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0338789 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0463829 # DEPENDENCYPART_SIBL
(7,1),(7,16),9.72952e-05 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.022837 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0547093 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00636805 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.076008 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0771198 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0248567 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0991476 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.00322531 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0513903 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.104409 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.00878126 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.016939 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00259371 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.113808 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.120962 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0353266 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0171051 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0571695 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.00728741 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0176438 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0136055 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.0110501 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0772626 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.111897 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.00114453 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0025697 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.031352 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.269301 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.00272237 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0257493 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.0550035 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.117852 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00568133 # DEPENDENCYPART_SIBL
