# _root_ `` The price of poker has gone up , '' crows Charles M. Neinas , the College Football Association 's executive director .
#goldHeads=11,3,6,3,4,11,6,7,11,11,0,14,14,11,14,19,19,19,22,19,22,14,11,
#predictedHeads=11,3,6,3,4,11,6,7,11,11,0,14,14,11,14,19,19,19,22,19,22,14,11,
(14,9),-1.71816 # DEPENDENCYPART_ARC
(14,12),0.828354 # DEPENDENCYPART_ARC
(14,13),1.56326 # DEPENDENCYPART_ARC
(14,15),0.334769 # DEPENDENCYPART_ARC
(14,17),-1.66173 # DEPENDENCYPART_ARC
(14,18),-1.70599 # DEPENDENCYPART_ARC
(14,19),-1.90869 # DEPENDENCYPART_ARC
(14,20),-2.11555 # DEPENDENCYPART_ARC
(14,21),-1.94586 # DEPENDENCYPART_ARC
(14,22),-2.08587 # DEPENDENCYPART_ARC
(14,23),-1.8224 # DEPENDENCYPART_ARC
(16,15),-0.29194 # DEPENDENCYPART_ARC
(17,16),-0.751635 # DEPENDENCYPART_ARC
(17,18),-0.619462 # DEPENDENCYPART_ARC
(17,19),-1.61764 # DEPENDENCYPART_ARC
(17,20),-1.64994 # DEPENDENCYPART_ARC
(17,23),-1.44567 # DEPENDENCYPART_ARC
(18,16),-1.27839 # DEPENDENCYPART_ARC
(18,17),-0.24204 # DEPENDENCYPART_ARC
(18,19),-0.828698 # DEPENDENCYPART_ARC
(18,20),-1.44665 # DEPENDENCYPART_ARC
(18,22),-2.23325 # DEPENDENCYPART_ARC
(19,5),-2.1586 # DEPENDENCYPART_ARC
(19,12),-1.38948 # DEPENDENCYPART_ARC
(19,13),-1.54349 # DEPENDENCYPART_ARC
(19,14),-1.77958 # DEPENDENCYPART_ARC
(19,15),-1.67658 # DEPENDENCYPART_ARC
(19,16),-0.0205844 # DEPENDENCYPART_ARC
(19,17),0.717828 # DEPENDENCYPART_ARC
(19,18),1.93828 # DEPENDENCYPART_ARC
(19,20),1.06817 # DEPENDENCYPART_ARC
(19,21),-1.05688 # DEPENDENCYPART_ARC
(19,22),-1.30914 # DEPENDENCYPART_ARC
(19,23),-0.848811 # DEPENDENCYPART_ARC
(20,23),-1.07217 # DEPENDENCYPART_ARC
(21,16),-2.26173 # DEPENDENCYPART_ARC
(21,17),-1.49707 # DEPENDENCYPART_ARC
(21,18),-1.34129 # DEPENDENCYPART_ARC
(21,19),-0.629214 # DEPENDENCYPART_ARC
(21,20),-0.72557 # DEPENDENCYPART_ARC
(21,22),-0.712555 # DEPENDENCYPART_ARC
(21,23),-1.47188 # DEPENDENCYPART_ARC
(22,3),-2.55786 # DEPENDENCYPART_ARC
(22,5),-2.07747 # DEPENDENCYPART_ARC
(22,12),-1.40313 # DEPENDENCYPART_ARC
(22,13),-1.44784 # DEPENDENCYPART_ARC
(22,14),-2.04991 # DEPENDENCYPART_ARC
(22,15),-1.64906 # DEPENDENCYPART_ARC
(22,16),-1.1514 # DEPENDENCYPART_ARC
(22,17),0.0059268 # DEPENDENCYPART_ARC
(22,18),0.187209 # DEPENDENCYPART_ARC
(22,19),0.0667006 # DEPENDENCYPART_ARC
(22,20),-0.716466 # DEPENDENCYPART_ARC
(22,21),1.91239 # DEPENDENCYPART_ARC
(22,23),-0.250167 # DEPENDENCYPART_ARC
(23,22),-0.667754 # DEPENDENCYPART_ARC
(0,3),(0,6),-0.124763 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.122084 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.124002 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.237348 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.237181 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.226746 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0773927 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.125173 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0193041 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0590914 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0656214 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.052191 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0169235 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.117766 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.101195 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00170315 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00273027 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.011709 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.089595 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.822761 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00304884 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.101195 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.089595 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.108424 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.000749494 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.322254 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0126219 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.275363 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.112029 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0456414 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0208537 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.000939632 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.120458 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0126219 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0208537 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0258724 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0988971 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.029123 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.124997 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.108232 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0749036 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0614447 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.144331 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.108147 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.029123 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0614447 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0289362 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.0709861 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0307217 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0262739 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00377966 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00120047 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.021419 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0281077 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0179788 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.00120047 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0206946 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0342414 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0278858 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0166797 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0138975 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0728059 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0274676 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0240863 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0138975 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0205583 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.0298663 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0212122 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00667365 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0739658 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0218311 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0171292 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.00667365 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0136012 # DEPENDENCYPART_SIBL
(3,7),(3,23),2.53184e-05 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0131958 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0313323 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.00109878 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0305033 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0131958 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.0385491 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0170006 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0769368 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.00177086 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0357576 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0372835 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.0921072 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.012873 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.00674501 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0282535 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0170807 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0340338 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.00973701 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0170461 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.00800452 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0135182 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.00943345 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.00120047 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.0206946 # DEPENDENCYPART_SIBL
(3,14),(3,23),0.0342414 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.0921072 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.012873 # DEPENDENCYPART_SIBL
(3,22),(3,23),0.0313132 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0468828 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0352202 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0750897 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0443976 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0312239 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0389141 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.193667 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.451475 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0334157 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0750897 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0744596 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.168527 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0251115 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0371946 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.082334 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.125977 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0242938 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0339157 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.168527 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.093291 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0147388 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0292681 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0100957 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0778805 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0305381 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0364819 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.093291 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0494871 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0499119 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0356278 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00288988 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0120271 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0518307 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.113065 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0590694 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0280351 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0746542 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0298003 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0589027 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0569025 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0290828 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.075408 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0321668 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0511607 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0498203 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0057044 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0160839 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0107196 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0208727 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0364587 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.015928 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0231436 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0553177 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0575453 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0498203 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0253815 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.058791 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00624071 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.000403083 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00383168 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0125047 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.110147 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.825776 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00415032 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0359047 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.040343 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.292927 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.12999 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0260159 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0220385 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0188271 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.13842 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00948666 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0388748 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0142306 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00330185 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00286163 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0188466 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0195707 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00385045 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.03851 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0421157 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0589139 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0172925 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.037205 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0152738 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.015677 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0308784 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0773421 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0148556 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0202383 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0236028 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.078473 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00924804 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00414102 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0323865 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.00996882 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0825824 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0223713 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0168745 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0176748 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0162229 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.00737903 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0259258 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0446228 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.115658 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0872501 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.457921 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0434097 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0341213 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0872501 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.0928549 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0630219 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0633837 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.044965 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0293094 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.141045 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0447318 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0298507 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0228587 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0306448 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0447318 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.0442872 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0240565 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.181932 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0305493 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0222179 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.015659 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00026395 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0142997 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0205658 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.015659 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.00134988 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0843667 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0200838 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0869793 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0739996 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0258837 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0186858 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0366788 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0739996 # DEPENDENCYPART_SIBL
(6,4),(6,23),0.0683348 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0116596 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0132666 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0153566 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.000812231 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00459007 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0256237 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0153566 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.00187287 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0551964 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00852678 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0107062 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0335551 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.045241 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.00852678 # DEPENDENCYPART_SIBL
(6,7),(6,23),-0.00208638 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0579547 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0893421 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0347366 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0560537 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0579547 # DEPENDENCYPART_SIBL
(6,8),(6,23),-0.0469227 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0180771 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0274809 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0354754 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.00174831 # DEPENDENCYPART_SIBL
(6,9),(6,23),-0.0349568 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0246463 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0213117 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.00234918 # DEPENDENCYPART_SIBL
(6,10),(6,23),-0.0319734 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0400687 # DEPENDENCYPART_SIBL
