# _root_ `` We went to six companies over two days pitching the prospect , '' says Tim Parker , a Santa Fe exploration manager .
#goldHeads=3,3,15,3,6,4,3,9,7,3,12,10,3,3,0,17,15,17,23,23,23,23,17,15,
#predictedHeads=15,3,15,3,6,4,3,9,7,3,12,10,15,15,0,17,15,17,23,23,23,23,17,15,
(5,10),-1.42118 # DEPENDENCYPART_ARC
(6,1),-1.25021 # DEPENDENCYPART_ARC
(6,3),-0.926156 # DEPENDENCYPART_ARC
(6,4),-0.746492 # DEPENDENCYPART_ARC
(6,5),1.05423 # DEPENDENCYPART_ARC
(6,7),0.40491 # DEPENDENCYPART_ARC
(6,8),-1.09941 # DEPENDENCYPART_ARC
(6,9),-1.18483 # DEPENDENCYPART_ARC
(6,10),-0.994551 # DEPENDENCYPART_ARC
(6,12),-1.46294 # DEPENDENCYPART_ARC
(6,13),-1.25697 # DEPENDENCYPART_ARC
(6,14),-1.65144 # DEPENDENCYPART_ARC
(6,15),-2.0435 # DEPENDENCYPART_ARC
(6,18),-1.35637 # DEPENDENCYPART_ARC
(6,23),-2.20495 # DEPENDENCYPART_ARC
(6,24),-2.11823 # DEPENDENCYPART_ARC
(7,4),-1.12532 # DEPENDENCYPART_ARC
(7,5),-1.07557 # DEPENDENCYPART_ARC
(7,6),-0.150389 # DEPENDENCYPART_ARC
(7,8),-0.279133 # DEPENDENCYPART_ARC
(7,9),-0.0541822 # DEPENDENCYPART_ARC
(7,10),-1.21689 # DEPENDENCYPART_ARC
(7,12),-1.68335 # DEPENDENCYPART_ARC
(7,14),-1.6196 # DEPENDENCYPART_ARC
(7,15),-2.36308 # DEPENDENCYPART_ARC
(7,17),-3.15638 # DEPENDENCYPART_ARC
(8,5),-1.34714 # DEPENDENCYPART_ARC
(8,7),-0.296182 # DEPENDENCYPART_ARC
(8,10),-0.820759 # DEPENDENCYPART_ARC
(8,12),-1.46676 # DEPENDENCYPART_ARC
(8,17),-2.13108 # DEPENDENCYPART_ARC
(9,4),-1.7735 # DEPENDENCYPART_ARC
(9,5),-1.09653 # DEPENDENCYPART_ARC
(9,6),-1.36068 # DEPENDENCYPART_ARC
(9,7),-0.616043 # DEPENDENCYPART_ARC
(9,8),0.777232 # DEPENDENCYPART_ARC
(9,10),-0.0468456 # DEPENDENCYPART_ARC
(9,12),-1.10109 # DEPENDENCYPART_ARC
(9,13),-1.23016 # DEPENDENCYPART_ARC
(9,14),-1.6067 # DEPENDENCYPART_ARC
(9,15),-2.06037 # DEPENDENCYPART_ARC
(9,17),-1.73378 # DEPENDENCYPART_ARC
(9,18),-1.32141 # DEPENDENCYPART_ARC
(9,23),-2.07369 # DEPENDENCYPART_ARC
(10,3),-2.31794 # DEPENDENCYPART_ARC
(10,6),-1.37064 # DEPENDENCYPART_ARC
(10,7),-1.34856 # DEPENDENCYPART_ARC
(10,9),-0.421383 # DEPENDENCYPART_ARC
(10,11),-0.0567765 # DEPENDENCYPART_ARC
(10,12),-0.123876 # DEPENDENCYPART_ARC
(10,13),-0.959203 # DEPENDENCYPART_ARC
(10,14),-1.36658 # DEPENDENCYPART_ARC
(10,15),-1.89772 # DEPENDENCYPART_ARC
(10,17),-1.98036 # DEPENDENCYPART_ARC
(10,18),-1.97746 # DEPENDENCYPART_ARC
(10,23),-1.66023 # DEPENDENCYPART_ARC
(10,24),-1.18794 # DEPENDENCYPART_ARC
(11,13),-1.21475 # DEPENDENCYPART_ARC
(12,1),-1.46525 # DEPENDENCYPART_ARC
(12,5),-1.83048 # DEPENDENCYPART_ARC
(12,7),-1.19018 # DEPENDENCYPART_ARC
(12,8),-1.31385 # DEPENDENCYPART_ARC
(12,9),-1.3651 # DEPENDENCYPART_ARC
(12,10),-0.702885 # DEPENDENCYPART_ARC
(12,11),1.10976 # DEPENDENCYPART_ARC
(12,13),-0.19015 # DEPENDENCYPART_ARC
(12,14),-1.42868 # DEPENDENCYPART_ARC
(12,15),-1.81063 # DEPENDENCYPART_ARC
(12,17),-1.93655 # DEPENDENCYPART_ARC
(12,18),-1.48011 # DEPENDENCYPART_ARC
(12,23),-2.428 # DEPENDENCYPART_ARC
(12,24),-2.0154 # DEPENDENCYPART_ARC
(15,1),-0.691533 # DEPENDENCYPART_ARC
(15,3),-1.33546 # DEPENDENCYPART_ARC
(15,5),-1.7001 # DEPENDENCYPART_ARC
(15,6),-2.10864 # DEPENDENCYPART_ARC
(15,7),-1.71616 # DEPENDENCYPART_ARC
(15,8),-1.7669 # DEPENDENCYPART_ARC
(15,9),-2.24536 # DEPENDENCYPART_ARC
(15,10),-1.16799 # DEPENDENCYPART_ARC
(15,11),-1.58699 # DEPENDENCYPART_ARC
(15,12),-1.81445 # DEPENDENCYPART_ARC
(15,13),-0.229744 # DEPENDENCYPART_ARC
(15,14),0.614247 # DEPENDENCYPART_ARC
(15,16),0.415912 # DEPENDENCYPART_ARC
(15,17),0.125866 # DEPENDENCYPART_ARC
(15,18),-0.734463 # DEPENDENCYPART_ARC
(15,20),-1.76107 # DEPENDENCYPART_ARC
(15,21),-1.94162 # DEPENDENCYPART_ARC
(15,22),-1.97525 # DEPENDENCYPART_ARC
(15,23),-1.88105 # DEPENDENCYPART_ARC
(15,24),0.00419357 # DEPENDENCYPART_ARC
(16,14),-2.0001 # DEPENDENCYPART_ARC
(16,17),-0.75305 # DEPENDENCYPART_ARC
(16,23),-2.61223 # DEPENDENCYPART_ARC
(17,11),-2.07363 # DEPENDENCYPART_ARC
(17,12),-1.96213 # DEPENDENCYPART_ARC
(17,13),-1.80775 # DEPENDENCYPART_ARC
(17,14),-1.42919 # DEPENDENCYPART_ARC
(17,16),1.7567 # DEPENDENCYPART_ARC
(17,18),0.446131 # DEPENDENCYPART_ARC
(17,20),-1.58143 # DEPENDENCYPART_ARC
(17,21),-1.6808 # DEPENDENCYPART_ARC
(17,22),-1.82852 # DEPENDENCYPART_ARC
(17,23),-2.02868 # DEPENDENCYPART_ARC
(17,24),-1.7339 # DEPENDENCYPART_ARC
(19,18),-0.00800356 # DEPENDENCYPART_ARC
(20,19),-0.664396 # DEPENDENCYPART_ARC
(20,21),-0.494276 # DEPENDENCYPART_ARC
(20,22),-1.416 # DEPENDENCYPART_ARC
(21,19),-1.20767 # DEPENDENCYPART_ARC
(21,20),-0.210811 # DEPENDENCYPART_ARC
(21,22),-0.538618 # DEPENDENCYPART_ARC
(22,11),-2.2424 # DEPENDENCYPART_ARC
(22,17),-2.37727 # DEPENDENCYPART_ARC
(22,18),-1.98579 # DEPENDENCYPART_ARC
(22,19),-1.19774 # DEPENDENCYPART_ARC
(22,20),-0.302138 # DEPENDENCYPART_ARC
(22,21),0.508217 # DEPENDENCYPART_ARC
(22,23),-0.726209 # DEPENDENCYPART_ARC
(22,24),-1.21438 # DEPENDENCYPART_ARC
(23,11),-1.07508 # DEPENDENCYPART_ARC
(23,12),-1.71818 # DEPENDENCYPART_ARC
(23,13),-1.76797 # DEPENDENCYPART_ARC
(23,16),-0.948078 # DEPENDENCYPART_ARC
(23,17),-1.67852 # DEPENDENCYPART_ARC
(23,18),-1.10246 # DEPENDENCYPART_ARC
(23,19),-0.0992417 # DEPENDENCYPART_ARC
(23,20),0.482948 # DEPENDENCYPART_ARC
(23,21),1.02478 # DEPENDENCYPART_ARC
(23,22),2.02467 # DEPENDENCYPART_ARC
(23,24),-0.243983 # DEPENDENCYPART_ARC
(24,23),-0.341871 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0552785 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.164384 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.188447 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0723783 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0857244 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.188339 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0135939 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00501226 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0283164 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0033925 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0551548 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.024476 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0184409 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0198977 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0091952 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0509481 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.420451 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0539341 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0509481 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0136065 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0167601 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0934659 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0477516 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0329456 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.087603 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0450602 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0535863 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0127558 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0631278 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0108005 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0711163 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0434235 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0108005 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0714495 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.00930979 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00194963 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0162794 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.019255 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0038738 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00123714 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00188703 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0148439 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0179368 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0400454 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.00193655 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0179368 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.0158387 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0306874 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0323994 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0147406 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00176289 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0187223 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0119952 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0313689 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0159375 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0126158 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.00992652 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0159375 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0323633 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.0150496 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00924975 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00926707 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0169965 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0191336 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00755014 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0588275 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0101677 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0294036 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0588275 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.00827996 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0294576 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.026727 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00108328 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00174185 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00935954 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00142174 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.032225 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0265256 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.00142174 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0104766 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0138504 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0318916 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00811752 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0445382 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.00823653 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0165214 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.00605001 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.00823653 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.0455326 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.00215435 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.00275167 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.000392952 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.024662 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0168268 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.00749861 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.024662 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.000336864 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.00746411 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0257544 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0088484 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.00494665 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0345068 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0088484 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0293199 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.0168711 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0258948 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.015282 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.00964793 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0258948 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.0213112 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.0144017 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0404279 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0277162 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0454288 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0159715 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.0314862 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.00631131 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.00819222 # DEPENDENCYPART_SIBL
(3,14),(3,23),0.0307651 # DEPENDENCYPART_SIBL
(3,14),(3,24),-0.0563115 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0510888 # DEPENDENCYPART_SIBL
(3,15),(3,23),-0.000791191 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.0410472 # DEPENDENCYPART_SIBL
(3,18),(3,23),0.0159715 # DEPENDENCYPART_SIBL
(3,18),(3,24),0.0314862 # DEPENDENCYPART_SIBL
(3,23),(3,24),0.0134085 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0399472 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.000497088 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0214433 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0417479 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0298812 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0398574 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0103975 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0161313 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0368957 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.069613 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0263525 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0713591 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00802905 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0277929 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0176072 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0132602 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.013905 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0145699 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0521242 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0268399 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0502336 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0149451 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0279237 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0582141 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00454755 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0285207 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0322261 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0016439 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0429212 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0574106 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0408928 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0220984 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0166471 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0062353 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0941109 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0428149 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.043507 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0094743 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0295969 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0261379 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0314189 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0342442 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.137687 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.749245 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.04289 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.137687 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.0453799 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.00716568 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0164199 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0022941 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.035651 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0923713 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0337912 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.038366 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.026909 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0205438 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.000900029 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0502837 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0205438 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.0186171 # DEPENDENCYPART_SIBL
(6,3),(6,24),0.0466107 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00974132 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00981617 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0535018 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.148541 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0212383 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.177012 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0502736 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.028798 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.022195 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0502736 # DEPENDENCYPART_SIBL
(6,4),(6,23),0.188596 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.0918528 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0371778 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0140432 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.000604223 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0538882 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00897411 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0471821 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.00127103 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0370291 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0471821 # DEPENDENCYPART_SIBL
(6,5),(6,23),0.00464984 # DEPENDENCYPART_SIBL
(6,5),(6,24),-0.0250742 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0489517 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0502548 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0161595 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0288897 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0186201 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.00140438 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.00437232 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0186201 # DEPENDENCYPART_SIBL
(6,7),(6,23),-0.02105 # DEPENDENCYPART_SIBL
(6,7),(6,24),0.0158329 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0625252 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.00951502 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0440875 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0110349 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0305011 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.00875352 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0110349 # DEPENDENCYPART_SIBL
(6,8),(6,23),-0.0360033 # DEPENDENCYPART_SIBL
(6,8),(6,24),0.00901533 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0229479 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0185159 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.00201731 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.00785055 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.017901 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.00201731 # DEPENDENCYPART_SIBL
(6,9),(6,23),-0.00959922 # DEPENDENCYPART_SIBL
(6,9),(6,24),-0.0029348 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.02326 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0356613 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0967522 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0182321 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0356613 # DEPENDENCYPART_SIBL
(6,10),(6,23),-0.0178466 # DEPENDENCYPART_SIBL
(6,10),(6,24),-0.00752881 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0154924 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0142211 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0121652 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0154924 # DEPENDENCYPART_SIBL
(6,12),(6,23),-0.0140509 # DEPENDENCYPART_SIBL
(6,12),(6,24),0.00968639 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.0949067 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.00268737 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.0557523 # DEPENDENCYPART_SIBL
(6,13),(6,23),0.063652 # DEPENDENCYPART_SIBL
(6,13),(6,24),-0.00592612 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.00222431 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.0267225 # DEPENDENCYPART_SIBL
(6,14),(6,23),0.0419444 # DEPENDENCYPART_SIBL
(6,14),(6,24),-0.0278379 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.065302 # DEPENDENCYPART_SIBL
(6,15),(6,23),-0.00192375 # DEPENDENCYPART_SIBL
(6,15),(6,24),0.012604 # DEPENDENCYPART_SIBL
(6,18),(6,23),0.063652 # DEPENDENCYPART_SIBL
(6,18),(6,24),-0.00592612 # DEPENDENCYPART_SIBL
(6,23),(6,24),0.0142173 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0182021 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0113359 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0351935 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0111065 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0133094 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00961996 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0390944 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.00954434 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.00995716 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0362853 # DEPENDENCYPART_SIBL
