# _root_ The opening credits are being redone , Mr. Nelson said , `` to make Teddy 's situation clear to viewers who have not been with us since the beginning .
#goldHeads=3,3,4,0,4,5,10,9,10,6,10,6,14,6,17,15,18,14,18,19,22,20,22,22,24,25,24,29,27,4,
#predictedHeads=3,3,4,0,4,5,10,9,10,4,10,10,14,10,17,15,18,14,18,19,22,20,22,22,24,25,24,29,27,4,
(10,19),-2.24195 # DEPENDENCYPART_ARC
(10,22),-1.35119 # DEPENDENCYPART_ARC
(10,23),-2.58622 # DEPENDENCYPART_ARC
(10,24),-1.70894 # DEPENDENCYPART_ARC
(10,30),-0.16291 # DEPENDENCYPART_ARC
(12,13),-0.188202 # DEPENDENCYPART_ARC
(13,11),-1.14364 # DEPENDENCYPART_ARC
(13,14),-0.292516 # DEPENDENCYPART_ARC
(13,15),-1.42522 # DEPENDENCYPART_ARC
(13,17),-1.98731 # DEPENDENCYPART_ARC
(13,19),-1.67193 # DEPENDENCYPART_ARC
(13,20),-2.44084 # DEPENDENCYPART_ARC
(13,23),-1.74872 # DEPENDENCYPART_ARC
(14,2),-2.22624 # DEPENDENCYPART_ARC
(14,3),-2.11109 # DEPENDENCYPART_ARC
(14,4),-1.97336 # DEPENDENCYPART_ARC
(14,6),-1.70063 # DEPENDENCYPART_ARC
(14,7),-2.66854 # DEPENDENCYPART_ARC
(14,9),-2.81007 # DEPENDENCYPART_ARC
(14,10),-1.6855 # DEPENDENCYPART_ARC
(14,11),-1.41082 # DEPENDENCYPART_ARC
(14,12),-1.05743 # DEPENDENCYPART_ARC
(14,13),1.00259 # DEPENDENCYPART_ARC
(14,15),0.521985 # DEPENDENCYPART_ARC
(14,17),-0.546391 # DEPENDENCYPART_ARC
(14,18),-0.624347 # DEPENDENCYPART_ARC
(14,19),-1.40935 # DEPENDENCYPART_ARC
(14,20),-1.0135 # DEPENDENCYPART_ARC
(14,22),-1.07087 # DEPENDENCYPART_ARC
(14,23),-1.79251 # DEPENDENCYPART_ARC
(14,24),-1.53122 # DEPENDENCYPART_ARC
(14,25),-1.56332 # DEPENDENCYPART_ARC
(14,27),-1.92898 # DEPENDENCYPART_ARC
(14,30),-0.748456 # DEPENDENCYPART_ARC
(15,12),-1.84286 # DEPENDENCYPART_ARC
(15,14),-0.350469 # DEPENDENCYPART_ARC
(15,16),0.953776 # DEPENDENCYPART_ARC
(15,17),-1.11152 # DEPENDENCYPART_ARC
(15,18),-1.01151 # DEPENDENCYPART_ARC
(15,20),-1.45222 # DEPENDENCYPART_ARC
(15,22),-0.941227 # DEPENDENCYPART_ARC
(15,24),-1.32187 # DEPENDENCYPART_ARC
(17,3),-2.58637 # DEPENDENCYPART_ARC
(17,4),-1.59769 # DEPENDENCYPART_ARC
(17,6),-2.29003 # DEPENDENCYPART_ARC
(17,12),-1.30227 # DEPENDENCYPART_ARC
(17,13),-1.67973 # DEPENDENCYPART_ARC
(17,14),-1.13529 # DEPENDENCYPART_ARC
(17,15),0.268985 # DEPENDENCYPART_ARC
(17,16),-0.0234024 # DEPENDENCYPART_ARC
(17,18),-0.182454 # DEPENDENCYPART_ARC
(17,19),-1.06047 # DEPENDENCYPART_ARC
(17,20),-1.37092 # DEPENDENCYPART_ARC
(17,22),-1.06425 # DEPENDENCYPART_ARC
(17,23),-1.54649 # DEPENDENCYPART_ARC
(17,24),-1.50887 # DEPENDENCYPART_ARC
(17,25),-1.38771 # DEPENDENCYPART_ARC
(17,27),-1.56631 # DEPENDENCYPART_ARC
(17,30),-1.85172 # DEPENDENCYPART_ARC
(18,6),-1.72415 # DEPENDENCYPART_ARC
(18,13),-1.62926 # DEPENDENCYPART_ARC
(18,15),-1.1437 # DEPENDENCYPART_ARC
(18,16),-1.31367 # DEPENDENCYPART_ARC
(18,17),-0.15131 # DEPENDENCYPART_ARC
(18,19),0.259813 # DEPENDENCYPART_ARC
(18,20),-0.924779 # DEPENDENCYPART_ARC
(18,22),-0.975929 # DEPENDENCYPART_ARC
(18,23),-1.40072 # DEPENDENCYPART_ARC
(18,24),-1.3326 # DEPENDENCYPART_ARC
(18,25),-1.33946 # DEPENDENCYPART_ARC
(18,27),-1.26747 # DEPENDENCYPART_ARC
(18,29),-1.53443 # DEPENDENCYPART_ARC
(18,30),-1.12931 # DEPENDENCYPART_ARC
(19,18),-0.268691 # DEPENDENCYPART_ARC
(19,20),0.394383 # DEPENDENCYPART_ARC
(19,22),-1.23385 # DEPENDENCYPART_ARC
(19,23),-1.48812 # DEPENDENCYPART_ARC
(19,25),-1.7353 # DEPENDENCYPART_ARC
(19,29),-2.39371 # DEPENDENCYPART_ARC
(20,15),-1.0805 # DEPENDENCYPART_ARC
(20,16),-1.8046 # DEPENDENCYPART_ARC
(20,17),-1.06708 # DEPENDENCYPART_ARC
(20,18),-0.71784 # DEPENDENCYPART_ARC
(20,19),0.0527832 # DEPENDENCYPART_ARC
(20,22),-0.260661 # DEPENDENCYPART_ARC
(20,23),-1.04192 # DEPENDENCYPART_ARC
(20,24),-1.00049 # DEPENDENCYPART_ARC
(20,25),-1.02442 # DEPENDENCYPART_ARC
(20,27),-1.2129 # DEPENDENCYPART_ARC
(20,29),-1.18716 # DEPENDENCYPART_ARC
(20,30),-1.69506 # DEPENDENCYPART_ARC
(22,2),-2.17765 # DEPENDENCYPART_ARC
(22,3),-2.17081 # DEPENDENCYPART_ARC
(22,4),-3.13942 # DEPENDENCYPART_ARC
(22,5),-2.93074 # DEPENDENCYPART_ARC
(22,6),-2.04259 # DEPENDENCYPART_ARC
(22,7),-3.14754 # DEPENDENCYPART_ARC
(22,9),-3.20019 # DEPENDENCYPART_ARC
(22,10),-2.80396 # DEPENDENCYPART_ARC
(22,11),-2.55106 # DEPENDENCYPART_ARC
(22,12),-2.08358 # DEPENDENCYPART_ARC
(22,13),-2.37899 # DEPENDENCYPART_ARC
(22,15),-1.69723 # DEPENDENCYPART_ARC
(22,17),-1.63283 # DEPENDENCYPART_ARC
(22,18),-1.80819 # DEPENDENCYPART_ARC
(22,19),-1.5024 # DEPENDENCYPART_ARC
(22,20),-1.41875 # DEPENDENCYPART_ARC
(22,21),0.452866 # DEPENDENCYPART_ARC
(22,23),0.827211 # DEPENDENCYPART_ARC
(22,24),0.530105 # DEPENDENCYPART_ARC
(22,25),-0.631508 # DEPENDENCYPART_ARC
(22,27),-1.06256 # DEPENDENCYPART_ARC
(22,29),-1.33293 # DEPENDENCYPART_ARC
(22,30),-0.797185 # DEPENDENCYPART_ARC
(23,5),-2.0597 # DEPENDENCYPART_ARC
(23,19),-1.76677 # DEPENDENCYPART_ARC
(23,21),-1.61286 # DEPENDENCYPART_ARC
(23,24),0.100329 # DEPENDENCYPART_ARC
(23,25),-0.900812 # DEPENDENCYPART_ARC
(23,27),-1.22871 # DEPENDENCYPART_ARC
(23,29),-1.42328 # DEPENDENCYPART_ARC
(24,10),-2.32326 # DEPENDENCYPART_ARC
(24,15),-1.90203 # DEPENDENCYPART_ARC
(24,17),-1.76039 # DEPENDENCYPART_ARC
(24,18),-2.02898 # DEPENDENCYPART_ARC
(24,20),-1.68259 # DEPENDENCYPART_ARC
(24,21),-1.37455 # DEPENDENCYPART_ARC
(24,23),-0.0454045 # DEPENDENCYPART_ARC
(24,25),0.527454 # DEPENDENCYPART_ARC
(24,26),-1.02844 # DEPENDENCYPART_ARC
(24,27),-1.03749 # DEPENDENCYPART_ARC
(24,29),-1.36558 # DEPENDENCYPART_ARC
(24,30),-0.472312 # DEPENDENCYPART_ARC
(25,21),-1.10544 # DEPENDENCYPART_ARC
(25,23),-1.06009 # DEPENDENCYPART_ARC
(25,24),-0.231639 # DEPENDENCYPART_ARC
(25,26),0.137051 # DEPENDENCYPART_ARC
(25,27),-1.30515 # DEPENDENCYPART_ARC
(25,29),-1.28004 # DEPENDENCYPART_ARC
(26,27),-0.304708 # DEPENDENCYPART_ARC
(26,29),-1.26924 # DEPENDENCYPART_ARC
(27,21),-1.64645 # DEPENDENCYPART_ARC
(27,25),-1.5002 # DEPENDENCYPART_ARC
(27,28),-0.151937 # DEPENDENCYPART_ARC
(27,29),-0.181291 # DEPENDENCYPART_ARC
(29,21),-1.95326 # DEPENDENCYPART_ARC
(29,25),-1.5409 # DEPENDENCYPART_ARC
(29,26),-1.32262 # DEPENDENCYPART_ARC
(29,27),-1.10133 # DEPENDENCYPART_ARC
(29,28),1.254 # DEPENDENCYPART_ARC
(29,30),-0.279531 # DEPENDENCYPART_ARC
(30,29),-0.63106 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.121135 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.134022 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.134325 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.116757 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.237522 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.263344 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.236226 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.256112 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.227622 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.241081 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0201003 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00879044 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.124196 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.124011 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0167492 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0695555 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0167492 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.029429 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0924809 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0638104 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0186422 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0218661 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0269546 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.000464777 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0269546 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0366845 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.000774754 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.00251803 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00602524 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0719199 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.000256364 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0719199 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.063256 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.000345504 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.00619368 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0285858 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00544046 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0285858 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0542196 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00390843 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.00665584 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0426421 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0607857 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0823537 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0392331 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0482031 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0815666 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0822102 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.012475 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.00853375 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0823537 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0392331 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0482031 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0357388 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.041148 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.00309007 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0459811 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.121742 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.121557 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.000363738 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0211228 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.000364631 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0211228 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0283011 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0126544 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00442224 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0350814 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00442143 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0350814 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0184626 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.000768285 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0561541 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.000767327 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0561541 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0196608 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0128199 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0196618 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0128199 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0159259 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0125179 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0159259 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0442 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0393925 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0159246 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0857071 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0799507 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.153988 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.126338 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0357255 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.123859 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.18665 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0357255 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.156885 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.171385 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.160534 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.173538 # DEPENDENCYPART_SIBL
(4,1),(4,30),-0.141716 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.140026 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0164805 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0442802 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0194088 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0418007 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00736985 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0194088 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0236318 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0777079 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0116704 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.00683363 # DEPENDENCYPART_SIBL
(4,2),(4,30),-0.00141693 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0281377 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0418637 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0197747 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0393842 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0202573 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0197747 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0231633 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0772503 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0233275 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.00915196 # DEPENDENCYPART_SIBL
(4,3),(4,30),-0.00169914 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0319102 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0304308 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0319102 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0901664 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0304308 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0231393 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.116886 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0909281 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0728735 # DEPENDENCYPART_SIBL
(4,5),(4,30),0.00114191 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00589065 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0268638 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0266748 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00589065 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0221053 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0527206 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0334039 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.056276 # DEPENDENCYPART_SIBL
(4,6),(4,30),0.00279143 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0492168 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0242564 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0378257 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0643779 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.025291 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0214872 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0156497 # DEPENDENCYPART_SIBL
(4,7),(4,30),0.00366912 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0222422 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0103207 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0176727 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.048288 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0289713 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0518434 # DEPENDENCYPART_SIBL
(4,9),(4,30),0.0167966 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0194027 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0135743 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0927825 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0419512 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0240126 # DEPENDENCYPART_SIBL
(4,10),(4,30),0.0263867 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0643779 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.025291 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0214872 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.0156497 # DEPENDENCYPART_SIBL
(4,11),(4,30),0.00366912 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0231819 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0338309 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0230036 # DEPENDENCYPART_SIBL
(4,12),(4,30),-0.0257279 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0625782 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.0750587 # DEPENDENCYPART_SIBL
(4,13),(4,30),-0.055534 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.0632342 # DEPENDENCYPART_SIBL
(4,14),(4,30),0.0243831 # DEPENDENCYPART_SIBL
(4,22),(4,30),-0.0352237 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.145466 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0149078 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00587035 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00550871 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.034934 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00339088 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0436278 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00550871 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0160808 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0137677 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0347601 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.00997309 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0137677 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0419555 # DEPENDENCYPART_SIBL
(5,2),(5,30),-0.0232486 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0114595 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00345384 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00514275 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0325175 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.000974372 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0307404 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00514275 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0156123 # DEPENDENCYPART_SIBL
