# _root_ Mr. Peters claims he reminded Mr. Ross that Robert Daly and Terry Semel , the top executives of the Warner Brothers studio , had `` repeatedly agreed that we had every right to accept '' an offer such as Sony 's .
#goldHeads=2,3,0,5,3,7,5,24,10,11,24,13,11,11,17,17,11,17,22,22,22,18,11,5,24,24,24,30,30,27,32,30,34,32,34,37,34,39,37,39,40,3,
#predictedHeads=2,3,0,5,3,7,5,24,10,11,24,13,11,13,17,17,13,17,22,22,22,18,13,5,27,27,24,30,30,27,32,30,34,32,34,37,34,39,37,39,40,3,
(8,11),-1.17725 # DEPENDENCYPART_ARC
(8,12),-2.36461 # DEPENDENCYPART_ARC
(8,13),-2.06552 # DEPENDENCYPART_ARC
(9,8),-1.35265 # DEPENDENCYPART_ARC
(9,10),-0.592896 # DEPENDENCYPART_ARC
(9,13),-1.86778 # DEPENDENCYPART_ARC
(9,17),-2.26363 # DEPENDENCYPART_ARC
(10,6),-1.00182 # DEPENDENCYPART_ARC
(10,7),-1.68723 # DEPENDENCYPART_ARC
(10,8),-1.59778 # DEPENDENCYPART_ARC
(10,9),1.12722 # DEPENDENCYPART_ARC
(10,12),-1.24799 # DEPENDENCYPART_ARC
(10,13),-1.7193 # DEPENDENCYPART_ARC
(10,17),-2.15694 # DEPENDENCYPART_ARC
(11,1),-1.18385 # DEPENDENCYPART_ARC
(11,2),-1.21746 # DEPENDENCYPART_ARC
(11,3),-1.39138 # DEPENDENCYPART_ARC
(11,4),-1.16884 # DEPENDENCYPART_ARC
(11,5),-1.11618 # DEPENDENCYPART_ARC
(11,6),-0.64325 # DEPENDENCYPART_ARC
(11,7),-0.68463 # DEPENDENCYPART_ARC
(11,8),-0.693947 # DEPENDENCYPART_ARC
(11,9),-0.189367 # DEPENDENCYPART_ARC
(11,10),2.01876 # DEPENDENCYPART_ARC
(11,12),1.73494 # DEPENDENCYPART_ARC
(11,13),0.0967314 # DEPENDENCYPART_ARC
(11,14),-1.103 # DEPENDENCYPART_ARC
(11,15),-1.856 # DEPENDENCYPART_ARC
(11,16),-1.7808 # DEPENDENCYPART_ARC
(11,17),-1.78944 # DEPENDENCYPART_ARC
(11,18),-1.8523 # DEPENDENCYPART_ARC
(11,22),-2.5825 # DEPENDENCYPART_ARC
(11,23),-1.85382 # DEPENDENCYPART_ARC
(11,24),-2.07525 # DEPENDENCYPART_ARC
(11,25),-1.91338 # DEPENDENCYPART_ARC
(11,30),-2.60501 # DEPENDENCYPART_ARC
(11,35),0.0451871 # DEPENDENCYPART_ARC
(11,42),-0.878654 # DEPENDENCYPART_ARC
(12,13),-0.934954 # DEPENDENCYPART_ARC
(12,17),-2.39835 # DEPENDENCYPART_ARC
(13,2),-2.02099 # DEPENDENCYPART_ARC
(13,6),-0.845043 # DEPENDENCYPART_ARC
(13,7),-1.71626 # DEPENDENCYPART_ARC
(13,9),-0.0921949 # DEPENDENCYPART_ARC
(13,10),-0.886329 # DEPENDENCYPART_ARC
(13,11),-0.127915 # DEPENDENCYPART_ARC
(13,12),1.53177 # DEPENDENCYPART_ARC
(13,14),0.400262 # DEPENDENCYPART_ARC
(13,16),-1.7211 # DEPENDENCYPART_ARC
(13,17),-1.65516 # DEPENDENCYPART_ARC
(13,18),-2.1972 # DEPENDENCYPART_ARC
(13,20),-1.90112 # DEPENDENCYPART_ARC
(13,22),-1.98329 # DEPENDENCYPART_ARC
(13,23),-1.08566 # DEPENDENCYPART_ARC
(13,24),-1.736 # DEPENDENCYPART_ARC
(13,25),-1.84116 # DEPENDENCYPART_ARC
(13,30),-2.06701 # DEPENDENCYPART_ARC
(13,40),-1.99604 # DEPENDENCYPART_ARC
(13,42),-2.55996 # DEPENDENCYPART_ARC
(15,16),-0.438183 # DEPENDENCYPART_ARC
(15,18),-1.24018 # DEPENDENCYPART_ARC
(16,15),-0.0579566 # DEPENDENCYPART_ARC
(16,18),-1.00137 # DEPENDENCYPART_ARC
(17,9),-2.12796 # DEPENDENCYPART_ARC
(17,12),-1.60273 # DEPENDENCYPART_ARC
(17,13),-1.93143 # DEPENDENCYPART_ARC
(17,14),-1.58093 # DEPENDENCYPART_ARC
(17,15),0.213602 # DEPENDENCYPART_ARC
(17,16),1.4851 # DEPENDENCYPART_ARC
(17,18),0.723408 # DEPENDENCYPART_ARC
(17,19),-1.06436 # DEPENDENCYPART_ARC
(17,20),-0.938663 # DEPENDENCYPART_ARC
(17,22),-1.31575 # DEPENDENCYPART_ARC
(17,23),-0.986253 # DEPENDENCYPART_ARC
(17,24),-1.27556 # DEPENDENCYPART_ARC
(17,25),-1.66912 # DEPENDENCYPART_ARC
(17,26),-1.62594 # DEPENDENCYPART_ARC
(17,27),-1.82257 # DEPENDENCYPART_ARC
(17,30),-1.67248 # DEPENDENCYPART_ARC
(18,16),-1.36156 # DEPENDENCYPART_ARC
(18,19),-0.100325 # DEPENDENCYPART_ARC
(18,20),-0.309806 # DEPENDENCYPART_ARC
(18,21),-1.02568 # DEPENDENCYPART_ARC
(18,22),-1.01136 # DEPENDENCYPART_ARC
(18,26),-1.86626 # DEPENDENCYPART_ARC
(20,19),-0.585732 # DEPENDENCYPART_ARC
(20,21),-0.509178 # DEPENDENCYPART_ARC
(20,27),-2.23736 # DEPENDENCYPART_ARC
(21,19),-0.69927 # DEPENDENCYPART_ARC
(21,20),0.203787 # DEPENDENCYPART_ARC
(21,22),-0.830424 # DEPENDENCYPART_ARC
(22,14),-1.3112 # DEPENDENCYPART_ARC
(22,15),-1.30984 # DEPENDENCYPART_ARC
(22,16),-0.884012 # DEPENDENCYPART_ARC
(22,17),-0.728649 # DEPENDENCYPART_ARC
(22,18),-0.543347 # DEPENDENCYPART_ARC
(22,19),0.149693 # DEPENDENCYPART_ARC
(22,20),1.14579 # DEPENDENCYPART_ARC
(22,21),2.03463 # DEPENDENCYPART_ARC
(22,23),0.370685 # DEPENDENCYPART_ARC
(22,24),-1.54585 # DEPENDENCYPART_ARC
(22,25),-1.78758 # DEPENDENCYPART_ARC
(22,26),-1.83649 # DEPENDENCYPART_ARC
(22,27),-2.24457 # DEPENDENCYPART_ARC
(22,32),-1.58497 # DEPENDENCYPART_ARC
(22,34),-2.39232 # DEPENDENCYPART_ARC
(22,38),-1.91905 # DEPENDENCYPART_ARC
(24,1),-1.5741 # DEPENDENCYPART_ARC
(24,2),-1.49835 # DEPENDENCYPART_ARC
(24,3),-2.0502 # DEPENDENCYPART_ARC
(24,4),-1.83484 # DEPENDENCYPART_ARC
(24,5),-2.01884 # DEPENDENCYPART_ARC
(24,6),-1.16572 # DEPENDENCYPART_ARC
(24,7),-0.97448 # DEPENDENCYPART_ARC
(24,8),0.641909 # DEPENDENCYPART_ARC
(24,9),-1.04943 # DEPENDENCYPART_ARC
(24,10),-0.974833 # DEPENDENCYPART_ARC
(24,11),-0.0186219 # DEPENDENCYPART_ARC
(24,12),-1.00004 # DEPENDENCYPART_ARC
(24,13),-0.747324 # DEPENDENCYPART_ARC
(24,14),-1.08586 # DEPENDENCYPART_ARC
(24,15),-1.88981 # DEPENDENCYPART_ARC
(24,16),-1.34508 # DEPENDENCYPART_ARC
(24,17),-1.73773 # DEPENDENCYPART_ARC
(24,18),-1.17586 # DEPENDENCYPART_ARC
(24,19),-1.6684 # DEPENDENCYPART_ARC
(24,20),-1.7834 # DEPENDENCYPART_ARC
(24,21),-1.63858 # DEPENDENCYPART_ARC
(24,22),-1.27641 # DEPENDENCYPART_ARC
(24,23),0.636553 # DEPENDENCYPART_ARC
(24,25),0.830394 # DEPENDENCYPART_ARC
(24,26),0.0111295 # DEPENDENCYPART_ARC
(24,27),-0.049417 # DEPENDENCYPART_ARC
(24,28),-0.977191 # DEPENDENCYPART_ARC
(24,30),-0.671767 # DEPENDENCYPART_ARC
(24,32),-1.08237 # DEPENDENCYPART_ARC
(24,33),-0.866421 # DEPENDENCYPART_ARC
(24,34),-0.620061 # DEPENDENCYPART_ARC
(24,35),0.238198 # DEPENDENCYPART_ARC
(24,37),-1.22523 # DEPENDENCYPART_ARC
(24,38),-0.951361 # DEPENDENCYPART_ARC
(24,39),-1.26584 # DEPENDENCYPART_ARC
(24,42),-0.0686826 # DEPENDENCYPART_ARC
(26,22),-2.1817 # DEPENDENCYPART_ARC
(26,25),-0.339217 # DEPENDENCYPART_ARC
(26,27),0.0432145 # DEPENDENCYPART_ARC
(26,28),-0.73227 # DEPENDENCYPART_ARC
(26,30),-1.03799 # DEPENDENCYPART_ARC
(26,32),-1.33015 # DEPENDENCYPART_ARC
(26,33),-0.970339 # DEPENDENCYPART_ARC
(27,5),-2.43462 # DEPENDENCYPART_ARC
(27,8),0.0688866 # DEPENDENCYPART_ARC
(27,14),-2.48149 # DEPENDENCYPART_ARC
(27,17),-2.14783 # DEPENDENCYPART_ARC
(27,18),-1.95438 # DEPENDENCYPART_ARC
(27,22),-2.25431 # DEPENDENCYPART_ARC
(27,23),-1.72006 # DEPENDENCYPART_ARC
(27,24),-1.47603 # DEPENDENCYPART_ARC
(27,25),-0.754223 # DEPENDENCYPART_ARC
(27,26),0.46513 # DEPENDENCYPART_ARC
(27,28),0.293241 # DEPENDENCYPART_ARC
(27,29),-0.890244 # DEPENDENCYPART_ARC
(27,30),-0.888627 # DEPENDENCYPART_ARC
(27,32),-1.50434 # DEPENDENCYPART_ARC
(27,33),-1.3473 # DEPENDENCYPART_ARC
(27,34),-1.23625 # DEPENDENCYPART_ARC
(27,35),-0.798167 # DEPENDENCYPART_ARC
(27,37),-1.93329 # DEPENDENCYPART_ARC
(27,39),-1.57065 # DEPENDENCYPART_ARC
(27,42),-0.67359 # DEPENDENCYPART_ARC
(28,26),-1.07771 # DEPENDENCYPART_ARC
(28,27),-0.164971 # DEPENDENCYPART_ARC
(28,29),-0.353896 # DEPENDENCYPART_ARC
(28,32),-2.17672 # DEPENDENCYPART_ARC
(28,34),-2.09503 # DEPENDENCYPART_ARC
(29,34),-1.40592 # DEPENDENCYPART_ARC
(30,2),-2.20546 # DEPENDENCYPART_ARC
(30,3),-2.28308 # DEPENDENCYPART_ARC
(30,7),-1.91071 # DEPENDENCYPART_ARC
(30,8),-0.261022 # DEPENDENCYPART_ARC
(30,9),-1.9072 # DEPENDENCYPART_ARC
(30,10),-1.79287 # DEPENDENCYPART_ARC
(30,11),-0.335082 # DEPENDENCYPART_ARC
(30,12),-1.6651 # DEPENDENCYPART_ARC
(30,13),-1.75797 # DEPENDENCYPART_ARC
(30,14),-2.06886 # DEPENDENCYPART_ARC
(30,17),-2.6511 # DEPENDENCYPART_ARC
(30,18),-2.18416 # DEPENDENCYPART_ARC
(30,23),-1.81829 # DEPENDENCYPART_ARC
(30,24),-1.56434 # DEPENDENCYPART_ARC
(30,25),-1.18229 # DEPENDENCYPART_ARC
(30,26),-1.20142 # DEPENDENCYPART_ARC
(30,27),-1.25617 # DEPENDENCYPART_ARC
(30,28),-0.0813706 # DEPENDENCYPART_ARC
(30,29),0.680835 # DEPENDENCYPART_ARC
(30,31),0.303668 # DEPENDENCYPART_ARC
(30,32),0.194694 # DEPENDENCYPART_ARC
(30,33),-0.722055 # DEPENDENCYPART_ARC
(30,34),-0.414694 # DEPENDENCYPART_ARC
(30,35),-0.676268 # DEPENDENCYPART_ARC
(30,37),-1.11413 # DEPENDENCYPART_ARC
(30,38),-1.1687 # DEPENDENCYPART_ARC
(30,39),-1.1193 # DEPENDENCYPART_ARC
(30,40),-1.48729 # DEPENDENCYPART_ARC
(30,42),-0.356936 # DEPENDENCYPART_ARC
(32,26),-1.82256 # DEPENDENCYPART_ARC
(32,27),-1.64211 # DEPENDENCYPART_ARC
(32,28),-1.47004 # DEPENDENCYPART_ARC
(32,29),-1.46385 # DEPENDENCYPART_ARC
(32,30),-0.893765 # DEPENDENCYPART_ARC
(32,31),1.04122 # DEPENDENCYPART_ARC
(32,33),0.0431432 # DEPENDENCYPART_ARC
(32,34),-0.558128 # DEPENDENCYPART_ARC
(32,35),-1.01316 # DEPENDENCYPART_ARC
(32,36),-1.49521 # DEPENDENCYPART_ARC
(32,37),-1.42475 # DEPENDENCYPART_ARC
(32,38),-1.40634 # DEPENDENCYPART_ARC
(32,39),-1.13645 # DEPENDENCYPART_ARC
(32,40),-1.62573 # DEPENDENCYPART_ARC
(33,32),-0.217373 # DEPENDENCYPART_ARC
(33,34),-0.32254 # DEPENDENCYPART_ARC
(33,35),-1.1825 # DEPENDENCYPART_ARC
(33,37),-1.90303 # DEPENDENCYPART_ARC
(33,40),-2.43751 # DEPENDENCYPART_ARC
(34,17),-2.3455 # DEPENDENCYPART_ARC
(34,22),-2.441 # DEPENDENCYPART_ARC
(34,26),-1.13814 # DEPENDENCYPART_ARC
(34,28),-0.406237 # DEPENDENCYPART_ARC
(34,29),-1.24701 # DEPENDENCYPART_ARC
(34,31),-0.735818 # DEPENDENCYPART_ARC
(34,32),-0.40603 # DEPENDENCYPART_ARC
(34,33),1.41949 # DEPENDENCYPART_ARC
(34,35),0.410442 # DEPENDENCYPART_ARC
(34,36),-0.633639 # DEPENDENCYPART_ARC
(34,37),-0.219445 # DEPENDENCYPART_ARC
(34,38),-0.746572 # DEPENDENCYPART_ARC
(34,39),-0.891864 # DEPENDENCYPART_ARC
(34,40),-0.929608 # DEPENDENCYPART_ARC
(34,42),-0.704256 # DEPENDENCYPART_ARC
(36,37),-0.156613 # DEPENDENCYPART_ARC
(36,39),-1.12929 # DEPENDENCYPART_ARC
(37,31),-2.10492 # DEPENDENCYPART_ARC
(37,32),-1.94277 # DEPENDENCYPART_ARC
(37,34),-1.30772 # DEPENDENCYPART_ARC
(37,35),-0.910947 # DEPENDENCYPART_ARC
(37,36),0.998198 # DEPENDENCYPART_ARC
(37,38),0.0763538 # DEPENDENCYPART_ARC
(37,39),-0.57956 # DEPENDENCYPART_ARC
(37,40),-1.3224 # DEPENDENCYPART_ARC
(37,42),-1.08304 # DEPENDENCYPART_ARC
(38,32),-1.35311 # DEPENDENCYPART_ARC
(38,33),-1.40234 # DEPENDENCYPART_ARC
(38,36),-0.859798 # DEPENDENCYPART_ARC
(38,37),0.0312066 # DEPENDENCYPART_ARC
(38,39),0.146688 # DEPENDENCYPART_ARC
(38,40),-0.92958 # DEPENDENCYPART_ARC
(39,33),-1.44954 # DEPENDENCYPART_ARC
(39,37),-1.20354 # DEPENDENCYPART_ARC
(39,38),0.10106 # DEPENDENCYPART_ARC
(39,40),0.317655 # DEPENDENCYPART_ARC
(40,36),-1.75998 # DEPENDENCYPART_ARC
(40,37),-1.6849 # DEPENDENCYPART_ARC
(40,38),-1.30923 # DEPENDENCYPART_ARC
(40,39),-0.666698 # DEPENDENCYPART_ARC
(40,41),0.84212 # DEPENDENCYPART_ARC
(41,42),0.0283682 # DEPENDENCYPART_ARC
(42,39),-1.03547 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.102472 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.102012 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0912498 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.0986098 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.101708 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.0986098 # DEPENDENCYPART_SIBL
(0,2),(0,34),-0.102665 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.165868 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.132157 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.164157 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.166581 # DEPENDENCYPART_SIBL
(0,3),(0,30),-0.164157 # DEPENDENCYPART_SIBL
(0,3),(0,34),-0.165877 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.131702 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.16225 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.164989 # DEPENDENCYPART_SIBL
(0,5),(0,30),-0.16225 # DEPENDENCYPART_SIBL
(0,5),(0,34),-0.164285 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.13866 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.133937 # DEPENDENCYPART_SIBL
(0,11),(0,30),-0.13866 # DEPENDENCYPART_SIBL
(0,11),(0,34),-0.132251 # DEPENDENCYPART_SIBL
(0,24),(0,27),-0.162254 # DEPENDENCYPART_SIBL
(0,24),(0,30),-0.160708 # DEPENDENCYPART_SIBL
(0,24),(0,34),-0.161549 # DEPENDENCYPART_SIBL
(0,27),(0,30),-0.163594 # DEPENDENCYPART_SIBL
(0,27),(0,34),-0.165629 # DEPENDENCYPART_SIBL
(0,30),(0,34),-0.161549 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0140344 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.000862151 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0161844 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00623014 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.010642 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0102372 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.109973 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0527505 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.109451 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0319889 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0187847 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00624587 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0099774 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0197676 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0272357 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00955675 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0132085 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00537992 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0195874 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0268956 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0379756 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.118829 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0761486 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.043472 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0566007 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0346098 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.109994 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.038218 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0287466 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00314569 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0224331 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0224331 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0794547 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0343158 # DEPENDENCYPART_SIBL
(3,1),(3,30),-0.0794547 # DEPENDENCYPART_SIBL
(3,1),(3,35),-0.00273766 # DEPENDENCYPART_SIBL
(3,1),(3,42),0.00636898 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0680462 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00870685 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0514432 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.029726 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0694318 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0334081 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0239424 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0106253 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0214537 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0214537 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.042741 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0125618 # DEPENDENCYPART_SIBL
(3,2),(3,30),-0.042741 # DEPENDENCYPART_SIBL
(3,2),(3,35),0.00354336 # DEPENDENCYPART_SIBL
(3,2),(3,42),0.0191354 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00305211 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0147731 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0146203 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0349016 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0146185 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0146182 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00339111 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.00940086 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.00940086 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.00773311 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.0125168 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.00773311 # DEPENDENCYPART_SIBL
(3,4),(3,35),-0.0603658 # DEPENDENCYPART_SIBL
(3,4),(3,42),-0.0251622 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0239872 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0238633 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0259726 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0238149 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0238147 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.055332 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.00436086 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.00436086 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0274789 # DEPENDENCYPART_SIBL
(3,5),(3,25),0.00640899 # DEPENDENCYPART_SIBL
(3,5),(3,30),-0.0274789 # DEPENDENCYPART_SIBL
(3,5),(3,35),0.00588004 # DEPENDENCYPART_SIBL
(3,5),(3,42),0.0078373 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0306511 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0413398 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0306178 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0309555 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0363512 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00487369 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.00487369 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0267433 # DEPENDENCYPART_SIBL
(3,6),(3,25),0.00147116 # DEPENDENCYPART_SIBL
(3,6),(3,30),-0.0267433 # DEPENDENCYPART_SIBL
(3,6),(3,35),-0.0170118 # DEPENDENCYPART_SIBL
(3,6),(3,42),-0.0145837 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0403356 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0285435 # DEPENDENCYPART_SIBL
