# _root_ So any bearish indicator , such as Friday 's precipitous drop in the stock market , sends shivers through the oil markets as well .
#goldHeads=17,4,4,17,4,7,4,11,8,11,7,11,15,15,12,4,0,17,17,22,22,19,17,23,17,
#predictedHeads=17,4,4,1,17,7,4,11,8,11,7,11,15,15,12,17,0,17,17,22,22,19,17,23,17,
(18,19),-0.172636 # DEPENDENCYPART_ARC
(18,20),-2.057 # DEPENDENCYPART_ARC
(18,21),-1.27601 # DEPENDENCYPART_ARC
(18,22),-1.41068 # DEPENDENCYPART_ARC
(18,23),-1.90413 # DEPENDENCYPART_ARC
(18,24),-1.58813 # DEPENDENCYPART_ARC
(18,25),-2.0701 # DEPENDENCYPART_ARC
(19,11),-2.28309 # DEPENDENCYPART_ARC
(19,12),-1.76479 # DEPENDENCYPART_ARC
(19,18),-1.21962 # DEPENDENCYPART_ARC
(19,20),-1.21839 # DEPENDENCYPART_ARC
(19,21),-0.0136834 # DEPENDENCYPART_ARC
(19,22),-0.0624421 # DEPENDENCYPART_ARC
(19,23),-1.67281 # DEPENDENCYPART_ARC
(19,24),-1.99535 # DEPENDENCYPART_ARC
(19,25),-2.58295 # DEPENDENCYPART_ARC
(21,20),-0.431101 # DEPENDENCYPART_ARC
(21,22),-1.1555 # DEPENDENCYPART_ARC
(21,23),-1.58313 # DEPENDENCYPART_ARC
(21,24),-1.67695 # DEPENDENCYPART_ARC
(22,8),-2.43182 # DEPENDENCYPART_ARC
(22,18),-1.05259 # DEPENDENCYPART_ARC
(22,19),-1.09682 # DEPENDENCYPART_ARC
(22,20),1.12648 # DEPENDENCYPART_ARC
(22,21),1.90698 # DEPENDENCYPART_ARC
(22,23),-1.09668 # DEPENDENCYPART_ARC
(22,24),-1.4746 # DEPENDENCYPART_ARC
(22,25),-1.7369 # DEPENDENCYPART_ARC
(23,18),-2.29315 # DEPENDENCYPART_ARC
(23,19),-1.75834 # DEPENDENCYPART_ARC
(23,20),-1.83553 # DEPENDENCYPART_ARC
(23,21),-1.81838 # DEPENDENCYPART_ARC
(23,22),-1.15177 # DEPENDENCYPART_ARC
(23,24),0.821793 # DEPENDENCYPART_ARC
(23,25),-1.7375 # DEPENDENCYPART_ARC
(24,18),-2.16147 # DEPENDENCYPART_ARC
(24,19),-1.63286 # DEPENDENCYPART_ARC
(24,20),-2.12857 # DEPENDENCYPART_ARC
(24,21),-1.77421 # DEPENDENCYPART_ARC
(24,22),-1.60598 # DEPENDENCYPART_ARC
(24,23),-1.28708 # DEPENDENCYPART_ARC
(24,25),-1.75698 # DEPENDENCYPART_ARC
(25,24),-2.3775 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.139509 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.651482 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.666618 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.167069 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.408383 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.314792 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.167923 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.064702 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.410399 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.314792 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.428829 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.0653597 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.433076 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.025851 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.30561 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.081095 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.434894 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.025851 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.417018 # DEPENDENCYPART_SIBL
(1,3),(1,25),-0.0549338 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0648843 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.373363 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0657489 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.799791 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0648843 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.612868 # DEPENDENCYPART_SIBL
(1,4),(1,25),-0.06005 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0863146 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.666735 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0572504 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0192817 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.120588 # DEPENDENCYPART_SIBL
(1,5),(1,25),0.127684 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0124011 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.486618 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.00434884 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.419784 # DEPENDENCYPART_SIBL
(1,6),(1,25),-0.0822496 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0178457 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.241798 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.120805 # DEPENDENCYPART_SIBL
(1,7),(1,25),0.248352 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0757868 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.607955 # DEPENDENCYPART_SIBL
(1,11),(1,25),-0.0662142 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.120588 # DEPENDENCYPART_SIBL
(1,16),(1,25),0.127684 # DEPENDENCYPART_SIBL
(1,17),(1,25),0.194033 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.054137 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0356706 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.079385 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00243712 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0195593 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.46904 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.181981 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.214467 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.105609 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.350672 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0635108 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0601954 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.118728 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.553684 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.343449 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00286518 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0926724 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0338662 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0241662 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0425569 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0593026 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0759004 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.09712 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0210766 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0527634 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0220913 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0241662 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.00305612 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0330989 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0161416 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0278213 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0354455 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.0451543 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0791263 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.057908 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0721611 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0419072 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0198633 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0254742 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0763607 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0458794 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00279776 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0641001 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0721611 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.104307 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0702365 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.107201 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0590933 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0268564 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0407234 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0137256 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0114121 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0640824 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.110973 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0241571 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0583973 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0436109 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0531833 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0493282 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0114121 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0191835 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0108562 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.217588 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0326179 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.139225 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.018435 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.00686526 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.329762 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.43474 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.616582 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0165693 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.705021 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.143824 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.702168 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.115093 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.508619 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.618701 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.353637 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.623619 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.4309 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.398077 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.00803845 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0279772 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0812585 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0208777 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0522047 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0617056 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0414388 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0213036 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.00931582 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0286698 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.00610788 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0381266 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0448705 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.0339617 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0455262 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.176826 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0228961 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0240998 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.136031 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0542926 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0325245 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0318363 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0709167 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0584667 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0434954 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0769721 # DEPENDENCYPART_SIBL
(4,7),(4,24),0.135515 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.0970085 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.108882 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0684507 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0814399 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0520912 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0656984 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.00144001 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0495031 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0931149 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0473544 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0288747 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.00316449 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.0070479 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.143852 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.140752 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.121671 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.229339 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.160692 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.112129 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.015566 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.119573 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0567249 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.0341193 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.162847 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.00892374 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.108884 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0108034 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0490276 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.146519 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0151833 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.163529 # DEPENDENCYPART_SIBL
(4,11),(4,23),-0.0160594 # DEPENDENCYPART_SIBL
(4,11),(4,24),0.0109921 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.0291442 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.19133 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0742641 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0111319 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.103311 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.142784 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.0746107 # DEPENDENCYPART_SIBL
(4,12),(4,23),0.157837 # DEPENDENCYPART_SIBL
(4,12),(4,24),0.170671 # DEPENDENCYPART_SIBL
(4,12),(4,25),0.0155836 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.00426008 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0523553 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.150847 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0148594 # DEPENDENCYPART_SIBL
(4,15),(4,22),-0.167857 # DEPENDENCYPART_SIBL
(4,15),(4,23),-0.0262245 # DEPENDENCYPART_SIBL
(4,15),(4,24),0.017181 # DEPENDENCYPART_SIBL
(4,15),(4,25),-0.0234656 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.508619 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.618701 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.353637 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.623619 # DEPENDENCYPART_SIBL
(4,16),(4,23),0.4309 # DEPENDENCYPART_SIBL
(4,16),(4,24),0.398077 # DEPENDENCYPART_SIBL
(4,16),(4,25),-0.00803845 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0241855 # DEPENDENCYPART_SIBL
(4,17),(4,19),0.0515912 # DEPENDENCYPART_SIBL
(4,17),(4,22),0.0142149 # DEPENDENCYPART_SIBL
(4,17),(4,23),-0.0122271 # DEPENDENCYPART_SIBL
(4,17),(4,24),0.0610835 # DEPENDENCYPART_SIBL
(4,17),(4,25),0.088176 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.0355438 # DEPENDENCYPART_SIBL
(4,18),(4,22),-0.257519 # DEPENDENCYPART_SIBL
(4,18),(4,23),-0.0197244 # DEPENDENCYPART_SIBL
(4,18),(4,24),0.0514428 # DEPENDENCYPART_SIBL
(4,18),(4,25),-0.0174844 # DEPENDENCYPART_SIBL
(4,19),(4,22),-0.0305346 # DEPENDENCYPART_SIBL
(4,19),(4,23),-0.0160588 # DEPENDENCYPART_SIBL
(4,19),(4,24),0.0394288 # DEPENDENCYPART_SIBL
(4,19),(4,25),0.0959696 # DEPENDENCYPART_SIBL
(4,22),(4,23),-0.0269035 # DEPENDENCYPART_SIBL
(4,22),(4,24),0.0441318 # DEPENDENCYPART_SIBL
(4,22),(4,25),-0.0333748 # DEPENDENCYPART_SIBL
(4,23),(4,24),0.162505 # DEPENDENCYPART_SIBL
(4,23),(4,25),-0.018355 # DEPENDENCYPART_SIBL
(4,24),(4,25),-0.00728862 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.182327 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.035524 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0284729 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.401904 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.303543 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0382781 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.114589 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.110637 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0416093 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.172118 # DEPENDENCYPART_SIBL
