# _root_ Tuesday 's notable losers were highpriced shares such as Pioneer , which shed 210 yen to 5,900 yen .
#goldHeads=4,1,4,5,0,7,5,9,7,9,10,13,10,15,13,13,18,16,5,
#predictedHeads=4,1,4,5,0,7,5,9,7,9,10,13,10,15,13,13,18,16,5,
(13,10),-2.10492 # DEPENDENCYPART_ARC
(13,11),-1.03298 # DEPENDENCYPART_ARC
(13,12),0.294079 # DEPENDENCYPART_ARC
(13,14),0.244938 # DEPENDENCYPART_ARC
(13,15),0.23107 # DEPENDENCYPART_ARC
(13,16),-0.374116 # DEPENDENCYPART_ARC
(13,17),-1.14471 # DEPENDENCYPART_ARC
(13,18),-0.42401 # DEPENDENCYPART_ARC
(13,19),-0.393519 # DEPENDENCYPART_ARC
(14,15),-0.175676 # DEPENDENCYPART_ARC
(14,17),-1.55207 # DEPENDENCYPART_ARC
(14,18),-1.47102 # DEPENDENCYPART_ARC
(15,3),-2.30539 # DEPENDENCYPART_ARC
(15,6),-2.25894 # DEPENDENCYPART_ARC
(15,8),-2.52777 # DEPENDENCYPART_ARC
(15,9),-1.89394 # DEPENDENCYPART_ARC
(15,10),-2.20057 # DEPENDENCYPART_ARC
(15,11),-1.72352 # DEPENDENCYPART_ARC
(15,12),-1.39824 # DEPENDENCYPART_ARC
(15,13),-0.662561 # DEPENDENCYPART_ARC
(15,14),0.871074 # DEPENDENCYPART_ARC
(15,16),-0.101109 # DEPENDENCYPART_ARC
(15,17),-1.07164 # DEPENDENCYPART_ARC
(15,18),-1.28827 # DEPENDENCYPART_ARC
(15,19),-1.0596 # DEPENDENCYPART_ARC
(16,14),-1.25521 # DEPENDENCYPART_ARC
(16,15),-0.34219 # DEPENDENCYPART_ARC
(16,17),-0.341853 # DEPENDENCYPART_ARC
(16,18),-0.664294 # DEPENDENCYPART_ARC
(16,19),-1.01678 # DEPENDENCYPART_ARC
(17,14),-1.14459 # DEPENDENCYPART_ARC
(17,15),-1.20853 # DEPENDENCYPART_ARC
(17,16),-0.090574 # DEPENDENCYPART_ARC
(17,18),-0.23412 # DEPENDENCYPART_ARC
(17,19),-1.17887 # DEPENDENCYPART_ARC
(18,6),-2.38622 # DEPENDENCYPART_ARC
(18,8),-2.51856 # DEPENDENCYPART_ARC
(18,9),-1.68397 # DEPENDENCYPART_ARC
(18,10),-2.66052 # DEPENDENCYPART_ARC
(18,11),-1.90482 # DEPENDENCYPART_ARC
(18,14),-0.60497 # DEPENDENCYPART_ARC
(18,15),-0.910893 # DEPENDENCYPART_ARC
(18,16),-0.604614 # DEPENDENCYPART_ARC
(18,17),1.07537 # DEPENDENCYPART_ARC
(18,19),-0.222299 # DEPENDENCYPART_ARC
(19,18),-0.314506 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0507329 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0979135 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0498374 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.102171 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0997186 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0497268 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.103977 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0588544 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.168897 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.110745 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0351302 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00381835 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.029032 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0115644 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.00348607 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00796932 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0022015 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0288873 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0110812 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0110861 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.000283765 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0205824 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0104182 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0152371 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0140566 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.00126276 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.00131174 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0114989 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0173715 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0154841 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0161321 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0130766 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0161669 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0184238 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0293105 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00396216 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0300455 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.00449476 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0210938 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0145444 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0128194 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0227744 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.00155608 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0325336 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.00943748 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0164483 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0153975 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0218732 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.0572444 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0130621 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0161687 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.0201861 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0192679 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.00598275 # DEPENDENCYPART_SIBL
(1,13),(1,19),-0.00471613 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0217585 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0345719 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0286792 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0078954 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.038315 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00535039 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.000399828 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0176037 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.000996375 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00326005 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0504063 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00233504 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0239473 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0202895 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00358733 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0410423 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0188789 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0721122 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00777144 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0290193 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.044367 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0519783 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00593202 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0611329 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0139908 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.00502425 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0101818 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0103877 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0210704 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0310254 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0402425 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0427654 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0140713 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0144543 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0374418 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0805643 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.000768347 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0384572 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00026872 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00623794 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0317298 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0167328 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0229363 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0249274 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0289932 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0109591 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0288113 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0115134 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00629361 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0295463 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00698751 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0203512 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0145293 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0201018 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0182209 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0081015 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0147565 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0165135 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00199046 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.00131147 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00116153 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0104961 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0222884 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.000912778 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0318002 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.00944309 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0217758 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0265192 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0120927 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0100842 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0158738 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0129668 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0232288 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.017443 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0602464 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0155309 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0154353 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0201917 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0234085 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0026101 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.00470105 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.051084 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.129672 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0148852 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0141999 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.01297 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0663543 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0275057 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0360292 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.00330218 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0134506 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0549197 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0134506 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0193305 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00360446 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.139996 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0395779 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.11004 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0149772 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0279488 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0361422 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00902841 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0268744 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0272359 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0268744 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0373942 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0335123 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00810624 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00565714 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0494271 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0214122 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.022127 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0147601 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.00735698 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0421459 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.00735698 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.016025 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0160763 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0441479 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0885891 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00529353 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0205648 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0112865 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0100917 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.00809521 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0100917 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0186402 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0204641 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.000345886 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.00121634 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.00691718 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0261898 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00681455 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.00341343 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.00681455 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.000725337 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.108553 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0310161 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.00383006 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0326693 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0358142 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0233312 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0358142 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0507808 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00832443 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0234271 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0188496 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.00126839 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0497733 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.00126839 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.00988213 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0305023 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0403627 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0348082 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0410727 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0348082 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0260362 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0398733 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.00437221 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0271853 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.00437221 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0172078 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0182896 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0768915 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0182896 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.00576767 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0512175 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.0427637 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.0510499 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.029147 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.029914 # DEPENDENCYPART_SIBL
(5,18),(5,19),-0.0510499 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0476046 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00484377 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0877927 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.124439 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0086487 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0336448 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00398724 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0363514 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0257458 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00880621 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.00087981 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00358733 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00682216 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0199755 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.00152418 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0230328 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.020183 # DEPENDENCYPART_SIBL
(6,8),(6,13),6.45859e-05 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0777536 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0172035 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.00449144 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0190809 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.02456 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0143176 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0190809 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0440954 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0889035 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0136646 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0657325 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0198769 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.065836 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.00865472 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0975416 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.065836 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.00865472 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0448562 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0544846 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0732827 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0350776 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0256302 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0416002 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00430826 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0309872 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0451878 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0677571 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.00427527 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0402227 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0677571 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.00427527 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0346336 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0111133 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0187391 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0434574 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0832505 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0204866 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0575393 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0169896 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0671444 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.00183278 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0988485 # DEPENDENCYPART_SIBL
