# _root_ On the other hand , so long as Mr. Gorbachev is easing his grip on his empire , everyone we 've heard agrees that the U.S. can benefit by engaging him .
#goldHeads=23,4,4,1,23,23,6,11,10,11,6,11,14,12,14,17,15,23,23,21,19,21,0,27,26,27,23,27,28,29,30,23,
#predictedHeads=23,4,4,1,23,11,6,11,10,11,23,11,14,12,14,17,15,23,23,21,19,21,0,27,26,27,23,27,28,29,30,23,
(12,23),-1.47256 # DEPENDENCYPART_ARC
(12,28),-1.69805 # DEPENDENCYPART_ARC
(12,29),-2.05757 # DEPENDENCYPART_ARC
(12,30),-1.77611 # DEPENDENCYPART_ARC
(12,32),-1.51501 # DEPENDENCYPART_ARC
(14,9),-1.13484 # DEPENDENCYPART_ARC
(14,10),-1.54116 # DEPENDENCYPART_ARC
(14,12),-0.866844 # DEPENDENCYPART_ARC
(14,13),0.681963 # DEPENDENCYPART_ARC
(14,15),0.26579 # DEPENDENCYPART_ARC
(14,17),-1.29638 # DEPENDENCYPART_ARC
(14,18),-1.45846 # DEPENDENCYPART_ARC
(14,19),-1.82756 # DEPENDENCYPART_ARC
(14,21),-1.78294 # DEPENDENCYPART_ARC
(14,22),-2.13594 # DEPENDENCYPART_ARC
(14,23),-2.08395 # DEPENDENCYPART_ARC
(14,27),-1.74809 # DEPENDENCYPART_ARC
(15,14),-0.584112 # DEPENDENCYPART_ARC
(15,17),0.0522914 # DEPENDENCYPART_ARC
(15,19),-1.6734 # DEPENDENCYPART_ARC
(15,21),-1.85288 # DEPENDENCYPART_ARC
(15,23),-2.0273 # DEPENDENCYPART_ARC
(15,27),-1.80279 # DEPENDENCYPART_ARC
(15,30),-1.70362 # DEPENDENCYPART_ARC
(15,32),-0.874616 # DEPENDENCYPART_ARC
(17,13),-1.34302 # DEPENDENCYPART_ARC
(17,14),-1.31579 # DEPENDENCYPART_ARC
(17,15),-1.0564 # DEPENDENCYPART_ARC
(17,16),0.541555 # DEPENDENCYPART_ARC
(17,18),0.392276 # DEPENDENCYPART_ARC
(17,19),-1.11725 # DEPENDENCYPART_ARC
(17,21),-1.66955 # DEPENDENCYPART_ARC
(17,22),-1.97791 # DEPENDENCYPART_ARC
(17,23),-2.10714 # DEPENDENCYPART_ARC
(17,26),-1.489 # DEPENDENCYPART_ARC
(17,27),-1.85825 # DEPENDENCYPART_ARC
(19,13),-1.93087 # DEPENDENCYPART_ARC
(19,14),-1.85809 # DEPENDENCYPART_ARC
(19,15),-1.54627 # DEPENDENCYPART_ARC
(19,16),-1.3182 # DEPENDENCYPART_ARC
(19,17),-0.801954 # DEPENDENCYPART_ARC
(19,18),0.114736 # DEPENDENCYPART_ARC
(19,20),-0.0840861 # DEPENDENCYPART_ARC
(19,21),-0.362466 # DEPENDENCYPART_ARC
(19,22),-0.881315 # DEPENDENCYPART_ARC
(19,23),-1.03698 # DEPENDENCYPART_ARC
(19,24),-0.672865 # DEPENDENCYPART_ARC
(19,25),-1.14638 # DEPENDENCYPART_ARC
(19,26),-1.08464 # DEPENDENCYPART_ARC
(19,27),-1.04988 # DEPENDENCYPART_ARC
(19,28),-1.20446 # DEPENDENCYPART_ARC
(19,29),-0.93068 # DEPENDENCYPART_ARC
(19,30),-1.45312 # DEPENDENCYPART_ARC
(20,24),-1.33539 # DEPENDENCYPART_ARC
(21,1),-1.30444 # DEPENDENCYPART_ARC
(21,3),-1.45054 # DEPENDENCYPART_ARC
(21,4),-1.6731 # DEPENDENCYPART_ARC
(21,5),-2.64139 # DEPENDENCYPART_ARC
(21,6),-2.21819 # DEPENDENCYPART_ARC
(21,7),-2.17835 # DEPENDENCYPART_ARC
(21,8),-1.69259 # DEPENDENCYPART_ARC
(21,11),-1.62524 # DEPENDENCYPART_ARC
(21,12),-1.72934 # DEPENDENCYPART_ARC
(21,14),-2.11872 # DEPENDENCYPART_ARC
(21,15),-1.20593 # DEPENDENCYPART_ARC
(21,17),-1.9763 # DEPENDENCYPART_ARC
(21,18),-0.947183 # DEPENDENCYPART_ARC
(21,19),-0.691714 # DEPENDENCYPART_ARC
(21,20),0.894789 # DEPENDENCYPART_ARC
(21,22),1.07959 # DEPENDENCYPART_ARC
(21,23),-0.0572193 # DEPENDENCYPART_ARC
(21,24),-1.35463 # DEPENDENCYPART_ARC
(21,25),-1.37249 # DEPENDENCYPART_ARC
(21,26),-1.54872 # DEPENDENCYPART_ARC
(21,27),-1.10709 # DEPENDENCYPART_ARC
(21,28),-1.16334 # DEPENDENCYPART_ARC
(21,29),-1.48567 # DEPENDENCYPART_ARC
(21,30),-1.2117 # DEPENDENCYPART_ARC
(21,32),-0.592139 # DEPENDENCYPART_ARC
(22,8),-2.09651 # DEPENDENCYPART_ARC
(22,15),-1.58206 # DEPENDENCYPART_ARC
(22,17),-2.36335 # DEPENDENCYPART_ARC
(22,18),-1.67624 # DEPENDENCYPART_ARC
(22,19),-1.10131 # DEPENDENCYPART_ARC
(22,21),-0.611944 # DEPENDENCYPART_ARC
(22,23),0.699395 # DEPENDENCYPART_ARC
(22,24),-1.30957 # DEPENDENCYPART_ARC
(22,26),-1.65169 # DEPENDENCYPART_ARC
(22,27),-1.61738 # DEPENDENCYPART_ARC
(22,28),-1.48955 # DEPENDENCYPART_ARC
(22,29),-1.62093 # DEPENDENCYPART_ARC
(22,30),-1.57578 # DEPENDENCYPART_ARC
(22,32),-1.29931 # DEPENDENCYPART_ARC
(23,1),-0.929985 # DEPENDENCYPART_ARC
(23,4),-1.14145 # DEPENDENCYPART_ARC
(23,5),-2.23886 # DEPENDENCYPART_ARC
(23,6),-1.66607 # DEPENDENCYPART_ARC
(23,7),-1.63055 # DEPENDENCYPART_ARC
(23,8),-1.31652 # DEPENDENCYPART_ARC
(23,11),-1.26132 # DEPENDENCYPART_ARC
(23,12),-1.21468 # DEPENDENCYPART_ARC
(23,14),-1.61399 # DEPENDENCYPART_ARC
(23,15),-0.646408 # DEPENDENCYPART_ARC
(23,17),-1.59843 # DEPENDENCYPART_ARC
(23,18),-0.866428 # DEPENDENCYPART_ARC
(23,19),-0.412231 # DEPENDENCYPART_ARC
(23,20),-0.720783 # DEPENDENCYPART_ARC
(23,21),-0.845567 # DEPENDENCYPART_ARC
(23,22),0.213373 # DEPENDENCYPART_ARC
(23,24),0.94387 # DEPENDENCYPART_ARC
(23,25),-0.451104 # DEPENDENCYPART_ARC
(23,26),-0.514399 # DEPENDENCYPART_ARC
(23,27),-0.412626 # DEPENDENCYPART_ARC
(23,28),-0.512313 # DEPENDENCYPART_ARC
(23,29),-0.58356 # DEPENDENCYPART_ARC
(23,30),-0.896599 # DEPENDENCYPART_ARC
(23,32),-0.297067 # DEPENDENCYPART_ARC
(24,25),-0.435859 # DEPENDENCYPART_ARC
(24,26),-0.76744 # DEPENDENCYPART_ARC
(24,28),-1.66808 # DEPENDENCYPART_ARC
(25,24),-0.495305 # DEPENDENCYPART_ARC
(25,29),-1.49608 # DEPENDENCYPART_ARC
(25,30),-1.65592 # DEPENDENCYPART_ARC
(26,24),-1.46146 # DEPENDENCYPART_ARC
(26,25),0.61431 # DEPENDENCYPART_ARC
(26,27),-0.488633 # DEPENDENCYPART_ARC
(26,28),-0.897196 # DEPENDENCYPART_ARC
(26,29),-1.357 # DEPENDENCYPART_ARC
(27,1),-1.8562 # DEPENDENCYPART_ARC
(27,4),-1.72536 # DEPENDENCYPART_ARC
(27,5),-2.86678 # DEPENDENCYPART_ARC
(27,6),-1.90229 # DEPENDENCYPART_ARC
(27,7),-2.13775 # DEPENDENCYPART_ARC
(27,8),-2.09939 # DEPENDENCYPART_ARC
(27,10),-2.14564 # DEPENDENCYPART_ARC
(27,11),-1.84998 # DEPENDENCYPART_ARC
(27,12),-1.73993 # DEPENDENCYPART_ARC
(27,14),-1.80603 # DEPENDENCYPART_ARC
(27,15),-1.78766 # DEPENDENCYPART_ARC
(27,17),-1.59661 # DEPENDENCYPART_ARC
(27,18),-1.48221 # DEPENDENCYPART_ARC
(27,19),-0.893734 # DEPENDENCYPART_ARC
(27,21),-1.06894 # DEPENDENCYPART_ARC
(27,22),-1.22374 # DEPENDENCYPART_ARC
(27,23),-1.09403 # DEPENDENCYPART_ARC
(27,24),-0.018621 # DEPENDENCYPART_ARC
(27,25),-0.668376 # DEPENDENCYPART_ARC
(27,26),0.912684 # DEPENDENCYPART_ARC
(27,28),1.46617 # DEPENDENCYPART_ARC
(27,29),-0.795904 # DEPENDENCYPART_ARC
(27,32),-0.898761 # DEPENDENCYPART_ARC
(28,19),-1.84056 # DEPENDENCYPART_ARC
(28,24),-0.993209 # DEPENDENCYPART_ARC
(28,25),-1.55997 # DEPENDENCYPART_ARC
(28,26),-1.25393 # DEPENDENCYPART_ARC
(28,29),0.937128 # DEPENDENCYPART_ARC
(28,30),-0.208971 # DEPENDENCYPART_ARC
(28,31),-1.02316 # DEPENDENCYPART_ARC
(28,32),-0.883746 # DEPENDENCYPART_ARC
(29,28),-0.435833 # DEPENDENCYPART_ARC
(29,30),0.521486 # DEPENDENCYPART_ARC
(30,24),-1.80403 # DEPENDENCYPART_ARC
(30,29),-0.541805 # DEPENDENCYPART_ARC
(30,31),0.342169 # DEPENDENCYPART_ARC
(30,32),-0.372315 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0264778 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.113563 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.103642 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0978241 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.104386 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.102174 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.0499205 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.103647 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.102282 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.10268 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.104417 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.101655 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.101655 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.0425603 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.102313 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.177965 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.17569 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.178192 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.177966 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.0551509 # DEPENDENCYPART_SIBL
(0,11),(0,28),-0.178021 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.162079 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.164581 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.164356 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.0529527 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.16441 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.16468 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.164454 # DEPENDENCYPART_SIBL
(0,21),(0,27),-0.0530139 # DEPENDENCYPART_SIBL
(0,21),(0,28),-0.164508 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.165417 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.0529527 # DEPENDENCYPART_SIBL
(0,22),(0,28),-0.165472 # DEPENDENCYPART_SIBL
(0,23),(0,27),-0.0529537 # DEPENDENCYPART_SIBL
(0,23),(0,28),-0.164342 # DEPENDENCYPART_SIBL
(0,27),(0,28),-0.0915867 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0220876 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0601332 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0170108 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0148167 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0127355 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0616428 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.02295 # DEPENDENCYPART_SIBL
(1,2),(1,32),0.0325747 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0620239 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.013429 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.000795322 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.015112 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0634007 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00260236 # DEPENDENCYPART_SIBL
(1,3),(1,32),0.0118526 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0158999 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0477163 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0163344 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.101074 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.00117163 # DEPENDENCYPART_SIBL
(1,4),(1,32),0.0299161 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.152154 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.055281 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0363887 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0518007 # DEPENDENCYPART_SIBL
(1,5),(1,32),0.0313217 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.00416214 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.049271 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0183121 # DEPENDENCYPART_SIBL
(1,6),(1,32),0.0758616 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0471463 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.00114479 # DEPENDENCYPART_SIBL
(1,7),(1,32),0.0454112 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.00677982 # DEPENDENCYPART_SIBL
(1,10),(1,32),0.022344 # DEPENDENCYPART_SIBL
(1,11),(1,32),0.162529 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.000169177 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0510568 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0221633 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0373706 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0345716 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0540436 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00392252 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0287564 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0228927 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00886242 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00726267 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0373416 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.03019 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0318227 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0346019 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0231692 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0295198 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0228927 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0177497 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00918858 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00314322 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0269511 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0258932 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.182316 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0163814 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0144019 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.20698 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.124263 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0142882 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.00314322 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.129082 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.112178 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0475825 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00487677 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0610145 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0107768 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0114849 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00281625 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0335347 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0115187 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.112178 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0373695 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0955855 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00582899 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0514287 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0280575 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0366376 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0290769 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.018412 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0366478 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0325871 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0179957 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0209261 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0183433 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00210354 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00196101 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0197926 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00249362 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.00386374 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0307285 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.00744254 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0111376 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00953512 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00939259 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0312798 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00560702 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0112953 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0153261 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.000658106 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0128992 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0118609 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0405542 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0207837 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0110433 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0210716 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0214276 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0162115 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0334205 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.01777 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.016201 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0034241 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0158122 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0315849 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0159418 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0133803 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0129151 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.013984 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0358282 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0382533 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0206814 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.0351217 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0179599 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.0152159 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.00890809 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0142485 # DEPENDENCYPART_SIBL
(4,17),(4,22),-0.0136088 # DEPENDENCYPART_SIBL
(4,18),(4,22),0.0179957 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00488193 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0217317 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0480413 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0173764 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.232838 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0552214 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0538165 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0263826 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.190978 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0186953 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.045856 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0423299 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.11702 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0513835 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0522651 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.00790586 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0151172 # DEPENDENCYPART_SIBL
