# _root_ `` Most of the action was during the night session , '' said Michael Moore , trading manager at Continental Bank .
#goldHeads=6,6,2,5,3,13,6,10,10,7,6,6,0,15,13,15,18,15,18,21,19,13,
#predictedHeads=13,6,2,5,3,13,6,10,10,7,13,13,0,15,13,15,18,15,18,21,19,13,
(10,9),1.94126 # DEPENDENCYPART_ARC
(10,11),-0.680027 # DEPENDENCYPART_ARC
(10,12),-0.992972 # DEPENDENCYPART_ARC
(10,13),-1.32434 # DEPENDENCYPART_ARC
(10,14),-2.06809 # DEPENDENCYPART_ARC
(10,15),-1.60299 # DEPENDENCYPART_ARC
(10,16),-0.891878 # DEPENDENCYPART_ARC
(10,17),-2.21889 # DEPENDENCYPART_ARC
(10,18),-2.79296 # DEPENDENCYPART_ARC
(10,19),-2.21635 # DEPENDENCYPART_ARC
(10,21),-3.1208 # DEPENDENCYPART_ARC
(11,10),-2.01455 # DEPENDENCYPART_ARC
(12,10),-2.56798 # DEPENDENCYPART_ARC
(12,11),-1.34049 # DEPENDENCYPART_ARC
(13,1),-0.31346 # DEPENDENCYPART_ARC
(13,2),-1.86806 # DEPENDENCYPART_ARC
(13,3),-2.61417 # DEPENDENCYPART_ARC
(13,5),-1.97446 # DEPENDENCYPART_ARC
(13,6),-0.934018 # DEPENDENCYPART_ARC
(13,7),-1.80579 # DEPENDENCYPART_ARC
(13,9),-1.59886 # DEPENDENCYPART_ARC
(13,10),-1.45305 # DEPENDENCYPART_ARC
(13,11),-0.220763 # DEPENDENCYPART_ARC
(13,12),0.0976259 # DEPENDENCYPART_ARC
(13,14),-0.621511 # DEPENDENCYPART_ARC
(13,15),-0.445959 # DEPENDENCYPART_ARC
(13,16),-0.761777 # DEPENDENCYPART_ARC
(13,17),-1.42998 # DEPENDENCYPART_ARC
(13,18),-1.27043 # DEPENDENCYPART_ARC
(13,19),-0.75095 # DEPENDENCYPART_ARC
(13,21),-2.30857 # DEPENDENCYPART_ARC
(13,22),0.804372 # DEPENDENCYPART_ARC
(14,15),-0.92387 # DEPENDENCYPART_ARC
(14,16),-1.52053 # DEPENDENCYPART_ARC
(14,17),-2.06612 # DEPENDENCYPART_ARC
(14,18),-2.3387 # DEPENDENCYPART_ARC
(14,19),-2.1743 # DEPENDENCYPART_ARC
(14,21),-3.7441 # DEPENDENCYPART_ARC
(15,1),-2.5264 # DEPENDENCYPART_ARC
(15,2),-2.73328 # DEPENDENCYPART_ARC
(15,5),-2.51209 # DEPENDENCYPART_ARC
(15,6),-2.34053 # DEPENDENCYPART_ARC
(15,7),-2.08021 # DEPENDENCYPART_ARC
(15,8),-2.19169 # DEPENDENCYPART_ARC
(15,9),-1.54807 # DEPENDENCYPART_ARC
(15,10),-1.5131 # DEPENDENCYPART_ARC
(15,11),-1.60165 # DEPENDENCYPART_ARC
(15,12),-1.36505 # DEPENDENCYPART_ARC
(15,13),-0.755304 # DEPENDENCYPART_ARC
(15,14),2.32667 # DEPENDENCYPART_ARC
(15,16),0.211986 # DEPENDENCYPART_ARC
(15,17),-1.16881 # DEPENDENCYPART_ARC
(15,18),-1.27779 # DEPENDENCYPART_ARC
(15,19),-1.64226 # DEPENDENCYPART_ARC
(15,20),-2.9132 # DEPENDENCYPART_ARC
(15,21),-2.84099 # DEPENDENCYPART_ARC
(15,22),-2.15023 # DEPENDENCYPART_ARC
(17,14),-1.7129 # DEPENDENCYPART_ARC
(17,15),-1.71428 # DEPENDENCYPART_ARC
(17,16),-1.63695 # DEPENDENCYPART_ARC
(17,18),-0.902524 # DEPENDENCYPART_ARC
(17,19),-1.10998 # DEPENDENCYPART_ARC
(17,21),-2.23214 # DEPENDENCYPART_ARC
(18,1),-2.38973 # DEPENDENCYPART_ARC
(18,2),-2.35055 # DEPENDENCYPART_ARC
(18,6),-2.20252 # DEPENDENCYPART_ARC
(18,7),-1.7942 # DEPENDENCYPART_ARC
(18,8),-1.03153 # DEPENDENCYPART_ARC
(18,9),-1.07774 # DEPENDENCYPART_ARC
(18,10),-2.29368 # DEPENDENCYPART_ARC
(18,11),-2.33485 # DEPENDENCYPART_ARC
(18,12),-2.07235 # DEPENDENCYPART_ARC
(18,14),-0.618943 # DEPENDENCYPART_ARC
(18,15),-0.971892 # DEPENDENCYPART_ARC
(18,16),-1.11533 # DEPENDENCYPART_ARC
(18,17),1.78839 # DEPENDENCYPART_ARC
(18,19),0.309658 # DEPENDENCYPART_ARC
(18,20),-1.51186 # DEPENDENCYPART_ARC
(18,21),-1.44424 # DEPENDENCYPART_ARC
(19,18),-1.63626 # DEPENDENCYPART_ARC
(19,20),-0.243505 # DEPENDENCYPART_ARC
(19,21),0.103884 # DEPENDENCYPART_ARC
(20,21),-1.54872 # DEPENDENCYPART_ARC
(21,1),-3.3052 # DEPENDENCYPART_ARC
(21,2),-3.65075 # DEPENDENCYPART_ARC
(21,14),-2.38926 # DEPENDENCYPART_ARC
(21,15),-3.15996 # DEPENDENCYPART_ARC
(21,16),-2.18107 # DEPENDENCYPART_ARC
(21,17),-0.936412 # DEPENDENCYPART_ARC
(21,18),-1.33418 # DEPENDENCYPART_ARC
(21,19),-1.31157 # DEPENDENCYPART_ARC
(21,20),1.08995 # DEPENDENCYPART_ARC
(21,22),-1.25798 # DEPENDENCYPART_ARC
(22,21),-2.32287 # DEPENDENCYPART_ARC
(0,6),(0,13),-2.43279 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0399762 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0349405 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.109628 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0378665 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0428877 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.109329 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0328642 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.428115 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0251654 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.026964 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0328642 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.120542 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0183336 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0503515 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0356924 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.165782 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.191253 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0824536 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.159289 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0474311 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.147981 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.141973 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.00908417 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0474311 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.155072 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.112714 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0186738 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0490232 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0813858 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.080758 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0448249 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0171369 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.115651 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0536625 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0992305 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0171369 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0448257 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.102132 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.100529 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0625127 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.000701586 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.134687 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0741429 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0350044 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.106023 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0823008 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0741429 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.13732 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0269808 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0766254 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0254905 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0584624 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.182447 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0120252 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.443449 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0570359 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.182447 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0585202 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0487733 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0607937 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0396347 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.123438 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0613077 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0325085 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0696275 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.123438 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0342554 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0446593 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0689126 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.084359 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0427267 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.108611 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0848504 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.084359 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.126929 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0623197 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.079175 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0803702 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0869089 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.214271 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.127747 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.345142 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.00641369 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.211711 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0812463 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.016137 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0429561 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.142852 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.108727 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.018031 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0597569 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.232669 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0476849 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0776921 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0616037 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0567768 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0551879 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0301787 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.174734 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.345142 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.00641369 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.211711 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0251217 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.0789424 # DEPENDENCYPART_SIBL
(2,19),(2,21),-0.053921 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0704957 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.104503 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0177284 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.124145 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0336443 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0249031 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.032896 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.252635 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.165685 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.20322 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0992231 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0991122 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.210096 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.16341 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.19205 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.622063 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.369657 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0482705 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.625119 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00482386 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0858372 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.620777 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.138247 # DEPENDENCYPART_SIBL
(3,5),(3,10),-1.1602 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0389117 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.203289 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.153586 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.530416 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.171753 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.14887 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.324772 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.130308 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0436995 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0280201 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.221257 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.250738 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00365721 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.032355 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0328183 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0332453 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.019049 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00911937 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0497358 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0197946 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.722862 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0287773 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.257445 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0168682 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0186831 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0235446 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0968891 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0434091 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.180894 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.102621 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.131486 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0586112 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0964085 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.039783 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0435689 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.180046 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0561797 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0954209 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.00816788 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.042284 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0936168 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.178778 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00757498 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0629191 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.115006 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0309006 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.12258 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0404129 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.297062 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0304908 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0423416 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0954916 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0753748 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0240543 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.178473 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.138477 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0781202 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0635154 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.211635 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.138627 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.128409 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0635154 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0850375 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0636807 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0920124 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.177221 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.238763 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.379014 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0364127 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0744363 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0821777 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.028396 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0451423 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0279455 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0399193 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0786312 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0451423 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0257583 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0474216 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.0161317 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0757414 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.122035 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.113354 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.176065 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00156781 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0619399 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.047475 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0322239 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.124394 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.155972 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.047475 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0770978 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.099287 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0254047 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.226336 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.103341 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.234042 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0410089 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.123741 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.132034 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0110689 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.127318 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.244006 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.132034 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.131123 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.129472 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.186214 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0337435 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.149562 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0652612 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0177129 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0187686 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0276398 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0258256 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.081839 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0187686 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.00846952 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0626746 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0442482 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0187383 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.133287 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.000261614 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.157934 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0143658 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0751483 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.105696 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.157934 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0147268 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.106757 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0496425 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.206173 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.252313 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.102597 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.170558 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0763234 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.243683 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.102597 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.257031 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.219803 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.293047 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.210375 # DEPENDENCYPART_SIBL
