# _root_ Among rail and highway accounts , the agreement provides $ 615 million for Amtrak , including $ 85 million for capital improvements .
#goldHeads=9,1,2,5,3,9,8,9,0,9,10,10,10,13,10,10,16,17,17,16,22,20,9,
#predictedHeads=9,1,2,5,3,9,8,9,0,9,10,10,9,13,10,10,16,17,17,17,22,20,9,
(12,7),-1.92395 # DEPENDENCYPART_ARC
(12,8),-2.42292 # DEPENDENCYPART_ARC
(12,11),-0.148407 # DEPENDENCYPART_ARC
(12,13),-1.19999 # DEPENDENCYPART_ARC
(12,14),-2.02664 # DEPENDENCYPART_ARC
(12,15),-1.40515 # DEPENDENCYPART_ARC
(12,16),-1.98059 # DEPENDENCYPART_ARC
(12,17),-2.37492 # DEPENDENCYPART_ARC
(13,10),-1.71678 # DEPENDENCYPART_ARC
(13,12),-1.87202 # DEPENDENCYPART_ARC
(13,14),0.758707 # DEPENDENCYPART_ARC
(13,15),-1.62271 # DEPENDENCYPART_ARC
(13,16),-1.55377 # DEPENDENCYPART_ARC
(13,17),-2.10921 # DEPENDENCYPART_ARC
(13,22),-1.63035 # DEPENDENCYPART_ARC
(14,10),-2.06481 # DEPENDENCYPART_ARC
(14,12),-1.65625 # DEPENDENCYPART_ARC
(14,15),-1.20192 # DEPENDENCYPART_ARC
(14,16),-1.72304 # DEPENDENCYPART_ARC
(14,17),-2.18973 # DEPENDENCYPART_ARC
(14,19),-2.66841 # DEPENDENCYPART_ARC
(14,20),-2.3119 # DEPENDENCYPART_ARC
(14,22),-3.13349 # DEPENDENCYPART_ARC
(14,23),-2.61693 # DEPENDENCYPART_ARC
(16,1),-2.47088 # DEPENDENCYPART_ARC
(16,2),-2.98531 # DEPENDENCYPART_ARC
(16,8),-2.52128 # DEPENDENCYPART_ARC
(16,10),-2.28493 # DEPENDENCYPART_ARC
(16,13),-1.50477 # DEPENDENCYPART_ARC
(16,14),-1.99127 # DEPENDENCYPART_ARC
(16,15),-1.40069 # DEPENDENCYPART_ARC
(16,17),0.250356 # DEPENDENCYPART_ARC
(16,18),-0.925455 # DEPENDENCYPART_ARC
(16,19),-1.43232 # DEPENDENCYPART_ARC
(16,20),-0.803848 # DEPENDENCYPART_ARC
(16,21),-0.786747 # DEPENDENCYPART_ARC
(16,22),-1.06431 # DEPENDENCYPART_ARC
(16,23),-1.5223 # DEPENDENCYPART_ARC
(17,1),-2.79628 # DEPENDENCYPART_ARC
(17,2),-3.10228 # DEPENDENCYPART_ARC
(17,10),-2.52895 # DEPENDENCYPART_ARC
(17,12),-2.75905 # DEPENDENCYPART_ARC
(17,13),-1.93566 # DEPENDENCYPART_ARC
(17,14),-2.30768 # DEPENDENCYPART_ARC
(17,15),-1.69087 # DEPENDENCYPART_ARC
(17,16),-1.02319 # DEPENDENCYPART_ARC
(17,18),1.89578 # DEPENDENCYPART_ARC
(17,19),1.55542 # DEPENDENCYPART_ARC
(17,20),-0.0530416 # DEPENDENCYPART_ARC
(17,21),-1.11654 # DEPENDENCYPART_ARC
(17,22),-1.22693 # DEPENDENCYPART_ARC
(17,23),-1.27388 # DEPENDENCYPART_ARC
(18,19),-1.1437 # DEPENDENCYPART_ARC
(18,20),-1.70257 # DEPENDENCYPART_ARC
(19,1),-2.3022 # DEPENDENCYPART_ARC
(19,13),-1.79642 # DEPENDENCYPART_ARC
(19,14),-2.68459 # DEPENDENCYPART_ARC
(19,18),-0.126919 # DEPENDENCYPART_ARC
(19,20),-1.34886 # DEPENDENCYPART_ARC
(19,21),-1.38219 # DEPENDENCYPART_ARC
(19,22),-2.21784 # DEPENDENCYPART_ARC
(20,17),-1.56674 # DEPENDENCYPART_ARC
(20,19),-1.69488 # DEPENDENCYPART_ARC
(20,21),0.314198 # DEPENDENCYPART_ARC
(20,22),0.868748 # DEPENDENCYPART_ARC
(22,10),-2.66054 # DEPENDENCYPART_ARC
(22,14),-2.59273 # DEPENDENCYPART_ARC
(22,16),-2.28298 # DEPENDENCYPART_ARC
(22,17),-1.31969 # DEPENDENCYPART_ARC
(22,18),-1.69865 # DEPENDENCYPART_ARC
(22,19),-1.34536 # DEPENDENCYPART_ARC
(22,20),-1.27331 # DEPENDENCYPART_ARC
(22,21),1.77081 # DEPENDENCYPART_ARC
(22,23),-1.31524 # DEPENDENCYPART_ARC
(23,22),-2.59818 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0810752 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.133125 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0783106 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.659757 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.266573 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.251064 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.664256 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.19113 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.670845 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.666878 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0195799 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.826023 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.822472 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0588497 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.643288 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.037066 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0186732 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0345258 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0502777 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.190504 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.00738115 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.823855 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0497227 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.644665 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.0398727 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0433191 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.584501 # DEPENDENCYPART_SIBL
(1,5),(1,23),0.0099265 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0443523 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.108836 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.193527 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0345108 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0451511 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.036496 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.038505 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0355975 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.042143 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0226766 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0170719 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.038505 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0457117 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0170719 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.097874 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0489026 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0236998 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00956764 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0536702 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00353075 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.142213 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0530609 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00956764 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.211805 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0530609 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0447937 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.149638 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00251226 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0883088 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0381461 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0178536 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0607196 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.00251226 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0485148 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0607196 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.00034844 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0032252 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0796435 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0817042 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0704001 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00294998 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0032252 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0353004 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.00294998 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.0124046 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.780339 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.540656 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.201124 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.219932 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.138098 # DEPENDENCYPART_SIBL
(2,6),(2,16),1.04046 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.219932 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0138276 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0428786 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0209004 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.072928 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.00591212 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0402554 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.072928 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0170581 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0301356 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0139578 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.185398 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.189299 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0139578 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.080886 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0921529 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.19799 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.174428 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0921529 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.0663365 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0710874 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.177534 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0356378 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.128214 # DEPENDENCYPART_SIBL
(2,15),(2,16),1.04046 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.219932 # DEPENDENCYPART_SIBL
(2,15),(2,23),0.0138276 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.0253401 # DEPENDENCYPART_SIBL
(2,16),(2,23),-0.0227031 # DEPENDENCYPART_SIBL
(2,20),(2,23),0.128214 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.586919 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.283295 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.566282 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.607368 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.157209 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.3069 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.485441 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.600038 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.154782 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.198572 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0587789 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.116179 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.60999 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.158146 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.161642 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0144809 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0733938 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0817109 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.782824 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.53146 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.050058 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0102831 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0729408 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00921081 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0131741 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0416194 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0278525 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0375094 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0531489 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0222166 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0131741 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.00551312 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0375094 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0780553 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0886573 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0693699 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.070938 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0342595 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0290489 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0111803 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0205625 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0345548 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.070938 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.113314 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0111803 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0348869 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0452922 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00923302 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0162917 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.054389 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0101703 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0101601 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00717239 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00923302 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0933262 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0101703 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.102423 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00269161 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00718687 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00991966 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0299276 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0692931 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0162442 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.00269161 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0950887 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0299276 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.023719 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.635408 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.331251 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.427796 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.173123 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.594638 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.127757 # DEPENDENCYPART_SIBL
(5,6),(5,16),1.28246 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.427796 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.0602177 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0936427 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0150541 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0717218 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0534626 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.00307105 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0186272 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0150541 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.0587466 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0217827 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0146863 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.00514324 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.103604 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.197125 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0217827 # DEPENDENCYPART_SIBL
(5,9),(5,23),0.132061 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0749641 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0302933 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0395664 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.152366 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.175591 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.054246 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0302029 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.100622 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0934877 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.00104202 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.134697 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0328424 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0531652 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0313833 # DEPENDENCYPART_SIBL
(5,14),(5,23),0.0426687 # DEPENDENCYPART_SIBL
(5,15),(5,16),1.28246 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.427796 # DEPENDENCYPART_SIBL
(5,15),(5,23),0.0602177 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.0424203 # DEPENDENCYPART_SIBL
(5,16),(5,23),0.0355743 # DEPENDENCYPART_SIBL
(5,17),(5,23),0.054246 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0046152 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0319595 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0019282 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.24804 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.188835 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0549084 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0314567 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.00758661 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0575439 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.00882154 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0314567 # DEPENDENCYPART_SIBL
(8,1),(8,20),0.00758661 # DEPENDENCYPART_SIBL
(8,1),(8,23),0.0766475 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.000829432 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.112149 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.488273 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.021397 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0893713 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0120108 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.00545419 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.024891 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0893713 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.0120108 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.0614647 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0628871 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.221565 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0173182 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.059116 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0495018 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0393427 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0726764 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.059116 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0495018 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.0852571 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.127882 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.00167663 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0628969 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0395663 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0420393 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0780292 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0628969 # DEPENDENCYPART_SIBL
